pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-05-25,89.7,-1.54,5.68,"Abreu, Albert",668939,656061,field_out,hit_into_play,,,,,7,Adley Rutschman flies out to center fielder Harrison Bader.,R,L,R,NYY,BAL,X,8.0,fly_ball,1,2,2023,-1.45,0.86,-0.44,2.17,,,,2,9,Top,76.93,56.97,,,543309,,,5.799988555764942,-130.5280262897855,-4.52621416007042,-17.798095280547344,27.41961542913232,-21.63706768381919,3.4,1.62,371.0,97.1,26.0,90.0,1773,6.5,718029,656061,543309,519203,650402,665828,683011,656185,664056,592450,54.01,0.357,0.499,0.0,1.0,0.0,0.0,5.0,66,4,Changeup,0,3,3,0,3,0,3,0,Standard,Standard,247,0.001,-0.071
SI,2023-05-25,96.6,-1.21,5.86,"Abreu, Albert",668939,656061,,foul,,,,,2,Adley Rutschman flies out to center fielder Harrison Bader.,R,L,R,NYY,BAL,S,,,1,1,2023,-1.4,1.1,-0.15,3.31,,,,2,9,Top,,,,,543309,,,6.034013973687838,-140.5614000076886,-3.7664805116133895,-19.93903249373732,30.6880768222086,-16.875911107881965,3.4,1.62,235.0,78.9,51.0,97.1,1986,6.5,718029,656061,543309,519203,650402,665828,683011,656185,664056,592450,54.02,,,,,,,,66,3,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,221,0.0,-0.026
SI,2023-05-25,97.5,-1.26,5.8,"Abreu, Albert",668939,656061,,foul,,,,,5,Adley Rutschman flies out to center fielder Harrison Bader.,R,L,R,NYY,BAL,S,,,1,0,2023,-1.2,1.31,0.02,2.42,,,,2,9,Top,,,,,543309,,,6.220372640441584,-141.70720315493017,-6.57819772450265,-17.655724879634423,33.25515906271326,-13.24177330921028,3.4,1.62,239.0,81.2,49.0,97.5,2092,6.4,718029,656061,543309,519203,650402,665828,683011,656185,664056,592450,54.09,,,,,,,,66,2,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,222,0.0,-0.027
CH,2023-05-25,89.1,-1.52,5.58,"Abreu, Albert",668939,656061,,ball,,,,,13,Adley Rutschman flies out to center fielder Harrison Bader.,R,L,R,NYY,BAL,B,,,0,0,2023,-1.5,0.66,-0.92,2.1,,,,2,9,Top,,,,,543309,,,4.6531502041545245,-129.6455201770273,-3.940985758818724,-17.861444875531205,26.7032565490468,-24.078462707067292,3.4,1.57,,,,89.7,1756,6.6,718029,656061,543309,519203,650402,665828,683011,656185,664056,592450,53.87,,,,,,,,66,1,Changeup,0,3,3,0,3,0,3,0,Standard,Standard,246,0.0,0.021
SI,2023-05-25,97.3,-1.38,5.78,"Abreu, Albert",624428,656061,field_out,hit_into_play,,,,,1,"Adam Frazier grounds out, shortstop Anthony Volpe to first baseman Anthony Rizzo.",R,L,R,NYY,BAL,X,6.0,ground_ball,2,2,2023,-1.32,1.24,-0.34,2.9,,,,1,9,Top,117.63,146.37,,,543309,,,5.829513642956446,-141.4956245113883,-5.035231076166866,-19.056368084799114,33.9472939152139,-14.550243755954352,3.13,1.44,12.0,97.1,-13.0,97.4,2152,6.5,718029,656061,543309,519203,650402,665828,683011,656185,664056,592450,54.01,0.191,0.172,0.0,1.0,0.0,0.0,2.0,65,5,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,225,0.003,-0.153
SI,2023-05-25,96.8,-1.29,5.71,"Abreu, Albert",624428,656061,,called_strike,,,,,3,"Adam Frazier grounds out, shortstop Anthony Volpe to first baseman Anthony Rizzo.",R,L,R,NYY,BAL,S,,,2,1,2023,-1.12,1.44,0.8,2.64,,,,1,9,Top,,,,,543309,,,8.156805183158037,-140.55323073589838,-5.897716720487551,-16.69218226041446,33.58764163077518,-11.945913350350304,3.05,1.39,,,,97.1,2095,6.7,718029,656061,543309,519203,650402,665828,683011,656185,664056,592450,53.77,,,,,,,,65,4,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,222,0.0,-0.049
CH,2023-05-25,87.4,-1.37,5.64,"Abreu, Albert",624428,656061,,swinging_strike,,,,,8,"Adam Frazier grounds out, shortstop Anthony Volpe to first baseman Anthony Rizzo.",R,L,R,NYY,BAL,S,,,2,0,2023,-1.55,0.87,0.04,1.81,,,,1,9,Top,,,,,543309,,,6.641183323450357,-127.06548920123144,-4.896215079264193,-18.158541235760826,27.01905869485947,-21.924017057736403,3.13,1.44,,,,87.8,1902,6.7,718029,656061,543309,519203,650402,665828,683011,656185,664056,592450,53.8,,,,,,,,65,3,Changeup,0,3,3,0,3,0,3,0,Standard,Standard,243,0.0,-0.044
SI,2023-05-25,96.5,-1.39,5.84,"Abreu, Albert",624428,656061,,ball,,,,,11,"Adam Frazier grounds out, shortstop Anthony Volpe to first baseman Anthony Rizzo.",R,L,R,NYY,BAL,B,,,1,0,2023,-1.26,1.36,-1.61,3.3,,,,1,9,Top,,,,,543309,,,2.301566878084097,-140.4473726313192,-4.244334294313603,-17.209562207701296,33.9553963316497,-13.491085498012197,3.05,1.39,,,,96.6,2121,6.5,718029,656061,543309,519203,650402,665828,683011,656185,664056,592450,53.99,,,,,,,,65,2,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,222,0.0,0.046
SI,2023-05-25,97.8,-1.42,5.82,"Abreu, Albert",624428,656061,,ball,,,,,12,"Adam Frazier grounds out, shortstop Anthony Volpe to first baseman Anthony Rizzo.",R,L,R,NYY,BAL,B,,,0,0,2023,-1.32,1.26,0.08,3.44,,,,1,9,Top,,,,,543309,,,7.141543760595715,-142.1658797006189,-3.813633590982037,-19.565763113775347,34.23830744432808,-14.435352974214554,3.08,1.41,,,,98.2,2149,6.7,718029,656061,543309,519203,650402,665828,683011,656185,664056,592450,53.81,,,,,,,,65,1,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,219,0.0,0.028
SL,2023-05-25,85.3,-1.75,5.81,"Abreu, Albert",622761,656061,field_out,hit_into_play,,,,,4,"Jorge Mateo grounds out, third baseman Oswaldo Cabrera to first baseman Anthony Rizzo.",R,R,R,NYY,BAL,X,5.0,ground_ball,0,0,2023,0.25,0.39,-0.32,2.44,,,,0,9,Top,105.51,175.46,,,543309,,,2.867472247042271,-124.25835320912776,-2.462095765809971,1.9872376014099435,24.234529523231306,-27.80024449686916,3.42,1.65,20.0,103.7,-6.0,85.4,2210,6.3,718029,656061,543309,519203,650402,665828,683011,656185,664056,592450,54.24,0.343,0.313,0.0,1.0,0.0,0.0,2.0,64,1,Slider,0,3,3,0,3,0,3,0,Standard,Standard,165,0.003,-0.235
