pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,98.6,-2.68,5.34,"Abreu, Bryan",642715,650556,strikeout,swinging_strike,,,,,6,Willy Adames strikes out swinging.,R,R,R,MIL,HOU,S,2.0,,1,2,2023,-0.62,1.31,0.58,2.79,,,,2,8,Bot,,,,,455117,,,10.354796019141531,-143.17375444240582,-4.549427607333124,-10.869711482250745,32.09866689953417,-13.213808083671626,3.41,1.71,,,,99.0,2419.0,6.6,718046,650556,455117,547989,643289,608324,665161,676801,676694,663656,53.91,,,0.0,1.0,0.0,0.0,,58,4,4-Seam Fastball,4,0,4,0,0,4,4,0,Standard,Standard,220.0,-0.001,-0.071
SL,2023-05-24,87.7,-2.68,5.58,"Abreu, Bryan",642715,650556,,swinging_strike,,,,,9,Willy Adames strikes out swinging.,R,R,R,MIL,HOU,S,,,1,1,2023,0.73,-0.38,0.52,1.64,,,,2,8,Bot,,,,,455117,,,6.239250585678275,-127.53677819494682,-2.588549939101333,6.591727029300681,27.148441315788062,-35.92141500758394,3.41,1.71,,,,87.7,2847.0,6.4,718046,650556,455117,547989,643289,608324,665161,676801,676694,663656,54.11,,,,,,,,58,3,Slider,4,0,4,0,0,4,4,0,Standard,Standard,60.0,0.0,-0.026
SL,2023-05-24,87.9,-2.74,5.5,"Abreu, Bryan",642715,650556,,swinging_strike,,,,,14,Willy Adames strikes out swinging.,R,R,R,MIL,HOU,S,,,1,0,2023,0.53,-0.27,0.3,0.92,,,,2,8,Bot,,,,,455117,,,6.276477690146601,-127.91276331755772,-4.452811555703058,4.540876242274655,26.823514629797227,-34.35750019970963,3.41,1.71,,,,88.2,2758.0,6.5,718046,650556,455117,547989,643289,608324,665161,676801,676694,663656,54.02,,,,,,,,58,2,Slider,4,0,4,0,0,4,4,0,Standard,Standard,60.0,0.0,-0.027
SL,2023-05-24,88.2,-2.79,5.39,"Abreu, Bryan",642715,650556,,ball,,,,,14,Willy Adames strikes out swinging.,R,R,R,MIL,HOU,B,,,0,0,2023,0.88,0.42,1.33,0.19,,,,2,8,Bot,,,,,455117,,,8.22334940362777,-128.1397849185214,-7.467486674187284,8.010972373259815,25.863181158670887,-26.14701634188821,3.15,1.48,,,,88.6,2822.0,6.6,718046,650556,455117,547989,643289,608324,665161,676801,676694,663656,53.9,,,,,,,,58,1,Slider,4,0,4,0,0,4,4,0,Standard,Standard,65.0,0.0,0.021
CU,2023-05-24,85.3,-2.62,5.78,"Abreu, Bryan",592885,650556,field_out,hit_into_play,,,,,7,"Christian Yelich grounds out, first baseman Jose Abreu to pitcher Bryan Abreu.",R,L,R,MIL,HOU,X,3.0,ground_ball,2,2,2023,0.83,-0.85,-0.8,2.12,,,,1,8,Bot,148.09,176.04,,,455117,,,2.613533980826953,-124.27038135257884,-0.6025950016723899,8.048350399535774,26.124202581622484,-40.99858055022989,3.25,1.69,1.0,67.6,-57.0,85.3,2928.0,6.3,718046,650556,455117,547989,643289,608324,665161,676801,676694,663656,54.18,0.28,0.252,0.0,1.0,0.0,0.0,2.0,57,8,Curveball,4,0,4,0,0,4,4,0,Standard,Standard,41.0,0.0,-0.153
FF,2023-05-24,97.5,-2.36,5.63,"Abreu, Bryan",592885,650556,,foul,,,,,5,"Christian Yelich grounds out, first baseman Jose Abreu to pitcher Bryan Abreu.",R,L,R,MIL,HOU,S,,,2,2,2023,-0.52,1.35,-0.02,2.66,,,,1,8,Bot,,,,,455117,,,7.511294746391878,-141.7692945882448,-5.5765983641194055,-8.71064881195525,32.241092681121884,-12.892156022760563,3.25,1.69,190.0,78.3,18.0,97.8,2340.0,6.5,718046,650556,455117,547989,643289,608324,665161,676801,676694,663656,54.03,,,,,,,,57,7,4-Seam Fastball,4,0,4,0,0,4,4,0,Strategic,Standard,209.0,0.0,0.0
FF,2023-05-24,97.3,-2.45,5.58,"Abreu, Bryan",592885,650556,,foul,,,,,3,"Christian Yelich grounds out, first baseman Jose Abreu to pitcher Bryan Abreu.",R,L,R,MIL,HOU,S,,,2,2,2023,-0.66,1.36,0.49,2.79,,,,1,8,Bot,,,,,455117,,,9.44566583425332,-141.35548474841207,-5.133786623277776,-10.923936439062327,31.64703780758452,-12.908352502671692,3.25,1.69,,81.9,10.0,,2412.0,6.7,718046,650556,455117,547989,643289,608324,665161,676801,676694,663656,53.82,,,,,,,,57,6,4-Seam Fastball,4,0,4,0,0,4,4,0,Strategic,Standard,212.0,0.0,0.0
SL,2023-05-24,87.6,-2.99,5.57,"Abreu, Bryan",592885,650556,,foul,,,,,14,"Christian Yelich grounds out, first baseman Jose Abreu to pitcher Bryan Abreu.",R,L,R,MIL,HOU,S,,,2,2,2023,1.09,0.03,1.17,2.35,,,,1,8,Bot,,,,,455117,,,7.836612518729098,-127.3593493811512,-1.6932587728445916,10.26684119551869,25.623399546081124,-31.711306311407323,3.25,1.69,6.0,73.2,-24.0,88.0,2930.0,6.5,718046,650556,455117,547989,643289,608324,665161,676801,676694,663656,53.97,,,,,,,,57,5,Slider,4,0,4,0,0,4,4,0,Strategic,Standard,54.0,0.0,0.0
SL,2023-05-24,86.7,-3.2,5.36,"Abreu, Bryan",592885,650556,,foul,,,,,5,"Christian Yelich grounds out, first baseman Jose Abreu to pitcher Bryan Abreu.",R,L,R,MIL,HOU,S,,,2,1,2023,0.58,-0.21,0.03,2.46,,,,1,8,Bot,,,,,455117,,,6.577027730959022,-126.16236383742844,-0.3136381955285565,4.819366648634564,25.584252686464115,-34.566663248845,3.25,1.69,253.0,81.7,34.0,87.0,2696.0,6.5,718046,650556,455117,547989,643289,608324,665161,676801,676694,663656,54.02,,,,,,,,57,4,Slider,4,0,4,0,0,4,4,0,Standard,Standard,78.0,0.0,-0.049
CU,2023-05-24,85.5,-2.86,5.53,"Abreu, Bryan",592885,650556,,ball,,,,,13,"Christian Yelich grounds out, first baseman Jose Abreu to pitcher Bryan Abreu.",R,L,R,MIL,HOU,B,,,1,1,2023,0.6,-0.55,-0.5,0.98,,,,1,8,Bot,,,,,455117,,,4.350870704870031,-124.4181259568104,-3.307079493372418,5.250046071653877,26.52635443084735,-37.34353558872365,3.02,1.57,,,,85.3,2887.0,6.3,718046,650556,455117,547989,643289,608324,665161,676801,676694,663656,54.19,,,,,,,,57,3,Curveball,4,0,4,0,0,4,4,0,Standard,Standard,51.0,0.0,0.037
