pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SL,2023-05-24,86.7,-1.43,5.81,"Abreu, José",547989,605288,field_out,hit_into_play,,,,,14,Jose Abreu lines out to second baseman Brice Turang.,R,R,R,MIL,HOU,X,4.0,line_drive,2,2,2023,0.15,0.52,1.14,1.34,,,,2,4,Top,127.56,132.1,,,661388,,,5.89127708543044,-126.11242283601734,-5.612780869244841,0.4964237465447713,24.616848964125563,-25.69778783060227,3.32,1.52,171.0,62.4,20.0,87.9,2343,6.9,718046,605288,661388,642133,668930,680911,642715,592885,686894,605119,53.55,0.46,0.421,0.0,1.0,0.0,0.0,2.0,25,5,Slider,2,0,0,2,0,2,0,2,Standard,Standard,173,0.011,-0.09,josé abreu,
SI,2023-05-24,93.2,-1.63,5.78,"Abreu, José",547989,605288,field_out,hit_into_play,,,,,7,"Jose Abreu grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,R,MIL,HOU,X,6.0,ground_ball,1,1,2023,-1.48,0.73,-0.71,1.85,,670541.0,663656.0,2,1,Top,120.16,165.87,,,661388,,,5.645239930630129,-135.48839784046345,-5.974830642717618,-19.424021078586115,29.410632203481214,-22.08079797943568,3.32,1.52,3.0,69.9,-33.0,93.9,2107,6.8,718046,605288,661388,642133,668930,680911,642715,592885,686894,605119,53.75,0.06,0.054,0.0,1.0,0.0,0.0,2.0,5,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,229,0.042,-0.446,josé abreu,
CU,2023-05-24,80.5,4.26,4.29,"Abreu, José",547989,571948,single,hit_into_play,,,,,8,Jose Abreu singles on a ground ball to left fielder Christian Yelich.,R,R,L,MIL,HOU,X,7.0,ground_ball,2,2,2023,-1.12,0.01,-0.08,1.54,,,,2,9,Top,87.66,130.76,,,661388,,,-7.615407374068511,-116.96424693149984,0.6400742887243582,-8.69323107052478,23.46957871139888,-32.425046799549115,3.32,1.52,14.0,101.8,-6.0,81.5,1882,7.2,718046,571948,661388,642133,668930,680911,642715,592885,686894,605119,53.32,0.263,0.261,0.9,1.0,1.0,0.0,2.0,61,7,Curveball,4,0,0,4,0,4,0,4,Standard,Standard,302,-0.002,0.149,josé abreu,
CU,2023-05-24,80.0,-2.91,5.57,"Abreu, José",547989,669060,field_out,hit_into_play,,,,,14,Jose Abreu lines out to center fielder Joey Wiemer.,R,R,R,MIL,HOU,X,8.0,line_drive,2,2,2023,1.52,-0.6,0.88,1.4,,,,0,7,Top,157.13,97.34,,,661388,,,5.544244600325102,-116.36986380274509,-1.3049393026355005,12.632746084542894,23.69460661402416,-37.53889649496276,3.32,1.52,265.0,78.6,30.0,80.5,2558,6.8,718046,669060,661388,642133,668930,680911,642715,592885,686894,605119,53.66,0.12,0.12,0.0,1.0,0.0,0.0,3.0,44,6,Curveball,2,0,0,2,0,2,0,2,Standard,Standard,46,0.033,-0.205,josé abreu,
ST,2023-05-23,81.3,-2.18,5.59,"Abreu, José",547989,607067,single,hit_into_play,,,,,12,Jose Abreu singles on a ground ball to center fielder Joey Wiemer.,R,R,R,MIL,HOU,X,8.0,ground_ball,1,2,2023,1.34,0.14,0.84,3.07,,,,1,4,Top,122.84,96.98,,,605170,,,4.217397978378078,-118.44822590843266,0.7011581931805508,11.838305428553747,22.716538586834847,-31.253177844109278,3.32,1.52,45.0,104.4,-1.0,81.6,2209,6.4,718056,607067,605170,642133,668930,680911,642715,592885,686894,605119,54.1,0.431,0.389,0.9,1.0,1.0,0.0,4.0,27,4,Sweeper,1,0,0,1,0,1,0,1,Standard,Standard,58,-0.032,0.322,josé abreu,
SI,2023-05-23,91.2,-2.02,5.56,"Abreu, José",547989,607067,field_out,hit_into_play,,,,,2,"Jose Abreu grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,R,MIL,HOU,X,6.0,ground_ball,0,1,2023,-1.23,0.88,-0.15,2.77,,,,0,2,Top,104.56,153.95,,,605170,,,7.406074643927562,-132.56970842121444,-3.012357402949551,-16.137406826257635,29.46751436734152,-21.30180776469233,3.32,1.52,19.0,104.1,-8.0,91.9,2105,6.9,718056,607067,605170,642133,668930,680911,642715,592885,686894,605119,53.65,0.306,0.275,0.0,1.0,0.0,0.0,2.0,9,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,212,0.023,-0.198,josé abreu,
FF,2023-05-23,96.9,-2.46,5.89,"Abreu, José",547989,606303,strikeout,swinging_strike,,,,,11,Jose Abreu strikes out swinging.,R,R,R,MIL,HOU,S,2.0,,3,2,2023,-0.92,1.15,-0.94,3.36,,670541.0,663656.0,1,6,Top,,,,,605170,,,6.140993889757109,-140.96673685484052,-3.8029277022297503,-13.71109645676002,32.94324254733513,-16.155068275152093,3.32,1.52,,,,96.3,2420,6.0,718056,606303,605170,642133,668930,680911,642715,592885,686894,605119,54.47,,,0.0,1.0,0.0,0.0,,43,6,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,214,0.064,-0.463,josé abreu,
SI,2023-05-23,93.5,-3.26,5.57,"Abreu, José",547989,669060,field_out,hit_into_play,,,,,4,"Jose Abreu grounds out, pitcher Bryse Wilson to first baseman Owen Miller.",R,R,R,MIL,HOU,X,1.0,ground_ball,2,1,2023,-1.18,0.9,-0.72,2.52,,,,0,9,Top,126.9,183.45,,,605170,,,9.156420212024155,-135.87501695929797,-4.110317228442304,-16.62944403861254,28.88092933933793,-20.26191498575724,3.32,1.52,18.0,96.3,-7.0,93.7,2272,6.4,718056,669060,605170,680911,668930,605119,642715,592885,686894,621438,54.06,0.206,0.185,0.0,1.0,0.0,0.0,2.0,67,4,Sinker,6,0,0,6,0,6,0,6,Standard,Standard,218,0.001,-0.278,josé abreu,
CU,2023-05-22,78.6,-0.6,5.88,"Abreu, José",547989,669203,single,hit_into_play,,,,,13,Jose Abreu singles on a line drive to center fielder Tyrone Taylor.,R,R,R,MIL,HOU,X,8.0,line_drive,0,2,2023,0.79,-1.13,-0.1,1.03,,,,2,5,Top,117.08,104.34,,,661388,,,-0.3961609001015787,-114.41829483010574,-1.530906212625204,6.96598967438048,22.71886878339211,-41.96185937033295,3.29,1.52,156.0,72.0,16.0,78.9,2672,6.7,718068,669203,661388,642133,668930,680911,642715,592885,621438,605119,53.83,0.626,0.571,0.9,1.0,1.0,0.0,4.0,39,3,Curveball,1,5,5,1,5,1,5,1,Standard,Standard,49,-0.004,0.182,josé abreu,
FC,2023-05-22,93.1,-0.76,5.79,"Abreu, José",547989,669203,single,hit_into_play,,,,,6,Jose Abreu singles on a line drive to right fielder Brian Anderson.,R,R,R,MIL,HOU,X,9.0,line_drive,1,0,2023,0.44,1.0,0.69,2.35,,,,0,4,Top,167.76,101.46,,,661388,,,2.765362018432842,-135.631796303892,-5.36361685038888,4.923087163963503,26.23643223424543,-18.8262744734451,3.29,1.52,228.0,81.3,18.0,94.3,2604,6.7,718068,669203,661388,642133,668930,680911,642715,592885,621438,605119,53.82,0.971,0.918,0.9,1.0,1.0,0.0,4.0,26,2,Cutter,1,2,2,1,2,1,2,1,Standard,Standard,189,-0.035,0.354,josé abreu,
