pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-25,96.7,-2.56,6.0,"Acton, Garrett",663728,670183,field_out,hit_into_play,,,,,4,Cal Raleigh flies out to left fielder JJ Bleday.,R,L,R,SEA,OAK,X,7.0,fly_ball,1,1,2023,-0.69,1.49,-0.52,2.18,677594.0,672284.0,553993.0,2,8,Bot,60.26,104.94,,,669127,,,6.967843445635543,-140.52849938114096,-7.974176157914242,-10.643112380801156,31.14664263534837,-10.809673923238604,3.43,1.57,291.0,93.3,46.0,96.1,2456,6.0,718025,670183,669127,676116,643393,607054,669397,668709,665923,664913,54.51,0.001,0.0,0.0,1.0,0.0,0.0,3.0,60,3,4-Seam Fastball,3,2,3,2,2,3,3,2,Strategic,Standard,208,-0.039,-0.746
SL,2023-05-25,85.8,-2.58,5.87,"Acton, Garrett",663728,670183,,ball,,,,,11,Cal Raleigh flies out to left fielder JJ Bleday.,R,L,R,SEA,OAK,B,,,0,1,2023,0.24,0.27,-1.47,3.03,677594.0,672284.0,553993.0,2,8,Bot,,,,,669127,,,2.135882746987473,-124.96547453135028,-1.0221857087907993,2.10642390291561,24.20200033818625,-29.327047465468176,3.5,1.67,,,,85.5,2458,6.0,718025,670183,669127,676116,643393,607054,669397,668709,665923,664913,54.55,,,,,,,,60,2,Slider,3,2,3,2,2,3,3,2,Standard,Standard,135,0.0,0.049
SL,2023-05-25,86.2,-2.75,5.87,"Acton, Garrett",663728,670183,,foul,,,,,4,Cal Raleigh flies out to left fielder JJ Bleday.,R,L,R,SEA,OAK,S,,,0,0,2023,0.33,0.14,-0.61,2.2,677594.0,672284.0,553993.0,2,8,Bot,,,,,669127,,,4.399583676747502,-125.51812302539324,-2.806989893408249,2.640031971614977,23.714537527500056,-30.347792531249304,3.43,1.57,170.0,68.5,57.0,86.0,2459,6.0,718025,670183,669127,676116,643393,607054,669397,668709,665923,664913,54.5,,,,,,,,60,1,Slider,3,2,3,2,2,3,3,2,Standard,Standard,128,0.0,-0.126
FF,2023-05-25,96.5,-2.36,6.04,"Acton, Garrett",553993,670183,walk,ball,,,,,12,Eugenio Suarez walks.   Ty France scores.    Julio Rodriguez to 3rd.    Jarred Kelenic to 2nd.,R,R,R,SEA,OAK,B,,,3,1,2023,-0.61,1.62,0.46,3.61,664034.0,677594.0,672284.0,2,8,Bot,,,,,669127,,,8.818531190463888,-140.19685905014754,-4.541300315410583,-10.034899932202654,31.660897806088645,-9.9108189583616,3.41,1.62,,,,95.8,2541,6.0,718025,670183,669127,676116,643393,607054,669397,668709,665923,664913,54.55,,,0.7,1.0,0.0,0.0,,59,5,4-Seam Fastball,2,2,2,2,2,3,3,2,Standard,Standard,195,0.247,0.657
FF,2023-05-25,96.3,-2.44,6.04,"Acton, Garrett",553993,670183,,called_strike,,,,,5,Eugenio Suarez walks.   Ty France scores.    Julio Rodriguez to 3rd.    Jarred Kelenic to 2nd.,R,R,R,SEA,OAK,S,,,3,0,2023,-0.66,1.69,0.0,2.77,664034.0,677594.0,672284.0,2,8,Bot,,,,,669127,,,7.931966618344075,-139.96585766416047,-6.903132438860838,-10.462171925999936,30.85857065774425,-8.610531928913902,3.36,1.56,,,,95.8,2500,6.0,718025,670183,669127,676116,643393,607054,669397,668709,665923,664913,54.48,,,,,,,,59,4,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,204,0.0,-0.299
FF,2023-05-25,96.6,-2.45,6.1,"Acton, Garrett",553993,670183,,ball,,,,,11,Eugenio Suarez walks.   Ty France scores.    Julio Rodriguez to 3rd.    Jarred Kelenic to 2nd.,R,R,R,SEA,OAK,B,,,2,0,2023,-0.56,1.61,-0.03,3.61,664034.0,677594.0,672284.0,2,8,Bot,,,,,669127,,,7.674649936880345,-140.4819974299161,-4.711800137121355,-9.18342827234332,31.402440447333763,-10.00517973172209,3.43,1.62,,,,96.0,2477,5.9,718025,670183,669127,676116,643393,607054,669397,668709,665923,664913,54.57,,,,,,,,59,3,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,203,0.0,0.439
FF,2023-05-25,97.5,-2.32,5.98,"Acton, Garrett",553993,670183,,blocked_ball,,,,,14,Eugenio Suarez walks.   Ty France scores.    Julio Rodriguez to 3rd.    Jarred Kelenic to 2nd.,R,R,R,SEA,OAK,B,,,1,0,2023,-0.77,1.65,0.97,0.44,664034.0,677594.0,672284.0,2,8,Bot,,,,,669127,,,10.525902249343764,-141.08114145004924,-13.039107275469805,-12.629950395827912,31.992527442073705,-7.227564091426471,3.45,1.62,,,,96.6,2493,6.1,718025,670183,669127,676116,643393,607054,669397,668709,665923,664913,54.41,,,,,,,,59,2,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,207,0.0,0.157
SL,2023-05-25,85.7,-2.63,5.89,"Acton, Garrett",553993,670183,,ball,,,,,14,Eugenio Suarez walks.   Ty France scores.    Julio Rodriguez to 3rd.    Jarred Kelenic to 2nd.,R,R,R,SEA,OAK,B,,,0,0,2023,0.39,0.25,0.49,1.06,664034.0,677594.0,672284.0,2,8,Bot,,,,,669127,,,6.558126113635112,-124.65340904727094,-5.658909953647704,2.8298010480106197,24.10716609885252,-28.624122372598748,3.48,1.62,,,,85.3,2385,6.0,718025,670183,669127,676116,643393,607054,669397,668709,665923,664913,54.52,,,,,,,,59,1,Slider,2,2,2,2,2,2,2,2,Standard,Standard,107,0.0,0.039
FF,2023-05-25,95.5,-2.4,6.14,"Acton, Garrett",677594,670183,double,hit_into_play,,,,,2,Julio Rodriguez doubles (11) on a sharp line drive to center fielder Esteury Ruiz.   Ty France to 3rd.,R,R,R,SEA,OAK,X,8.0,line_drive,0,0,2023,-0.49,1.51,0.06,3.28,,,664034.0,2,8,Bot,166.63,81.91,,,669127,,,7.493829550719073,-138.90730210776715,-5.295180261375462,-7.907744600737963,29.50585545178745,-11.593286188543985,3.23,1.48,270.0,100.6,14.0,95.0,2346,5.9,718025,670183,669127,676116,643393,607054,669397,668709,665923,664913,54.62,0.786,0.8,1.25,1.0,1.0,1.0,4.0,57,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,203,0.061,0.754
SL,2023-05-21,87.5,-2.56,6.07,"Acton, Garrett",676694,670183,field_out,hit_into_play,,,,,1,"Jake Meyers grounds out, third baseman Aledmys Diaz to first baseman Jesus Aguilar.",R,R,R,HOU,OAK,X,5.0,ground_ball,0,0,2023,0.1,0.27,-0.6,3.14,,,,2,8,Bot,109.05,176.01,,,542208,,,4.477626486904079,-127.34668408382532,-1.4324050159319186,0.0844424099369777,28.430920843616576,-29.124120637848858,3.29,1.53,108.0,96.9,6.0,86.3,2378,5.7,718086,670183,542208,542583,672478,649557,669397,667670,665923,657656,54.8,0.583,0.578,0.0,1.0,0.0,0.0,4.0,60,1,Slider,2,0,2,0,0,2,2,0,Standard,Standard,154,-0.003,-0.103
