pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
CH,2023-05-01,89.4,-2.09,5.62,"Adrianza, Ehire",501303,656731,force_out,hit_into_play,,,,,13,"Ehire Adrianza grounds into a force out, fielded by shortstop Francisco Lindor.   Eddie Rosario out at 2nd.",R,L,R,NYM,ATL,X,6.0,ground_ball,1,2,2023,-1.41,0.17,-1.52,1.3,,669221.0,592696.0,2,5,Top,126.0,204.5,,,682626,,,4.469960802716719,-130.01842848004856,-5.041896461830209,-16.875549729510514,29.35447261198123,-29.315723660934456,3.2,1.55,5.0,53.5,-12.0,91.1,1726,7.5,718361,656731,682626,624413,643446,683146,596019,592192,607043,516782,53.0,0.083,0.075,0.0,1.0,0.0,0.0,1.0,33,5,Changeup,1,0,0,1,0,1,0,1,Strategic,Standard,230,0.062,-0.307,ehire adrianza,
FF,2023-05-01,95.5,-1.98,5.91,"Adrianza, Ehire",501303,656731,field_out,hit_into_play,,,,,13,"Ehire Adrianza grounds out, third baseman Brett Baty to first baseman Pete Alonso.",R,L,R,NYM,ATL,X,5.0,ground_ball,2,2,2023,-0.98,1.17,-0.99,1.73,,,,1,3,Top,112.92,162.18,,,682626,,,4.943141773269583,-138.8254579205562,-8.160375151471255,-13.843146722066372,32.7291249463015,-15.363277357039294,3.2,1.55,14.0,75.1,-5.0,97.3,2176,7.5,718361,656731,682626,624413,643446,683146,596019,592192,607043,516782,53.02,0.103,0.093,0.0,1.0,0.0,0.0,2.0,16,5,4-Seam Fastball,1,0,0,1,0,1,0,1,Strategic,Standard,215,0.018,-0.153,ehire adrianza,
SI,2023-04-27,94.1,-3.29,6.25,"Adrianza, Ehire",501303,571670,strikeout,called_strike,,,,,5,Ehire Adrianza called out on strikes.,R,L,R,ATL,MIA,S,2.0,,2,2,2023,-1.56,0.54,0.23,2.29,,,,2,9,Bot,,,,,663743,,,12.603061316101003,-136.4904399884856,-5.766866827291894,-22.242511252624315,28.559850258758367,-24.26266936841439,3.2,1.55,,,,94.4,2128,6.5,718410,571670,663743,493329,650333,516416,542932,650559,665862,624585,53.98,,,0.0,1.0,0.0,0.0,,75,5,Sinker,4,5,4,5,5,4,4,5,Strategic,Standard,226,-0.044,-0.09,ehire adrianza,
FF,2023-04-24,95.7,-1.93,6.31,"Adrianza, Ehire",501303,665795,field_out,hit_into_play,,,,,6,"Ehire Adrianza grounds out sharply, second baseman Jon Berti to first baseman Garrett Cooper.",R,L,R,ATL,MIA,X,4.0,ground_ball,0,0,2023,-0.53,1.41,0.36,2.33,,,,1,4,Bot,145.76,146.75,,,607732,,,7.283764819450064,-139.03081494163408,-8.143602068043515,-8.39276519592647,28.985193482987228,-12.24744461653082,3.19,1.54,145.0,101.2,10.0,96.6,2348,6.8,718443,665795,607732,643265,542932,516416,641658,650559,665862,541645,53.74,0.749,0.706,0.0,1.0,0.0,0.0,4.0,30,1,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,215,-0.007,-0.172,ehire adrianza,
CH,2023-04-24,94.0,-1.85,6.35,"Adrianza, Ehire",501303,665795,walk,blocked_ball,,,,,14,Ehire Adrianza walks.,R,L,R,ATL,MIA,B,,,3,2,2023,-1.36,0.68,0.45,-0.17,645277.0,656541.0,,2,2,Bot,,,,,607732,,,9.03353887839654,-136.13255105673068,-12.765048671313412,-18.846105083217463,27.10225914362513,-21.18831403771142,3.21,1.63,,,,94.9,1697,6.9,718443,665795,607732,643265,542932,516416,641658,650559,665862,541645,53.63,,,0.7,1.0,0.0,0.0,,15,8,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,224,0.015,0.351,ehire adrianza,
FC,2023-04-24,82.8,1.86,5.66,"Adrianza, Ehire",501303,543594,field_out,hit_into_play,,,,,5,Ehire Adrianza flies out to right fielder Avisail Garcia.,R,R,L,ATL,MIA,X,9.0,fly_ball,2,2,2023,-0.38,0.35,0.15,2.34,645277.0,,,2,7,Bot,203.08,115.52,,,607732,,,-3.160128109788511,-120.59734096823628,-1.766311198656922,-3.0941512758539056,24.212999725529198,-28.58445930874783,3.19,1.54,281.0,87.2,35.0,82.8,2138,6.3,718443,543594,607732,643265,542932,516416,641658,650559,665862,541645,54.19,0.017,0.019,0.0,1.0,0.0,0.0,3.0,58,5,Cutter,8,0,8,0,0,8,8,0,Standard,Standard,227,-0.001,-0.347,ehire adrianza,
FF,2023-04-24,91.4,1.08,5.88,"Adrianza, Ehire",501303,543594,strikeout,swinging_strike,,,,,3,Ehire Adrianza strikes out swinging.,R,R,L,ATL,MIA,S,2.0,,3,2,2023,0.56,1.46,0.47,2.76,,,,0,6,Bot,,,,,607732,,,-2.738329579261049,-132.9919013535629,-5.152661104281215,7.219887326291492,28.614654819459528,-13.963083001390457,3.19,1.54,,,,91.6,2079,6.5,718443,543594,607732,643265,542932,516416,641658,650559,665862,541645,54.05,,,0.0,1.0,0.0,0.0,,45,7,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Strategic,152,-0.001,-0.315,ehire adrianza,
FF,2023-04-12,99.6,-2.08,6.2,"Adrianza, Ehire",501303,668881,strikeout,called_strike,,,,,8,Ehire Adrianza called out on strikes.,R,L,R,ATL,CIN,S,2.0,,1,2,2023,-0.98,1.19,0.12,1.99,,,,1,6,Bot,,,,,571912,,,8.39978944823675,-144.6183128372002,-9.004457654224497,-15.7519065092569,32.87580078141282,-13.47123711500486,3.21,1.56,,,,100.3,2375,6.7,718601,668881,571912,571976,663697,613564,676480,666181,670770,641584,53.78,,,0.0,1.0,0.0,0.0,,49,4,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,223,-0.024,-0.122,ehire adrianza,
FF,2023-04-12,98.9,-2.71,5.95,"Adrianza, Ehire",501303,668881,strikeout,swinging_strike,,,,,11,Ehire Adrianza strikes out swinging.,R,L,R,ATL,CIN,S,2.0,,1,2,2023,-0.82,1.15,-0.74,3.65,669221.0,,,2,3,Bot,,,,,571912,,,7.239653303826309,-143.8660391787225,-3.527858613580122,-12.978991839264603,31.36311602108661,-15.560375776547463,3.21,1.55,,,,98.9,2226,6.2,718601,668881,571912,571976,663697,613564,676480,666181,670770,641584,54.31,,,0.0,1.0,0.0,0.0,,31,4,4-Seam Fastball,3,3,3,3,3,3,3,3,,,233,-0.043,-0.287,ehire adrianza,
CH,2023-04-12,86.7,-1.33,5.93,"Adrianza, Ehire",501303,571656,field_out,hit_into_play,,,,,7,"Ehire Adrianza grounds out sharply, second baseman Jonathan India to first baseman Wil Myers.",R,L,R,ATL,CIN,X,4.0,ground_ball,2,2,2023,-1.16,-0.14,-0.78,1.66,,,,1,8,Bot,148.84,153.49,,,571912,,,3.667202066735731,-126.16476717915845,-3.620964117986187,-13.133972163337392,29.165506648874167,-33.07782948632994,3.21,1.55,4.0,100.8,-20.0,85.9,1921,6.1,718601,571656,571912,571976,663697,613564,676480,656413,670770,641584,54.39,0.149,0.134,0.0,1.0,0.0,0.0,2.0,68,5,Changeup,5,4,5,4,4,5,5,4,Standard,Standard,251,-0.009,-0.153,ehire adrianza,
