pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
CH,2023-05-23,79.5,2.27,5.26,"Aguilar, Jesús",542583,594835,field_out,hit_into_play,,,,,7,"Jesus Aguilar grounds out softly, pitcher Marco Gonzales to first baseman Ty France.",R,R,L,SEA,OAK,X,1.0,ground_ball,2,0,2023,1.56,0.62,-0.37,2.05,,,,0,4,Top,117.58,187.31,,,608596,,,-8.701634167916861,-115.50416187422287,-1.426085800797797,15.567506949874684,21.477933149048404,-26.52041908981228,3.51,1.72,1.0,53.9,-69.0,79.6,2100.0,6.4,718050,594835,608596,664034,543939,553993,641487,672284,677594,606192,54.05,0.206,0.185,0.0,1.0,0.0,0.0,1.0,25,3,Changeup,0,2,2,0,2,0,2,0,Strategic,Standard,108.0,0.017,-0.34,jesús aguilar,
CU,2023-05-23,80.2,2.17,5.34,"Aguilar, Jesús",542583,594835,field_out,hit_into_play,,,,,4,"Jesus Aguilar grounds out, third baseman Eugenio Suarez to first baseman Ty France.   Ramon Laureano to 3rd.",R,R,L,SEA,OAK,X,5.0,ground_ball,3,2,2023,-0.16,-0.86,-0.7,2.41,,657656.0,,1,1,Top,96.25,171.35,,,608596,,,-6.030456381702344,-116.69733999629824,1.79092807702572,-0.4619034001932417,20.048946980228173,-40.63273658950531,3.51,1.72,4.0,73.3,-29.0,80.3,2242.0,6.2,718050,594835,608596,664034,543939,553993,641487,672284,677594,606192,54.31,0.054,0.049,0.0,1.0,0.0,0.0,2.0,4,7,Curveball,0,1,1,0,1,0,1,0,Strategic,Standard,331.0,0.027,-0.338,jesús aguilar,
SI,2023-05-21,96.0,0.53,6.27,"Aguilar, Jesús",542583,664285,field_out,hit_into_play,,,,,5,Jesus Aguilar flies out to right fielder Kyle Tucker.,R,R,L,HOU,OAK,X,9.0,fly_ball,0,0,2023,1.18,1.02,0.18,2.34,,,,1,7,Top,181.79,103.63,,,455117,,,-3.5800613809411894,-139.50147708993316,-6.97510992695193,16.21436875588459,35.10162038915436,-17.485669194343377,3.51,1.72,275.0,90.3,41.0,94.6,2336.0,5.8,718086,664285,455117,547989,514888,608324,665161,676801,676694,663656,54.67,0.006,0.006,0.0,1.0,0.0,0.0,3.0,48,1,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,144.0,0.023,-0.172,jesús aguilar,
CU,2023-05-21,80.7,0.72,6.26,"Aguilar, Jesús",542583,664285,strikeout,swinging_strike,,,,,13,Jesus Aguilar strikes out swinging.,R,R,L,HOU,OAK,S,2.0,,0,2,2023,-0.46,-1.2,-1.17,1.23,,,,2,4,Top,,,,,455117,,,-3.303146587455484,-117.4842290185221,-2.1506255649539403,-3.5078168779095207,25.34302084242713,-42.91514703246424,3.51,1.72,,,,79.7,2977.0,5.9,718086,664285,455117,547989,514888,608324,665161,676801,676694,663656,54.6,,,0.0,1.0,0.0,0.0,,24,3,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,329.0,0.013,-0.057,jesús aguilar,
SI,2023-05-21,95.5,0.55,6.36,"Aguilar, Jesús",542583,664285,single,hit_into_play,,,,,8,Jesus Aguilar singles on a ground ball to first baseman Jose Abreu.,R,R,L,HOU,OAK,X,3.0,ground_ball,0,0,2023,1.42,0.74,-0.06,2.08,,,,0,2,Top,147.26,157.82,,,455117,,,-4.761361798786325,-138.70432715355753,-7.179283815892761,19.29220212191151,35.43779306060551,-21.069510242796795,3.51,1.72,4.0,83.4,-26.0,94.3,2188.0,6.0,718086,664285,455117,547989,514888,608324,665161,676801,676694,663656,54.49,0.077,0.084,0.9,1.0,1.0,0.0,2.0,7,1,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,141.0,-0.038,0.394,jesús aguilar,
FF,2023-05-16,91.7,1.82,5.74,"Aguilar, Jesús",542583,674072,strikeout,called_strike,,,,,9,Jesus Aguilar called out on strikes.,R,R,L,OAK,AZ,S,2.0,,3,2,2023,0.72,1.13,0.28,1.83,,,,1,4,Bot,,,,,672515,,,-5.485627241644218,-133.43645846201767,-6.509746029945348,9.791367356763605,28.146143103545757,-17.47981056030246,3.54,1.75,,,,92.4,2057.0,6.6,718146,674072,672515,572233,606466,446334,605113,666971,666150,682998,53.86,,,0.0,1.0,0.0,0.0,,31,7,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,144.0,-0.019,-0.211,jesús aguilar,
CU,2023-05-16,78.6,1.76,5.81,"Aguilar, Jesús",542583,674072,strikeout,foul_tip,,,,,8,Jesus Aguilar strikes out on a foul tip.,R,R,L,OAK,AZ,S,2.0,,1,2,2023,-1.22,-0.52,-0.03,1.88,,,,0,2,Bot,,,,,672515,,,-1.6163671004291886,-114.50231783585453,-0.7384038906486529,-10.440304978173518,21.1630952938314,-36.85926521126242,3.52,1.73,,,,79.1,2303.0,6.6,718146,674072,672515,572233,606466,446334,605113,666971,666150,682998,53.93,,,0.0,1.0,0.0,0.0,,14,4,Curveball,1,2,1,2,2,1,1,2,Standard,Standard,315.0,-0.025,-0.175,jesús aguilar,
CH,2023-05-14,84.0,2.63,5.25,"Aguilar, Jesús",542583,571760,field_out,hit_into_play,,,,,6,"Jesus Aguilar grounds out, third baseman Josh Jung to first baseman Nathaniel Lowe.",R,R,L,OAK,TEX,X,5.0,ground_ball,2,1,2023,1.4,0.58,0.76,2.66,,,,2,6,Bot,96.03,167.47,,,641680,,,-7.070127281142166,-121.96294295908616,-0.5510261564889236,15.407272044419411,30.12337534519829,-26.657876297210613,3.5,1.73,7.0,73.3,-21.0,82.8,2074.0,6.2,718172,571760,641680,663993,543760,673962,677649,543257,665750,666969,54.31,0.054,0.049,0.0,1.0,0.0,0.0,2.0,50,4,Changeup,1,3,1,3,3,1,1,3,Standard,Standard,114.0,-0.014,-0.12,jesús aguilar,
CH,2023-05-14,83.3,2.57,5.24,"Aguilar, Jesús",542583,571760,field_out,hit_into_play,,,,,13,"Jesus Aguilar grounds out, third baseman Josh Jung to first baseman Nathaniel Lowe.",R,R,L,OAK,TEX,X,5.0,ground_ball,1,0,2023,1.36,0.61,-0.64,1.28,,,,1,4,Bot,103.13,164.42,,,641680,,,-9.993436433940666,-120.8125129613728,-3.720389009847604,15.353765118372616,26.28468206551033,-25.602394456686262,3.5,1.73,2.0,60.7,-43.0,82.6,2064.0,6.3,718172,571760,641680,663993,543760,673962,677649,543257,665750,666969,54.2,0.137,0.123,0.0,1.0,0.0,0.0,2.0,32,2,Changeup,1,3,1,3,3,1,1,3,Standard,Standard,117.0,-0.019,-0.2,jesús aguilar,
FF,2023-05-14,92.8,2.82,5.07,"Aguilar, Jesús",542583,571760,strikeout,called_strike,,,,,9,Jesus Aguilar called out on strikes.,R,R,L,OAK,TEX,S,2.0,,3,2,2023,1.29,1.16,0.37,1.95,,,,0,2,Bot,,,,,641680,,,-9.124939220512193,-134.7342591817895,-4.71378238047128,17.76222062353011,29.40456873569912,-17.194291428257966,3.5,1.72,,,,92.9,2498.0,6.5,718172,571760,641680,663993,543760,673962,677649,543257,665750,666969,54.04,,,0.0,1.0,0.0,0.0,,13,6,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,126.0,-0.024,-0.315,jesús aguilar,
