pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-08,86.0,2.42,5.91,"Akin, Keegan",650490,669211,field_out,hit_into_play,,,,,6,"Yandy Diaz grounds out, shortstop Jorge Mateo to first baseman Ryan Mountcastle.",R,R,L,BAL,TB,X,6.0,ground_ball,1,1,2023,-0.53,0.22,0.36,2.26,,,,2,9,Top,101.05,135.83,,,543510,,,-3.776640209066816,-125.07119902488708,-2.7475571131266743,-4.601424998126708,28.64217115009861,-29.461232464388416,3.41,1.62,6.0,95.2,-20.0,84.6,2132,5.7,718259,669211,543510,663624,624428,602104,622761,669720,663630,623993,54.8,0.103,0.093,0.0,1.0,0.0,0.0,2.0,69,3,Slider,0,3,3,0,3,0,3,0,Standard,Standard,223,0.001,-0.097
CH,2023-05-08,85.4,2.25,5.9,"Akin, Keegan",650490,669211,,foul,,,,,14,"Yandy Diaz grounds out, shortstop Jorge Mateo to first baseman Ryan Mountcastle.",R,R,L,BAL,TB,S,,,1,0,2023,1.33,0.47,1.01,2.19,,,,2,9,Top,,,,,543510,,,-5.553330868653124,-124.13716538157414,-3.3066152855512034,14.91789847661121,26.370144078115068,-26.89267909519509,3.41,1.62,1.0,78.5,-64.0,84.6,1811,5.9,718259,669211,543510,663624,624428,602104,622761,669720,663630,623993,54.56,,,,,,,,69,2,Changeup,0,3,3,0,3,0,3,0,Standard,Standard,111,0.0,-0.027
FF,2023-05-08,95.1,2.43,6.05,"Akin, Keegan",650490,669211,,ball,,,,,12,"Yandy Diaz grounds out, shortstop Jorge Mateo to first baseman Ryan Mountcastle.",R,R,L,BAL,TB,B,,,0,0,2023,0.84,1.47,0.68,4.11,,,,2,9,Top,,,,,543510,,,-6.402766976376935,-138.41085002017255,-2.6943726898344864,12.241930193448676,31.977568481003928,-12.861321577941158,3.44,1.6,,,,93.9,2203,5.6,718259,669211,543510,663624,624428,602104,622761,669720,663630,623993,54.86,,,,,,,,69,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,139,0.0,0.021
FF,2023-05-08,95.0,2.37,5.99,"Akin, Keegan",642336,669211,field_out,hit_into_play,,,,,4,Francisco Mejia flies out to right fielder Anthony Santander.,R,R,L,BAL,TB,X,9.0,fly_ball,0,1,2023,0.8,1.46,-0.44,2.42,,,,1,9,Top,183.77,106.76,,,543510,,,-9.044555541919433,-137.91173303590045,-6.84218836334053,12.219734878440203,31.82003341534448,-12.163218463935037,3.21,1.46,271.0,82.7,41.0,93.9,2344,5.8,718259,669211,543510,663624,624428,602104,622761,669720,663630,623993,54.65,0.009,0.008,0.0,1.0,0.0,0.0,3.0,68,2,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,142,0.003,-0.144
SL,2023-05-08,85.7,2.49,5.81,"Akin, Keegan",642336,669211,,swinging_strike,,,,,4,Francisco Mejia flies out to right fielder Anthony Santander.,R,R,L,BAL,TB,S,,,0,0,2023,-0.44,0.05,-0.61,2.04,,,,1,9,Top,,,,,543510,,,-6.399800362063504,-124.6329969913823,-2.720902583642335,-3.2375891621699613,25.355154320592757,-31.29857112505753,3.21,1.46,,,,85.0,2154,5.9,718259,669211,543510,663624,624428,602104,622761,669720,663630,623993,54.58,,,,,,,,68,1,Slider,0,3,3,0,3,0,3,0,Standard,Standard,249,0.0,-0.028
SL,2023-05-08,86.1,2.5,5.89,"Akin, Keegan",670042,669211,home_run,hit_into_play,,,,,5,Luke Raley homers (8) on a fly ball to right center field.,R,L,L,BAL,TB,X,,fly_ball,1,2,2023,-0.28,0.19,-0.11,2.65,,,,1,9,Top,202.47,56.26,,,543510,,,-5.5621377013937,-125.36242172317358,-1.8623632284115932,-1.8420854121615535,24.404983189770736,-29.99469012597408,3.38,1.55,399.0,104.2,29.0,85.4,2159,5.7,718259,669211,543510,663624,624428,602104,622761,669720,663630,623993,54.8,0.871,1.772,2.0,1.0,0.0,3.0,6.0,67,5,Slider,0,2,2,0,3,0,3,0,Standard,Standard,235,-0.044,1.051
FF,2023-05-08,94.4,2.15,6.02,"Akin, Keegan",670042,669211,,ball,,,,,13,Luke Raley homers (8) on a fly ball to right center field.,R,L,L,BAL,TB,B,,,0,2,2023,0.89,1.4,-1.23,1.52,,,,1,9,Top,,,,,543510,,,-10.625992741846549,-136.8565686373491,-8.989897255807934,13.635338284547013,31.869778211499124,-12.62712262519024,3.34,1.53,,,,93.1,2254,5.8,718259,669211,543510,663624,624428,602104,622761,669720,663630,623993,54.66,,,,,,,,67,4,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,136,0.0,0.014
FF,2023-05-08,95.2,2.1,6.12,"Akin, Keegan",670042,669211,,foul,,,,,3,Luke Raley homers (8) on a fly ball to right center field.,R,L,L,BAL,TB,S,,,0,2,2023,0.93,1.52,0.43,3.14,,,,1,9,Top,,,,,543510,,,-6.383767877484907,-138.44738531454286,-5.490156905843378,13.36212979175373,31.937140030680503,-11.655302400763537,3.38,1.55,245.0,75.5,33.0,93.9,2482,5.7,718259,669211,543510,663624,624428,602104,622761,669720,663630,623993,54.85,,,,,,,,67,3,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,143,0.0,0.0
SL,2023-05-08,85.7,2.34,5.86,"Akin, Keegan",670042,669211,,swinging_strike,,,,,13,Luke Raley homers (8) on a fly ball to right center field.,R,L,L,BAL,TB,S,,,0,1,2023,-0.52,-0.13,-0.35,1.07,,,,1,9,Top,,,,,543510,,,-5.230001456623256,-124.59959193687726,-4.702080738875498,-4.316435727070911,26.655408981869893,-32.710998873477536,3.38,1.55,,,,84.4,2211,5.6,718259,669211,543510,663624,624428,602104,622761,669720,663630,623993,54.88,,,,,,,,67,2,Slider,0,2,2,0,2,0,2,0,Standard,Standard,270,0.0,-0.037
FF,2023-05-08,94.6,2.27,6.07,"Akin, Keegan",670042,669211,,swinging_strike,,,,,5,Luke Raley homers (8) on a fly ball to right center field.,R,L,L,BAL,TB,S,,,0,0,2023,0.95,1.57,-0.07,2.4,,,,1,9,Top,,,,,543510,,,-8.136213019679337,-137.39921589880962,-7.326823471018882,13.78359019387132,30.62672811317424,-10.747346614177824,3.38,1.55,,,,93.6,2365,5.8,718259,669211,543510,663624,624428,602104,622761,669720,663630,623993,54.7,,,,,,,,67,1,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,144,0.0,-0.028
