pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-05-24,90.9,-2.0,6.1,"Alcantara, Sandy",641857,645261,field_out,hit_into_play,,,,,7,Ryan McMahon flies out to left fielder Bryan De La Cruz.,R,L,R,COL,MIA,X,7.0,fly_ball,1,1,2023,-0.9,0.18,-0.52,2.07,,,,2,6,Bot,57.19,69.82,,,607732,,,5.609962419092794,-132.35594503215182,-4.616072904615197,-11.775543250728251,25.70197160537201,-29.37350313940269,3.51,1.63,361.0,93.1,30.0,90.9,2070.0,6.0,718036,645261,607732,493329,650333,542932,621563,650559,641505,624585,54.47,0.131,0.196,0.0,1.0,0.0,0.0,3.0,53,3,Changeup,2,7,2,7,7,2,2,7,Strategic,Standard,238.0,-0.003,-0.097
SI,2023-05-24,96.8,-2.18,6.06,"Alcantara, Sandy",641857,645261,,ball,,,,,11,Ryan McMahon flies out to left fielder Bryan De La Cruz.,R,L,R,COL,MIA,B,,,0,1,2023,-1.22,0.42,-1.52,3.28,,,,2,6,Bot,,,,,607732,,,4.513849876895531,-141.02565823836412,-2.8521966809095147,-17.283111680908824,29.561357764217924,-26.13654741892,3.59,1.68,,,,96.5,2348.0,5.9,718036,645261,607732,493329,650333,542932,621563,650559,641505,624585,54.6,,,,,,,,53,2,Sinker,2,7,2,7,7,2,2,7,Standard,Standard,233.0,0.0,0.015
CH,2023-05-24,90.6,-2.06,6.14,"Alcantara, Sandy",641857,645261,,foul,,,,,7,Ryan McMahon flies out to left fielder Bryan De La Cruz.,R,L,R,COL,MIA,S,,,0,0,2023,-0.86,0.05,-0.3,1.61,,,,2,6,Bot,,,,,607732,,,6.20546250701658,-131.84568187264128,-5.523470811143345,-11.264441589884743,24.62104098150184,-30.734315354149835,3.51,1.63,1.0,64.2,-54.0,90.5,1909.0,6.0,718036,645261,607732,493329,650333,542932,621563,650559,641505,624585,54.52,,,,,,,,53,1,Changeup,2,7,2,7,7,2,2,7,Strategic,Standard,236.0,0.0,-0.021
SI,2023-05-24,97.7,-2.16,6.08,"Alcantara, Sandy",545341,645261,field_out,hit_into_play,,,,,4,"Randal Grichuk grounds out, shortstop Joey Wendle to first baseman Yuli Gurriel.",R,R,R,COL,MIA,X,6.0,ground_ball,1,0,2023,-1.19,0.58,-0.68,2.07,,,,1,6,Bot,102.25,146.53,,,607732,,,6.656250068625456,-142.12409249860073,-6.636185386589604,-17.6010460548592,28.792822293948348,-23.05596174920701,3.09,1.47,72.0,85.6,4.0,97.5,2474.0,5.9,718036,645261,607732,493329,650333,542932,621563,650559,641505,624585,54.58,0.357,0.338,0.0,1.0,0.0,0.0,4.0,52,2,Sinker,2,7,2,7,7,2,2,7,Standard,Standard,233.0,-0.007,-0.2
CH,2023-05-24,90.6,-2.24,6.06,"Alcantara, Sandy",545341,645261,,ball,,,,,11,"Randal Grichuk grounds out, shortstop Joey Wendle to first baseman Yuli Gurriel.",R,R,R,COL,MIA,B,,,0,0,2023,-1.16,0.3,-1.72,3.08,,,,1,6,Bot,,,,,607732,,,3.727553153709181,-132.0357864049008,-2.188857230258208,-14.336582948009324,25.741415423534107,-28.434301692589557,3.08,1.49,,,,90.4,2035.0,5.9,718036,645261,607732,493329,650333,542932,621563,650559,641505,624585,54.62,,,,,,,,52,1,Changeup,2,7,2,7,7,2,2,7,Standard,Standard,238.0,0.0,0.028
SI,2023-05-24,97.8,-2.12,6.11,"Alcantara, Sandy",519058,645261,field_out,hit_into_play,,,,,8,Mike Moustakas flies out to left fielder Bryan De La Cruz.,R,L,R,COL,MIA,X,7.0,fly_ball,0,1,2023,-1.3,0.59,0.01,1.7,,,,0,6,Bot,94.31,109.26,,,607732,,,8.678727886246742,-142.13318820594216,-7.761415768146015,-19.53018291145533,28.31729912690117,-22.705690407040656,3.39,1.63,238.0,80.8,52.0,97.7,2458.0,6.0,718036,645261,607732,493329,650333,542932,621563,650559,641505,624585,54.48,0.034,0.035,0.0,1.0,0.0,0.0,3.0,51,2,Sinker,2,7,2,7,7,2,2,7,Strategic,Standard,231.0,-0.012,-0.198
SI,2023-05-24,97.6,-2.13,6.07,"Alcantara, Sandy",519058,645261,,called_strike,,,,,4,Mike Moustakas flies out to left fielder Bryan De La Cruz.,R,L,R,COL,MIA,S,,,0,0,2023,-1.25,0.41,-0.71,2.47,,,,0,6,Bot,,,,,607732,,,6.638775770116791,-142.0284031416784,-5.157962228755194,-18.38520480558625,29.20173519429404,-25.685736378590946,3.42,1.68,,,,97.1,2421.0,5.8,718036,645261,607732,493329,650333,542932,621563,650559,641505,624585,54.71,,,,,,,,51,1,Sinker,2,7,2,7,7,2,2,7,Strategic,Standard,233.0,0.0,-0.037
SL,2023-05-24,85.7,-1.98,6.16,"Alcantara, Sandy",553869,645261,home_run,hit_into_play,,,,,8,Elias Diaz homers (5) on a fly ball to left center field.,R,R,R,COL,MIA,X,,fly_ball,1,1,2023,0.25,0.09,-0.01,1.77,,,,0,6,Bot,49.76,50.01,,,607732,,,4.12089340748473,-124.79070408659202,-4.330204378977738,1.9353526121804208,22.3537564269072,-30.641552100982423,3.12,1.42,393.0,99.1,25.0,85.5,2441.0,5.9,718036,645261,607732,493329,650333,542932,621563,650559,641505,624585,54.61,0.466,0.738,2.0,1.0,0.0,3.0,6.0,50,3,Slider,1,7,1,7,7,2,2,7,Standard,Standard,70.0,0.023,1.007
SI,2023-05-24,97.0,-2.13,6.05,"Alcantara, Sandy",553869,645261,,foul,,,,,2,Elias Diaz homers (5) on a fly ball to left center field.,R,R,R,COL,MIA,S,,,1,0,2023,-1.11,0.68,-0.26,3.01,,,,0,6,Bot,,,,,607732,,,7.440039752481576,-141.16082796441512,-4.189632691719778,-16.382724808078734,27.09786130208892,-22.37836371810801,3.12,1.42,197.0,70.6,39.0,96.9,2325.0,5.9,718036,645261,607732,493329,650333,542932,621563,650559,641505,624585,54.64,,,,,,,,50,2,Sinker,1,7,1,7,7,1,1,7,Standard,Standard,233.0,0.0,-0.046
SI,2023-05-24,96.5,-2.06,6.07,"Alcantara, Sandy",553869,645261,,ball,,,,,14,Elias Diaz homers (5) on a fly ball to left center field.,R,R,R,COL,MIA,B,,,0,0,2023,-1.1,0.62,1.04,0.8,,,,0,6,Bot,,,,,607732,,,10.675362307268252,-139.97937797564757,-9.890011391586002,-16.663990716023235,25.71022017570137,-22.071389451175413,3.11,1.47,,,,96.7,2287.0,6.2,718036,645261,607732,493329,650333,542932,621563,650559,641505,624585,54.35,,,,,,,,50,1,Sinker,1,7,1,7,7,1,1,7,Standard,Standard,232.0,0.0,0.039
