pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FF,2023-05-23,92.1,-2.0,5.56,"Altuve, Jose",514888,607067,field_out,hit_into_play,,,,,12,"Jose Altuve grounds out, second baseman Brice Turang to first baseman Rowdy Tellez.",R,R,R,MIL,HOU,X,4.0,ground_ball,2,2,2023,-0.33,1.09,0.47,3.04,,,,2,5,Top,122.84,146.32,,,605170,,,7.042812110899693,-134.0032733266787,-2.943923388668771,-5.53064444321929,28.518066781176827,-18.591819875984328,2.82,1.26,8.0,84.9,-20.0,92.7,2023,6.6,718056,607067,605170,642133,668930,680911,642715,592885,686894,605119,53.86,0.097,0.097,0.0,1.0,0.0,0.0,2.0,36,5,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,213,0.012,-0.09,jose altuve,
SI,2023-05-23,93.4,-2.03,5.47,"Altuve, Jose",514888,607067,single,hit_into_play,,,,,6,Jose Altuve singles on a ground ball to third baseman Owen Miller.,R,R,R,MIL,HOU,X,5.0,ground_ball,2,2,2023,-1.22,0.8,0.59,1.94,,,,2,3,Top,106.59,176.84,,,605170,,,9.493755525952237,-135.71531639278237,-5.177841991152159,-17.111404185344675,27.100888129321078,-21.291704243666143,2.82,1.26,1.0,70.6,-57.0,94.4,2202,6.8,718056,607067,605170,642133,668930,680911,642715,592885,686894,605119,53.73,0.263,0.237,0.9,1.0,1.0,0.0,2.0,18,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,217,-0.015,0.149,jose altuve,
FC,2023-05-23,84.4,-2.24,5.69,"Altuve, Jose",514888,607067,strikeout,swinging_strike,,,,,3,Jose Altuve strikes out swinging.,R,R,R,MIL,HOU,S,2.0,,0,2,2023,0.68,-0.18,0.41,2.55,,,,0,1,Top,,,,,605170,,,4.815222006824816,-122.80705166156446,-0.4979815284204359,5.772427313692984,26.96474773478741,-34.159178876268626,2.82,1.26,,,,84.3,2158,6.5,718056,607067,605170,642133,668930,680911,642715,592885,686894,605119,54.02,,,0.0,1.0,0.0,0.0,,1,3,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,56,0.022,-0.149,jose altuve,
FF,2023-05-21,90.8,-2.47,6.21,"Altuve, Jose",514888,621076,single,hit_into_play,,,,,3,"Jose Altuve singles on a ground ball to right fielder Ramon Laureano.   Jake Meyers scores.  Martin Maldonado out at 3rd on the throw, right fielder Ramon Laureano to third baseman Aledmys Diaz.   Jose Altuve to 2nd.",R,R,R,HOU,OAK,X,9.0,ground_ball,1,0,2023,-0.42,1.1,0.58,2.4,,676694.0,455117.0,1,5,Bot,175.15,85.05,,,542208,,,8.482796931017747,-131.86798564119422,-5.893120748219476,-6.7985657874840655,29.775596221143203,-18.19458766744877,2.82,1.26,122.0,104.3,6.0,90.2,1881,6.1,718086,621076,542208,542583,672478,649557,669397,667670,665923,657656,54.35,0.549,0.494,0.9,1.0,1.0,0.0,4.0,35,2,4-Seam Fastball,0,0,0,0,0,1,1,0,Standard,Standard,214,0.087,0.825,jose altuve,
FF,2023-05-21,91.1,-2.57,6.2,"Altuve, Jose",514888,621076,strikeout,called_strike,,,,,11,Jose Altuve called out on strikes.,R,R,R,HOU,OAK,S,2.0,,3,2,2023,-0.48,1.55,-0.94,2.85,,,,1,3,Bot,,,,,542208,,,5.095268666487048,-132.42085250789452,-5.749684960355193,-6.843987421088466,32.05173221118111,-12.997152312687668,2.9,1.26,,,,90.2,2042,6.1,718086,621076,542208,542583,672478,649557,669397,667670,665923,657656,54.4,,,0.0,1.0,0.0,0.0,,20,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,219,-0.017,-0.211,jose altuve,
SI,2023-05-21,96.6,-2.14,6.25,"Altuve, Jose",514888,668674,walk,ball,,,,,11,Jose Altuve walks.,R,R,R,HOU,OAK,B,,,3,1,2023,-1.41,0.77,-0.23,3.57,,455117.0,,0,7,Bot,,,,,542208,,,8.356525869977744,-140.4032037496734,-3.334927776551136,-20.528705585322204,33.43300944179882,-21.390900377966226,2.79,1.17,,,,97.1,1803,6.8,718086,668674,542208,542583,672478,649557,669397,667670,665923,657656,53.74,,,0.7,1.0,0.0,0.0,,51,5,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,222,0.007,0.163,jose altuve,
FF,2023-05-21,92.8,-2.67,6.19,"Altuve, Jose",514888,621076,walk,ball,,,,,13,Jose Altuve walks.,R,R,R,HOU,OAK,B,,,3,0,2023,-0.79,1.15,-0.99,1.86,,,,0,1,Bot,,,,,542208,,,6.00011013748515,-134.82493498243304,-7.741797584958176,-10.951803855659398,30.14432884314773,-16.59411169184551,2.82,1.26,,,,92.4,1892,6.2,718086,621076,542208,542583,672478,649557,669397,667670,665923,657656,54.29,,,0.7,1.0,0.0,0.0,,4,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,219,0.036,0.153,jose altuve,
ST,2023-05-20,81.3,1.59,4.74,"Altuve, Jose",514888,676664,strikeout,called_strike,,,,,6,Jose Altuve called out on strikes.,R,R,L,HOU,OAK,S,2.0,,1,2,2023,-1.08,0.54,0.64,2.2,,,,0,5,Bot,,,,,669127,,,-0.0656512025473643,-118.41847488782804,-0.1019225616939284,-10.07711316962552,24.019339758795965,-27.29814881619876,2.75,1.21,,,,81.7,2489,6.6,718098,676664,669127,676116,643393,607054,669397,668709,665923,657656,53.88,,,0.0,1.0,0.0,0.0,,37,5,Sweeper,2,1,2,1,1,2,2,1,Standard,Standard,276,-0.021,-0.175,jose altuve,
FF,2023-05-20,93.4,1.08,5.17,"Altuve, Jose",514888,676664,strikeout,called_strike,,,,,5,Jose Altuve called out on strikes.,R,R,L,HOU,OAK,S,2.0,,3,2,2023,0.88,1.37,-0.03,1.68,,,,1,2,Bot,,,,,669127,,,-4.8274254906946,-135.73016849432187,-6.213821571062876,11.953582720162194,32.54253819359094,-14.090803425247485,2.72,1.21,,,,93.5,2172,6.6,718098,676664,669127,676116,643393,607054,669397,668709,665923,657656,53.86,,,0.0,1.0,0.0,0.0,,17,6,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,135,-0.011,-0.211,jose altuve,
CH,2023-05-20,82.9,-2.49,5.53,"Altuve, Jose",514888,661309,walk,ball,,,,,7,Jose Altuve walks.   Martin Maldonado to 2nd.,R,R,R,HOU,OAK,B,,,3,2,2023,-0.79,-0.81,-0.54,1.3,,,455117.0,2,7,Bot,,,,,669127,,,5.979629971844354,-120.6181647217467,-1.5690762145231911,-8.886709321482549,24.501613472968657,-39.99828093438166,2.8,1.24,,,,82.6,2375,6.2,718098,661309,669127,676116,643393,607054,669397,668709,665923,657656,54.31,,,0.7,1.0,0.0,0.0,,54,7,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,306,0.034,0.208,jose altuve,
