pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FF,2023-05-09,93.5,-2.46,5.41,"Amaya, Miguel",665804,656427,single,hit_into_play,,,,,13,Miguel Amaya singles on a fly ball to right fielder Lars Nootbaar.,R,R,R,CHC,STL,X,9.0,fly_ball,2,2,2023,-0.42,1.07,-0.84,2.44,,,,0,5,Bot,149.49,106.94,,,668800,,,5.156212789511529,-136.162911804355,-4.341590843449493,-6.335317013845311,29.21520645996467,-18.126555968599437,3.37,1.53,203.0,68.0,25.0,94.6,2221,6.9,718240,656427,668800,502671,669357,571448,657557,680977,666185,663457,53.65,0.969,0.886,0.9,1.0,1.0,0.0,4.0,41,5,4-Seam Fastball,3,4,3,4,4,3,3,4,Standard,Standard,202,0.055,0.424,miguel amaya,
FF,2023-05-09,93.1,-2.54,5.37,"Amaya, Miguel",665804,656427,field_out,hit_into_play,,,,,8,"Miguel Amaya grounds out, third baseman Nolan Arenado to first baseman Paul Goldschmidt.",R,R,R,CHC,STL,X,5.0,ground_ball,1,1,2023,-0.52,1.11,0.16,2.08,,,,2,2,Bot,96.97,166.15,,,668800,,,8.1384573662428,-135.37597501349933,-5.17857487953045,-8.068673249809217,27.051822880545203,-17.59930299098368,3.37,1.53,3.0,91.5,-31.0,94.2,2357,6.8,718240,656427,668800,502671,669357,571448,657557,680977,666185,663457,53.72,0.08,0.074,0.0,1.0,0.0,0.0,2.0,17,3,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,200,-0.011,-0.097,miguel amaya,
CU,2023-05-09,80.6,-1.75,5.94,"Amaya, Miguel",665804,608717,strikeout,called_strike,,,,,1,Miguel Amaya called out on strikes.  Christopher Morel steals (1) 2nd base.,R,R,R,CHC,STL,S,2.0,,3,2,2023,1.6,-0.56,-0.31,2.95,,,666624.0,1,8,Bot,,,,,668800,,,0.160156554583098,-117.361057870743,1.1632731276927075,14.587376889879703,25.429679089008825,-37.76972308236328,3.37,1.53,,,,80.6,3293,6.6,718240,608717,668800,502671,669357,571448,657557,680977,666185,663457,53.93,,,0.0,1.0,0.0,0.0,,69,11,Curveball,4,4,4,4,4,4,4,4,Standard,Standard,57,-0.025,-0.385,miguel amaya,
SL,2023-05-09,88.4,-1.99,5.83,"Amaya, Miguel",665804,669467,field_out,hit_into_play,,,,,12,Miguel Amaya flies out to left fielder Brendan Donovan.,R,R,R,CHC,STL,X,7.0,fly_ball,3,2,2023,0.4,-0.33,0.85,2.68,,,,2,6,Bot,60.71,127.88,,,668800,,,6.123942180768312,-128.64032735374255,-0.8718293971164726,3.1088317013725537,28.128198823972244,-35.89426637820318,3.37,1.53,239.0,73.4,36.0,88.7,2428,6.6,718240,669467,668800,502671,669357,571448,657557,680977,666185,663457,53.89,0.38,0.367,0.0,1.0,0.0,0.0,3.0,53,8,Slider,4,4,4,4,4,4,4,4,Standard,Standard,71,-0.017,-0.131,miguel amaya,
SL,2023-05-08,88.6,-0.24,6.03,"Amaya, Miguel",665804,664854,field_out,hit_into_play,,,,,6,Miguel Amaya pops out to third baseman Nolan Gorman.,R,R,R,CHC,STL,X,5.0,popup,2,2,2023,0.37,-0.18,0.5,2.47,,,,1,9,Bot,113.77,174.55,,,668800,,,1.0334048257683954,-129.07850197094453,-2.321322869620028,4.001059773886005,25.35847472212185,-33.933727877833455,3.37,1.53,76.0,85.0,70.0,89.6,2390,6.7,718256,664854,668800,502671,669242,669357,657557,680977,666185,663457,53.79,0.009,0.01,0.0,1.0,0.0,0.0,3.0,71,8,Slider,1,3,1,3,3,1,1,3,Standard,Standard,118,-0.029,-0.153,miguel amaya,
ST,2023-05-08,86.6,-1.63,5.98,"Amaya, Miguel",665804,663855,strikeout,swinging_strike,,,,,14,Miguel Amaya strikes out swinging.,R,R,R,CHC,STL,S,2.0,,0,2,2023,0.99,0.0,2.2,1.19,,673548.0,621550.0,2,6,Bot,,,,,668800,,,7.1381009083728495,-125.93205669996966,-5.260113970317356,9.052564010258749,25.7639615758978,-31.24877125086239,3.37,1.53,,,,87.0,2508,6.6,718256,663855,668800,502671,669242,669357,657557,680977,666185,663457,53.9,,,0.0,1.0,0.0,0.0,,50,3,Sweeper,1,2,1,2,2,1,1,2,Standard,Standard,43,-0.077,-0.277,miguel amaya,
SI,2023-05-07,98.0,-1.92,5.95,"Amaya, Miguel",665804,645261,single,hit_into_play,,,,,4,"Miguel Amaya singles on a line drive to right fielder Jesus Sanchez.  Matt Mervis out at 3rd on the throw, right fielder Jesus Sanchez to third baseman Jean Segura.",R,R,R,CHC,MIA,X,9.0,line_drive,0,0,2023,-1.13,0.62,-0.58,2.38,,,670223.0,1,5,Bot,182.06,137.01,,,607732,,,6.185979175294606,-142.68625552796323,-5.617822228146029,-16.876598782746267,29.33002151844062,-22.640632545707213,3.37,1.53,187.0,67.4,26.0,97.9,2442,6.0,718269,645261,607732,493329,650333,516416,542932,650559,665862,660821,54.55,0.937,0.845,0.9,1.0,1.0,0.0,4.0,37,1,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,232,-0.043,0.501,miguel amaya,
FF,2023-05-07,98.5,-2.06,5.96,"Amaya, Miguel",665804,645261,sac_bunt,hit_into_play,,,,,3,"Miguel Amaya out on a sacrifice bunt, pitcher Sandy Alcantara to second baseman Luis Arraez.   Matt Mervis to 3rd.    Nick Madrigal to 2nd.",R,R,R,CHC,MIA,X,1.0,ground_ball,1,1,2023,-0.84,1.04,0.63,2.91,,670223.0,663611.0,0,3,Bot,130.94,183.78,,,607732,,,9.20068024621953,-143.16477652969212,-5.261083392531098,-13.609773924396135,30.0244343017065,-16.850645655062856,3.37,1.53,36.0,31.1,12.0,98.4,2235,6.1,718269,645261,607732,493329,650333,516416,542932,650559,665862,660821,54.41,0.317,0.308,0.25,0.0,0.0,0.0,1.0,19,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,229,0.001,0.057,miguel amaya,
SI,2023-05-07,93.2,-3.39,6.23,"Amaya, Miguel",665804,571670,hit_by_pitch,hit_by_pitch,,,,,11,Miguel Amaya hit by pitch.,R,R,R,CHC,MIA,B,,,3,0,2023,-1.59,0.67,-1.65,3.68,670223.0,,,1,10,Bot,,,,,663743,,,7.9522196071399875,-135.58321151063345,-2.299558646845573,-21.276242876516307,26.398203398000906,-23.580459395853584,3.37,1.53,,,,93.5,2050,6.2,718269,571670,663743,493329,650333,516416,542932,650559,665862,660821,54.25,,,0.7,1.0,0.0,0.0,,74,4,Sinker,2,3,2,3,3,2,2,3,Strategic,Standard,226,0.031,0.055,miguel amaya,
FF,2023-05-06,95.4,3.53,5.2,"Amaya, Miguel",665804,640462,single,hit_into_play,,,,,8,"Miguel Amaya singles on a ground ball to shortstop Jon Berti, deflected by second baseman Xavier Edwards.   Nick Madrigal scores.",R,R,L,CHC,MIA,X,4.0,ground_ball,3,2,2023,0.79,1.14,-0.01,1.99,,663611.0,,1,8,Bot,129.44,142.76,,,663743,,,-11.245278780740144,-138.4697729553981,-5.441787714538893,12.618918494130504,30.25848796697469,-16.451352221329763,3.37,1.53,3.0,67.4,-31.0,96.8,2257,7.2,718289,640462,663743,493329,669364,516416,542932,650559,665862,680814,53.33,0.069,0.065,0.9,1.0,1.0,0.0,2.0,67,6,4-Seam Fastball,3,2,3,2,2,4,4,2,Standard,Standard,125,0.059,0.69,miguel amaya,
FF,2023-05-05,95.7,-1.81,6.17,"Amaya, Miguel",665804,665795,field_out,hit_into_play,,,,,6,Miguel Amaya flies out sharply to center fielder Jazz Chisholm Jr.,R,R,R,CHC,MIA,X,8.0,fly_ball,1,2,2023,-0.54,1.34,0.65,2.29,,,,0,5,Bot,130.6,42.89,,,607732,,,7.72835489985323,-139.0115287525826,-7.603894255508527,-8.805411538396768,33.96001096856179,-13.273269904515232,3.37,1.53,385.0,102.5,31.0,95.6,2346,6.6,718303,665795,607732,493329,650333,516416,542932,650559,665862,641658,53.94,0.729,1.428,0.0,1.0,0.0,0.0,6.0,36,5,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,218,-0.021,-0.175,miguel amaya,
CH,2023-05-05,93.8,-1.78,6.21,"Amaya, Miguel",665804,665795,hit_by_pitch,hit_by_pitch,,,,,11,Miguel Amaya hit by pitch.    Trey Mancini to 2nd.,R,R,R,CHC,MIA,B,,,1,2,2023,-1.24,0.53,-1.82,2.68,,,641820.0,2,2,Bot,,,,,607732,,,2.671031224276117,-136.57304348575383,-4.599676003817698,-16.14740934739064,29.126218839044963,-24.762378840176492,3.37,1.53,,,,94.3,1640,6.5,718303,665795,607732,493329,650333,516416,542932,650559,665862,641658,54.05,,,0.7,1.0,0.0,0.0,,15,5,Changeup,1,0,1,0,0,1,1,0,Standard,Standard,233,0.017,0.294,miguel amaya,
KC,2023-05-05,84.9,-1.56,6.56,"Amaya, Miguel",665804,598264,field_out,hit_into_play,,,,,8,Miguel Amaya lines out sharply to third baseman Jean Segura.,R,R,R,CHC,MIA,X,5.0,line_drive,2,2,2023,0.11,-0.29,0.15,1.89,,,,1,7,Bot,85.68,153.05,,,607732,,,3.7920088788142183,-123.69988601109068,-4.094017632850911,0.4540055720776594,22.87398055786388,-34.599104050058315,3.37,1.53,154.0,103.9,8.0,85.7,1942,6.6,718303,598264,607732,493329,650333,516416,542932,650559,665862,641658,53.94,0.597,0.559,0.0,1.0,0.0,0.0,4.0,53,5,Knuckle Curve,3,1,3,1,1,3,3,1,Standard,Standard,31,-0.007,-0.153,miguel amaya,
FF,2023-05-04,90.6,2.18,6.46,"Amaya, Miguel",665804,571578,field_out,hit_into_play,,,,,12,Miguel Amaya lines out sharply to center fielder Alex Call.,R,R,L,WSH,CHC,X,8.0,line_drive,0,0,2023,0.76,1.13,0.3,3.51,,,,1,6,Top,106.63,59.81,,,656180,,,-6.385472865148564,-131.85879925498972,-3.8962312673326807,10.17503105993471,27.81977711850655,-18.40443537906197,3.37,1.53,348.0,104.3,19.0,91.6,1968,6.8,718317,571578,656180,642086,671277,600869,682928,656448,669743,657041,53.65,0.5,0.644,0.0,1.0,0.0,0.0,5.0,36,1,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,142,0.014,-0.172,miguel amaya,
SI,2023-05-04,91.9,2.15,6.33,"Amaya, Miguel",665804,571578,field_out,hit_into_play,,,,,6,"Miguel Amaya grounds out, shortstop CJ Abrams to first baseman Dominic Smith.",R,R,L,WSH,CHC,X,6.0,ground_ball,3,2,2023,1.31,0.56,0.61,2.56,,,,1,3,Top,115.65,150.59,,,656180,,,-6.832469259439501,-133.62290348895212,-4.991742414691735,17.11775716498607,26.70330060178355,-24.57836807754024,3.37,1.53,5.0,100.2,-26.0,93.2,2041,6.9,718317,571578,656180,642086,671277,600869,682928,656448,669743,657041,53.55,0.103,0.093,0.0,1.0,0.0,0.0,2.0,18,6,Sinker,3,0,0,3,0,3,0,3,Standard,Standard,139,0.014,-0.211,miguel amaya,
FF,2023-05-04,97.1,-1.77,6.02,"Amaya, Miguel",665804,640451,sac_fly,hit_into_play,,,,,11,Miguel Amaya out on a sacrifice fly to left fielder Stone Garrett.   Patrick Wisdom scores.,R,R,R,WSH,CHC,X,7.0,fly_ball,3,2,2023,-0.5,1.58,-0.88,2.79,621550.0,641820.0,,1,8,Top,34.25,100.57,,,656180,,,3.51762219459657,-141.21905667788985,-6.7103179744260135,-7.476513662283225,32.899808647538975,-9.771033040208112,3.37,1.53,330.0,102.1,40.0,97.0,2025,6.3,718317,640451,656180,642086,671277,600869,682928,656448,669743,657041,54.19,0.22,0.439,0.0,1.0,0.0,0.0,5.0,51,6,4-Seam Fastball,3,1,1,3,2,3,2,3,Standard,Standard,206,0.066,-0.235,miguel amaya,
