pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-25,95.4,-0.5,6.55,"Anderson, Nick",669016,623433,field_out,hit_into_play,,,,,8,"Brandon Marsh grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",R,L,R,ATL,PHI,X,4.0,ground_ball,1,2,2023,-0.23,1.47,-0.16,1.84,,,,2,8,Top,150.84,154.5,,,669221,,,1.3931118040767496,-138.75602935462945,-10.07259396017088,-3.2784280360604545,28.78984651881555,-11.175327902072612,3.05,1.47,3.0,,-31.0,95.4,2190,6.1,718026,623433,669221,621566,645277,663586,606115,592696,671739,660670,54.36,,,0.0,,0.0,0.0,,66,4,4-Seam Fastball,5,5,5,5,5,5,5,5,Strategic,Standard,199,0.025,-0.071
CU,2023-05-25,80.8,-0.68,6.49,"Anderson, Nick",669016,623433,,foul,,,,,5,"Brandon Marsh grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",R,L,R,ATL,PHI,S,,,1,1,2023,0.22,-0.26,-0.19,2.45,,,,2,8,Top,,,,,669221,,,0.683388567662062,-117.69823678371684,-1.8408523156627656,1.876913936398272,23.29266548068041,-34.45957992752682,3.05,1.47,150.0,67.2,18.0,80.6,1926,6.2,718026,623433,669221,621566,645277,663586,606115,592696,671739,660670,54.34,,,,,,,,66,3,Curveball,5,5,5,5,5,5,5,5,Standard,Standard,71,0.0,-0.026
FF,2023-05-25,94.4,-0.5,6.55,"Anderson, Nick",669016,623433,,foul,,,,,8,"Brandon Marsh grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",R,L,R,ATL,PHI,S,,,1,0,2023,-0.32,1.27,-0.04,1.78,,,,2,8,Top,,,,,669221,,,1.9115523617558805,-137.30824253911484,-9.570545599786142,-4.509778302038443,26.266354730099614,-14.348282588824166,3.05,1.47,2.0,89.2,-39.0,94.7,2108,6.2,718026,623433,669221,621566,645277,663586,606115,592696,671739,660670,54.34,,,,,,,,66,2,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,200,0.0,-0.027
FF,2023-05-25,94.3,-0.64,6.58,"Anderson, Nick",669016,623433,,ball,,,,,11,"Brandon Marsh grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",R,L,R,ATL,PHI,B,,,0,0,2023,-0.32,1.51,-0.78,3.82,,,,2,8,Top,,,,,669221,,,0.3563758347035136,-137.35620750728697,-4.892059796374277,-4.195725780776562,27.949905672857387,-12.081039958727237,2.99,1.42,,,,94.4,2187,6.1,718026,623433,669221,621566,645277,663586,606115,592696,671739,660670,54.4,,,,,,,,66,1,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,198,0.0,0.021
FF,2023-05-25,94.2,-0.53,6.57,"Anderson, Nick",664761,623433,strikeout,called_strike,,,,,7,Alec Bohm called out on strikes.,R,R,R,ATL,PHI,S,2.0,,2,2,2023,-0.21,1.04,-0.52,2.02,,,,1,8,Top,,,,,669221,,,0.480828721868602,-137.15239453513863,-8.482881659794465,-2.8302375724732216,25.752485890076866,-17.438176440434923,3.49,1.57,,,,94.5,2030,6.1,718026,623433,669221,621566,645277,663586,606115,592696,671739,660670,54.38,,,0.0,1.0,0.0,0.0,,65,5,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,196,0.034,-0.153
FF,2023-05-25,95.1,-0.59,6.64,"Anderson, Nick",664761,623433,,ball,,,,,11,Alec Bohm called out on strikes.,R,R,R,ATL,PHI,B,,,1,2,2023,-0.49,1.09,-0.76,5.15,,,,1,8,Top,,,,,669221,,,0.6400004939233478,-138.60320701360754,-0.754260602812527,-6.448838197509888,28.06853574422365,-18.08067339866454,3.51,1.55,,,,95.1,2067,6.0,718026,623433,669221,621566,645277,663586,606115,592696,671739,660670,54.51,,,,,,,,65,4,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,200,0.0,0.031
CU,2023-05-25,83.2,-0.49,6.57,"Anderson, Nick",664761,623433,,ball,,,,,14,Alec Bohm called out on strikes.,R,R,R,ATL,PHI,B,,,0,2,2023,0.28,-0.16,1.53,1.65,,,,1,8,Top,,,,,669221,,,4.092630634991155,-120.99324766367978,-4.435614450879879,1.810873216534548,25.785897564007374,-32.99295526547392,3.54,1.62,,,,82.5,1909,6.1,718026,623433,669221,621566,645277,663586,606115,592696,671739,660670,54.44,,,,,,,,65,3,Curveball,5,5,5,5,5,5,5,5,Standard,Standard,69,0.0,0.014
FF,2023-05-25,94.9,-0.55,6.61,"Anderson, Nick",664761,623433,,foul,,,,,11,Alec Bohm called out on strikes.,R,R,R,ATL,PHI,S,,,0,1,2023,-0.3,1.47,-0.71,3.92,,,,1,8,Top,,,,,669221,,,0.2498378122442716,-138.23420245582054,-4.693803071233334,-3.9095502595275344,28.88438928656405,-12.448668101401044,3.46,1.57,232.0,75.7,26.0,94.8,2092,6.0,718026,623433,669221,621566,645277,663586,606115,592696,671739,660670,54.48,,,,,,,,65,2,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Strategic,205,0.0,-0.037
CU,2023-05-25,80.4,-0.45,6.56,"Anderson, Nick",664761,623433,,called_strike,,,,,7,Alec Bohm called out on strikes.,R,R,R,ATL,PHI,S,,,0,0,2023,0.13,-0.25,-0.8,1.57,,,,1,8,Top,,,,,669221,,,-1.0146727387801109,-116.96552299917184,-3.8150767128650767,1.4089022654956775,24.14343003232788,-33.91165027631028,3.56,1.66,,,,79.7,1920,6.0,718026,623433,669221,621566,645277,663586,606115,592696,671739,660670,54.49,,,,,,,,65,1,Curveball,5,5,5,5,5,5,5,5,Standard,Strategic,71,0.0,-0.028
FF,2023-05-25,95.5,-0.56,6.58,"Anderson, Nick",592663,623433,strikeout,swinging_strike,,,,,2,J.T. Realmuto strikes out swinging.,R,R,R,ATL,PHI,S,2.0,,2,2,2023,-0.18,1.37,0.25,3.46,,,,0,8,Top,,,,,669221,,,2.5304762902776794,-139.05085161618942,-5.679794501724375,-2.8306835624388467,29.08283684982161,-13.344062708328387,3.51,1.67,,,,95.5,2137,6.1,718026,623433,669221,621566,645277,663586,606115,592696,671739,660670,54.4,,,0.0,1.0,0.0,0.0,,64,5,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,199,0.046,-0.205
FF,2023-05-25,95.6,-0.46,6.53,"Anderson, Nick",592663,623433,,foul,,,,,5,J.T. Realmuto strikes out swinging.,R,R,R,ATL,PHI,S,,,2,1,2023,-0.54,1.47,0.24,2.82,,,,0,8,Top,,,,,669221,,,3.0593484094814167,-139.12453455865366,-7.481586658299047,-7.692744198937933,30.113722024682986,-11.608183414639898,3.51,1.67,224.0,78.1,49.0,95.4,2147,6.1,718026,623433,669221,621566,645277,663586,606115,592696,671739,660670,54.41,,,,,,,,64,4,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,198,0.0,-0.073
FF,2023-05-25,95.0,-0.52,6.57,"Anderson, Nick",592663,623433,,swinging_strike,,,,,9,J.T. Realmuto strikes out swinging.,R,R,R,ATL,PHI,S,,,2,0,2023,-0.06,1.63,0.5,1.91,,,,0,8,Top,,,,,669221,,,2.825735968392177,-138.07127412730142,-10.164499473903724,-1.4443506848157508,30.13983236817377,-9.220387526278898,3.51,1.67,,,,94.8,2235,6.2,718026,623433,669221,621566,645277,663586,606115,592696,671739,660670,54.33,,,,,,,,64,3,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,199,0.0,-0.062
