pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-05-24,82.3,1.81,6.47,"Anderson, Tyler",571771,542881,field_out,hit_into_play,,,,,14,Enrique Hernandez flies out to right fielder Hunter Renfroe.,R,R,L,LAA,BOS,X,9.0,fly_ball,0,1,2023,1.26,0.86,0.85,2.05,,,,2,6,Top,190.48,94.93,,,595453,,,-4.624950446893922,-119.60894461585816,-5.042941176628928,13.028913454799405,26.67882858938377,-23.136157831252067,3.16,1.52,303.0,85.1,33.0,81.6,1964,6.3,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.22,0.014,0.017,0.0,1.0,0.0,0.0,3.0,47,2,Changeup,7,1,1,7,1,7,1,7,Standard,Standard,137,0.001,-0.082
FF,2023-05-24,90.6,1.62,6.38,"Anderson, Tyler",571771,542881,,called_strike,,,,,1,Enrique Hernandez flies out to right fielder Hunter Renfroe.,R,R,L,LAA,BOS,S,,,0,0,2023,0.34,1.56,-0.48,3.27,,,,2,6,Top,,,,,595453,,,-5.956562493718391,-131.65199603842547,-5.0639562864636405,5.410752127193851,32.238192409804824,-13.26773425668319,3.64,1.76,,,,89.7,2172,6.2,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.32,,,,,,,,47,1,4-Seam Fastball,7,1,1,7,1,7,1,7,Strategic,Standard,159,0.0,-0.021
FC,2023-05-24,81.9,2.0,6.4,"Anderson, Tyler",646240,542881,field_out,hit_into_play,,,,,7,Rafael Devers lines out sharply to shortstop Zach Neto.,R,L,L,LAA,BOS,X,6.0,line_drive,2,2,2023,-0.53,0.14,-0.28,1.55,,,,1,6,Top,120.25,138.24,,,595453,,,-4.10223265322087,-119.16863747472355,-4.665384732743796,-4.316926500996446,22.71845694727805,-30.11188165802476,3.26,1.47,157.0,102.3,8.0,81.7,2504,6.2,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.35,0.703,0.689,0.0,1.0,0.0,0.0,4.0,46,6,Cutter,7,1,1,7,1,7,1,7,Strategic,Standard,203,0.004,-0.153
FF,2023-05-24,90.2,1.55,6.37,"Anderson, Tyler",646240,542881,,foul,,,,,5,Rafael Devers lines out sharply to shortstop Zach Neto.,R,L,L,LAA,BOS,S,,,2,2,2023,0.41,1.59,-0.11,2.2,,,,1,6,Top,,,,,595453,,,-4.992178550237243,-131.0571247602176,-7.733738815681763,5.859756740210975,29.432505583970983,-12.362685755860609,3.26,1.47,192.0,75.3,58.0,89.7,2224,6.2,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.3,,,,,,,,46,5,4-Seam Fastball,7,1,1,7,1,7,1,7,Strategic,Standard,154,0.0,0.0
FF,2023-05-24,91.4,1.46,6.44,"Anderson, Tyler",646240,542881,,ball,,,,,11,Rafael Devers lines out sharply to shortstop Zach Neto.,R,L,L,LAA,BOS,B,,,1,2,2023,0.27,1.58,-1.93,2.89,,,,1,6,Top,,,,,595453,,,-9.053536053145374,-132.67972582464606,-6.396297825327558,5.240440954066564,30.73028527720517,-12.274203078556477,3.38,1.51,,,,90.5,2256,6.1,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.45,,,,,,,,46,4,4-Seam Fastball,7,1,1,7,1,7,1,7,Strategic,Standard,157,0.0,0.031
FC,2023-05-24,83.3,2.21,6.11,"Anderson, Tyler",646240,542881,,swinging_strike,,,,,13,Rafael Devers lines out sharply to shortstop Zach Neto.,R,L,L,LAA,BOS,S,,,1,1,2023,-0.44,0.77,-0.99,1.14,,,,1,6,Top,,,,,595453,,,-6.512767770602936,-121.15266485554557,-6.533180254245419,-3.138518581101496,22.38566319520457,-23.540568373670915,3.26,1.47,,,,84.0,2478,6.6,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,53.86,,,,,,,,46,3,Cutter,7,1,1,7,1,7,1,7,Strategic,Standard,187,0.0,-0.044
FF,2023-05-24,87.9,1.81,6.34,"Anderson, Tyler",646240,542881,,swinging_strike,,,,,2,Rafael Devers lines out sharply to shortstop Zach Neto.,R,L,L,LAA,BOS,S,,,1,0,2023,0.39,1.63,0.03,3.17,,,,1,6,Top,,,,,595453,,,-5.11681755017603,-127.77237130828378,-4.8491566916724445,5.424059946694652,29.04336295204658,-13.617816576418454,3.26,1.47,,,,87.3,2188,6.2,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.31,,,,,,,,46,2,4-Seam Fastball,7,1,1,7,1,7,1,7,Strategic,Standard,157,0.0,-0.035
CH,2023-05-24,78.8,1.93,6.5,"Anderson, Tyler",646240,542881,,ball,,,,,12,Rafael Devers lines out sharply to shortstop Zach Neto.,R,L,L,LAA,BOS,B,,,0,0,2023,1.17,1.11,0.63,3.75,,,,1,6,Top,,,,,595453,,,-4.990494744555722,-114.65183499170224,-1.1396187872662158,11.292276265241927,23.235131738779494,-22.47296740697615,3.61,1.61,,,,78.3,1875,6.1,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.35,,,,,,,,46,1,Changeup,7,1,1,7,1,7,1,7,Strategic,Standard,139,0.0,0.028
FC,2023-05-24,83.3,2.15,6.35,"Anderson, Tyler",807799,542881,field_out,hit_into_play,,,,,5,"Masataka Yoshida grounds out, second baseman Luis Rengifo to first baseman Brandon Drury.",R,L,L,LAA,BOS,X,4.0,ground_ball,1,1,2023,-0.31,1.01,0.07,2.28,,,,0,6,Top,147.87,148.82,,,595453,,,-4.153909178047418,-121.28141197676356,-4.913017955432943,-2.3570058067324355,21.94321008895238,-21.40962482754872,3.14,1.35,21.0,79.3,-5.0,83.3,2310,6.1,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.39,0.109,0.098,0.0,1.0,0.0,0.0,2.0,45,3,Cutter,7,1,1,7,1,7,1,7,Standard,Standard,160,0.006,-0.228
FF,2023-05-24,88.9,1.75,6.44,"Anderson, Tyler",807799,542881,,called_strike,,,,,4,"Masataka Yoshida grounds out, second baseman Luis Rengifo to first baseman Brandon Drury.",R,L,L,LAA,BOS,S,,,1,0,2023,0.33,1.71,-0.41,2.25,,,,0,6,Top,,,,,595453,,,-5.957013715426244,-129.12010575922284,-7.757646745365061,4.987784124696735,27.812783929326454,-11.613047940846704,3.31,1.38,,,,88.4,2343,6.2,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.32,,,,,,,,45,2,4-Seam Fastball,7,1,1,7,1,7,1,7,Standard,Standard,162,0.0,-0.046
FF,2023-05-24,86.9,1.61,6.41,"Anderson, Tyler",807799,542881,,ball,,,,,13,"Masataka Yoshida grounds out, second baseman Luis Rengifo to first baseman Brandon Drury.",R,L,L,LAA,BOS,B,,,0,0,2023,0.14,1.74,-2.02,1.56,,,,0,6,Top,,,,,595453,,,-8.965125052860632,-125.9825497546641,-8.932428792214688,3.4360560409862897,26.718863668370894,-11.940769670032491,3.26,1.41,,,,86.6,2230,6.4,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.1,,,,,,,,45,1,4-Seam Fastball,7,1,1,7,1,7,1,7,Standard,Standard,161,0.0,0.039
FF,2023-05-24,88.4,1.65,6.47,"Anderson, Tyler",457759,542881,field_out,hit_into_play,,,,,1,"Justin Turner grounds out, shortstop Zach Neto to third baseman Gio Urshela to shortstop Zach Neto to first baseman Brandon Drury.",R,R,L,LAA,BOS,X,6.0,ground_ball,2,1,2023,0.33,1.56,-0.56,2.8,,606132.0,608701.0,2,5,Top,99.8,157.41,,,595453,,,-6.080941196885989,-128.4649077651518,-6.113761562182431,4.881644754518785,26.55857256706405,-13.858894618321802,3.28,1.51,68.0,79.7,4.0,88.5,2280,6.4,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.1,0.257,0.242,0.0,1.0,0.0,0.0,2.0,41,4,4-Seam Fastball,7,1,1,7,1,7,1,7,Standard,Standard,158,0.012,-0.506
FF,2023-05-24,88.9,1.79,6.38,"Anderson, Tyler",457759,542881,,called_strike,,,,,8,"Justin Turner grounds out, shortstop Zach Neto to third baseman Gio Urshela to shortstop Zach Neto to first baseman Brandon Drury.",R,R,L,LAA,BOS,S,,,2,0,2023,0.31,1.68,0.27,2.19,,606132.0,608701.0,2,5,Top,,,,,595453,,,-4.363937901757213,-129.28839391042507,-7.724140035043406,4.39828768693165,27.367944082709244,-11.876000374830328,3.48,1.66,,,,88.7,2290,6.2,718034,542881,595453,592273,650859,570482,687263,621493,545361,592669,54.27,,,,,,,,41,3,4-Seam Fastball,7,1,1,7,1,7,1,7,Standard,Standard,161,0.0,-0.122
