pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FC,2023-05-25,83.9,-1.81,5.3,"Arcia, Orlando",606115,605400,field_out,hit_into_play,,,,,14,"Orlando Arcia grounds out, shortstop Trea Turner to first baseman Alec Bohm.",R,R,R,ATL,PHI,X,6.0,ground_ball,2,2,2023,0.33,0.34,1.46,2.15,,,,0,6,Bot,112.25,154.73,,,592663,,,6.989102875209744,-122.21125825742833,-1.6955650129453197,2.2500009957394487,19.312920312844597,-28.58277670933762,3.5,1.65,9.0,63.9,-14.0,85.7,2248.0,6.9,718026,605400,592663,664761,681082,624641,607208,656941,669016,592206,53.56,0.046,0.041,0.0,1.0,0.0,0.0,2.0,53,7,Cutter,5,4,5,4,4,5,5,4,Standard,Standard,183.0,-0.021,-0.205,orlando arcia,
KC,2023-05-25,79.2,-1.78,5.29,"Arcia, Orlando",606115,605400,single,hit_into_play,,,,,6,Orlando Arcia singles on a line drive to right fielder Nick Castellanos.   Marcell Ozuna to 3rd.,R,R,R,ATL,PHI,X,9.0,line_drive,1,2,2023,0.94,-0.9,0.28,2.55,,,542303.0,1,4,Bot,208.75,102.72,,,592663,,,2.789302254917891,-115.23497621184028,2.5669142049151543,7.759347603647739,22.70291141556697,-40.85625520821223,3.5,1.65,277.0,95.1,16.0,80.0,2523.0,7.0,718026,605400,592663,664761,681082,624641,607208,656941,669016,592206,53.51,0.706,0.682,0.9,1.0,1.0,0.0,4.0,36,4,Knuckle Curve,3,3,3,3,3,3,3,3,Standard,Standard,52.0,0.076,0.594,orlando arcia,
KC,2023-05-25,80.2,-1.82,5.32,"Arcia, Orlando",606115,605400,strikeout,foul_tip,,,,,14,Orlando Arcia strikes out on a foul tip.,R,R,R,ATL,PHI,S,2.0,,3,2,2023,0.93,-0.68,1.08,1.84,,,,1,2,Bot,,,,,592663,,,4.729829785495602,-116.80825370761256,0.2986287206318689,7.654791233503716,21.75716570013154,-38.686930641669946,3.5,1.65,,,,81.5,2591.0,7.1,718026,605400,592663,664761,681082,624641,607208,656941,669016,592206,53.38,,,0.0,1.0,0.0,0.0,,19,6,Knuckle Curve,3,3,3,3,3,3,3,3,Standard,Standard,56.0,-0.016,-0.211,orlando arcia,
SI,2023-05-25,99.7,2.15,5.77,"Arcia, Orlando",606115,642397,walk,ball,,,,,2,Orlando Arcia walks.,R,R,L,ATL,PHI,B,,,3,0,2023,1.34,0.78,0.25,3.27,645277.0,542303.0,,1,8,Bot,,,,,592663,,,-8.403232092675012,-144.94660915473185,-3.336880625972153,20.85069104288542,33.414750003257204,-20.530480424547104,3.47,1.62,,,,100.3,2343.0,6.6,718026,642397,592663,664761,681082,624641,607208,656941,669016,592206,53.85,,,0.7,1.0,0.0,0.0,,70,4,Sinker,5,5,5,5,5,5,5,5,Strategic,Standard,130.0,-0.001,0.134,orlando arcia,
FF,2023-05-24,94.1,-0.83,6.1,"Arcia, Orlando",606115,664062,walk,blocked_ball,,,,,14,Orlando Arcia walks.,R,R,R,ATL,LAD,B,,,3,1,2023,-0.91,1.48,0.16,0.58,,,,1,5,Bot,,,,,669257,,,4.562149098071804,-136.536316889799,-11.817344586539257,-12.381442174721414,28.91914194494472,-11.261588878132532,3.43,1.67,,,,93.6,2302.0,6.1,718042,664062,669257,518692,678246,571970,621035,444482,518792,605141,54.43,,,0.7,1.0,0.0,0.0,,39,5,4-Seam Fastball,3,1,3,1,1,3,3,1,Standard,Standard,217.0,0.015,0.167,orlando arcia,
SL,2023-05-24,87.1,-1.03,6.12,"Arcia, Orlando",606115,664062,field_out,hit_into_play,,,,,1,Orlando Arcia flies out to center fielder Jason Heyward.,R,R,R,ATL,LAD,X,8.0,fly_ball,1,2,2023,0.58,0.2,-0.33,3.25,,,,1,3,Bot,153.19,76.51,,,669257,,,0.4825458469100156,-126.90965933914042,-1.197095231953322,6.158109940043778,24.40079237828808,-29.97498395812529,3.46,1.63,312.0,86.4,36.0,87.0,2515.0,6.0,718042,664062,669257,518692,678246,571970,621035,444482,518792,605141,54.45,0.011,0.01,0.0,1.0,0.0,0.0,3.0,23,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard,154.0,-0.017,-0.122,orlando arcia,
SL,2023-05-24,81.4,-1.53,5.4,"Arcia, Orlando",606115,571946,field_out,hit_into_play,,,,,2,Orlando Arcia flies out to left fielder David Peralta.,R,R,R,ATL,LAD,X,7.0,fly_ball,2,2,2023,1.8,-0.12,0.02,3.09,,,,2,7,Bot,121.88,192.53,,,669257,,,0.0196217220938504,-118.6008746014508,1.650091786218371,17.01229883987401,22.14550727363382,-33.824126307225384,3.46,1.63,323.0,95.1,42.0,83.0,2547.0,7.2,718042,571946,669257,518692,678246,571970,621035,444482,518792,605141,53.28,0.026,0.051,0.0,1.0,0.0,0.0,3.0,55,5,Slider,3,1,3,1,1,3,3,1,Standard,Standard,64.0,-0.006,-0.09,orlando arcia,
SI,2023-05-23,99.8,-1.01,5.92,"Arcia, Orlando",606115,676272,field_out,hit_into_play,,,,,4,"Orlando Arcia grounds out, third baseman Max Muncy to first baseman Freddie Freeman.",R,R,R,ATL,LAD,X,5.0,ground_ball,3,2,2023,-1.39,1.09,-0.66,2.31,645277.0,,,2,4,Bot,104.0,164.4,,,669257,,,4.297739697828486,-145.20526402616449,-7.217629065372963,-20.63803050105777,34.0672104591589,-15.309516654403437,3.43,1.63,8.0,93.0,-15.0,101.2,2310.0,7.0,718057,676272,669257,518692,605141,571970,500743,444482,681546,518792,53.45,0.177,0.181,0.0,1.0,0.0,0.0,2.0,37,8,Sinker,1,4,1,4,4,1,1,4,Standard,Standard,218.0,-0.034,-0.41,orlando arcia,
FF,2023-05-23,99.0,-0.96,5.92,"Arcia, Orlando",606115,676272,field_out,hit_into_play,,,,,4,Orlando Arcia flies out to right fielder Jason Heyward.,R,R,R,ATL,LAD,X,9.0,fly_ball,3,1,2023,-1.1,1.41,-0.49,2.72,,,645277.0,1,2,Bot,173.23,75.53,,,669257,,,3.8792804028663306,-144.10389284141706,-6.677954928890978,-16.244249240072314,32.86652936800058,-11.236677049017388,3.43,1.63,328.0,91.2,30.0,100.0,2391.0,6.8,718057,676272,669257,518692,605141,571970,500743,444482,681546,518792,53.7,0.06,0.072,0.0,1.0,0.0,0.0,3.0,21,5,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,222.0,-0.028,-0.452,orlando arcia,
SI,2023-05-23,97.6,-1.2,6.46,"Arcia, Orlando",606115,660813,single,hit_into_play,,,,,4,Orlando Arcia singles on a ground ball to left fielder David Peralta.,R,R,R,ATL,LAD,X,7.0,ground_ball,3,1,2023,-1.27,0.86,-0.74,2.61,,,,2,7,Bot,92.59,121.66,,,669257,,,4.0979130838846745,-141.99690370507415,-6.81857180311453,-18.158940194097887,30.43100256032138,-19.137321715398954,3.43,1.63,107.0,96.8,4.0,96.8,2042.0,5.7,718057,660813,669257,518692,605141,571970,500743,444482,681546,518792,54.78,0.486,0.47,0.9,1.0,1.0,0.0,4.0,59,5,Sinker,1,5,1,5,5,1,1,5,Standard,Standard,215.0,0.008,0.063,orlando arcia,
CH,2023-05-22,82.7,-2.25,5.72,"Arcia, Orlando",606115,694813,single,hit_into_play,,,,,6,Orlando Arcia singles on a line drive to left fielder David Peralta.,R,R,R,ATL,LAD,X,7.0,line_drive,3,2,2023,-0.99,0.46,0.63,2.22,,,,1,4,Bot,86.6,129.69,,,669257,,,8.581368554044134,-120.28533022927049,-2.440891381639622,-11.139965841067529,20.98156028315045,-27.41936379530181,3.42,1.63,200.0,72.2,18.0,83.9,1447.0,6.9,718074,694813,669257,518692,678246,571970,500743,444482,681546,605141,53.6,0.834,0.771,0.9,1.0,1.0,0.0,4.0,34,6,Changeup,4,3,4,3,3,4,4,3,Standard,Standard,241.0,0.022,0.232,orlando arcia,
SL,2023-05-22,87.5,-2.2,5.65,"Arcia, Orlando",606115,694813,single,hit_into_play,,,,,9,Orlando Arcia singles on a ground ball to right fielder Mookie Betts.   Marcell Ozuna to 2nd.,R,R,R,ATL,LAD,X,9.0,ground_ball,0,2,2023,0.88,0.1,0.61,2.15,,,542303.0,2,1,Bot,134.22,173.69,,,669257,,,4.984984730999246,-127.33990775960208,-2.497965705608743,8.489842483429905,27.15075184622603,-30.765334105079067,3.42,1.63,75.0,97.3,2.0,87.8,2309.0,6.6,718074,694813,669257,518692,678246,571970,500743,444482,681546,605141,53.94,0.46,0.434,0.9,1.0,1.0,0.0,4.0,11,3,Slider,4,0,4,0,0,4,4,0,Standard,Standard,49.0,0.007,0.386,orlando arcia,
SL,2023-05-22,88.2,-1.48,6.49,"Arcia, Orlando",606115,660813,field_out,hit_into_play,,,,,6,"Orlando Arcia grounds out, shortstop Miguel Rojas to first baseman Freddie Freeman.",R,R,R,ATL,LAD,X,6.0,ground_ball,0,0,2023,0.32,-0.01,0.33,2.68,,542303.0,,2,8,Bot,111.97,143.47,,,669257,,,3.710764588269496,-128.54241163204955,-3.199911852724277,2.8193986628258445,24.47997907375312,-31.859571645193103,3.42,1.63,7.0,96.8,-19.0,87.6,2465.0,5.6,718074,660813,669257,518692,678246,571970,500743,621035,681546,605141,54.89,0.174,0.16,0.0,1.0,0.0,0.0,2.0,72,1,Slider,6,8,6,8,8,6,6,8,Standard,Standard,111.0,-0.051,-0.326,orlando arcia,
FF,2023-05-21,96.0,-1.53,6.04,"Arcia, Orlando",606115,669923,strikeout,swinging_strike,,,,,3,Orlando Arcia strikes out swinging.,R,R,R,ATL,SEA,S,2.0,,1,2,2023,-0.67,1.25,0.32,3.11,,,,0,7,Bot,,,,,608596,,,6.46884444720401,-139.6961790152668,-5.0173907853876445,-10.250161247646805,31.13112465263345,-14.900027949279636,3.43,1.64,,,,96.5,2304.0,6.6,718090,669923,608596,664034,676609,553993,641487,572041,672284,606192,53.93,,,0.0,1.0,0.0,0.0,,51,4,4-Seam Fastball,3,1,3,1,1,3,3,1,Standard,Standard,216.0,-0.01,-0.175,orlando arcia,
CU,2023-05-21,82.4,-1.54,6.0,"Arcia, Orlando",606115,669923,field_out,hit_into_play,,,,,14,"Orlando Arcia grounds out, shortstop J.  P. Crawford to first baseman Ty France.",R,R,R,ATL,SEA,X,6.0,ground_ball,1,1,2023,1.0,-0.94,0.71,1.44,,,,1,4,Bot,109.18,159.69,,,608596,,,3.1813852331447112,-119.92495043110846,-1.9434593186512197,8.85918484955322,25.785338822818403,-41.0302523915388,3.43,1.64,4.0,77.7,-19.0,82.3,2491.0,6.4,718090,669923,608596,664034,676609,553993,641487,572041,672284,606192,54.06,0.063,0.065,0.0,1.0,0.0,0.0,2.0,31,3,Curveball,2,1,2,1,1,2,2,1,Standard,Standard,37.0,-0.015,-0.165,orlando arcia,
SI,2023-05-21,95.2,-1.63,6.01,"Arcia, Orlando",606115,669923,field_out,hit_into_play,,,,,5,Orlando Arcia flies out to right fielder Teoscar Hernandez.,R,R,R,ATL,SEA,X,9.0,fly_ball,0,0,2023,-1.43,0.64,0.08,2.27,,,542303.0,1,2,Bot,198.0,114.73,,,608596,,,7.708183263981525,-138.39059158826953,-5.602291407951642,-20.05234545162148,31.22301601435855,-22.868093911050483,3.43,1.64,275.0,86.1,40.0,95.4,2042.0,6.5,718090,669923,608596,664034,676609,553993,641487,572041,672284,606192,54.04,0.011,0.014,0.0,1.0,0.0,0.0,3.0,15,1,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,213.0,-0.029,-0.312,orlando arcia,
