pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-23,96.0,-0.24,6.56,"Baker, Bryan",683011,641329,sac_fly,hit_into_play,,,,,13.0,Anthony Volpe out on a sacrifice fly to center fielder Cedric Mullins.   Isiah Kiner-Falefa scores.,R,R,R,NYY,BAL,X,8.0,fly_ball,0,0,2023,-0.04,1.35,-0.38,1.24,643396.0,,641432.0,1,10,Bot,145.87,52.08,,,668939,,,-0.2783751930163858,-139.41581602872418,-11.599609106721688,-0.4316124309970556,31.475966004658368,-12.151705477088871,3.1,1.47,367.0,100.0,31.0,96.7,2206.0,6.8,718058,641329,668939,663624,624428,683002,622761,669720,656775,663630,53.71,0.589,1.114,0.0,1.0,0.0,0.0,6.0,84,1,4-Seam Fastball,5,5,5,5,5,6,6,5,Strategic,Strategic,202.0,0.183,-0.227
SL,2023-05-23,88.2,-0.54,6.67,"Baker, Bryan",664056,641329,field_out,hit_into_play,,,,,6.0,"Harrison Bader grounds out, third baseman Gunnar Henderson to first baseman Ryan Mountcastle.   Isiah Kiner-Falefa to 3rd.",R,R,R,NYY,BAL,X,5.0,ground_ball,2,2,2023,0.73,0.15,0.51,2.22,,643396.0,,0,10,Bot,119.45,157.28,,,668939,,,1.035830123019114,-128.39975479494888,-5.072073470563301,7.860096050281738,26.03052897914558,-29.68643354932541,3.02,1.41,2.0,54.7,-48.0,88.6,2383.0,6.4,718058,641329,668939,663624,624428,683002,622761,669720,656775,663630,54.06,0.22,0.207,0.0,1.0,0.0,0.0,1.0,82,5,Slider,5,5,5,5,5,5,5,5,Standard,Standard,141.0,0.023,-0.214
SL,2023-05-23,88.5,-0.66,6.63,"Baker, Bryan",664056,641329,,foul_bunt,,,,,8.0,"Harrison Bader grounds out, third baseman Gunnar Henderson to first baseman Ryan Mountcastle.   Isiah Kiner-Falefa to 3rd.",R,R,R,NYY,BAL,S,,,2,1,2023,0.52,0.33,-0.04,1.74,,643396.0,,0,10,Bot,,,,,668939,,,0.4366541351783343,-128.92376922969314,-6.694033242089933,5.818690563561636,22.035843182900177,-27.469109037888916,3.02,1.41,0.0,,,89.6,2281.0,6.5,718058,641329,668939,663624,624428,683002,622761,669720,656775,663630,53.98,,,,,,,,82,4,Slider,5,5,5,5,5,5,5,5,Strategic,Standard,164.0,0.0,-0.123
FF,2023-05-23,96.6,-0.18,6.72,"Baker, Bryan",664056,641329,,foul,,,,,2.0,"Harrison Bader grounds out, third baseman Gunnar Henderson to first baseman Ryan Mountcastle.   Isiah Kiner-Falefa to 3rd.",R,R,R,NYY,BAL,S,,,2,0,2023,0.07,1.51,-0.09,2.53,,643396.0,,0,10,Bot,,,,,668939,,,0.1014975440767487,-140.47374423815864,-9.059492318124756,0.8649795616324766,30.5607483516801,-10.336357967918552,3.02,1.41,251.0,88.0,47.0,96.8,2277.0,6.3,718058,641329,668939,663624,624428,683002,622761,669720,656775,663630,54.17,,,,,,,,82,3,4-Seam Fastball,5,5,5,5,5,5,5,5,Strategic,Standard,197.0,0.0,-0.089
FF,2023-05-23,97.0,-0.39,6.64,"Baker, Bryan",664056,641329,,ball,,,,,14.0,"Harrison Bader grounds out, third baseman Gunnar Henderson to first baseman Ryan Mountcastle.   Isiah Kiner-Falefa to 3rd.",R,R,R,NYY,BAL,B,,,1,0,2023,-0.12,1.45,0.69,1.2,,643396.0,,0,10,Bot,,,,,668939,,,3.192853832899518,-140.92457013030108,-12.412044104781204,-2.2333425283842057,29.217225441395293,-10.298826640944158,3.02,1.36,,,,97.8,2372.0,6.6,718058,641329,668939,663624,624428,683002,622761,669720,656775,663630,53.86,,,,,,,,82,2,4-Seam Fastball,5,5,5,5,5,5,5,5,Strategic,Standard,198.0,0.0,0.073
FF,2023-05-23,96.1,-0.24,6.7,"Baker, Bryan",664056,641329,,ball,,,,,12.0,"Harrison Bader grounds out, third baseman Gunnar Henderson to first baseman Ryan Mountcastle.   Isiah Kiner-Falefa to 3rd.",R,R,R,NYY,BAL,B,,,0,0,2023,0.01,1.46,1.64,2.38,,643396.0,,0,10,Bot,,,,,668939,,,4.984802306501983,-139.61597840801446,-9.171607430907295,-1.021291350010088,30.4585246957575,-11.214177305285869,2.68,1.41,,,,96.2,2278.0,6.4,718058,641329,668939,663624,624428,683002,622761,669720,656775,663630,54.12,,,,,,,,82,1,4-Seam Fastball,5,5,5,5,5,5,5,5,Strategic,Standard,199.0,0.0,0.069
FF,2023-05-20,95.2,-0.29,6.45,"Baker, Bryan",662139,641329,field_out,hit_into_play,,,,,2.0,Daulton Varsho pops out to first baseman Ryan Mountcastle.,R,L,R,TOR,BAL,X,3.0,popup,2,1,2023,-0.44,1.65,0.14,3.14,,,,2,6,Bot,127.21,189.65,,,668939,,,2.126043253360793,-138.385308070076,-6.628834265455072,-6.1160344437818726,37.33010442869804,-9.814124905034278,3.37,1.51,26.0,85.2,79.0,94.5,2349.0,6.4,718102,641329,668939,663624,624428,687401,622761,679631,656775,623993,54.08,0.014,0.013,0.0,1.0,0.0,0.0,3.0,49,4,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,196.0,-0.01,-0.12
FF,2023-05-20,94.7,-0.34,6.51,"Baker, Bryan",662139,641329,,ball,,,,,3.0,Daulton Varsho pops out to first baseman Ryan Mountcastle.,R,L,R,TOR,BAL,B,,,1,1,2023,-0.19,1.56,0.77,3.23,,,,2,6,Bot,,,,,668939,,,3.31325107783296,-137.64483119218607,-6.267867646331292,-3.2701561245774484,35.855556150631585,-11.245610356300087,3.42,1.58,,,,93.8,2382.0,6.2,718102,641329,668939,663624,624428,687401,622761,679631,656775,623993,54.3,,,,,,,,49,3,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,187.0,0.0,0.023
FF,2023-05-20,95.8,-0.46,6.47,"Baker, Bryan",662139,641329,,foul,,,,,4.0,Daulton Varsho pops out to first baseman Ryan Mountcastle.,R,L,R,TOR,BAL,S,,,1,0,2023,-0.55,1.77,-0.55,2.47,,,,2,6,Bot,,,,,668939,,,0.9956133145507988,-139.20937705444155,-8.861193793429793,-7.294123666574071,35.75576028308205,-7.418862517280396,3.37,1.51,230.0,74.6,29.0,95.1,2441.0,6.3,718102,641329,668939,663624,624428,687401,622761,679631,656775,623993,54.18,,,,,,,,49,2,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,197.0,0.0,-0.027
FF,2023-05-20,95.3,-0.45,6.51,"Baker, Bryan",662139,641329,,ball,,,,,14.0,Daulton Varsho pops out to first baseman Ryan Mountcastle.,R,L,R,TOR,BAL,B,,,0,0,2023,-0.47,1.6,0.04,1.2,,,,2,6,Bot,,,,,668939,,,2.3364692674811662,-138.2534722068728,-11.730965094822698,-6.578217138001472,34.808838472199255,-9.091666432172032,3.31,1.51,,,,94.3,2458.0,6.2,718102,641329,668939,663624,624428,687401,622761,679631,656775,623993,54.33,,,,,,,,49,1,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,195.0,0.0,0.021
FF,2023-05-20,95.2,-0.2,6.4,"Baker, Bryan",643376,641329,home_run,hit_into_play,,,,,7.0,Danny Jansen homers (5) on a line drive to left field.,R,R,R,TOR,BAL,X,,line_drive,2,1,2023,-0.37,1.71,-0.49,1.52,,,,2,6,Bot,26.9,81.51,,,668939,,,0.0692675225692375,-138.2658064401485,-10.984564168671003,-4.760211784706008,33.44363033127017,-7.895565123780912,3.18,1.49,378.0,105.7,20.0,95.1,2391.0,6.6,718102,641329,668939,663624,624428,687401,622761,679631,656775,623993,53.95,0.771,1.112,2.0,1.0,0.0,3.0,6.0,48,4,4-Seam Fastball,2,2,2,2,2,3,3,2,Strategic,Standard,197.0,0.193,0.983
SL,2023-05-20,80.8,-0.42,6.6,"Baker, Bryan",643376,641329,,called_strike,,,,,6.0,Danny Jansen homers (5) on a line drive to left field.,R,R,R,TOR,BAL,S,,,2,0,2023,0.56,0.69,0.3,2.18,,,,2,6,Bot,,,,,668939,,,0.554660454233765,-117.61690756236902,-4.455022599262649,5.00693192272265,24.221521704696134,-25.121815976856062,3.04,1.49,,,,80.8,2201.0,6.5,718102,641329,668939,663624,624428,687401,622761,679631,656775,623993,54.04,,,,,,,,48,3,Slider,2,2,2,2,2,2,2,2,Strategic,Standard,151.0,0.0,-0.029
FF,2023-05-20,95.9,-0.62,6.5,"Baker, Bryan",643376,641329,,ball,,,,,12.0,Danny Jansen homers (5) on a line drive to left field.,R,R,R,TOR,BAL,B,,,1,0,2023,-0.06,1.61,0.98,3.57,,,,2,6,Bot,,,,,668939,,,4.3777310260168445,-139.46331727425436,-5.770568924145136,-1.823395286661869,32.990439570376644,-10.061813463523706,3.23,1.49,,,,96.0,2468.0,6.5,718102,641329,668939,663624,624428,687401,622761,679631,656775,623993,53.99,,,,,,,,48,2,4-Seam Fastball,2,2,2,2,2,2,2,2,Strategic,Standard,191.0,0.0,0.025
FF,2023-05-20,96.5,-0.2,6.55,"Baker, Bryan",643376,641329,,ball,,,,,11.0,Danny Jansen homers (5) on a line drive to left field.,R,R,R,TOR,BAL,B,,,0,0,2023,-0.23,1.68,-1.32,3.27,,,,2,6,Bot,,,,,668939,,,-2.4776669668731555,-140.29838535543058,-6.956394339977536,-2.364175072891728,33.82149482095149,-8.576124693204497,3.2,1.49,,,,96.4,2429.0,6.4,718102,641329,668939,663624,624428,687401,622761,679631,656775,623993,54.07,,,,,,,,48,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Strategic,Standard,193.0,0.0,0.021
FF,2023-05-20,95.8,-0.41,6.55,"Baker, Bryan",656305,641329,field_out,hit_into_play,,,,,3.0,Matt Chapman pops out to catcher Adley Rutschman in foul territory.,R,R,R,TOR,BAL,X,2.0,popup,3,1,2023,-0.4,1.75,0.33,3.52,,,,1,6,Bot,124.97,216.15,,,668939,,,2.8535114659115006,-139.3310490627328,-6.316352738423161,-5.863332291567639,35.0718597379635,-8.201127728568423,3.43,1.62,29.0,84.7,85.0,95.6,2416.0,6.5,718102,641329,668939,663624,624428,687401,622761,679631,656775,623993,54.02,0.001,0.0,0.0,1.0,0.0,0.0,3.0,47,5,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,194.0,-0.024,-0.28
SL,2023-05-20,85.1,-0.39,6.61,"Baker, Bryan",656305,641329,,ball,,,,,12.0,Matt Chapman pops out to catcher Adley Rutschman in foul territory.,R,R,R,TOR,BAL,B,,,2,1,2023,0.67,0.54,1.62,2.57,,,,1,6,Bot,,,,,668939,,,3.380997716890396,-123.7852303142081,-4.232085653194361,6.1627703364222,26.15625216227773,-25.9666252030811,3.37,1.62,,,,85.1,2345.0,6.5,718102,641329,668939,663624,624428,687401,622761,679631,656775,623993,54.03,,,,,,,,47,4,Slider,2,2,2,2,2,2,2,2,Standard,Standard,152.0,0.0,0.078
FF,2023-05-20,96.2,-0.39,6.52,"Baker, Bryan",656305,641329,,ball,,,,,11.0,Matt Chapman pops out to catcher Adley Rutschman in foul territory.,R,R,R,TOR,BAL,B,,,1,1,2023,-0.15,1.8,-0.33,3.65,,,,1,6,Bot,,,,,668939,,,0.5034219778860684,-139.87919476637924,-6.014406719200195,-2.049573406139806,38.08490664159719,-7.478418924981922,3.45,1.62,,,,95.7,2438.0,6.5,718102,641329,668939,663624,624428,687401,622761,679631,656775,623993,53.97,,,,,,,,47,3,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,195.0,0.0,0.037
FF,2023-05-20,95.7,-0.16,6.49,"Baker, Bryan",656305,641329,,called_strike,,,,,14.0,Matt Chapman pops out to catcher Adley Rutschman in foul territory.,R,R,R,TOR,BAL,S,,,1,0,2023,-0.34,1.75,0.9,1.91,,,,1,6,Bot,,,,,668939,,,3.575985080503995,-138.97223843340453,-10.358652756646965,-5.270113928410177,34.94998525834108,-7.296674548297385,3.48,1.72,,,,95.5,2429.0,6.6,718102,641329,668939,663624,624428,687401,622761,679631,656775,623993,53.95,,,,,,,,47,2,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,195.0,0.0,-0.035
