pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-04-29,85.3,2.12,5.87,"Banda, Anthony",595978,607455,walk,ball,,,,,12,Austin Hedges walks.   Jack Suwinski scores.    Tucupita Marcano to 3rd.    Ji Hwan Bae to 2nd.,R,R,L,WSH,PIT,B,,,3,2,2023,1.24,0.3,1.97,3.31,669261.0,672779.0,678225.0,0,8,Top,,,,,656180,,,-2.84078850846774,-124.19774544647537,-0.3381803858221406,13.40533991534937,24.82776220721438,-29.2366497258678,3.19,1.57,,,,85.2,1772.0,6.2,718383,607455,656180,642086,671277,600869,682928,656448,669743,657041,54.29,,,0.7,1.0,0.0,0.0,,65,7,Changeup,3,4,4,3,5,3,5,3,Strategic,Standard,111.0,-0.053,1.095
CH,2023-04-29,85.9,2.3,5.8,"Banda, Anthony",595978,607455,,foul,,,,,14,Austin Hedges walks.   Jack Suwinski scores.    Tucupita Marcano to 3rd.    Ji Hwan Bae to 2nd.,R,R,L,WSH,PIT,S,,,3,2,2023,1.15,0.49,1.03,2.27,669261.0,672779.0,678225.0,0,8,Top,,,,,656180,,,-5.379220599138362,-125.09886436582076,-3.167167004230268,13.188165260787446,22.970412305294325,-26.63117410679628,3.4,1.57,173.0,86.0,10.0,86.8,1722.0,6.6,718383,607455,656180,642086,671277,600869,682928,656448,669743,657041,53.89,,,,,,,,65,6,Changeup,3,4,4,3,4,3,4,3,Strategic,Standard,115.0,0.0,0.0
FF,2023-04-29,95.4,2.0,5.93,"Banda, Anthony",595978,607455,,foul,,,,,5,Austin Hedges walks.   Jack Suwinski scores.    Tucupita Marcano to 3rd.    Ji Hwan Bae to 2nd.,R,R,L,WSH,PIT,S,,,3,1,2023,1.12,1.06,0.27,2.7,669261.0,672779.0,678225.0,0,8,Top,,,,,656180,,,-7.085619055866226,-138.8029504348988,-5.288948302795589,16.012887681002894,29.14885458249418,-17.42173154864851,3.4,1.57,248.0,75.5,49.0,95.9,2133.0,6.5,718383,607455,656180,642086,671277,600869,682928,656448,669743,657041,54.04,,,,,,,,65,5,4-Seam Fastball,3,4,4,3,4,3,4,3,Strategic,Standard,137.0,0.0,-0.38
FF,2023-04-29,95.7,1.9,5.9,"Banda, Anthony",595978,607455,,ball,,,,,11,Austin Hedges walks.   Jack Suwinski scores.    Tucupita Marcano to 3rd.    Ji Hwan Bae to 2nd.,R,R,L,WSH,PIT,B,,,2,1,2023,1.18,0.89,-0.85,2.7,669261.0,672779.0,678225.0,0,8,Top,,,,,656180,,,-9.934372900361454,-139.07111561960153,-4.869437223629431,17.478112167665614,29.08761904969853,-19.712007097349844,3.28,1.57,,,,96.2,2070.0,6.5,718383,607455,656180,642086,671277,600869,682928,656448,669743,657041,53.98,,,,,,,,65,4,4-Seam Fastball,3,4,4,3,4,3,4,3,Strategic,Standard,132.0,0.0,0.235
CH,2023-04-29,86.7,2.09,5.85,"Banda, Anthony",595978,607455,,swinging_strike,,,,,9,Austin Hedges walks.   Jack Suwinski scores.    Tucupita Marcano to 3rd.    Ji Hwan Bae to 2nd.,R,R,L,WSH,PIT,S,,,2,0,2023,1.29,0.38,0.48,1.74,669261.0,672779.0,678225.0,0,8,Top,,,,,656180,,,-6.473326885521439,-126.05975737337322,-4.371785580352415,15.07093533833208,25.913147222549377,-27.461733401112067,3.4,1.57,,,,86.7,1831.0,6.4,718383,607455,656180,642086,671277,600869,682928,656448,669743,657041,54.12,,,,,,,,65,3,Changeup,3,4,4,3,4,3,4,3,Strategic,Standard,116.0,0.0,-0.197
FF,2023-04-29,95.8,2.31,5.8,"Banda, Anthony",595978,607455,,ball,,,,,13,Austin Hedges walks.   Jack Suwinski scores.    Tucupita Marcano to 3rd.    Ji Hwan Bae to 2nd.,R,R,L,WSH,PIT,B,,,1,0,2023,1.2,0.92,-0.18,1.01,669261.0,672779.0,678225.0,0,8,Top,,,,,656180,,,-9.286205122848964,-139.02854455165382,-9.153274273018893,17.61567252723065,29.822017486911538,-18.37056040519128,3.28,1.57,,,,96.2,2003.0,6.6,718383,607455,656180,642086,671277,600869,682928,656448,669743,657041,53.92,,,,,,,,65,2,4-Seam Fastball,3,4,4,3,4,3,4,3,Strategic,Standard,136.0,0.0,0.169
FF,2023-04-29,95.7,2.24,5.88,"Banda, Anthony",595978,607455,,ball,,,,,8,Austin Hedges walks.   Jack Suwinski scores.    Tucupita Marcano to 3rd.    Ji Hwan Bae to 2nd.,R,R,L,WSH,PIT,B,,,0,0,2023,1.28,0.9,-0.13,1.55,669261.0,672779.0,678225.0,0,8,Top,,,,,656180,,,-9.175147936654287,-138.86070782266597,-7.852737568387738,18.658638456753557,30.432263960738545,-18.88622377408176,3.49,1.63,,,,96.0,2170.0,6.6,718383,607455,656180,642086,671277,600869,682928,656448,669743,657041,53.93,,,,,,,,65,1,4-Seam Fastball,3,4,4,3,4,3,4,3,Strategic,Standard,140.0,0.0,0.072
FF,2023-04-29,93.9,1.8,6.08,"Banda, Anthony",678225,607455,single,hit_into_play,,,,,1,Ji Hwan Bae singles on a bunt ground ball to pitcher Anthony Banda.   Jack Suwinski to 3rd.    Tucupita Marcano to 2nd.,R,L,L,WSH,PIT,X,1.0,ground_ball,0,1,2023,1.18,1.04,-0.48,2.56,,669261.0,672779.0,0,8,Top,118.58,186.28,,,656180,,,-8.529891955923535,-136.37730867011717,-5.688312338399189,16.58727886866601,29.786744900212646,-18.11089639760539,2.91,1.39,4.0,36.5,-34.0,94.2,2030.0,6.6,718383,607455,656180,642086,671277,600869,682928,656448,669743,657041,53.93,0.289,0.26,0.9,1.0,1.0,0.0,1.0,64,2,4-Seam Fastball,3,4,4,3,4,3,4,3,Strategic,Standard,143.0,-0.061,0.145
FF,2023-04-29,95.6,2.04,6.01,"Banda, Anthony",678225,607455,,called_strike,,,,,1,Ji Hwan Bae singles on a bunt ground ball to pitcher Anthony Banda.   Jack Suwinski to 3rd.    Tucupita Marcano to 2nd.,R,L,L,WSH,PIT,S,,,0,0,2023,1.14,1.11,-0.55,2.48,,669261.0,672779.0,0,8,Top,,,,,656180,,,-9.400028913538266,-138.87169826611375,-6.2454001074791705,16.752350776642,29.04674121145886,-16.526448128421944,2.51,1.32,,,,96.1,2067.0,6.5,718383,607455,656180,642086,671277,600869,682928,656448,669743,657041,54.0,,,,,,,,64,1,4-Seam Fastball,3,4,4,3,4,3,4,3,Strategic,Standard,135.0,0.0,-0.111
FF,2023-04-29,95.2,1.92,6.03,"Banda, Anthony",672779,607455,hit_by_pitch,hit_by_pitch,,,,,12,"Nationals challenged (hit by pitch), call on the field was upheld: Tucupita Marcano hit by pitch.    Jack Suwinski to 2nd.",R,L,L,WSH,PIT,B,,,1,2,2023,1.12,1.32,1.0,3.8,,,669261.0,0,8,Top,,,,,656180,,,-4.952391603326604,-138.7049601796388,-3.226261050158997,15.556980616728673,28.32010613604005,-14.57155179079841,3.29,1.59,,,,95.9,2174.0,6.4,718383,607455,656180,642086,671277,600869,682928,656448,669743,657041,54.09,,,0.7,1.0,0.0,0.0,,63,4,4-Seam Fastball,3,4,4,3,4,3,4,3,Standard,Standard,141.0,-0.045,0.675
