pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SL,2023-05-17,82.1,1.87,5.51,"Bart, Joey",663698,621381,field_out,hit_into_play,,,,,8,"Joey Bart grounds out, shortstop Trea Turner to first baseman Kody Clemens.",R,R,L,SF,PHI,X,6.0,ground_ball,0,2,2023,-1.16,0.3,0.15,1.46,,666165.0,,2,3,Bot,108.11,163.11,,,592663,,,-1.6308669528852804,-119.7085958129928,-3.33781003744555,-11.04199956650288,19.35719591539659,-28.84716083775925,3.28,1.49,26.0,93.3,-2.0,82.3,,5.9,718143,621381,592663,665019,681082,664761,607208,656941,669016,592206,54.56,0.294,0.302,0.0,1.0,0.0,0.0,2.0,28,3,Slider,4,0,4,0,0,4,4,0,Strategic,Standard,,-0.012,-0.219,joey bart,
SL,2023-05-17,81.4,2.88,5.71,"Bart, Joey",663698,607755,hit_by_pitch,hit_by_pitch,,,,,13,Joey Bart hit by pitch.,R,R,L,SF,PHI,B,,,1,2,2023,-1.34,-0.12,-1.77,1.41,,,,0,6,Bot,,,,,592663,,,-7.8274205376416255,-118.33809653931624,-2.794826512127929,-10.953781027938026,23.71489645821356,-32.91666965758957,3.28,1.49,,,,80.9,2748.0,6.1,718143,607755,592663,665019,681082,664761,607208,656941,669016,592206,54.39,,,0.7,1.0,0.0,0.0,,51,4,Slider,4,4,4,4,4,4,4,4,Standard,Standard,311.0,0.051,0.455,joey bart,
FF,2023-05-17,93.8,1.95,5.38,"Bart, Joey",663698,621381,field_out,hit_into_play,,,,,1,"Joey Bart grounds out, first baseman Kody Clemens to pitcher Matt Strahm.",R,R,L,SF,PHI,X,3.0,ground_ball,3,2,2023,1.46,1.21,-0.66,3.1,,666165.0,543063.0,2,1,Bot,141.42,168.97,,,592663,,,-9.93989613206532,-136.14680649543826,-2.807704623909641,20.32063906765902,30.691778164736878,-16.65854392712908,3.28,1.49,52.0,47.7,7.0,93.5,2294.0,6.3,718143,621381,592663,665019,681082,664761,607208,656941,669016,592206,54.21,0.123,0.111,0.0,1.0,0.0,0.0,1.0,13,7,4-Seam Fastball,4,0,4,0,0,4,4,0,Strategic,Standard,137.0,-0.016,-0.471,joey bart,
SI,2023-05-17,97.8,2.2,5.41,"Bart, Joey",663698,642397,single,hit_into_play,,,,,5,Joey Bart singles on a bunt ground ball to pitcher Gregory Soto.   Brett Wisely to 3rd.    Mitch Haniger to 2nd.,R,R,L,SF,PHI,X,1.0,ground_ball,0,0,2023,1.56,0.69,-0.08,2.67,,689172.0,571745.0,0,8,Bot,121.28,194.52,,,592663,,,-9.808422020805132,-142.13380415987655,-3.503037514355169,23.363503842990987,30.898093110527554,-22.25073184873499,3.28,1.49,1.0,61.2,-78.0,98.6,2061.0,6.7,718143,642397,592663,664761,681082,543281,607208,656941,669016,592206,53.81,0.149,0.134,0.9,1.0,1.0,0.0,2.0,68,1,Sinker,4,4,4,4,4,4,4,4,Strategic,Standard,187.0,0.114,0.034,joey bart,
FF,2023-05-16,96.2,-2.11,5.31,"Bart, Joey",663698,554430,field_out,hit_into_play,,,,,2,Joey Bart flies out to right fielder Nick Castellanos.,R,R,R,SF,PHI,X,9.0,fly_ball,0,2,2023,-0.88,1.24,0.24,2.84,,,666165.0,1,6,Bot,183.21,90.81,,,592663,,,8.383048497808327,-139.8384414039985,-3.840030430445004,-13.449098947334376,30.969037207366966,-15.158631237978554,3.25,1.48,303.0,92.2,34.0,97.7,2447.0,7.2,718156,554430,592663,665019,681082,664761,607208,656941,669016,592206,53.34,0.063,0.109,0.0,1.0,0.0,0.0,3.0,56,3,4-Seam Fastball,4,2,4,2,2,4,4,2,Standard,Standard,224.0,-0.015,-0.197,joey bart,
FF,2023-05-16,95.8,-1.92,5.47,"Bart, Joey",663698,554430,double,hit_into_play,,,,,2,"Joey Bart doubles (5) on a pop up to first baseman Kody Clemens, deflected by second baseman Bryson Stott.   Casey Schmitt scores.",R,R,R,SF,PHI,X,4.0,popup,2,0,2023,-0.18,1.36,-0.22,3.08,,,669477.0,2,4,Bot,155.32,170.93,,,592663,,,4.978262194125233,-139.5017760490944,-3.853060032115684,-3.476830477338554,31.64040598763544,-13.715754931362277,3.25,1.48,144.0,83.3,64.0,97.3,2527.0,7.1,718156,554430,592663,665019,681082,664761,607208,656941,669016,592206,53.36,0.006,0.006,1.25,1.0,1.0,1.0,3.0,40,3,4-Seam Fastball,2,2,2,2,2,3,3,2,Standard,Standard,216.0,0.149,0.694,joey bart,
FF,2023-05-16,96.5,-1.91,5.45,"Bart, Joey",663698,554430,field_out,hit_into_play,,,,,2,Joey Bart flies out to center fielder Brandon Marsh.,R,R,R,SF,PHI,X,8.0,fly_ball,3,2,2023,-0.53,1.37,0.18,3.28,,,666165.0,0,3,Bot,119.31,67.08,,,592663,,,6.856188732669201,-140.3677391682447,-3.3717534580752475,-8.511593142474757,32.01884937161067,-13.523723495109545,3.25,1.48,327.0,88.9,32.0,98.0,2456.0,7.2,718156,554430,592663,665019,681082,664761,607208,656941,669016,592206,53.34,0.029,0.037,0.0,1.0,0.0,0.0,3.0,24,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,220.0,-0.037,-0.463,joey bart,
FF,2023-05-15,89.5,0.75,5.89,"Bart, Joey",663698,663559,field_out,hit_into_play,,,,,11,Joey Bart pops out to first baseman Alec Bohm in foul territory.,R,R,L,SF,PHI,X,3.0,popup,3,2,2023,-0.05,1.4,-0.77,3.83,,669477.0,,1,5,Bot,161.75,177.94,,,592663,,,-3.714448877458833,-130.36562061142862,-2.074180626404125,0.1562669746975715,27.05921544590216,-16.00463921720429,3.25,1.48,107.0,49.1,57.0,91.4,1939.0,7.3,718170,663559,592663,664761,681082,624641,607208,656941,669016,592206,53.16,0.006,0.005,0.0,1.0,0.0,0.0,1.0,46,7,4-Seam Fastball,6,2,6,2,2,6,6,2,Standard,Standard,179.0,-0.008,-0.36,joey bart,
CU,2023-05-15,75.3,0.92,5.89,"Bart, Joey",663698,663559,strikeout,called_strike,,,,,6,Joey Bart called out on strikes.,R,R,L,SF,PHI,S,2.0,,3,2,2023,-0.51,-0.62,0.52,2.42,,,,0,3,Bot,,,,,592663,,,0.0664761784320605,-109.68184551295664,1.0010913171986455,-4.165473921264531,18.19421952505625,-37.57343846836504,3.27,1.47,,,,76.4,2020.0,6.9,718170,663559,592663,664761,681082,624641,607208,656941,669016,592206,53.59,,,0.0,1.0,0.0,0.0,,30,6,Curveball,6,2,6,2,2,6,6,2,Standard,Standard,312.0,-0.007,-0.315,joey bart,
FS,2023-05-15,90.7,-2.46,6.06,"Bart, Joey",663698,656546,strikeout,swinging_strike,,,,,6,Joey Bart strikes out swinging.,R,R,R,SF,PHI,S,2.0,,1,2,2023,-1.38,0.68,0.33,2.16,,,,0,8,Bot,,,,,592663,,,10.037908623797769,-131.726128564014,-5.330302601304489,-18.14240074699364,26.52102857849672,-23.304966824163845,3.25,1.48,,,,91.7,1395.0,6.9,718170,656546,592663,664761,681082,624641,607208,656941,669016,592206,53.64,,,0.0,1.0,0.0,0.0,,69,5,Split-Finger,6,3,6,3,3,6,6,3,Standard,Standard,234.0,-0.003,-0.175,joey bart,
