pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-24,101.0,0.07,6.96,"Bautista, Félix",519203,642585,strikeout,swinging_strike,,,,,12,Anthony Rizzo strikes out swinging.,R,L,R,NYY,BAL,S,2.0,,0,2,2023,-0.7,1.71,0.03,4.58,,592450.0,,2,9,Bot,,,,,543510,,,1.5850255032357363,-147.0996783567633,-5.407341180627126,-10.60050368464209,35.16540630668099,-6.226477494355852,3.77,1.76,,,,101.5,2392.0,6.5,718040,642585,543510,663624,624428,683002,622761,669720,656775,663630,53.98,,,0.0,1.0,0.0,0.0,,79,3,4-Seam Fastball,6,9,6,9,9,6,6,9,Standard,Standard,179.0,-0.016,-0.216
FF,2023-05-24,100.0,0.3,6.94,"Bautista, Félix",519203,642585,,swinging_strike,,,,,1,Anthony Rizzo strikes out swinging.,R,L,R,NYY,BAL,S,,,0,1,2023,-0.57,1.58,-0.78,3.15,,,592450.0,2,9,Bot,,,,,543510,,,-1.6306813939249745,-145.45180015573774,-8.82568820229784,-7.711446308973347,34.24594501523832,-7.88157426287357,3.77,1.76,,,,100.4,2586.0,6.5,718040,642585,543510,663624,624428,683002,622761,669720,656775,663630,53.96,,,,,,,,79,2,4-Seam Fastball,6,9,6,9,9,6,6,9,Standard,Standard,180.0,0.002,-0.038
FF,2023-05-24,99.2,0.35,6.89,"Bautista, Félix",519203,642585,,foul,,,,,9,Anthony Rizzo strikes out swinging.,R,L,R,NYY,BAL,S,,,0,0,2023,-0.3,1.79,0.68,2.05,,,592450.0,2,9,Bot,,,,,543510,,,1.5956598460328704,-143.96425341759385,-12.030687238911096,-4.550353720439381,34.31844968776108,-4.6686251308146565,3.77,1.76,6.0,83.6,-18.0,99.8,2386.0,6.8,718040,642585,543510,663624,624428,683002,622761,669720,656775,663630,53.69,,,,,,,,79,1,4-Seam Fastball,6,9,6,9,9,6,6,9,Standard,Standard,182.0,0.0,-0.036
FF,2023-05-24,97.6,0.29,7.06,"Bautista, Félix",592450,642585,walk,ball,,,,,12,Aaron Judge walks.,R,R,R,NYY,BAL,B,,,3,2,2023,-0.79,1.63,0.92,5.03,,,,2,9,Bot,,,,,543510,,,3.5561180844152047,-142.02896348243212,-3.680343011258113,-11.480886035383795,34.23321019579746,-9.57208952347418,3.99,1.72,,,,98.0,2257.0,6.6,718040,642585,543510,663624,624428,683002,622761,669720,656775,663630,53.87,,,0.7,1.0,0.0,0.0,,78,6,4-Seam Fastball,6,9,6,9,9,6,6,9,Standard,Standard,179.0,0.009,0.112
FF,2023-05-24,99.4,0.3,7.03,"Bautista, Félix",592450,642585,,ball,,,,,3,Aaron Judge walks.,R,R,R,NYY,BAL,B,,,2,2,2023,-0.65,1.5,0.68,3.98,,,,2,9,Bot,,,,,543510,,,2.580687789716629,-144.6437668824812,-6.503626064829157,-9.751456515801747,34.0316373770146,-9.838859305426794,3.88,1.85,,,,100.0,2292.0,6.7,718040,642585,543510,663624,624428,683002,622761,669720,656775,663630,53.85,,,,,,,,78,5,4-Seam Fastball,6,9,6,9,9,6,6,9,Standard,Standard,184.0,0.0,0.041
FF,2023-05-24,98.1,0.11,7.02,"Bautista, Félix",592450,642585,,foul,,,,,5,Aaron Judge walks.,R,R,R,NYY,BAL,S,,,2,1,2023,-0.66,1.75,-0.08,2.91,,,,2,9,Bot,,,,,543510,,,1.0361778722918265,-142.6944995412073,-9.754944391270447,-9.244067200692744,31.937341871249245,-6.177159657348024,3.83,1.8,226.0,78.3,49.0,98.7,2308.0,6.6,718040,642585,543510,663624,624428,683002,622761,669720,656775,663630,53.91,,,,,,,,78,4,4-Seam Fastball,6,9,6,9,9,6,6,9,Standard,Standard,185.0,0.0,-0.03
FF,2023-05-24,100.9,0.25,6.94,"Bautista, Félix",592450,642585,,ball,,,,,12,Aaron Judge walks.,R,R,R,NYY,BAL,B,,,1,1,2023,-0.58,1.68,1.23,3.19,,,,2,9,Bot,,,,,543510,,,4.154129775753882,-146.6796426001687,-9.18388445451644,-9.320493468025518,35.03688224843437,-5.869762698599159,3.99,1.77,,,,101.7,2317.0,6.8,718040,642585,543510,663624,624428,683002,622761,669720,656775,663630,53.69,,,,,,,,78,3,4-Seam Fastball,6,9,6,9,9,6,6,9,Standard,Standard,183.0,0.0,0.023
FF,2023-05-24,97.6,0.15,6.96,"Bautista, Félix",592450,642585,,foul,,,,,5,Aaron Judge walks.,R,R,R,NYY,BAL,S,,,1,0,2023,-0.6,1.63,0.01,2.44,,,,2,9,Bot,,,,,543510,,,0.9988425976038104,-141.7731811233011,-10.410621407696508,-8.253928057193752,32.980479215459454,-8.065341474722167,3.83,1.8,229.0,83.0,53.0,97.8,2341.0,6.6,718040,642585,543510,663624,624428,683002,622761,669720,656775,663630,53.94,,,,,,,,78,2,4-Seam Fastball,6,9,6,9,9,6,6,9,Standard,Standard,181.0,0.0,-0.027
SL,2023-05-24,87.6,-0.35,6.83,"Bautista, Félix",592450,642585,,ball,,,,,14,Aaron Judge walks.,R,R,R,NYY,BAL,B,,,0,0,2023,0.28,0.09,1.84,1.25,,,,2,9,Bot,,,,,543510,,,4.751622908330247,-127.26937045053782,-7.504765306534507,1.954008647873547,27.904589146600976,-29.74264716729401,3.94,1.83,,,,87.8,2498.0,6.7,718040,642585,543510,663624,624428,683002,622761,669720,656775,663630,53.83,,,,,,,,78,1,Slider,6,9,6,9,9,6,6,9,Standard,Standard,100.0,0.0,0.021
FF,2023-05-24,99.0,0.45,7.05,"Bautista, Félix",650402,642585,strikeout,swinging_strike,,,,,12,Gleyber Torres strikes out swinging.,R,R,R,NYY,BAL,S,2.0,,1,2,2023,-0.49,1.69,0.59,3.31,,,,1,9,Bot,,,,,543510,,,1.5119079190530316,-143.9433671360249,-8.777780671398215,-7.103488175468313,34.03695558490222,-6.827665425535615,3.07,1.4,,,,99.5,2361.0,6.6,718040,642585,543510,663624,624428,683002,622761,669720,656775,663630,53.87,,,0.0,1.0,0.0,0.0,,77,4,4-Seam Fastball,6,9,6,9,9,6,6,9,Standard,Standard,187.0,-0.012,-0.122
FF,2023-05-24,100.1,0.01,7.02,"Bautista, Félix",650402,642585,,called_strike,,,,,3,Gleyber Torres strikes out swinging.,R,R,R,NYY,BAL,S,,,1,1,2023,-0.4,1.58,0.52,2.81,,,,1,9,Bot,,,,,543510,,,2.381857829024417,-145.45042110741588,-9.9988306677263,-6.303832957213976,33.97833782102461,-7.564846175633842,3.07,1.29,,,,100.5,2487.0,6.6,718040,642585,543510,663624,624428,683002,622761,669720,656775,663630,53.9,,,,,,,,77,3,4-Seam Fastball,6,9,6,9,9,6,6,9,Standard,Standard,184.0,0.0,-0.044
FS,2023-05-24,86.1,-0.37,6.95,"Bautista, Félix",650402,642585,,ball,,,,,11,Gleyber Torres strikes out swinging.,R,R,R,NYY,BAL,B,,,0,1,2023,-0.45,0.53,-0.79,3.52,,,,1,9,Bot,,,,,543510,,,-0.0685051983185956,-125.39271878737324,-2.972270864474407,-4.752393571373926,27.331587037877437,-26.1478940096994,3.15,1.53,,,,86.5,893.0,6.6,718040,642585,543510,663624,624428,683002,622761,669720,656775,663630,53.85,,,,,,,,77,2,Split-Finger,6,9,6,9,9,6,6,9,Standard,Standard,229.0,0.0,0.021
SL,2023-05-24,86.4,-0.59,6.8,"Bautista, Félix",650402,642585,,called_strike,,,,,12,Gleyber Torres strikes out swinging.,R,R,R,NYY,BAL,S,,,0,0,2023,0.36,-0.23,0.71,3.39,,,,1,9,Bot,,,,,543510,,,2.3728049246301266,-125.79856655162892,-1.3774749496565366,3.294075573457839,28.768346737850617,-34.493341712470624,3.17,1.43,,,,86.3,2397.0,6.5,718040,642585,543510,663624,624428,683002,622761,669720,656775,663630,53.99,,,,,,,,77,1,Slider,6,9,6,9,9,6,6,9,Standard,Standard,97.0,0.0,-0.028
FF,2023-05-24,98.7,-0.12,6.93,"Bautista, Félix",666163,642585,field_out,hit_into_play,,,,,8,"Ben Rortvedt grounds out, shortstop Jorge Mateo to first baseman Ryan Mountcastle.",R,L,R,NYY,BAL,X,6.0,ground_ball,1,1,2023,-0.56,1.5,-0.21,1.49,,,,0,9,Bot,120.14,158.69,,,543510,,,1.0424352263972572,-143.1643138157929,-12.783710636527957,-7.881445859411535,34.407423174406674,-8.80142021260016,3.1,1.46,110.0,99.2,3.0,98.6,2352.0,6.5,718040,642585,543510,663624,624428,683002,622761,669720,656775,663630,54.0,0.463,0.433,0.0,1.0,0.0,0.0,4.0,76,3,4-Seam Fastball,6,9,6,9,9,6,6,9,Standard,Standard,191.0,-0.021,-0.228
FF,2023-05-24,98.5,-0.23,6.97,"Bautista, Félix",666163,642585,,swinging_strike,,,,,2,"Ben Rortvedt grounds out, shortstop Jorge Mateo to first baseman Ryan Mountcastle.",R,L,R,NYY,BAL,S,,,1,0,2023,-0.18,1.62,-0.1,2.67,,,,0,9,Bot,,,,,543510,,,0.7890636445128671,-143.16543461421722,-9.980107033904307,-2.697293704108896,34.49290765159468,-7.740339034339069,3.1,1.46,,,,98.6,2388.0,6.5,718040,642585,543510,663624,624428,683002,622761,669720,656775,663630,54.0,,,,,,,,76,2,4-Seam Fastball,6,9,6,9,9,6,6,9,Standard,Standard,188.0,0.0,-0.046
FF,2023-05-24,97.9,0.04,6.99,"Bautista, Félix",666163,642585,,ball,,,,,14,"Ben Rortvedt grounds out, shortstop Jorge Mateo to first baseman Ryan Mountcastle.",R,L,R,NYY,BAL,B,,,0,0,2023,-0.4,1.77,1.82,1.97,,,,0,9,Bot,,,,,543510,,,5.75787979719814,-141.9948712629154,-12.105873971321325,-6.798946179660394,34.24148964033959,-5.596815936314243,3.21,1.49,,,,98.0,2445.0,6.6,718040,642585,543510,663624,624428,683002,622761,669720,656775,663630,53.88,,,,,,,,76,1,4-Seam Fastball,6,9,6,9,9,6,6,9,Standard,Standard,183.0,0.0,0.039
FF,2023-05-23,101.7,0.28,7.09,"Bautista, Félix",518934,642585,strikeout,swinging_strike,,,,,11,DJ LeMahieu strikes out swinging.,R,R,R,NYY,BAL,S,2.0,,0,2,2023,-0.46,1.71,-0.15,3.93,,,,2,9,Bot,,,,,668939,,,-0.1060812839106117,-147.9301605380136,-7.684115179259585,-6.691908369282545,37.97776606993085,-5.467020635659963,3.33,1.57,,,,102.3,2486.0,6.8,718058,642585,668939,663624,624428,683002,622761,669720,656775,663630,53.68,,,0.0,1.0,0.0,0.0,,78,3,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,185.0,-0.033,-0.057
FF,2023-05-23,98.7,0.35,7.04,"Bautista, Félix",518934,642585,,foul,,,,,11,DJ LeMahieu strikes out swinging.,R,R,R,NYY,BAL,S,,,0,1,2023,-0.47,1.64,-0.38,4.08,,,,2,9,Bot,,,,,668939,,,-0.8760277196758933,-143.57179777371826,-6.432652498395217,-6.322608445942144,34.88195505948612,-8.283060435313672,3.33,1.57,262.0,81.1,29.0,99.2,2299.0,6.7,718058,642585,668939,663624,624428,683002,622761,669720,656775,663630,53.78,,,,,,,,78,2,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,185.0,0.0,-0.025
FF,2023-05-23,99.0,0.1,7.07,"Bautista, Félix",518934,642585,,foul,,,,,2,DJ LeMahieu strikes out swinging.,R,R,R,NYY,BAL,S,,,0,0,2023,-0.44,1.64,-0.28,3.07,,,,2,9,Bot,,,,,668939,,,0.0083157164799979,-144.02567998420324,-9.36846879242831,-6.093931110547682,33.24291996163981,-7.415153772259231,3.33,1.57,,,,99.8,2342.0,6.7,718058,642585,668939,663624,624428,683002,622761,669720,656775,663630,53.76,,,,,,,,78,1,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,185.0,0.0,-0.021
FF,2023-05-23,99.8,0.2,7.1,"Bautista, Félix",519203,642585,strikeout,swinging_strike,,,,,11,Anthony Rizzo strikes out swinging.,R,L,R,NYY,BAL,S,2.0,,1,2,2023,-0.35,1.86,-0.3,4.23,,,,1,9,Bot,,,,,668939,,,-0.5665412957724844,-145.20771440926492,-6.8968323241711005,-4.743583837957934,36.434451936530735,-4.5612034951643015,3.78,1.76,,,,100.3,2438.0,6.7,718058,642585,668939,663624,624428,683002,622761,669720,656775,663630,53.77,,,0.0,1.0,0.0,0.0,,77,4,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,185.0,-0.044,-0.122
