pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
ST,2023-05-22,78.7,-2.77,5.82,"Beck, Tristan",621439,663941,hit_by_pitch,hit_by_pitch,,,,,11,Byron Buxton hit by pitch.,R,R,R,MIN,SF,B,,,1,1,2023,1.55,-0.44,-1.93,4.08,,,,1,8,Bot,,,,,672275,,,-1.068623157393828,-114.53560816518294,3.94292066508414,13.765167660143376,22.6094881609984,-37.0168839516764,3.34,1.53,,,,78.9,2569.0,6.6,718067,663941,672275,664774,689172,669477,543063,669369,573262,624424,53.92,,,0.7,1.0,0.0,0.0,,64,3,Sweeper,1,4,1,4,4,1,1,4,Standard,Standard,59.0,0.03,0.281
ST,2023-05-22,81.5,-2.79,5.72,"Beck, Tristan",621439,663941,,ball,,,,,14,Byron Buxton hit by pitch.,R,R,R,MIN,SF,B,,,0,1,2023,1.27,-0.4,1.39,1.48,,,,1,8,Bot,,,,,672275,,,6.99509035123309,-118.4789553631695,-2.113768228529401,10.52702612746393,24.00774434089863,-35.742309574533955,3.34,1.53,,,,81.8,2706.0,6.7,718067,663941,672275,664774,689172,669477,543063,669369,573262,624424,53.83,,,,,,,,64,2,Sweeper,1,4,1,4,4,1,1,4,Strategic,Standard,53.0,0.0,0.021
FF,2023-05-22,94.2,-2.45,6.07,"Beck, Tristan",621439,663941,,called_strike,,,,,3,Byron Buxton hit by pitch.,R,R,R,MIN,SF,S,,,0,0,2023,-0.64,1.46,0.31,2.92,,,,1,8,Bot,,,,,672275,,,8.655908304450092,-136.91851858144076,-5.800678525281484,-9.868213719205306,28.6259503387207,-12.671991051292286,3.37,1.53,,,,95.2,2198.0,6.8,718067,663941,672275,664774,689172,669477,543063,669369,573262,624424,53.66,,,,,,,,64,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Strategic,Standard,208.0,0.0,-0.028
FF,2023-05-22,95.2,-2.4,6.1,"Beck, Tristan",621043,663941,strikeout,called_strike,,,,,7,Carlos Correa called out on strikes.,R,R,R,MIN,SF,S,2.0,,1,2,2023,-0.52,1.4,-0.33,2.26,,,,0,8,Bot,,,,,672275,,,6.630026934820604,-138.37561151757438,-7.658579545556572,-8.123305449862485,28.62121589468424,-12.61817045684125,3.63,1.71,,,,96.1,2237.0,6.7,718067,663941,672275,664774,689172,669477,543063,669369,573262,624424,53.79,,,0.0,1.0,0.0,0.0,,63,4,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,204.0,-0.025,-0.175
SL,2023-05-22,86.5,-2.44,6.04,"Beck, Tristan",621043,663941,,foul,,,,,4,Carlos Correa called out on strikes.,R,R,R,MIN,SF,S,,,1,1,2023,0.35,0.09,-0.3,2.8,,,,0,8,Bot,,,,,672275,,,4.425743612979672,-126.10123600805882,-1.810167849846364,2.9769759671737046,22.436617498171035,-31.07143119197102,3.51,1.71,166.0,62.7,44.0,87.8,2534.0,6.7,718067,663941,672275,664774,689172,669477,543063,669369,573262,624424,53.78,,,,,,,,63,3,Slider,1,4,1,4,4,1,1,4,Standard,Standard,111.0,0.0,-0.053
ST,2023-05-22,81.8,-2.74,5.74,"Beck, Tristan",621043,663941,,ball,,,,,14,Carlos Correa called out on strikes.,R,R,R,MIN,SF,B,,,0,1,2023,1.09,-0.41,1.99,1.92,,,,0,8,Bot,,,,,672275,,,8.657898290903086,-118.87694700742304,-1.2602870226919631,8.759615418734134,21.99740091742021,-36.0494287478369,3.66,1.71,,,,82.8,2675.0,6.9,718067,663941,672275,664774,689172,669477,543063,669369,573262,624424,53.57,,,,,,,,63,2,Sweeper,1,4,1,4,4,1,1,4,Standard,Standard,58.0,0.0,0.03
FF,2023-05-22,94.3,-2.42,6.07,"Beck, Tristan",621043,663941,,called_strike,,,,,1,Carlos Correa called out on strikes.,R,R,R,MIN,SF,S,,,0,0,2023,-0.46,1.41,-0.29,3.37,,,,0,8,Bot,,,,,672275,,,6.590220623247922,-137.24949174687563,-4.535969215465779,-7.1387666360267374,26.501031985717137,-13.46963657849176,3.63,1.71,,,,95.5,2221.0,6.7,718067,663941,672275,664774,689172,669477,543063,669369,573262,624424,53.79,,,,,,,,63,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,204.0,0.0,-0.037
SL,2023-05-22,86.2,-2.77,5.78,"Beck, Tristan",664247,663941,home_run,hit_into_play,,,,,7,Kyle Garlick homers (2) on a fly ball to left center field.,R,R,R,MIN,SF,X,,fly_ball,2,0,2023,0.37,0.32,-0.5,2.01,,,,0,8,Bot,59.86,38.75,,,672275,,,4.6954771004711935,-125.59555964027132,-3.4858791512498044,3.129152662538805,22.057758074880187,-28.33887181383819,3.36,1.61,427.0,103.7,32.0,87.3,2451.0,6.6,718067,663941,672275,664774,689172,669477,543063,669369,573262,624424,53.89,0.777,1.551,2.0,1.0,0.0,3.0,6.0,62,3,Slider,0,4,0,4,4,1,1,4,Standard,Standard,159.0,0.04,0.895
SL,2023-05-22,87.1,-2.51,5.95,"Beck, Tristan",664247,663941,,ball,,,,,14,Kyle Garlick homers (2) on a fly ball to left center field.,R,R,R,MIN,SF,B,,,1,0,2023,0.6,0.36,1.67,1.59,,,,0,8,Bot,,,,,672275,,,8.885634910731948,-126.61312545750076,-5.138225463961308,4.911307369938514,22.510206794940984,-27.525134440324948,3.36,1.61,,,,88.4,2465.0,6.8,718067,663941,672275,664774,689172,669477,543063,669369,573262,624424,53.66,,,,,,,,62,2,Slider,0,4,0,4,4,0,0,4,Standard,Standard,132.0,0.0,0.066
SL,2023-05-22,87.5,-2.47,5.95,"Beck, Tristan",664247,663941,,ball,,,,,14,Kyle Garlick homers (2) on a fly ball to left center field.,R,R,R,MIN,SF,B,,,0,0,2023,0.41,0.47,0.67,0.97,,,,0,8,Bot,,,,,672275,,,6.8121690625845135,-127.26379726493144,-6.9935220752016125,3.324340193093161,22.399155126551264,-25.899821819951853,3.36,1.61,,,,88.9,2422.0,6.9,718067,663941,672275,664774,689172,669477,543063,669369,573262,624424,53.64,,,,,,,,62,1,Slider,0,4,0,4,4,0,0,4,Strategic,Standard,165.0,0.0,0.039
FF,2023-05-22,92.8,-2.42,6.01,"Beck, Tristan",543877,663941,field_out,hit_into_play,,,,,12,"Christian Vazquez grounds out, pitcher Tristan Beck to first baseman LaMonte Wade Jr.",R,R,R,MIN,SF,X,1.0,ground_ball,3,1,2023,-0.49,1.4,0.94,2.83,,,,2,7,Bot,124.05,186.68,,,672275,,,9.804163166064091,-134.8490183090545,-5.505058935546783,-8.017469842891249,27.86017063954385,-13.965360455824598,3.1,1.55,2.0,63.2,-56.0,94.2,2104.0,7.0,718067,663941,672275,664774,689172,669477,543063,666165,573262,624424,53.45,0.306,0.287,0.0,1.0,0.0,0.0,2.0,56,5,4-Seam Fastball,0,4,0,4,4,0,0,4,Strategic,Standard,207.0,-0.005,-0.176
SL,2023-05-22,88.0,-2.43,5.95,"Beck, Tristan",543877,663941,,ball,,,,,14,"Christian Vazquez grounds out, pitcher Tristan Beck to first baseman LaMonte Wade Jr.",R,R,R,MIN,SF,B,,,2,1,2023,0.46,0.2,1.49,1.61,,,,2,7,Bot,,,,,672275,,,8.589584489810678,-127.97889114699692,-4.916166893829982,3.566727806112791,23.294760928984243,-29.235477612303143,3.1,1.55,,,,89.0,2568.0,6.7,718067,663941,672275,664774,689172,669477,543063,666165,573262,624424,53.81,,,,,,,,56,4,Slider,0,4,0,4,4,0,0,4,Strategic,Standard,154.0,0.0,0.056
FF,2023-05-22,94.2,-2.71,5.89,"Beck, Tristan",543877,663941,,ball,,,,,11,"Christian Vazquez grounds out, pitcher Tristan Beck to first baseman LaMonte Wade Jr.",R,R,R,MIN,SF,B,,,1,1,2023,-0.8,1.31,-1.58,3.56,,,,2,7,Bot,,,,,672275,,,4.77226174419854,-137.21009982297457,-3.2987537622075216,-11.139280122993584,29.51071827528156,-15.114203084564842,3.16,1.55,,,,95.3,2267.0,6.8,718067,663941,672275,664774,689172,669477,543063,666165,573262,624424,53.66,,,,,,,,56,3,4-Seam Fastball,0,4,0,4,4,0,0,4,Strategic,Standard,210.0,0.0,0.023
FF,2023-05-22,94.3,-2.56,5.95,"Beck, Tristan",543877,663941,,called_strike,,,,,7,"Christian Vazquez grounds out, pitcher Tristan Beck to first baseman LaMonte Wade Jr.",R,R,R,MIN,SF,S,,,1,0,2023,-0.8,1.37,-0.29,1.88,,,,2,7,Bot,,,,,672275,,,7.750906782929289,-137.00902230660054,-8.024897067413587,-11.726054220083665,27.49911731699492,-13.26998319364186,3.22,1.55,,,,95.3,2202.0,6.7,718067,663941,672275,664774,689172,669477,543063,666165,573262,624424,53.76,,,,,,,,56,2,4-Seam Fastball,0,4,0,4,4,0,0,4,Strategic,Standard,202.0,0.0,-0.027
