pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FC,2023-05-15,83.5,0.8,6.19,"Bellinger, Cody",641355,664285,single,hit_into_play,,,,,8,Cody Bellinger singles on a ground ball to right fielder Kyle Tucker.,R,L,L,HOU,CHC,X,9.0,ground_ball,1,2,2023,-0.33,-0.41,0.06,2.03,,,,0,4,Top,178.09,129.79,,,455117,,,-1.0421542736198814,-121.69484742561494,-2.358450954064934,-3.107553932986894,23.600844207805853,-35.996839141671785,3.74,1.74,11.0,96.2,-10.0,83.3,2660.0,6.0,718158,664285,455117,547989,643289,608324,665161,670541,676694,663656,54.48,0.203,0.183,0.9,1.0,1.0,0.0,2.0,29,4,Cutter,4,0,0,4,0,4,0,4,Strategic,Standard,314.0,-0.029,0.453,cody bellinger,
SI,2023-05-15,95.9,0.66,6.34,"Bellinger, Cody",641355,664285,field_out,hit_into_play,,,,,6,Cody Bellinger grounds out to first baseman Jose Abreu.,R,L,L,HOU,CHC,X,3.0,ground_ball,1,0,2023,1.43,0.45,0.63,2.69,,,,1,2,Top,149.68,175.55,,,455117,,,-3.245746391511073,-139.4585214558588,-4.921081351263446,19.343408470859764,35.497859119404694,-25.339684784163257,3.74,1.74,3.0,73.1,-45.0,94.1,2246.0,5.6,718158,664285,455117,547989,643289,608324,665161,670541,676694,663656,54.94,0.149,0.139,0.0,1.0,0.0,0.0,2.0,13,2,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,145.0,0.011,-0.2,cody bellinger,
CU,2023-05-15,73.3,-1.18,5.43,"Bellinger, Cody",641355,664208,field_out,hit_into_play,,,,,7,Cody Bellinger grounds out to first baseman Jose Abreu.,R,L,R,HOU,CHC,X,3.0,ground_ball,1,2,2023,1.55,-1.01,-0.43,1.77,,,,1,5,Top,153.14,165.24,,,455117,,,-1.184403857304428,-106.48075094471844,1.9679153423515583,11.78071641586724,23.14669191069728,-40.40395440121317,3.74,1.74,8.0,59.0,-12.0,73.5,3166.0,7.2,718158,664208,455117,547989,643289,608324,665161,670541,676694,663656,53.34,0.077,0.074,0.0,1.0,0.0,0.0,1.0,41,4,Curveball,4,4,4,4,4,4,4,4,Strategic,Standard,52.0,0.021,-0.122,cody bellinger,
FF,2023-05-13,93.5,-2.64,5.02,"Bellinger, Cody",641355,657746,strikeout,foul_tip,,,,,11,Cody Bellinger strikes out on a foul tip.,R,L,R,MIN,CHC,S,2.0,,1,2,2023,-0.67,1.39,-0.16,4.02,,,,1,6,Top,,,,,680777,,,7.885600129598338,-135.98622609920253,0.1070576477993242,-10.100939247606414,30.125909357100063,-15.176834485041278,3.7,1.75,,,,93.8,2255.0,6.5,718195,657746,680777,608336,593871,571657,621043,650489,624503,663616,54.01,,,0.0,1.0,0.0,0.0,,46,5,4-Seam Fastball,7,0,0,7,0,7,0,7,Strategic,Standard,224.0,0.002,-0.122,cody bellinger,
FF,2023-05-13,91.8,-2.64,5.72,"Bellinger, Cody",641355,663485,field_out,hit_into_play,,,,,4,Cody Bellinger lines out sharply to right fielder Joey Gallo.,R,L,R,MIN,CHC,X,9.0,line_drive,3,2,2023,-1.06,1.45,-0.44,2.76,,663611.0,664023.0,2,9,Top,185.38,71.84,,,680777,,,7.7482737721653345,-133.3257640002415,-4.669800134957328,-14.330294203499976,31.336108744763774,-14.112717274062993,3.7,1.75,347.0,100.2,20.0,90.5,2334.0,5.8,718195,663485,680777,456781,593871,571657,650489,624503,572191,608336,54.69,0.383,0.453,0.0,1.0,0.0,0.0,5.0,81,7,4-Seam Fastball,11,1,1,11,1,11,1,11,Strategic,Standard,230.0,0.0,-0.471,cody bellinger,
FF,2023-05-13,93.4,-2.68,4.97,"Bellinger, Cody",641355,657746,field_out,hit_into_play,,,,,6,Cody Bellinger flies out to right fielder Trevor Larnach.,R,L,R,MIN,CHC,X,9.0,fly_ball,0,2,2023,-0.95,1.43,0.76,2.63,,571466.0,663611.0,2,3,Top,199.91,92.15,,,680777,,,10.964151042276605,-135.51876943300286,-3.332546958723828,-14.296679568144825,32.61813677088636,-14.047513973464564,3.7,1.75,331.0,86.5,34.0,93.0,2287.0,6.5,718195,657746,680777,608336,593871,571657,621043,650489,624503,663616,54.05,0.009,0.008,0.0,1.0,0.0,0.0,3.0,20,3,4-Seam Fastball,1,0,0,1,0,1,0,1,Strategic,Standard,222.0,0.05,-0.277,cody bellinger,
FF,2023-05-13,93.6,-2.66,5.1,"Bellinger, Cody",641355,657746,strikeout,swinging_strike,,,,,3,Cody Bellinger strikes out swinging.,R,L,R,MIN,CHC,S,2.0,,2,2,2023,-0.92,1.27,0.31,3.16,,,664023.0,2,1,Top,,,,,680777,,,9.676831609491224,-135.97203318807064,-2.038530556587185,-13.565685541901098,30.54279333057954,-16.156393323758525,3.7,1.75,,,,93.5,2255.0,6.4,718195,657746,680777,608336,593871,571657,621043,650489,624503,663616,54.11,,,0.0,1.0,0.0,0.0,,4,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,221.0,0.022,-0.206,cody bellinger,
FF,2023-05-13,93.4,-2.48,5.85,"Bellinger, Cody",641355,663485,field_out,hit_into_play,,,,,4,Cody Bellinger pops out to third baseman Kyle Farmer.,R,L,R,MIN,CHC,X,5.0,popup,1,1,2023,-0.94,1.36,-0.35,2.86,,,664023.0,0,8,Top,109.35,177.94,,,680777,,,7.470233079213151,-135.82243296321377,-4.859091765943165,-13.2533695449313,30.67934456701805,-14.463916288739265,3.7,1.75,96.0,88.5,72.0,92.3,2431.0,5.8,718195,663485,680777,608336,593871,571657,621043,624503,572191,650489,54.74,0.003,0.003,0.0,1.0,0.0,0.0,3.0,64,3,4-Seam Fastball,8,1,1,8,1,8,1,8,Strategic,Standard,226.0,0.003,-0.333,cody bellinger,
CU,2023-05-12,79.1,-0.93,5.5,"Bellinger, Cody",641355,543243,field_out,hit_into_play,,,,,9,"Cody Bellinger grounds out, pitcher Sonny Gray to first baseman Donovan Solano.",R,L,R,MIN,CHC,X,1.0,ground_ball,1,1,2023,1.41,-1.24,0.33,2.22,621020.0,664023.0,,0,4,Top,129.62,180.3,,,543877,,,0.1232914286856922,-115.07197210086856,2.0400183911882674,12.434481455584322,23.46542550229397,-43.78157360944396,3.7,1.75,1.0,77.5,-62.0,78.8,2782.0,6.3,718209,543243,543877,456781,593871,571657,621043,624503,572191,650489,54.17,0.331,0.306,0.0,1.0,0.0,0.0,2.0,26,3,Curveball,2,0,0,2,0,2,0,2,Strategic,Standard,26.0,0.069,-0.314,cody bellinger,
SI,2023-05-12,93.1,-1.02,5.48,"Bellinger, Cody",641355,543243,strikeout,called_strike,,,,,3,Cody Bellinger called out on strikes.,R,L,R,MIN,CHC,S,2.0,,2,2,2023,-0.78,0.91,0.54,3.61,,,664023.0,2,1,Top,,,,,543877,,,5.735799835116497,-135.48244943007444,-1.0548976694444696,-10.807998289873312,28.73477841367686,-20.90339180510508,3.79,1.66,,,,93.4,2416.0,6.4,718209,543243,543877,456781,593871,571657,621043,624503,572191,650489,54.09,,,0.0,1.0,0.0,0.0,,4,5,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,197.0,0.022,-0.206,cody bellinger,
