pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-23,84.4,-1.74,5.38,"Bello, Brayan",687263,678394,field_out,hit_into_play,,,,,9,"Zach Neto grounds out, third baseman Rafael Devers to first baseman Triston Casas.",R,R,R,LAA,BOS,X,5.0,ground_ball,1,0,2023,0.29,-0.77,0.39,2.09,,570482.0,,2,7,Bot,95.75,160.87,,,624512,,,4.37096920376155,-122.9099523254558,0.2300370400614964,2.09100119021772,24.430514615125933,-40.25757094838925,3.43,1.64,3.0,88.9,-39.0,84.4,2284.0,6.3,718053,678394,624512,671213,665839,646240,571771,807799,680776,657077,54.24,0.069,0.065,0.0,1.0,0.0,0.0,2.0,53,2,Slider,2,0,2,0,0,2,2,0,Standard,Standard,42.0,-0.017,-0.361
SI,2023-05-23,94.5,-1.85,5.18,"Bello, Brayan",687263,678394,,ball,,,,,13,"Zach Neto grounds out, third baseman Rafael Devers to first baseman Triston Casas.",R,R,R,LAA,BOS,B,,,0,0,2023,-1.65,-0.06,-1.38,1.13,,570482.0,,2,7,Bot,,,,,624512,,,4.922627466686231,-137.4795018647573,-4.674060276806619,-21.95246563904474,33.81633170692152,-32.058043647323785,3.61,1.61,,,,94.5,2028.0,6.5,718053,678394,624512,671213,665839,646240,571771,807799,680776,657077,53.97,,,,,,,,53,1,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,244.0,0.0,0.035
SL,2023-05-23,85.4,-1.63,5.39,"Bello, Brayan",570482,678394,double,hit_into_play,,,,,8,Gio Urshela doubles (6) on a line drive to right fielder Alex Verdugo.,R,R,R,LAA,BOS,X,9.0,line_drive,1,0,2023,0.2,-0.68,0.01,1.74,,,,2,7,Bot,204.3,117.82,,,624512,,,3.4753434598415964,-124.34953769540624,-0.9640932263107188,1.4215312583821842,24.809155284499017,-39.23570797228375,3.39,1.63,209.0,96.9,10.0,85.5,2394.0,6.3,718053,678394,624512,671213,665839,646240,571771,807799,680776,657077,54.17,0.677,0.65,1.25,1.0,1.0,1.0,4.0,52,2,Slider,2,0,2,0,0,2,2,0,Standard,Standard,43.0,0.011,0.201
FF,2023-05-23,96.6,-1.62,5.38,"Bello, Brayan",570482,678394,,ball,,,,,12,Gio Urshela doubles (6) on a line drive to right fielder Alex Verdugo.,R,R,R,LAA,BOS,B,,,0,0,2023,-0.59,1.24,0.96,2.88,,,,2,7,Bot,,,,,624512,,,8.186526785373049,-140.46467050126557,-3.89613613919393,-9.676854344288612,32.8062778340553,-15.03851639733414,3.49,1.74,,,,96.2,2088.0,6.2,718053,678394,624512,671213,665839,646240,571771,807799,680776,657077,54.32,,,,,,,,52,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,241.0,0.0,0.021
FF,2023-05-23,96.7,-1.7,5.31,"Bello, Brayan",642136,678394,strikeout,foul_tip,,,,,3,Matt Thaiss strikes out on a foul tip.,R,L,R,LAA,BOS,S,2.0,,2,2,2023,-0.64,1.14,0.53,3.22,,,,1,7,Bot,,,,,624512,,,7.410209740594951,-140.66323260631964,-2.600118816192659,-10.239516609058958,32.347691075184095,-16.692317310262183,3.36,1.61,,,,96.5,2034.0,6.2,718053,678394,624512,671213,665839,646240,571771,807799,680776,657077,54.26,,,0.0,1.0,0.0,0.0,,51,5,4-Seam Fastball,2,0,2,0,0,2,2,0,Strategic,Standard,242.0,-0.007,-0.153
CH,2023-05-23,87.3,-2.0,5.1,"Bello, Brayan",642136,678394,,foul,,,,,8,Matt Thaiss strikes out on a foul tip.,R,L,R,LAA,BOS,S,,,2,1,2023,-1.46,0.28,-0.21,1.84,,,,1,7,Bot,,,,,624512,,,7.311289044654996,-126.94940309788072,-2.2614643388540494,-17.30167235804716,26.402093877400613,-28.89468918823196,3.36,1.61,,,,87.3,1698.0,6.3,718053,678394,624512,671213,665839,646240,571771,807799,680776,657077,54.17,,,,,,,,51,4,Changeup,2,0,2,0,0,2,2,0,Strategic,Standard,258.0,0.0,-0.049
CH,2023-05-23,88.1,-1.8,5.23,"Bello, Brayan",642136,678394,,ball,,,,,14,Matt Thaiss strikes out on a foul tip.,R,L,R,LAA,BOS,B,,,1,1,2023,-1.51,0.15,0.51,1.28,,,,1,7,Bot,,,,,624512,,,8.721303523254338,-128.02116906585772,-3.785703790118464,-18.381719033269302,26.771334799972035,-29.91342966317382,3.36,1.64,,,,87.9,1916.0,6.2,718053,678394,624512,671213,665839,646240,571771,807799,680776,657077,54.26,,,,,,,,51,3,Changeup,2,0,2,0,0,2,2,0,Strategic,Standard,251.0,0.0,0.037
FF,2023-05-23,96.1,-1.58,5.42,"Bello, Brayan",642136,678394,,ball,,,,,12,Matt Thaiss strikes out on a foul tip.,R,L,R,LAA,BOS,B,,,0,1,2023,-0.76,0.96,0.72,3.71,,,,1,7,Bot,,,,,624512,,,7.766968705231118,-139.79016776128637,-1.111667438014486,-11.733192038213549,31.535831829589277,-19.49496375440106,3.51,1.64,,,,95.7,1998.0,6.1,718053,678394,624512,671213,665839,646240,571771,807799,680776,657077,54.4,,,,,,,,51,2,4-Seam Fastball,2,0,2,0,0,2,2,0,Strategic,Standard,233.0,0.0,0.021
FF,2023-05-23,95.9,-1.66,5.41,"Bello, Brayan",642136,678394,,swinging_strike,,,,,2,Matt Thaiss strikes out on a foul tip.,R,L,R,LAA,BOS,S,,,0,0,2023,-0.7,1.03,0.04,2.99,,,,1,7,Bot,,,,,624512,,,6.05131526564695,-139.517447169346,-3.087752886094971,-10.55273477426792,32.362676879468445,-18.217564156580902,3.36,1.61,,,,95.6,1962.0,6.2,718053,678394,624512,671213,665839,646240,571771,807799,680776,657077,54.33,,,,,,,,51,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Strategic,Standard,223.0,0.0,-0.028
SI,2023-05-23,95.9,-1.72,5.28,"Bello, Brayan",592273,678394,field_out,hit_into_play,,,,,4,"Brandon Drury grounds out, second baseman Enmanuel Valdez to first baseman Triston Casas.",R,R,R,LAA,BOS,X,4.0,ground_ball,0,2,2023,-1.45,0.33,-0.44,2.87,,,,0,7,Bot,147.18,145.27,,,624512,,,6.655785067328152,-139.5704100872359,-1.5033559211861016,-20.411728471305736,32.16342140209362,-27.767350165507057,3.53,1.73,11.0,83.8,-13.0,95.9,1987.0,6.3,718053,678394,624512,671213,665839,646240,571771,807799,680776,657077,54.17,0.089,0.084,0.0,1.0,0.0,0.0,2.0,50,3,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,236.0,-0.01,-0.149
