pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
CH,2023-05-25,85.0,-1.78,5.98,"Benintendi, Andrew",643217,656412,field_out,hit_into_play,,,,,8,Andrew Benintendi flies out to left fielder Akil Baddoo.,R,L,R,DET,CWS,X,7.0,fly_ball,0,0,2023,-1.59,0.88,-0.04,2.03,,,,1,6,Top,90.19,119.61,,,606992,,,7.195285459319464,-123.6137435985895,-4.677746258949694,-17.73929072741644,24.012277438485626,-22.38201480360739,3.28,1.47,219.0,84.2,54.0,84.4,1943.0,5.9,718031,656412,606992,679529,628451,656716,595879,668731,682985,663837,54.6,0.026,0.027,0.0,1.0,0.0,0.0,3.0,46,1,Changeup,4,2,2,4,2,4,2,4,Standard,Strategic,243.0,0.021,-0.172,andrew benintendi,
SL,2023-05-25,84.3,-1.42,6.2,"Benintendi, Andrew",643217,656412,field_out,hit_into_play,,,,,9,Andrew Benintendi lines out to right fielder Matt Vierling.,R,L,R,DET,CWS,X,9.0,line_drive,3,2,2023,0.17,0.23,0.8,1.61,,641313.0,,2,3,Top,196.86,94.19,,,606992,,,4.788253108575963,-122.7245306829479,-4.785436898017857,0.8940389293895117,21.90681883157132,-29.119355797330638,3.28,1.47,312.0,91.0,24.0,84.1,2629.0,5.9,718031,656412,606992,679529,628451,656716,595879,668731,682985,663837,54.57,0.154,0.178,0.0,1.0,0.0,0.0,3.0,20,7,Slider,0,1,1,0,1,0,1,0,Standard,Standard,78.0,0.033,-0.333,andrew benintendi,
CH,2023-05-25,82.3,-3.79,5.49,"Benintendi, Andrew",643217,669438,single,hit_into_play,,,,,4,Andrew Benintendi singles on a ground ball to right fielder Matt Vierling.,R,L,R,DET,CWS,X,9.0,ground_ball,1,2,2023,-1.06,-0.09,-0.6,2.41,,,,1,9,Top,150.54,108.51,,,606992,,,9.265427970956498,-119.45828463322464,-0.2583844408535973,-11.937748129270682,22.80674184025988,-33.19650977915284,3.28,1.47,135.0,94.5,8.0,82.1,2003.0,6.3,718031,669438,606992,679529,628451,670097,595879,656716,682985,663837,54.21,0.546,0.498,0.9,1.0,1.0,0.0,4.0,73,4,Changeup,7,2,2,7,2,7,2,7,Strategic,Strategic,254.0,-0.003,0.322,andrew benintendi,
FF,2023-05-25,92.1,-1.66,6.12,"Benintendi, Andrew",643217,656412,field_out,hit_into_play,,,,,6,Andrew Benintendi pops out to third baseman Zach McKinstry.,R,L,R,DET,CWS,X,5.0,popup,3,1,2023,-0.94,1.49,0.59,2.53,,,,1,1,Top,128.9,185.91,,,606992,,,7.6506911529866,-133.77038503184068,-6.393922184070014,-13.013274883245549,30.017097536770603,-13.092475675894208,3.28,1.47,43.0,87.9,77.0,90.7,2384.0,5.6,718031,656412,606992,679529,628451,656716,595879,668731,682985,663837,54.87,0.011,0.013,0.0,1.0,0.0,0.0,3.0,2,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Strategic,220.0,0.015,-0.28,andrew benintendi,
FS,2023-05-24,86.0,-1.14,6.24,"Benintendi, Andrew",643217,615698,field_out,hit_into_play,,,,,7,"Andrew Benintendi grounds out, first baseman Josh Bell to pitcher Cal Quantrill.",R,L,R,CLE,CWS,X,3.0,ground_ball,2,1,2023,-1.21,0.01,-0.49,1.61,,641313.0,,2,3,Top,149.63,161.77,,,595956,,,4.003977146869363,-125.26565469868092,-4.805157774537659,-13.532032604949167,23.73927471925976,-31.37889924684469,3.28,1.48,4.0,84.5,-25.0,86.8,849.0,6.6,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,53.91,0.069,0.062,0.0,1.0,0.0,0.0,2.0,17,4,Split-Finger,0,1,1,0,1,0,1,0,Standard,Standard,248.0,0.033,-0.325,andrew benintendi,
SI,2023-05-24,95.1,1.67,6.25,"Benintendi, Andrew",643217,656529,field_out,hit_into_play,,,,,8,"Andrew Benintendi grounds out, first baseman Josh Bell to pitcher Sam Hentges.",R,L,L,CLE,CWS,X,3.0,ground_ball,2,2,2023,1.45,0.95,-0.25,1.47,,,,0,8,Top,153.55,163.77,,,681807,,,-8.35342163986847,-137.96958782121746,-9.0665289864249,20.40781534804825,30.016830850600588,-18.16604172295783,3.28,1.48,3.0,61.9,-29.0,95.9,2195.0,6.9,718048,656529,681807,605137,665926,608070,642708,680757,664702,672356,53.62,0.043,0.039,0.0,1.0,0.0,0.0,2.0,52,6,Sinker,0,6,6,0,6,0,6,0,Standard,Standard,145.0,0.001,-0.205,andrew benintendi,
CH,2023-05-24,86.6,-1.31,6.4,"Benintendi, Andrew",643217,615698,field_out,hit_into_play,,,,,7,"Andrew Benintendi grounds out, first baseman Josh Bell to pitcher Cal Quantrill.",R,L,R,CLE,CWS,X,3.0,ground_ball,1,2,2023,-1.01,0.86,-0.68,1.58,,,,1,1,Top,147.21,161.77,,,595956,,,3.563569161302757,-126.09446769621626,-7.171421468953934,-11.506765366874507,21.54514160878341,-21.78716079578047,3.28,1.48,9.0,63.2,-9.0,87.4,,6.4,718048,615698,595956,605137,665926,608070,642708,680757,664702,672356,54.08,0.094,0.094,0.0,1.0,0.0,0.0,2.0,2,4,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,,0.015,-0.122,andrew benintendi,
CH,2023-05-24,78.0,-0.35,5.77,"Benintendi, Andrew",643217,669212,field_out,hit_into_play,,,,,4,Andrew Benintendi lines out to second baseman Andres Gimenez.,R,L,R,CLE,CWS,X,4.0,line_drive,1,2,2023,-1.45,0.26,-0.56,2.34,,,,0,5,Top,151.21,144.82,,,595956,,,2.218337428479324,-113.59092117806924,-0.936751043577456,-12.935111489765957,21.860287621419545,-30.005649126103616,3.28,1.48,153.0,74.3,15.0,77.9,2010.0,6.3,718048,669212,595956,605137,665926,608070,642708,680757,664702,672356,54.19,0.497,0.447,0.0,1.0,0.0,0.0,4.0,32,4,Changeup,0,6,6,0,6,0,6,0,Strategic,Standard,253.0,0.003,-0.175,andrew benintendi,
ST,2023-05-23,78.5,2.37,5.15,"Benintendi, Andrew",643217,671106,double,hit_into_play,,,,,9,Andrew Benintendi doubles (14) on a line drive to right fielder Gabriel Arias.   Andrew Vaughn to 3rd.,R,L,L,CLE,CWS,X,9.0,line_drive,0,2,2023,-1.08,-0.53,0.28,1.59,,,683734.0,0,7,Top,212.95,108.18,,,572287,,,-2.53487346719493,-114.26163874973632,0.1250798522753844,-8.99728520255194,21.553956166279672,-37.0166306407005,3.27,1.47,266.0,90.9,19.0,78.5,2317.0,6.3,718063,671106,572287,647304,665926,608070,642708,680757,686823,672356,54.18,0.457,0.411,1.25,1.0,1.0,1.0,4.0,48,3,Sweeper,2,1,1,2,1,2,1,2,Strategic,Standard,299.0,-0.206,1.163,andrew benintendi,
FF,2023-05-23,91.1,2.36,5.22,"Benintendi, Andrew",643217,671106,field_out,hit_into_play,,,,,2,Andrew Benintendi flies out to left fielder Steven Kwan.,R,L,L,CLE,CWS,X,7.0,fly_ball,1,1,2023,0.33,1.18,0.23,2.98,,,,1,5,Top,52.01,94.67,,,572287,,,-6.093490063185739,-132.66261172755245,-2.334499743345054,5.101414270058468,25.720198158585955,-17.92285402125101,3.27,1.47,316.0,93.1,38.0,92.1,2156.0,6.7,718063,671106,572287,647304,665926,608070,642708,680757,686823,672356,53.84,0.049,0.066,0.0,1.0,0.0,0.0,3.0,31,3,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,156.0,0.023,-0.165,andrew benintendi,
FF,2023-05-23,90.9,2.35,5.27,"Benintendi, Andrew",643217,671106,field_out,hit_into_play,,,,,3,Andrew Benintendi flies out to center fielder Will Brennan.,R,L,L,CLE,CWS,X,8.0,fly_ball,0,1,2023,0.32,1.49,0.34,3.06,,,,2,2,Top,134.99,73.04,,,572287,,,-5.764205456711876,-132.25889604841316,-2.772434592725797,5.123013562646241,31.347598441130856,-14.370988616241752,3.27,1.47,314.0,94.9,37.0,90.9,2142.0,6.6,718063,671106,572287,647304,665926,608070,642708,680757,686823,672356,53.93,0.086,0.133,0.0,1.0,0.0,0.0,3.0,9,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,148.0,0.01,-0.082,andrew benintendi,
FF,2023-05-23,95.2,-0.13,6.6,"Benintendi, Andrew",643217,675916,field_out,hit_into_play,,,,,5,Andrew Benintendi flies out to left fielder Steven Kwan.,R,L,R,CLE,CWS,X,7.0,fly_ball,0,0,2023,-0.07,1.6,0.11,2.69,,,,2,8,Top,78.91,85.85,,,572287,,,0.7857159406668305,-138.43926349734616,-8.20527383014102,-1.1029052099369818,30.20733595768895,-9.974591782045527,3.27,1.47,304.0,86.5,31.0,95.2,2425.0,6.3,718063,675916,572287,647304,665926,608070,642708,680757,686823,672356,54.22,0.037,0.044,0.0,1.0,0.0,0.0,3.0,60,1,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard,189.0,0.006,-0.103,andrew benintendi,
FF,2023-05-22,93.4,-1.8,6.15,"Benintendi, Andrew",643217,683769,force_out,hit_into_play,,,,,9,"Andrew Benintendi grounds into a force out, second baseman Andres Gimenez to shortstop Amed Rosario.   Tim Anderson out at 2nd.    Andrew Benintendi to 1st.",R,L,R,CLE,CWS,X,4.0,ground_ball,1,2,2023,-0.48,1.38,0.55,2.03,,,641313.0,1,6,Top,142.06,147.08,,,572287,,,7.089257276937934,-135.63151936006267,-7.837600936378266,-7.570180922292621,31.005852181594783,-13.630600245951156,3.27,1.47,126.0,81.8,10.0,93.1,2266.0,6.3,718072,683769,572287,605137,665926,672356,642708,680757,664702,686823,54.2,0.457,0.42,0.0,1.0,0.0,0.0,4.0,39,4,4-Seam Fastball,1,0,0,1,0,1,0,1,Strategic,Standard,212.0,0.046,-0.301,andrew benintendi,
SL,2023-05-22,86.4,-2.03,6.07,"Benintendi, Andrew",643217,683769,double,hit_into_play,,,,,9,Andrew Benintendi doubles (13) on a line drive to right fielder Will Brennan.,R,L,R,CLE,CWS,X,9.0,line_drive,0,0,2023,0.63,0.34,0.56,1.7,,,,1,4,Top,200.75,103.6,,,572287,,,4.913544198390562,-125.71015645324104,-4.919577225702799,5.716165251650904,24.20309587260143,-27.779797076792093,3.27,1.47,298.0,95.5,23.0,86.7,2273.0,6.4,718072,683769,572287,605137,665926,672356,642708,680757,664702,686823,54.14,0.177,0.202,1.25,1.0,1.0,1.0,3.0,24,1,Slider,1,0,0,1,0,1,0,1,Standard,Standard,159.0,-0.052,0.425,andrew benintendi,
