pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FF,2023-05-22,93.2,-1.8,6.83,"Benson, Will",666181,606149,strikeout,swinging_strike,,,,,5,Will Benson strikes out swinging.  Wil Myers steals (2) 2nd base.,R,L,R,CIN,STL,S,2.0,,1,2,2023,-0.92,1.47,-0.19,2.98,,,571976.0,1,8,Bot,,,,,668663,,,6.0806763610427375,-135.4380968099408,-7.284235444880618,-12.616958634458008,30.05871284510205,-12.66231545061708,3.71,1.84,,,,92.2,2370,5.8,718071,606149,668663,502671,669357,571448,657557,680977,663457,669242,54.71,,,0.0,1.0,0.0,0.0,,71,4,4-Seam Fastball,5,5,5,5,5,5,5,5,Strategic,Standard,208,-0.025,-0.219,will benson,
FF,2023-05-21,97.3,-1.71,6.2,"Benson, Will",666181,622663,strikeout,called_strike,,,,,3,Will Benson called out on strikes.,R,L,R,CIN,NYY,S,2.0,,1,2,2023,-0.38,1.41,0.7,3.12,,,,0,5,Bot,,,,,543309,,,7.291337959708515,-141.4601187071364,-5.9840038557170345,-6.6803058049888495,29.783161350126854,-11.990039499432235,3.63,1.84,,,,97.1,2174,6.0,718085,622663,543309,519203,650402,518934,683011,643396,664056,641343,54.46,,,0.0,1.0,0.0,0.0,,33,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Strategic,Standard,212,-0.034,-0.175,will benson,
CH,2023-05-21,87.7,-1.77,6.02,"Benson, Will",666181,622663,field_out,hit_into_play,,,,,7,"Will Benson grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.",R,L,R,CIN,NYY,X,4.0,ground_ball,1,2,2023,-1.39,0.76,-0.77,1.92,,,,1,2,Bot,147.06,157.67,,,543309,,,5.302960010154773,-127.56780069501062,-5.397828824760284,-16.219398026102834,25.74346523485342,-22.96303902052405,3.71,1.84,13.0,71.4,-7.0,88.2,1767,6.6,718085,622663,543309,519203,650402,518934,683011,643396,664056,641343,53.94,0.1,0.097,0.0,1.0,0.0,0.0,2.0,13,4,Changeup,1,0,1,0,0,1,1,0,Standard,Standard,242,-0.014,-0.122,will benson,
SI,2023-05-21,96.9,-0.7,6.69,"Benson, Will",666181,605280,field_out,hit_into_play,,,,,3,"Will Benson grounds out, pitcher Clay Holmes to first baseman Anthony Rizzo.",R,L,R,CIN,NYY,X,1.0,ground_ball,1,1,2023,-1.3,0.38,0.49,3.33,641584.0,668715.0,656413.0,2,9,Bot,128.26,183.75,,,543309,,,6.100160661043701,-140.9456882234144,-4.274667649661602,-18.74914570914465,32.43937210347252,-26.290135045940133,3.71,1.84,4.0,62.2,-41.0,96.2,1095,5.9,718085,605280,543309,519203,650402,518934,683011,643396,664056,656185,54.58,0.154,0.15,0.0,1.0,0.0,0.0,2.0,68,3,Sinker,1,4,1,4,4,1,1,4,Strategic,Standard,228,-0.089,-0.74,will benson,
SL,2023-05-21,85.0,-1.32,6.16,"Benson, Will",666181,622772,field_out,hit_into_play,,,,,6,Will Benson pops out to second baseman Gleyber Torres.,R,L,R,CIN,NYY,X,4.0,popup,0,2,2023,0.97,0.02,0.51,2.6,,,,2,7,Bot,137.37,148.03,,,543309,,,2.382950561823334,-123.90257494105732,-2.156657446151268,9.602849100766289,23.26908886669272,-31.724062267302187,3.71,1.84,136.0,58.3,53.0,86.8,2469,7.2,718085,622772,543309,519203,650402,518934,683011,643396,664056,656185,53.3,0.037,0.033,0.0,1.0,0.0,0.0,1.0,51,3,Slider,1,4,1,4,4,1,1,4,Strategic,Standard,41,-0.01,-0.057,will benson,
FF,2023-04-12,97.6,-1.93,5.86,"Benson, Will",666181,675911,strikeout,called_strike,,,,,7,Will Benson called out on strikes.,R,L,R,ATL,CIN,S,2.0,,0,2,2023,-0.56,1.51,-0.43,1.76,,,,2,4,Top,,,,,669221,,,5.4233180006587824,-141.8864060407234,-9.148765902259424,-8.767412198489069,31.44750315337644,-9.931422806867854,3.73,1.78,,,,99.3,2432,7.2,718601,675911,669221,621566,645277,663586,501303,592696,656541,660670,53.29,,,0.0,1.0,0.0,0.0,,34,3,4-Seam Fastball,3,3,3,3,3,3,3,3,,,200,0.013,-0.057,will benson,
CH,2023-04-12,87.5,-2.23,5.75,"Benson, Will",666181,675911,strikeout,swinging_strike,,,,,13,Will Benson strikes out swinging.,R,L,R,ATL,CIN,S,2.0,,2,2,2023,-1.13,1.01,-0.93,1.5,,,,2,2,Top,,,,,669221,,,5.540143501901153,-127.25346794037652,-6.36660701879406,-13.401642479712336,23.643459863185463,-20.04840775018593,3.73,1.83,,,,89.2,2158,7.2,718601,675911,669221,621566,645277,663586,606115,592696,656541,660670,53.33,,,0.0,1.0,0.0,0.0,,13,11,Changeup,0,2,2,0,2,0,2,0,,,223,0.008,-0.09,will benson,
SI,2023-04-10,87.3,-1.06,6.57,"Benson, Will",666181,693821,field_out,hit_into_play,,,,,5,"Will Benson grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",R,L,R,ATL,CIN,X,4.0,ground_ball,1,1,2023,-1.21,0.51,-0.23,3.1,,,,0,5,Top,152.64,139.69,,,669221,,,4.428591107816197,-127.14461376397364,-3.242536377890216,-14.068298200541118,25.9692886799347,-26.23552316458289,3.73,1.84,75.0,98.1,3.0,86.5,1912,5.7,718636,693821,669221,621566,645277,663586,606115,607680,642201,660670,54.78,0.48,0.472,0.0,1.0,0.0,0.0,4.0,33,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,205,0.03,-0.228,will benson,
SL,2023-04-10,83.2,-0.61,6.56,"Benson, Will",666181,693821,strikeout,called_strike,,,,,14,Will Benson called out on strikes.,R,L,R,ATL,CIN,S,2.0,,3,2,2023,-0.25,-0.29,0.97,2.47,,668715.0,,2,2,Top,,,,,669221,,,4.135964897638296,-121.19972295341265,-2.385999010687612,-3.2803141785374117,24.040461081569205,-34.73028280525136,3.73,1.84,,,,0.0,2414,,718636,693821,669221,621566,645277,663586,606115,607680,642201,660670,54.13,,,0.0,1.0,0.0,0.0,,12,6,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,29,0.034,-0.331,will benson,
SI,2023-04-10,90.7,-1.49,5.12,"Benson, Will",666181,445926,field_out,hit_into_play,,,,,4,Will Benson flies out sharply to center fielder Eli White.,R,L,R,ATL,CIN,X,8.0,fly_ball,2,2,2023,-1.49,0.56,-0.44,3.14,,,668715.0,2,7,Top,120.03,41.79,,,669221,,,5.82098841761054,-132.06326090319217,-0.2506680214003268,-18.64034204242952,27.808760013150728,-25.81159239921645,3.73,1.84,389.0,102.6,28.0,91.0,1987,6.4,718636,445926,669221,621566,645277,663586,606115,607680,642201,660670,54.07,0.783,1.459,0.0,1.0,0.0,0.0,6.0,50,5,Sinker,1,0,0,1,0,1,0,1,Strategic,Standard,235,0.045,-0.206,will benson,
