pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-23,92.8,-2.37,5.53,"Berríos, José",642350,621244,field_out,hit_into_play,,,,,7,Jose Siri flies out to right fielder George Springer.,R,R,R,TB,TOR,X,9.0,fly_ball,0,0,2023,-1.48,0.81,-0.59,1.93,,642336.0,,2,7,Bot,186.12,132.32,,,643376,,,7.831928674183648,-134.80991900256,-5.198260997172778,-19.78477110666308,29.1358175624136,-21.32117096233636,3.28,1.58,225.0,72.5,30.0,93.3,2094.0,6.7,718061,621244,643376,474832,593160,656305,666182,662139,595281,543807,53.83,0.634,0.571,0.0,1.0,0.0,0.0,4.0,65,1,Sinker,1,10,1,10,10,1,1,10,Strategic,Standard,219.0,0.0,-0.326
FF,2023-05-23,94.6,-2.24,5.51,"Berríos, José",642336,621244,double,hit_into_play,,,,,11,Francisco Mejia doubles (6) on a ground ball to right fielder George Springer.,R,L,R,TB,TOR,X,9.0,ground_ball,1,2,2023,-0.72,1.22,-0.12,3.55,,,,2,7,Bot,195.46,122.38,,,643376,,,7.187653311181074,-137.69721511360314,-2.1978338504371666,-10.733830350690193,29.91106977732374,-16.387720982196406,3.21,1.46,112.0,97.0,7.0,95.4,2160.0,6.7,718061,621244,643376,474832,593160,656305,666182,662139,595281,543807,53.8,0.614,0.577,1.25,1.0,1.0,1.0,4.0,64,4,4-Seam Fastball,1,10,1,10,10,1,1,10,Standard,Standard,222.0,0.0,0.254
CH,2023-05-23,80.0,-2.35,5.26,"Berríos, José",642336,621244,,foul,,,,,11,Francisco Mejia doubles (6) on a ground ball to right fielder George Springer.,R,L,R,TB,TOR,S,,,1,1,2023,-1.53,0.23,-1.28,2.39,,,,2,7,Bot,,,,,643376,,,5.386280596919307,-116.34219444310853,0.0502524040557059,-14.931725620646722,24.037442800307183,-30.36648401399277,3.21,1.46,129.0,68.8,72.0,81.5,1448.0,7.6,718061,621244,643376,474832,593160,656305,666182,662139,595281,543807,52.94,,,,,,,,64,3,Changeup,1,10,1,10,10,1,1,10,Standard,Standard,254.0,0.0,-0.026
FF,2023-05-23,94.0,-2.24,5.49,"Berríos, José",642336,621244,,ball,,,,,12,Francisco Mejia doubles (6) on a ground ball to right fielder George Springer.,R,L,R,TB,TOR,B,,,0,1,2023,-0.68,1.36,0.29,4.12,,,,2,7,Bot,,,,,643376,,,8.072999865916657,-136.67536078240457,-0.804936555248426,-10.341066638191023,32.27048199410533,-15.203521215659954,3.36,1.62,,,,94.0,2189.0,6.5,718061,621244,643376,474832,593160,656305,666182,662139,595281,543807,53.98,,,,,,,,64,2,4-Seam Fastball,1,10,1,10,10,1,1,10,Standard,Standard,224.0,0.0,0.015
SV,2023-05-23,80.5,-2.48,5.43,"Berríos, José",642336,621244,,called_strike,,,,,4,Francisco Mejia doubles (6) on a ground ball to right fielder George Springer.,R,L,R,TB,TOR,S,,,0,0,2023,1.3,-0.51,-0.61,2.75,,,,2,7,Bot,,,,,643376,,,1.693101101621772,-117.153494404867,1.771849663995262,11.507608682746277,24.530045455692186,-37.4291146737846,3.4,1.68,,,,80.4,2316.0,6.5,718061,621244,643376,474832,593160,656305,666182,662139,595281,543807,54.03,,,,,,,,64,1,Slurve,1,10,1,10,10,1,1,10,Standard,Standard,42.0,0.0,-0.021
SI,2023-05-23,93.1,-2.36,5.58,"Berríos, José",670623,621244,field_out,hit_into_play,,,,,2,Isaac Paredes lines out to left fielder Daulton Varsho.,R,R,R,TB,TOR,X,7.0,line_drive,3,1,2023,-1.6,0.86,-0.23,2.91,,,,1,7,Bot,76.67,84.24,,,643376,,,9.061328292201264,-135.20499734383975,-2.944517294520768,-21.56598426560859,30.753336012755007,-21.15475627052217,3.21,1.54,310.0,84.6,26.0,93.7,2060.0,6.9,718061,621244,643376,474832,593160,656305,666182,662139,595281,543807,53.64,0.137,0.177,0.0,1.0,0.0,0.0,3.0,63,5,Sinker,1,10,1,10,10,1,1,10,Strategic,Standard,221.0,0.0,-0.28
SV,2023-05-23,78.4,-2.69,5.27,"Berríos, José",670623,621244,,ball,,,,,11,Isaac Paredes lines out to left fielder Daulton Varsho.,R,R,R,TB,TOR,B,,,2,1,2023,1.06,-0.31,-0.95,3.0,,,,1,7,Bot,,,,,643376,,,1.8227729538704485,-114.10803657348424,2.60197272203731,8.882786044808118,22.46725500586053,-35.63836862160417,3.22,1.54,,,,78.8,2206.0,6.7,718061,621244,643376,474832,593160,656305,666182,662139,595281,543807,53.78,,,,,,,,63,4,Slurve,1,10,1,10,10,1,1,10,Strategic,Standard,50.0,0.0,0.078
SV,2023-05-23,81.7,-2.24,5.46,"Berríos, José",670623,621244,,ball,,,,,14,Isaac Paredes lines out to left fielder Daulton Varsho.,R,R,R,TB,TOR,B,,,1,1,2023,1.7,-0.8,1.97,0.53,,,,1,7,Bot,,,,,643376,,,6.343971841504835,-118.73135748710692,-2.8933596942172533,14.328090712963016,27.3785811125163,-39.16699002721558,3.26,1.6,,,,82.8,2481.0,7.6,718061,621244,643376,474832,593160,656305,666182,662139,595281,543807,52.93,,,,,,,,63,3,Slurve,1,10,1,10,10,1,1,10,Strategic,Standard,36.0,0.0,0.037
SI,2023-05-23,94.2,-2.22,5.51,"Berríos, José",670623,621244,,called_strike,,,,,14,Isaac Paredes lines out to left fielder Daulton Varsho.,R,R,R,TB,TOR,S,,,1,0,2023,-1.67,0.73,0.88,2.31,,,,1,7,Bot,,,,,643376,,,11.810112809463368,-136.51709708300066,-4.157641253392436,-23.60345698318943,31.84981270349069,-22.281974563344164,3.28,1.6,,,,94.2,2111.0,6.7,718061,621244,643376,474832,593160,656305,666182,662139,595281,543807,53.83,,,,,,,,63,2,Sinker,1,10,1,10,10,1,1,10,Strategic,Standard,225.0,0.0,-0.035
SV,2023-05-23,79.2,-2.4,5.4,"Berríos, José",670623,621244,,ball,,,,,9,Isaac Paredes lines out to left fielder Daulton Varsho.,R,R,R,TB,TOR,B,,,0,0,2023,1.6,-1.01,0.67,1.51,,,,1,7,Bot,,,,,643376,,,3.725030765145274,-115.11469672959556,0.3563932825023672,13.14494276823539,26.037223224461165,-41.36154348782366,3.3,1.6,,,,78.7,2450.0,6.5,718061,621244,643376,474832,593160,656305,666182,662139,595281,543807,53.96,,,,,,,,63,1,Slurve,1,10,1,10,10,1,1,10,Strategic,Standard,41.0,0.0,0.028
SI,2023-05-23,92.3,-2.27,5.54,"Berríos, José",670764,621244,field_out,hit_into_play,,,,,1,Taylor Walls pops out to third baseman Matt Chapman.,R,L,R,TB,TOR,X,5.0,popup,1,2,2023,-1.48,0.82,-0.36,3.11,,,,0,7,Bot,100.93,178.46,,,643376,,,8.119400264034264,-134.2285329262099,-2.157135728587432,-19.61344527593129,29.33273933379382,-22.042698893012883,3.43,1.56,85.0,88.6,75.0,93.0,2015.0,6.7,718061,621244,643376,474832,593160,656305,666182,662139,595281,543807,53.76,0.003,0.003,0.0,1.0,0.0,0.0,3.0,62,4,Sinker,1,10,1,10,10,1,1,10,Strategic,Standard,223.0,-0.001,-0.175
