pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-05-21,83.6,-2.21,5.99,"Bibee, Tanner",500871,676440,field_out,hit_into_play,,,,,14,Eduardo Escobar pops out to shortstop Amed Rosario.,R,L,R,NYM,CLE,X,6.0,popup,0,0,2023,-1.44,1.09,0.72,0.73,,683146.0,596129.0,2,6,Bot,116.91,143.1,,,572287,,,9.663889444807538,-121.1656916656584,-7.849141057274794,-16.107090977706896,23.83616616929985,-20.03379867025661,3.09,1.46,146.0,63.1,59.0,84.0,2008,6.8,718099,676440,572287,605137,671289,608070,642708,680757,664702,672356,53.69,0.011,0.01,0.0,1.0,0.0,0.0,3.0,48,1,Changeup,2,0,2,0,0,2,2,0,Standard,Standard,219,-0.025,-0.468
SL,2023-05-21,81.1,-2.05,6.29,"Bibee, Tanner",596142,676440,sac_fly,hit_into_play,,,,,1,Gary Sanchez out on a sacrifice fly to center fielder Myles Straw.   Pete Alonso scores.,R,R,R,NYM,CLE,X,8.0,fly_ball,1,1,2023,0.89,-0.67,-0.49,2.78,624413.0,683146.0,596129.0,1,6,Bot,140.3,88.51,,,572287,,,1.790384355641219,-118.10448142488374,0.10779619593713,7.884077322102329,24.879004506211142,-38.60901471276664,3.19,1.55,278.0,79.4,30.0,81.0,1435,6.4,718099,676440,572287,605137,671289,608070,642708,680757,664702,672356,54.06,0.12,0.12,0.0,1.0,0.0,0.0,3.0,47,3,Slider,1,0,1,0,0,2,2,0,Standard,Standard,12,0.021,-0.308
SL,2023-05-21,83.9,-1.98,6.32,"Bibee, Tanner",596142,676440,,called_strike,,,,,5,Gary Sanchez out on a sacrifice fly to center fielder Myles Straw.   Pete Alonso scores.,R,R,R,NYM,CLE,S,,,1,0,2023,0.6,-0.29,0.23,2.48,624413.0,683146.0,596129.0,1,6,Bot,,,,,572287,,,3.925973544457064,-122.22291802919275,-1.9344004057994015,5.323493621104315,23.16045166318009,-34.908272023959064,3.32,1.55,,,,84.4,2821,6.4,718099,676440,572287,605137,671289,608070,642708,680757,664702,672356,54.06,,,,,,,,47,2,Slider,1,0,1,0,0,1,1,0,Standard,Standard,52,0.0,-0.171
SL,2023-05-21,84.2,-2.13,6.35,"Bibee, Tanner",596142,676440,,ball,,,,,11,Gary Sanchez out on a sacrifice fly to center fielder Myles Straw.   Pete Alonso scores.,R,R,R,NYM,CLE,B,,,0,0,2023,0.84,-0.16,-1.21,3.4,624413.0,683146.0,596129.0,1,6,Bot,,,,,572287,,,0.4689808853928924,-122.70315498486865,-0.2052813131712649,8.428047023602518,23.31502733362601,-33.94706641816752,3.32,1.55,,,,84.5,2940,6.3,718099,676440,572287,605137,671289,608070,642708,680757,664702,672356,54.21,,,,,,,,47,1,Slider,1,0,1,0,0,1,1,0,Standard,Standard,120,0.0,0.087
CH,2023-05-21,83.8,-2.17,6.15,"Bibee, Tanner",596129,676440,walk,ball,,,,,14,Daniel Vogelbach walks.,R,L,R,NYM,CLE,B,,,3,1,2023,-1.15,1.05,0.4,1.23,624413.0,683146.0,,1,6,Bot,,,,,572287,,,8.215189312888569,-121.70276245613796,-7.0496559122695945,-13.000532752308365,23.72623140697838,-20.49422555868505,3.32,1.58,,,,84.0,2038,6.5,718099,676440,572287,605137,671289,608070,642708,680757,664702,672356,53.99,,,0.7,1.0,0.0,0.0,,46,5,Changeup,1,0,1,0,0,1,1,0,Strategic,Standard,228,0.003,0.161
SL,2023-05-21,83.5,-2.37,6.25,"Bibee, Tanner",596129,676440,,ball,,,,,11,Daniel Vogelbach walks.,R,L,R,NYM,CLE,B,,,2,1,2023,1.23,-0.46,-0.95,2.75,624413.0,683146.0,,1,6,Bot,,,,,572287,,,0.8607331074792102,-121.73264189177291,-0.758438742922414,12.082191513670992,23.06796512527724,-36.80522712061328,3.32,1.58,,,,83.9,2864,6.4,718099,676440,572287,605137,671289,608070,642708,680757,664702,672356,54.14,,,,,,,,46,4,Slider,1,0,1,0,0,1,1,0,Strategic,Standard,29,0.0,0.1
CH,2023-05-21,82.4,-2.14,6.05,"Bibee, Tanner",596129,676440,,called_strike,,,,,3,Daniel Vogelbach walks.,R,L,R,NYM,CLE,S,,,2,0,2023,-1.11,1.09,0.51,2.74,624413.0,683146.0,,1,6,Bot,,,,,572287,,,8.239424160048571,-119.77815640998324,-3.1627076720771967,-12.258279129296875,21.890229014738395,-21.240123777349115,3.23,1.58,,,,83.1,2041,6.7,718099,676440,572287,605137,671289,608070,642708,680757,664702,672356,53.81,,,,,,,,46,3,Changeup,1,0,1,0,0,1,1,0,Strategic,Standard,221,0.0,-0.069
CH,2023-05-21,82.5,-2.05,6.03,"Bibee, Tanner",596129,676440,,ball,,,,,14,Daniel Vogelbach walks.,R,L,R,NYM,CLE,B,,,1,0,2023,-1.07,1.07,1.3,1.44,624413.0,683146.0,,1,6,Bot,,,,,572287,,,9.709587788764797,-119.67721739977551,-6.035018961355415,-12.067054142518405,21.318153689379624,-20.903525867374054,3.29,1.58,,,,82.8,2038,6.5,718099,676440,572287,605137,671289,608070,642708,680757,664702,672356,53.99,,,,,,,,46,2,Changeup,1,0,1,0,0,1,1,0,Strategic,Standard,223,0.0,0.014
CU,2023-05-21,78.3,-1.61,6.46,"Bibee, Tanner",596129,676440,,ball,,,,,9,Daniel Vogelbach walks.,R,L,R,NYM,CLE,B,,,0,0,2023,0.65,-1.03,0.41,1.59,624413.0,683146.0,,1,6,Bot,,,,,572287,,,3.186114719965812,-114.02129160844136,-1.7170252683018965,5.054051396387072,22.224343186014607,-40.98942997932276,3.32,1.42,,,,78.7,2840,6.7,718099,676440,572287,605137,671289,608070,642708,680757,664702,672356,53.82,,,,,,,,46,1,Curveball,1,0,1,0,0,1,1,0,Strategic,Standard,37,0.0,0.047
SL,2023-05-21,83.9,-2.05,6.31,"Bibee, Tanner",516782,676440,field_out,hit_into_play,,,,,9,"Starling Marte grounds out, third baseman Jose Ramirez to first baseman Josh Bell.",R,R,R,NYM,CLE,X,5.0,ground_ball,0,1,2023,0.55,-0.53,0.29,1.97,624413.0,683146.0,,0,6,Bot,109.03,173.29,,,572287,,,4.325126894982287,-122.09549855254392,-2.527920991898044,4.569780829438731,26.036495058796515,-37.181820061099856,3.46,1.62,28.0,95.9,-3.0,83.8,2800,6.4,718099,676440,572287,605137,671289,608070,642708,680757,664702,672356,54.12,0.334,0.303,0.0,1.0,0.0,0.0,2.0,45,2,Slider,1,0,1,0,0,1,1,0,Strategic,Standard,49,-0.043,-0.265
