pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
KC,2023-05-21,83.3,-1.39,5.62,"Bieber, Shane",624413,669456,field_out,hit_into_play,,,,,14,Pete Alonso flies out to center fielder Myles Straw.,R,R,R,NYM,CLE,X,8.0,fly_ball,1,2,2023,1.12,-0.8,0.5,1.16,,596019.0,,2,8,Bot,116.04,80.84,,,595956,,,2.14131003021252,-121.25442734172712,-2.1659544663894184,10.522714304861111,26.047147744273584,-39.75730772698834,3.34,1.6,295.0,85.8,36.0,83.5,2253.0,6.6,718082,669456,595956,647304,665926,608070,672356,680757,664702,686823,53.88,0.011,0.01,0.0,1.0,0.0,0.0,3.0,58,4,Knuckle Curve,2,1,2,1,1,2,2,1,Standard,Standard,35.0,-0.022,-0.224
SL,2023-05-21,83.1,-1.38,5.64,"Bieber, Shane",624413,669456,,called_strike,,,,,5,Pete Alonso flies out to center fielder Myles Straw.,R,R,R,NYM,CLE,S,,,1,1,2023,0.31,-0.11,0.21,2.51,,596019.0,,2,8,Bot,,,,,595956,,,3.0553180992728564,-121.08023001418698,-0.5155603155364761,2.4692807603290623,22.95804987153279,-33.33195737702108,3.2,1.51,,,,83.8,2547.0,6.6,718082,669456,595956,647304,665926,608070,672356,680757,664702,686823,53.86,,,,,,,,58,3,Slider,2,1,2,1,1,2,2,1,Strategic,Standard,61.0,0.0,-0.073
KC,2023-05-21,83.2,-1.45,5.6,"Bieber, Shane",624413,669456,,called_strike,,,,,9,Pete Alonso flies out to center fielder Myles Straw.,R,R,R,NYM,CLE,S,,,1,0,2023,0.98,-0.8,0.42,1.82,,596019.0,,2,8,Bot,,,,,595956,,,2.372791910008877,-121.11201356338069,-0.6391646496313904,9.106397801481291,24.67923090955454,-40.07194110224045,3.26,1.57,,,,83.5,2178.0,6.6,718082,669456,595956,647304,665926,608070,672356,680757,664702,686823,53.91,,,,,,,,58,2,Knuckle Curve,2,1,2,1,1,2,2,1,Standard,Standard,31.0,0.0,-0.064
KC,2023-05-21,82.2,-1.52,5.63,"Bieber, Shane",624413,669456,,ball,,,,,11,Pete Alonso flies out to center fielder Myles Straw.,R,R,R,NYM,CLE,B,,,0,0,2023,0.9,-0.64,-1.31,3.17,,596019.0,,2,8,Bot,,,,,595956,,,-1.277368754188815,-119.73512804335154,2.19677087914584,8.87623657893884,23.16955420534733,-38.97352919634114,3.34,1.63,,,,82.6,2016.0,6.5,718082,669456,595956,647304,665926,608070,672356,680757,664702,686823,54.01,,,,,,,,58,1,Knuckle Curve,2,1,2,1,1,2,2,1,Standard,Standard,34.0,0.0,0.035
SL,2023-05-21,84.7,-1.58,5.5,"Bieber, Shane",643446,669456,sac_fly,hit_into_play,,,,,13,Jeff McNeil out on a sacrifice fly to left fielder Steven Kwan.   Starling Marte scores.    Francisco Lindor to 2nd.,R,L,R,NYM,CLE,X,7.0,fly_ball,1,2,2023,0.42,-0.05,-0.15,1.5,516782.0,,596019.0,1,8,Bot,60.57,94.8,,,595956,,,2.515114601987697,-123.33798563117756,-2.8259427561170347,3.6860591735780455,27.52428851692921,-32.32286670474721,3.62,1.71,304.0,89.4,30.0,84.6,2574.0,6.5,718082,669456,595956,647304,665926,608070,672356,680757,664702,686823,54.05,0.057,0.079,0.0,1.0,0.0,0.0,3.0,57,4,Slider,1,1,1,1,1,2,2,1,Strategic,Standard,92.0,0.118,-0.013
FF,2023-05-21,91.5,-1.38,5.6,"Bieber, Shane",643446,669456,,foul,,,,,2,Jeff McNeil out on a sacrifice fly to left fielder Steven Kwan.   Starling Marte scores.    Francisco Lindor to 2nd.,R,L,R,NYM,CLE,S,,,1,1,2023,-0.74,1.56,-0.17,3.55,516782.0,,596019.0,1,8,Bot,,,,,595956,,,4.702435588793679,-133.184866336111,-2.69063697201554,-9.85654271401833,28.723127138825348,-13.254489080506284,3.62,1.71,,,,92.4,2202.0,6.8,718082,669456,595956,647304,665926,608070,672356,680757,664702,686823,53.67,,,,,,,,57,3,4-Seam Fastball,1,1,1,1,1,1,1,1,Strategic,Standard,219.0,0.0,-0.179
FC,2023-05-21,87.1,-1.55,5.59,"Bieber, Shane",643446,669456,,ball,,,,,12,Jeff McNeil out on a sacrifice fly to left fielder Steven Kwan.   Starling Marte scores.    Francisco Lindor to 2nd.,R,L,R,NYM,CLE,B,,,0,1,2023,-0.05,0.65,0.08,3.76,516782.0,,596019.0,1,8,Bot,,,,,595956,,,4.043141977339636,-126.9223694085338,0.4188339250046043,-1.3537078720202975,24.914148513187875,-25.40632264378592,3.49,1.71,,,,87.8,2347.0,6.6,718082,669456,595956,647304,665926,608070,672356,680757,664702,686823,53.92,,,,,,,,57,2,Cutter,1,1,1,1,1,1,1,1,Strategic,Standard,201.0,0.0,0.057
FF,2023-05-21,92.0,-1.34,5.6,"Bieber, Shane",643446,669456,,called_strike,,,,,6,Jeff McNeil out on a sacrifice fly to left fielder Steven Kwan.   Starling Marte scores.    Francisco Lindor to 2nd.,R,L,R,NYM,CLE,S,,,0,0,2023,-0.84,1.5,0.75,2.62,516782.0,,596019.0,1,8,Bot,,,,,595956,,,7.143540079393146,-133.69833713216633,-4.994332358158081,-11.57364260637859,28.883150774722186,-13.22633625884932,3.69,1.85,,,,92.4,2203.0,6.6,718082,669456,595956,647304,665926,608070,672356,680757,664702,686823,53.91,,,,,,,,57,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Strategic,Standard,214.0,0.0,-0.091
FF,2023-05-21,91.4,-1.42,5.57,"Bieber, Shane",596019,669456,single,hit_into_play,,,,,1,Francisco Lindor singles on a ground ball to center fielder Myles Straw.   Starling Marte to 3rd.,R,L,R,NYM,CLE,X,8.0,ground_ball,0,1,2023,-0.78,1.2,-0.63,3.2,,,516782.0,1,8,Bot,112.06,107.23,,,595956,,,3.69589615013929,-132.9861149303963,-2.678269019500475,-10.082449360460837,29.99962242196385,-17.55312104622569,3.26,1.52,45.0,79.7,0.0,91.7,2236.0,6.6,718082,669456,595956,647304,665926,608070,672356,680757,664702,686823,53.9,0.174,0.168,0.9,1.0,1.0,0.0,2.0,56,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Strategic,Standard,215.0,0.14,0.557
FC,2023-05-21,87.7,-1.55,5.48,"Bieber, Shane",596019,669456,,foul,,,,,8,Francisco Lindor singles on a ground ball to center fielder Myles Straw.   Starling Marte to 3rd.,R,L,R,NYM,CLE,S,,,0,0,2023,0.03,0.71,-0.23,2.04,,,516782.0,1,8,Bot,,,,,595956,,,3.1530323989986075,-127.69960049491348,-3.703252760588712,-0.3687692896510356,26.126066508157,-23.82240366655102,3.26,1.52,307.0,103.3,22.0,88.4,2376.0,6.7,718082,669456,595956,647304,665926,608070,672356,680757,664702,686823,53.84,,,,,,,,56,1,Cutter,1,1,1,1,1,1,1,1,Strategic,Standard,203.0,0.0,-0.056
