pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-04-28,90.9,2.89,5.99,"Blach, Ty",672695,621389,field_out,hit_into_play,,,,,4,Geraldo Perdomo lines out to pitcher Ty Blach.,R,R,L,COL,AZ,X,1.0,line_drive,2,2,2023,1.17,0.7,-0.83,2.82,666971.0,,572233.0,2,9,Top,126.21,175.17,,,553869,,,-11.591572469756802,-132.02991637281326,-3.5573081088730816,15.884692169906955,23.680220797000217,-23.340224619681145,3.39,1.61,69.0,61.7,6.0,89.9,2049.0,5.4,718390,621389,553869,543068,676701,641857,678662,595777,686668,592178,55.08,0.171,0.156,0.0,1.0,0.0,0.0,2.0,72,5,Sinker,1,9,9,1,9,1,9,1,Strategic,Standard,119.0,0.001,-0.437
CU,2023-04-28,79.6,3.11,5.95,"Blach, Ty",672695,621389,,ball,,,,,13,Geraldo Perdomo lines out to pitcher Ty Blach.,R,R,L,COL,AZ,B,,,1,2,2023,0.04,-0.29,-0.54,0.85,666971.0,,572233.0,2,9,Top,,,,,553869,,,-7.949694656139728,-115.838351924243,-3.944254957201136,1.6865897648625097,18.918877983043647,-34.342730151803245,3.15,1.6,,,,78.7,1878.0,5.4,718390,621389,553869,543068,676701,641857,678662,595777,686668,592178,55.14,,,,,,,,72,4,Curveball,1,9,9,1,9,1,9,1,Strategic,Standard,322.0,0.0,0.057
SI,2023-04-28,90.4,2.89,5.97,"Blach, Ty",672695,621389,,called_strike,,,,,1,Geraldo Perdomo lines out to pitcher Ty Blach.,R,R,L,COL,AZ,S,,,1,1,2023,1.15,0.77,-0.71,3.17,666971.0,,572233.0,2,9,Top,,,,,553869,,,-11.188600057916402,-131.28970630409353,-2.6994332099754104,15.506910817230198,23.987378552029465,-22.866002198716444,3.27,1.6,,,,89.2,2116.0,5.3,718390,621389,553869,543068,676701,641857,678662,595777,686668,592178,55.16,,,,,,,,72,3,Sinker,1,9,9,1,9,1,9,1,Strategic,Standard,106.0,0.0,-0.13
SI,2023-04-28,89.6,3.17,5.92,"Blach, Ty",672695,621389,,swinging_strike,,,,,3,Geraldo Perdomo lines out to pitcher Ty Blach.,R,R,L,COL,AZ,S,,,1,0,2023,1.22,0.71,0.38,2.92,666971.0,,572233.0,2,9,Top,,,,,553869,,,-9.302215081845954,-130.35545678099157,-2.9659348323322643,15.692671209993836,23.17042310046849,-23.567768176409636,3.39,1.61,,,,88.8,2078.0,5.5,718390,621389,553869,543068,676701,641857,678662,595777,686668,592178,55.03,,,,,,,,72,2,Sinker,1,9,9,1,9,1,9,1,Strategic,Standard,122.0,0.0,-0.109
SI,2023-04-28,89.7,3.01,5.89,"Blach, Ty",672695,621389,,ball,,,,,13,Geraldo Perdomo lines out to pitcher Ty Blach.,R,R,L,COL,AZ,B,,,0,0,2023,1.29,0.79,-0.91,2.0,666971.0,,572233.0,2,9,Top,,,,,553869,,,-12.167453245298685,-130.1049550848289,-5.284229842128533,16.970684294778785,23.090780345207317,-22.251155378885,3.38,1.6,,,,88.6,2122.0,5.5,718390,621389,553869,543068,676701,641857,678662,595777,686668,592178,55.04,,,,,,,,72,1,Sinker,1,9,9,1,9,1,9,1,Standard,Standard,117.0,0.0,0.07
CH,2023-04-28,79.4,3.26,5.9,"Blach, Ty",572233,621389,single,hit_into_play,,,,,14,Christian Walker singles on a line drive to right fielder Kris Bryant.   Alek Thomas scores.    Lourdes Gurriel Jr.  to 3rd.,R,R,L,COL,AZ,X,9.0,line_drive,1,0,2023,0.98,0.01,0.95,1.97,677950.0,,666971.0,2,9,Top,203.73,118.49,,,553869,,,-6.738224055046175,-115.5324016107791,-1.9581119686342896,9.88648552749896,17.618881684024192,-31.975706068932457,3.35,1.54,223.0,85.3,16.0,78.5,1677.0,5.3,718390,621389,553869,543068,676701,641857,678662,595777,686668,592178,55.23,0.983,0.92,0.9,1.0,1.0,0.0,4.0,71,2,Changeup,1,8,8,1,9,1,9,1,Strategic,Standard,95.0,-0.001,0.894
SI,2023-04-28,90.2,2.81,6.02,"Blach, Ty",572233,621389,,ball,,,,,13,Christian Walker singles on a line drive to right fielder Kris Bryant.   Alek Thomas scores.    Lourdes Gurriel Jr.  to 3rd.,R,R,L,COL,AZ,B,,,0,0,2023,1.13,0.68,-1.32,1.78,677950.0,,666971.0,2,9,Top,,,,,553869,,,-12.396099398817988,-130.8962175781534,-6.0152323102120615,15.28202234372004,22.907108079496,-23.230573324714204,3.34,1.53,,,,89.1,2129.0,5.4,718390,621389,553869,543068,676701,641857,678662,595777,686668,592178,55.12,,,,,,,,71,1,Sinker,1,8,8,1,8,1,8,1,Strategic,Standard,128.0,0.0,0.07
CH,2023-04-28,79.2,3.2,5.98,"Blach, Ty",666971,621389,single,hit_into_play,,,,,14,Lourdes Gurriel Jr.  singles on a fly ball to right fielder Kris Bryant.   Gabriel Moreno scores.    Alek Thomas to 3rd.,R,R,L,COL,AZ,X,9.0,fly_ball,0,0,2023,1.18,0.08,1.09,1.73,,672515.0,677950.0,2,9,Top,202.02,119.34,,,553869,,,-6.6584828561515605,-115.25746378236742,-2.700603391617788,11.707060068313186,18.434247152921053,-31.174156803158045,3.58,1.73,250.0,75.8,32.0,78.2,1739.0,5.2,718390,621389,553869,543068,676701,641857,678662,595777,686668,592178,55.26,0.229,0.235,0.9,1.0,1.0,0.0,3.0,70,1,Changeup,1,7,7,1,8,1,8,1,Standard,Standard,99.0,-0.001,0.854
CU,2023-04-28,78.5,3.24,5.9,"Blach, Ty",656976,621389,strikeout,swinging_strike,,,,,13,Pavin Smith strikes out swinging.,R,L,L,COL,AZ,S,2.0,,0,2,2023,-0.3,-0.42,-0.86,1.48,,672515.0,677950.0,1,9,Top,,,,,553869,,,-8.183317781000412,-114.15899052208172,-2.0005276885357968,-1.322375512342423,18.410643402679,-35.73278566133439,3.47,1.74,,,,77.6,2125.0,5.4,718390,621389,553869,543068,676701,641857,678662,595777,686668,592178,55.11,,,0.0,1.0,0.0,0.0,,69,3,Curveball,1,7,7,1,7,1,7,1,Standard,Standard,315.0,0.0,-0.286
CU,2023-04-28,78.5,3.2,5.83,"Blach, Ty",656976,621389,,swinging_strike,,,,,13,Pavin Smith strikes out swinging.,R,L,L,COL,AZ,S,,,0,1,2023,-0.23,-0.34,-1.22,1.25,,672515.0,677950.0,1,9,Top,,,,,553869,,,-8.977095231290175,-114.07509124010936,-2.4674058511401293,-0.5367100843913856,18.88792532790996,-34.95906385178925,3.47,1.74,,,,77.5,2191.0,5.4,718390,621389,553869,543068,676701,641857,678662,595777,686668,592178,55.08,,,,,,,,69,2,Curveball,1,7,7,1,7,1,7,1,Standard,Standard,317.0,0.0,-0.116
