pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-13,91.1,-1.72,5.58,"Boxberger, Brad",621043,502202,single,hit_into_play,,,,,1,Carlos Correa singles on a ground ball to shortstop Miles Mastrobuoni.   Ryan Jeffers scores.    Joey Gallo scores.    Donovan Solano to 3rd.    Carlos Correa to 2nd.  Throwing error by shortstop Miles Mastrobuoni.,R,R,R,MIN,CHC,X,6.0,ground_ball,1,2,2023,-0.77,1.45,-0.56,3.28,680777.0,608336.0,456781.0,2,8,Bot,101.41,150.93,,,571466,,,4.519496846200636,-132.53482735315205,-2.892488900245425,-10.106034437082574,32.28807773184794,-14.766088396755851,3.5,1.68,22.0,87.6,-7.0,89.7,2218,5.8,718195,502202,571466,670223,666624,663611,670156,664023,641355,673548,54.74,0.16,0.159,0.9,1.0,1.0,0.0,2.0,75,5,4-Seam Fastball,9,1,9,1,1,11,11,1,Standard,Standard,209,0.0,1.783
FF,2023-05-13,87.4,-1.91,5.62,"Boxberger, Brad",621043,502202,,foul,,,,,1,Carlos Correa singles on a ground ball to shortstop Miles Mastrobuoni.   Ryan Jeffers scores.    Joey Gallo scores.    Donovan Solano to 3rd.    Carlos Correa to 2nd.  Throwing error by shortstop Miles Mastrobuoni.,R,R,R,MIN,CHC,S,,,1,2,2023,-0.9,1.51,-0.7,3.41,680777.0,608336.0,456781.0,2,8,Bot,,,,,571466,,,4.702991160744344,-127.181661534084,-2.2320329479384013,-10.791081514331122,28.12616762738997,-15.578169417342435,3.5,1.68,7.0,92.8,-28.0,86.0,2212,5.6,718195,502202,571466,670223,666624,663611,670156,664023,641355,673548,54.92,,,,,,,,75,4,4-Seam Fastball,9,1,9,1,1,9,9,1,Standard,Standard,209,0.0,0.0
SL,2023-05-13,86.4,-1.79,5.74,"Boxberger, Brad",621043,502202,,foul,,,,,5,Carlos Correa singles on a ground ball to shortstop Miles Mastrobuoni.   Ryan Jeffers scores.    Joey Gallo scores.    Donovan Solano to 3rd.    Carlos Correa to 2nd.  Throwing error by shortstop Miles Mastrobuoni.,R,R,R,MIN,CHC,S,,,1,1,2023,0.56,0.8,-0.13,2.77,680777.0,608336.0,456781.0,2,8,Bot,,,,,571466,,,2.7981651344245897,-125.82197611414024,-2.4389405714180223,5.338618483189309,26.401654247021614,-23.427694355022425,3.5,1.68,156.0,67.0,56.0,85.5,2397,5.7,718195,502202,571466,670223,666624,663611,670156,664023,641355,673548,54.79,,,,,,,,75,3,Slider,9,1,9,1,1,9,9,1,Standard,Standard,167,0.0,-0.204
CH,2023-05-13,81.4,-1.79,5.48,"Boxberger, Brad",621043,502202,,ball,,,,,13,Carlos Correa singles on a ground ball to shortstop Miles Mastrobuoni.   Ryan Jeffers scores.    Joey Gallo scores.    Donovan Solano to 3rd.    Carlos Correa to 2nd.  Throwing error by shortstop Miles Mastrobuoni.,R,R,R,MIN,CHC,B,,,0,1,2023,-1.28,0.2,-1.22,0.61,680777.0,608336.0,456781.0,2,8,Bot,,,,,571466,,,3.721483061836238,-118.37360073030112,-4.539172695544108,-12.73474100861498,27.168526471052235,-29.557475955260937,3.55,1.69,,,,80.0,1307,5.8,718195,502202,571466,670223,666624,663611,670156,664023,641355,673548,54.69,,,,,,,,75,2,Changeup,9,1,9,1,1,9,9,1,Standard,Standard,246,0.0,0.049
SL,2023-05-13,88.2,-1.81,5.68,"Boxberger, Brad",621043,502202,,called_strike,,,,,5,Carlos Correa singles on a ground ball to shortstop Miles Mastrobuoni.   Ryan Jeffers scores.    Joey Gallo scores.    Donovan Solano to 3rd.    Carlos Correa to 2nd.  Throwing error by shortstop Miles Mastrobuoni.,R,R,R,MIN,CHC,S,,,0,0,2023,0.21,0.88,-0.18,2.3,680777.0,608336.0,456781.0,2,8,Bot,,,,,571466,,,3.479815068686739,-128.3464528281968,-3.858118412503691,1.542440945331431,29.441123460847155,-21.90171873316041,3.55,1.69,,,,86.9,2422,5.7,718195,502202,571466,670223,666624,663611,670156,664023,641355,673548,54.77,,,,,,,,75,1,Slider,9,1,9,1,1,9,9,1,Standard,Standard,169,0.0,-0.126
FF,2023-05-13,91.2,-1.74,5.58,"Boxberger, Brad",456781,502202,walk,ball,,,,,14,Donovan Solano walks.,R,R,R,MIN,CHC,B,,,3,2,2023,-0.37,1.57,0.63,0.9,680777.0,608336.0,,2,8,Bot,,,,,571466,,,6.656359282163468,-132.31032511366593,-9.04747622654568,-5.909350224716526,31.73600660722603,-11.941816934847632,3.14,1.43,,,,89.6,2217,5.8,718195,502202,571466,670223,666624,663611,670156,664023,641355,673548,54.73,,,0.7,1.0,0.0,0.0,,74,7,4-Seam Fastball,9,1,9,1,1,9,9,1,Standard,Standard,204,0.0,0.351
FF,2023-05-13,91.5,-1.82,5.55,"Boxberger, Brad",456781,502202,,foul,,,,,8,Donovan Solano walks.,R,R,R,MIN,CHC,S,,,3,2,2023,-0.67,1.5,0.04,1.64,680777.0,608336.0,,2,8,Bot,,,,,571466,,,6.061318923332023,-132.90566718858187,-7.074127084375266,-9.35688579667923,31.98539738386891,-13.04621543322564,3.09,1.42,185.0,70.0,44.0,90.0,2304,5.7,718195,502202,571466,670223,666624,663611,670156,664023,641355,673548,54.77,,,,,,,,74,6,4-Seam Fastball,9,1,9,1,1,9,9,1,Standard,Standard,208,0.0,0.0
CH,2023-05-13,81.6,-1.62,5.57,"Boxberger, Brad",456781,502202,,ball,,,,,13,Donovan Solano walks.,R,R,R,MIN,CHC,B,,,2,2,2023,-1.36,0.42,-1.43,1.2,680777.0,608336.0,,2,8,Bot,,,,,571466,,,3.001188970276761,-118.71564815429376,-3.9896212752642377,-13.429278960388286,24.04419154642864,-27.615704166102603,3.11,1.43,,,,80.4,1331,5.6,718195,502202,571466,670223,666624,663611,670156,664023,641355,673548,54.86,,,,,,,,74,5,Changeup,9,1,9,1,1,9,9,1,Standard,Standard,239,0.0,0.052
FF,2023-05-13,91.0,-1.6,5.7,"Boxberger, Brad",456781,502202,,swinging_strike,,,,,3,Donovan Solano walks.,R,R,R,MIN,CHC,S,,,2,1,2023,-0.29,1.66,0.29,2.83,680777.0,608336.0,,2,8,Bot,,,,,571466,,,5.334223898916127,-132.30305818393057,-4.791136606109795,-4.639684378197043,29.723251465814187,-11.866572849185864,3.09,1.42,,,,90.0,2287,5.8,718195,502202,571466,670223,666624,663611,670156,664023,641355,673548,54.66,,,,,,,,74,4,4-Seam Fastball,9,1,9,1,1,9,9,1,Standard,Standard,203,0.0,-0.199
FF,2023-05-13,91.9,-1.83,5.69,"Boxberger, Brad",456781,502202,,foul,,,,,8,Donovan Solano walks.,R,R,R,MIN,CHC,S,,,2,0,2023,-0.34,1.53,-0.12,1.83,680777.0,608336.0,,2,8,Bot,,,,,571466,,,5.008246736064551,-133.64773407636588,-7.180787804500109,-5.127301575749468,28.56577772821176,-12.503261736541212,3.1,1.43,83.0,76.6,11.0,90.9,2444,5.7,718195,502202,571466,670223,666624,663611,670156,664023,641355,673548,54.78,,,,,,,,74,3,4-Seam Fastball,9,1,9,1,1,9,9,1,Standard,Standard,203,0.0,-0.021
