pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-23,78.1,-1.46,5.33,"Bracho, Silvino",640458,611093,field_out,hit_into_play,,,,,3,Oscar Mercado pops out to first baseman Spencer Steer in foul territory.,R,R,R,CIN,STL,X,3.0,popup,2,2,2023,0.94,0.32,0.39,3.27,,,502671.0,2,7,Top,166.27,179.41,,,663886,,,2.2355057573176897,-113.70676181402794,1.8554896270150745,7.716299021061838,21.65576466998389,-30.00751238686982,3.45,1.63,109.0,77.9,69.0,77.6,2562,6.0,718059,611093,663886,668715,621028,669222,680574,641584,670770,571976,54.49,0.006,0.009,0.0,1.0,0.0,0.0,3.0,59,5,Slider,5,7,7,5,7,5,7,5,Standard,Standard,71,0.016,-0.206
CH,2023-05-23,79.8,-1.68,5.22,"Bracho, Silvino",640458,611093,,ball,,,,,14,Oscar Mercado pops out to first baseman Spencer Steer in foul territory.,R,R,R,CIN,STL,B,,,1,2,2023,-0.66,0.73,0.62,1.0,,,502671.0,2,7,Top,,,,,663886,,,6.28198777221239,-116.11823717428088,-3.914243221345252,-7.185910694043129,21.65652651381572,-25.033205458644343,3.29,1.63,,,,79.7,2092,6.2,718059,611093,663886,668715,621028,669222,680574,641584,670770,571976,54.28,,,,,,,,59,4,Changeup,5,7,7,5,7,5,7,5,Standard,Standard,214,0.0,0.03
CH,2023-05-23,79.3,-1.65,5.34,"Bracho, Silvino",640458,611093,,swinging_strike,,,,,8,Oscar Mercado pops out to first baseman Spencer Steer in foul territory.,R,R,R,CIN,STL,S,,,1,1,2023,-0.48,0.89,0.26,2.11,,,502671.0,2,7,Top,,,,,663886,,,5.041534480645346,-115.4697981011736,-1.9445652069009625,-5.235910516090333,22.02801459515724,-24.029108058846877,3.45,1.63,,,,78.9,1875,6.0,718059,611093,663886,668715,621028,669222,680574,641584,670770,571976,54.45,,,,,,,,59,3,Changeup,5,7,7,5,7,5,7,5,Standard,Standard,205,0.0,-0.056
SL,2023-05-23,77.0,-1.64,5.3,"Bracho, Silvino",640458,611093,,called_strike,,,,,1,Oscar Mercado pops out to first baseman Spencer Steer in foul territory.,R,R,R,CIN,STL,S,,,1,0,2023,0.79,0.4,-0.45,2.85,,,502671.0,2,7,Top,,,,,663886,,,1.0913132874672002,-112.19922097586893,1.0588717536669188,6.486210976568242,20.939143418281414,-29.244668902478026,3.4,1.63,,,,76.7,2373,6.0,718059,611093,663886,668715,621028,669222,680574,641584,670770,571976,54.45,,,,,,,,59,2,Slider,5,7,7,5,7,5,7,5,Standard,Standard,69,0.0,-0.037
FF,2023-05-23,91.7,-1.37,5.4,"Bracho, Silvino",640458,611093,,ball,,,,,12,Oscar Mercado pops out to first baseman Spencer Steer in foul territory.,R,R,R,CIN,STL,B,,,0,0,2023,-0.66,1.38,0.95,3.14,,,502671.0,2,7,Top,,,,,663886,,,7.273620231238938,-133.3315820640429,-2.8313981419627194,-9.471956215412986,28.14641639451684,-15.319154611500055,3.32,1.63,,,,91.6,2162,6.2,718059,611093,663886,668715,621028,669222,680574,641584,670770,571976,54.29,,,,,,,,59,1,4-Seam Fastball,5,7,7,5,7,5,7,5,Standard,Standard,201,0.0,0.027
FF,2023-05-23,91.2,-1.57,5.39,"Bracho, Silvino",669357,611093,strikeout,called_strike,,,,,4,Nolan Gorman called out on strikes.,R,L,R,CIN,STL,S,2.0,,3,2,2023,-0.67,1.34,-0.74,2.38,,,502671.0,1,7,Top,,,,,663886,,,3.5194575533117383,-132.77352880690668,-4.58003575514882,-8.675622691368378,27.697264047090258,-15.57928052107845,3.31,1.63,,,,91.1,2205,6.1,718059,611093,663886,668715,621028,669222,680574,641584,670770,571976,54.38,,,0.0,1.0,0.0,0.0,,58,6,4-Seam Fastball,5,7,7,5,7,5,7,5,Standard,Standard,206,0.019,-0.385
FF,2023-05-23,90.3,-1.51,5.41,"Bracho, Silvino",669357,611093,,swinging_strike,,,,,1,Nolan Gorman called out on strikes.,R,L,R,CIN,STL,S,,,3,1,2023,-0.85,1.36,-0.83,3.2,,,502671.0,1,7,Top,,,,,663886,,,3.503895308417624,-131.56973582073817,-2.477136454695524,-10.577805300325933,27.42521010813148,-16.049652061838824,3.44,1.63,,,,90.3,2160,6.2,718059,611093,663886,668715,621028,669222,680574,641584,670770,571976,54.35,,,,,,,,58,5,4-Seam Fastball,5,7,7,5,7,5,7,5,Standard,Standard,201,0.0,-0.067
FF,2023-05-23,89.5,-1.7,5.44,"Bracho, Silvino",669357,611093,,called_strike,,,,,1,Nolan Gorman called out on strikes.,R,L,R,CIN,STL,S,,,3,0,2023,-0.78,1.34,-0.73,3.01,,,502671.0,1,7,Top,,,,,663886,,,4.005692805994265,-130.27443943738552,-2.808591526820652,-9.707270216763764,26.941161378073215,-16.5123393376012,3.44,1.63,,,,89.1,2151,6.0,718059,611093,663886,668715,621028,669222,680574,641584,670770,571976,54.5,,,,,,,,58,4,4-Seam Fastball,5,7,7,5,7,5,7,5,Strategic,Standard,203,0.0,-0.107
CH,2023-05-23,80.0,-1.74,5.27,"Bracho, Silvino",669357,611093,,ball,,,,,11,Nolan Gorman called out on strikes.,R,L,R,CIN,STL,B,,,2,0,2023,-0.96,0.87,-0.89,3.66,,,502671.0,1,7,Top,,,,,663886,,,3.675828450107483,-116.37336288635257,1.5480880411900175,-9.41438912378961,23.134364428610635,-24.860023164876345,3.52,1.63,,,,79.3,1857,6.0,718059,611093,663886,668715,621028,669222,680574,641584,670770,571976,54.52,,,,,,,,58,3,Changeup,5,7,7,5,7,5,7,5,Standard,Standard,203,0.0,0.133
FF,2023-05-23,90.8,-1.77,5.33,"Bracho, Silvino",669357,611093,,ball,,,,,1,Nolan Gorman called out on strikes.,R,L,R,CIN,STL,B,,,1,0,2023,-0.81,1.31,-0.8,3.35,,,502671.0,1,7,Top,,,,,663886,,,4.148806177372157,-132.24375760979513,-1.8891395078550448,-10.324339910432414,26.636014110499072,-16.607858614700127,3.31,1.63,,,,91.1,2202,6.3,718059,611093,663886,668715,621028,669222,680574,641584,670770,571976,54.21,,,,,,,,58,2,4-Seam Fastball,5,7,7,5,7,5,7,5,Standard,Standard,206,0.0,0.069
CH,2023-05-23,79.3,-1.66,5.24,"Bracho, Silvino",669357,611093,,ball,,,,,11,Nolan Gorman called out on strikes.,R,L,R,CIN,STL,B,,,0,0,2023,-0.78,0.5,-1.31,2.78,,,502671.0,1,7,Top,,,,,663886,,,2.2032207492085973,-115.50225130015887,0.4309625715715988,-7.380301000396088,21.228991279486834,-28.00788594930731,3.31,1.63,,,,78.9,2001,6.0,718059,611093,663886,668715,621028,669222,680574,641584,670770,571976,54.54,,,,,,,,58,1,Changeup,5,7,7,5,7,5,7,5,Standard,Standard,205,0.0,0.045
CH,2023-05-23,79.9,-1.61,5.27,"Bracho, Silvino",502671,611093,walk,ball,,,,,12,Paul Goldschmidt walks.,R,R,R,CIN,STL,B,,,3,1,2023,-0.57,0.92,0.9,2.72,,,,1,7,Top,,,,,663886,,,6.540382586818594,-116.19297118534726,-0.6566745919740546,-6.320528290244541,20.9967279593766,-23.905182381545952,3.27,1.64,,,,79.5,1881,6.0,718059,611093,663886,668715,621028,669222,680574,641584,670770,571976,54.54,,,0.7,1.0,0.0,0.0,,57,5,Changeup,5,7,7,5,7,5,7,5,Strategic,Standard,202,-0.016,0.167
CH,2023-05-23,79.4,-1.91,5.24,"Bracho, Silvino",502671,611093,,ball,,,,,11,Paul Goldschmidt walks.,R,R,R,CIN,STL,B,,,2,1,2023,-0.71,0.79,-0.99,3.84,,,,1,7,Top,,,,,663886,,,3.324844532697857,-115.56997882517658,2.196358447931773,-6.976317116241764,21.905360581171408,-25.718667569010584,3.3,1.64,,,,78.9,1868,6.0,718059,611093,663886,668715,621028,669222,680574,641584,670770,571976,54.51,,,,,,,,57,4,Changeup,5,7,7,5,7,5,7,5,Strategic,Standard,202,0.0,0.078
SL,2023-05-23,79.1,-1.73,5.28,"Bracho, Silvino",502671,611093,,ball,,,,,14,Paul Goldschmidt walks.,R,R,R,CIN,STL,B,,,1,1,2023,0.91,-0.07,0.85,1.4,,,,1,7,Top,,,,,663886,,,3.9057204429661474,-115.15535976282524,-1.505607853595382,7.263938790081054,22.70807158492364,-32.70316771912308,3.25,1.64,,,,78.5,2474,6.0,718059,611093,663886,668715,621028,669222,680574,641584,670770,571976,54.53,,,,,,,,57,3,Slider,5,7,7,5,7,5,7,5,Strategic,Standard,49,0.0,0.037
