pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-14,81.6,-1.43,5.54,"Brasier, Ryan",680977,518489,field_out,hit_into_play,,,,,8,"Brendan Donovan grounds out, second baseman Enmanuel Valdez to first baseman Triston Casas.",R,L,R,BOS,STL,X,4.0,ground_ball,2,2,2023,0.96,0.27,0.11,1.94,,,,2,8,Top,157.07,147.16,,,624512,,,1.6261986956091874,-118.84078397447392,-2.091051919653152,8.82872255813272,22.278508521054874,-29.386306661257112,3.24,1.63,79.0,95.0,5.0,83.2,2530.0,7.2,718187,518489,624512,671213,665839,646240,622569,807799,680776,657077,53.26,0.477,0.43,0.0,1.0,0.0,0.0,4.0,71,5,Slider,1,9,9,1,9,1,9,1,Strategic,Strategic,76.0,0.0,-0.09
SL,2023-05-14,82.1,-1.25,5.64,"Brasier, Ryan",680977,518489,,ball,,,,,14,"Brendan Donovan grounds out, second baseman Enmanuel Valdez to first baseman Triston Casas.",R,L,R,BOS,STL,B,,,1,2,2023,0.87,-0.54,0.66,0.59,,,,2,8,Top,,,,,624512,,,2.6886553106582385,-119.3992199122466,-3.71742766636359,7.581711113237127,27.883072506268885,-36.6807096200443,3.12,1.35,,,,82.6,2628.0,7.2,718187,518489,624512,671213,665839,646240,622569,807799,680776,657077,53.33,,,,,,,,71,4,Slider,1,9,9,1,9,1,9,1,Strategic,Strategic,67.0,0.0,0.018
FF,2023-05-14,93.7,-1.57,5.51,"Brasier, Ryan",680977,518489,,called_strike,,,,,3,"Brendan Donovan grounds out, second baseman Enmanuel Valdez to first baseman Triston Casas.",R,L,R,BOS,STL,S,,,1,1,2023,-0.57,1.48,0.61,2.66,,,,2,8,Top,,,,,624512,,,7.002290523146281,-136.24442351582374,-4.911670432243365,-8.703992618990869,31.74130546724129,-12.88687334371551,3.18,1.35,,,,94.7,2372.0,7.1,718187,518489,624512,671213,665839,646240,622569,807799,680776,657077,53.44,,,,,,,,71,3,4-Seam Fastball,1,9,9,1,9,1,9,1,Strategic,Standard,212.0,0.0,-0.026
SL,2023-05-14,83.5,-1.01,5.63,"Brasier, Ryan",680977,518489,,ball,,,,,14,"Brendan Donovan grounds out, second baseman Enmanuel Valdez to first baseman Triston Casas.",R,L,R,BOS,STL,B,,,0,1,2023,0.52,0.12,0.65,0.3,,,,2,8,Top,,,,,624512,,,2.855452228624609,-121.5460594987001,-6.156466904494173,4.619355012307436,23.610214420694813,-30.042356912074037,3.24,1.47,,,,85.0,2560.0,7.2,718187,518489,624512,671213,665839,646240,622569,807799,680776,657077,53.25,,,,,,,,71,2,Slider,1,9,9,1,9,1,9,1,Strategic,Standard,86.0,0.0,0.015
SL,2023-05-14,81.9,-1.4,5.56,"Brasier, Ryan",680977,518489,,called_strike,,,,,7,"Brendan Donovan grounds out, second baseman Enmanuel Valdez to first baseman Triston Casas.",R,L,R,BOS,STL,S,,,0,0,2023,0.47,0.02,-0.51,1.5,,,,2,8,Top,,,,,624512,,,1.1286799824122218,-119.34186641368204,-2.691261215697269,4.253551735004031,22.96577140489209,-31.69696912815456,3.0,1.38,,,,83.5,2532.0,7.3,718187,518489,624512,671213,665839,646240,622569,807799,680776,657077,53.23,,,,,,,,71,1,Slider,1,9,9,1,9,1,9,1,Strategic,Standard,73.0,0.0,-0.021
SL,2023-05-14,83.2,-1.18,5.71,"Brasier, Ryan",575929,518489,field_out,hit_into_play,,,,,5,"Willson Contreras grounds out, shortstop Pablo Reyes to first baseman Triston Casas.",R,R,R,BOS,STL,X,6.0,ground_ball,0,0,2023,0.32,0.05,0.09,2.23,,,,1,8,Top,108.99,144.63,,,624512,,,2.303166634915633,-121.08615590502929,-1.5961460468984257,2.657549990051532,24.971867841890028,-31.55268922173505,3.32,1.6,19.0,99.7,-5.0,84.0,2421.0,6.9,718187,518489,624512,671213,665839,646240,622569,807799,680776,657077,53.56,0.286,0.277,0.0,1.0,0.0,0.0,2.0,70,1,Slider,1,9,9,1,9,1,9,1,Standard,Standard,86.0,0.0,-0.172
FF,2023-05-14,95.7,-1.37,5.59,"Brasier, Ryan",571448,518489,home_run,hit_into_play,,,,,8,Nolan Arenado homers (6) on a fly ball to center field.   Nolan Gorman scores.,R,R,R,BOS,STL,X,,fly_ball,2,2,2023,-0.63,1.59,0.07,1.95,,669357.0,,1,8,Top,89.63,43.0,,,624512,,,5.283759503370676,-139.1279257267454,-7.693450063449731,-9.318677055041462,31.16509941978679,-9.961862908358611,3.25,1.61,396.0,102.6,31.0,97.2,2409.0,7.2,718187,518489,624512,671213,665839,646240,622569,807799,680776,657077,53.33,0.729,1.428,2.0,1.0,0.0,3.0,6.0,69,7,4-Seam Fastball,1,7,7,1,9,1,9,1,Standard,Standard,202.0,-0.004,1.664
SL,2023-05-14,82.0,-1.15,5.6,"Brasier, Ryan",571448,518489,,foul,,,,,13,Nolan Arenado homers (6) on a fly ball to center field.   Nolan Gorman scores.,R,R,R,BOS,STL,S,,,2,2,2023,0.56,-0.22,-0.32,0.51,,669357.0,,1,8,Top,,,,,624512,,,0.7881695318113099,-119.4451427411338,-4.649091227225835,5.25897101262283,21.84244325096433,-33.63608578253832,3.25,1.61,146.0,81.6,11.0,83.7,2495.0,7.2,718187,518489,624512,671213,665839,646240,622569,807799,680776,657077,53.28,,,,,,,,69,6,Slider,1,7,7,1,7,1,7,1,Standard,Strategic,67.0,0.0,0.0
SI,2023-05-14,95.0,-1.59,5.58,"Brasier, Ryan",571448,518489,,foul,,,,,11,Nolan Arenado homers (6) on a fly ball to center field.   Nolan Gorman scores.,R,R,R,BOS,STL,S,,,2,2,2023,-1.59,1.16,-0.48,3.54,,669357.0,,1,8,Top,,,,,624512,,,6.544276325356171,-138.2592141617951,-2.3117752633716284,-21.84627778375466,31.617439669650867,-16.961472406544797,3.25,1.61,7.0,90.7,-29.0,96.2,2291.0,7.0,718187,518489,624512,671213,665839,646240,622569,807799,680776,657077,53.46,,,,,,,,69,5,Sinker,1,7,7,1,7,1,7,1,Standard,Standard,207.0,0.0,0.0
FF,2023-05-14,94.8,-1.45,5.69,"Brasier, Ryan",571448,518489,,ball,,,,,11,Nolan Arenado homers (6) on a fly ball to center field.   Nolan Gorman scores.,R,R,R,BOS,STL,B,,,1,2,2023,-0.38,1.34,-0.01,4.91,,669357.0,,1,8,Top,,,,,624512,,,4.671051018310219,-138.09680612018036,0.6405264839683524,-5.851247979307035,30.97664992704425,-15.33438942655637,2.9,1.32,,,,96.1,2224.0,7.0,718187,518489,624512,671213,665839,646240,622569,807799,680776,657077,53.51,,,,,,,,69,4,4-Seam Fastball,1,7,7,1,7,1,7,1,Standard,Standard,202.0,0.0,0.051
