pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-04-19,88.5,2.85,5.63,"Bumgarner, Madison",666185,518516,field_out,hit_into_play,,,,,5,Dylan Carlson flies out to left fielder Lourdes Gurriel Jr.,R,R,L,STL,AZ,X,7.0,fly_ball,2,1,2023,0.24,1.4,-0.12,2.52,,,,2,3,Bot,77.22,58.18,,,645444,,,-7.77608672364305,-128.692257300832,-4.458119048883744,4.298680141887469,26.293418203800226,-15.812409484575223,3.31,1.63,368.0,94.6,29.0,88.8,2167,6.5,718512,518516,645444,572233,606466,668942,672695,666971,677950,682998,54.05,0.214,0.403,0.0,1.0,0.0,0.0,5.0,34,4,4-Seam Fastball,7,3,7,3,3,7,7,3,Standard,Standard,149,-0.004,-0.12
CH,2023-04-19,84.2,2.73,5.63,"Bumgarner, Madison",666185,518516,,swinging_strike,,,,,8,Dylan Carlson flies out to left fielder Lourdes Gurriel Jr.,R,R,L,STL,AZ,S,,,2,0,2023,1.12,0.24,-0.22,1.85,,,,2,3,Bot,,,,,645444,,,-9.09876473285265,-122.27624837556402,-2.8426070421853287,13.080869610682958,24.255437991577143,-29.372240388909443,3.31,1.63,,,,84.4,1462,6.6,718512,518516,645444,572233,606466,668942,672695,666971,677950,682998,53.94,,,,,,,,34,3,Changeup,7,3,7,3,3,7,7,3,Standard,Standard,120,0.0,-0.029
FF,2023-04-19,88.2,2.83,5.58,"Bumgarner, Madison",666185,518516,,ball,,,,,12,Dylan Carlson flies out to left fielder Lourdes Gurriel Jr.,R,R,L,STL,AZ,B,,,1,0,2023,0.39,1.13,1.18,2.99,,,,2,3,Bot,,,,,645444,,,-4.843651501261741,-128.42836293768568,-2.603807006868303,5.320780906407135,25.261040871131748,-19.3084140480033,3.26,1.63,,,,88.7,2200,6.4,718512,518516,645444,572233,606466,668942,672695,666971,677950,682998,54.06,,,,,,,,34,2,4-Seam Fastball,7,3,7,3,3,7,7,3,Standard,Standard,159,0.0,0.025
FF,2023-04-19,89.0,2.69,5.59,"Bumgarner, Madison",666185,518516,,ball,,,,,13,Dylan Carlson flies out to left fielder Lourdes Gurriel Jr.,R,R,L,STL,AZ,B,,,0,0,2023,0.69,1.27,-1.64,2.07,,,,2,3,Bot,,,,,645444,,,-12.106351064724574,-129.12576714281718,-5.285523032693365,10.101310592907152,24.884989383639788,-16.948360783145823,3.26,1.63,,,,89.5,2204,6.6,718512,518516,645444,572233,606466,668942,672695,666971,677950,682998,53.9,,,,,,,,34,1,4-Seam Fastball,7,3,7,3,3,7,7,3,Standard,Standard,150,0.0,0.021
CU,2023-04-19,76.2,2.86,5.71,"Bumgarner, Madison",669242,518516,home_run,hit_into_play,,,,,8,Tommy Edman homers (2) on a fly ball to left field.   Tyler O'Neill scores.    Jordan Walker scores.,R,R,L,STL,AZ,X,,fly_ball,0,0,2023,-0.64,-0.4,-0.1,1.92,641933.0,,691023.0,2,3,Bot,42.34,73.11,,,645444,,,-5.0840239532932925,-110.89825895653212,-0.1412542708668338,-4.253635611687573,21.41812464704681,-35.66721319927836,3.2,1.49,373.0,104.3,37.0,76.1,2338,6.4,718512,518516,645444,572233,606466,668942,672695,666971,677950,682998,54.1,0.489,0.944,2.0,1.0,0.0,3.0,6.0,33,1,Curveball,4,3,4,3,3,7,7,3,Standard,Standard,298,0.217,2.516
CU,2023-04-19,76.2,2.85,5.72,"Bumgarner, Madison",668800,518516,field_out,hit_into_play,,,,,8,Andrew Knizner pops out to second baseman Ketel Marte.,R,R,L,STL,AZ,X,4.0,popup,0,2,2023,-0.73,-0.12,-0.02,1.7,641933.0,,691023.0,1,3,Bot,159.39,146.83,,,645444,,,-4.730751616668341,-110.9044902965317,-1.1865046259890402,-5.169720605267967,19.54261020404445,-33.19505827158184,3.23,1.49,148.0,77.7,65.0,76.4,2263,6.4,718512,518516,645444,572233,606466,668942,672695,666971,677950,682998,54.13,0.003,0.003,0.0,1.0,0.0,0.0,3.0,32,4,Curveball,4,3,4,3,3,4,4,3,Standard,Standard,297,-0.06,-0.018
FF,2023-04-19,88.8,2.84,5.59,"Bumgarner, Madison",668800,518516,,foul,,,,,11,Andrew Knizner pops out to second baseman Ketel Marte.,R,R,L,STL,AZ,S,,,0,2,2023,0.44,1.31,-0.1,4.12,641933.0,,691023.0,1,3,Bot,,,,,645444,,,-8.156106529192565,-129.1713718471435,-0.2712576443270877,6.590410042373119,26.900908759904087,-17.659820950926655,3.23,1.49,170.0,78.0,69.0,89.3,2214,6.6,718512,518516,645444,572233,606466,668942,672695,666971,677950,682998,53.91,,,,,,,,32,3,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,154,0.0,0.0
FF,2023-04-19,90.1,2.79,5.58,"Bumgarner, Madison",668800,518516,,called_strike,,,,,6,Andrew Knizner pops out to second baseman Ketel Marte.,R,R,L,STL,AZ,S,,,0,1,2023,0.63,1.21,0.58,2.57,641933.0,,691023.0,1,3,Bot,,,,,645444,,,-6.839830488663564,-130.9206134577777,-4.048335585468859,8.758290591820803,29.5920833738767,-17.634083435463516,3.18,1.49,,,,90.2,2130,6.6,718512,518516,645444,572233,606466,668942,672695,666971,677950,682998,53.94,,,,,,,,32,2,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,142,0.0,-0.118
FF,2023-04-19,89.4,2.88,5.54,"Bumgarner, Madison",668800,518516,,foul,,,,,2,Andrew Knizner pops out to second baseman Ketel Marte.,R,R,L,STL,AZ,S,,,0,0,2023,0.54,1.21,0.01,3.23,641933.0,,691023.0,1,3,Bot,,,,,645444,,,-8.244466169103092,-129.89627649701475,-2.191073120836802,7.959247457232045,28.6778445728346,-18.22599189731348,3.23,1.49,185.0,71.9,59.0,89.5,2247,6.5,718512,518516,645444,572233,606466,668942,672695,666971,677950,682998,53.96,,,,,,,,32,1,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,146,0.0,-0.091
FF,2023-04-19,88.2,2.92,5.59,"Bumgarner, Madison",600301,518516,strikeout,swinging_strike,,,,,12,Taylor Motter strikes out swinging.,R,R,L,STL,AZ,S,2.0,,3,2,2023,0.64,1.14,0.47,3.55,641933.0,,691023.0,0,3,Bot,,,,,645444,,,-7.320875973836914,-128.33682716034784,-1.2494085049609378,8.595476067926286,25.768852672780323,-19.55134827377324,3.3,1.56,,,,88.6,2199,6.5,718512,518516,645444,572233,606466,668942,672695,666971,677950,682998,54.01,,,0.0,1.0,0.0,0.0,,31,6,4-Seam Fastball,4,3,4,3,3,4,4,3,Strategic,Standard,156,-0.05,-0.53
