pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,2023-05-22,78.1,-0.48,5.93,"Burnes, Corbin",665161,669203,strikeout,swinging_strike,,,,,14,Jeremy Pena strikes out swinging.,R,R,R,MIL,HOU,S,2.0,,2,2,2023,1.07,-0.88,0.12,0.99,,,547989.0,2,5,Top,,,,,661388,,,-0.687950535217287,-113.7926480715123,-2.1269874097280663,9.406091131260652,22.626511952555745,-39.5458067296331,3.59,1.72,,,,78.4,2677.0,6.6,718068,669203,661388,642133,668930,680911,642715,592885,621438,605119,53.9,,,0.0,1.0,0.0,0.0,,40,7,Curveball,1,5,5,1,5,1,5,1,Standard,Standard,42.0,0.007,-0.206
CU,2023-05-22,80.3,-0.36,5.89,"Burnes, Corbin",665161,669203,,blocked_ball,,,,,14,Jeremy Pena strikes out swinging.,R,R,R,MIL,HOU,B,,,1,2,2023,1.12,-1.02,1.62,-0.15,,,547989.0,2,5,Top,,,,,661388,,,2.248184861982716,-116.89983612951303,-4.677857818093511,9.72358474973964,25.10770320817124,-40.63512147516317,3.59,1.68,,,,80.4,2836.0,6.7,718068,669203,661388,642133,668930,680911,642715,592885,621438,605119,53.85,,,,,,,,40,6,Curveball,1,5,5,1,5,1,5,1,Standard,Standard,44.0,0.0,0.03
SL,2023-05-22,88.7,-0.75,5.76,"Burnes, Corbin",665161,669203,,foul,,,,,13,Jeremy Pena strikes out swinging.,R,R,R,MIL,HOU,S,,,1,2,2023,0.62,-0.1,-0.59,1.51,,,547989.0,2,5,Top,,,,,661388,,,-0.9049055556773432,-129.1948399702348,-4.186751668777489,7.153013309774184,25.36953153835559,-32.62806324015147,3.59,1.72,2.0,88.9,-33.0,89.6,2658.0,6.6,718068,669203,661388,642133,668930,680911,642715,592885,621438,605119,53.86,,,,,,,,40,5,Slider,1,5,5,1,5,1,5,1,Standard,Standard,135.0,0.0,0.0
CU,2023-05-22,79.5,-0.38,5.92,"Burnes, Corbin",665161,669203,,foul,,,,,13,Jeremy Pena strikes out swinging.,R,R,R,MIL,HOU,S,,,1,2,2023,0.84,-0.93,-0.12,1.19,,,547989.0,2,5,Top,,,,,661388,,,-1.0217670587754344,-115.75215972844768,-1.8338961337802224,7.761428975067866,22.84158471703813,-40.38493215247165,3.59,1.72,47.0,82.7,2.0,80.0,2776.0,6.7,718068,669203,661388,642133,668930,680911,642715,592885,621438,605119,53.76,,,,,,,,40,4,Curveball,1,5,5,1,5,1,5,1,Standard,Standard,40.0,0.0,0.0
CU,2023-05-22,78.2,-0.48,5.88,"Burnes, Corbin",665161,669203,,swinging_strike,,,,,13,Jeremy Pena strikes out swinging.,R,R,R,MIL,HOU,S,,,1,1,2023,0.75,-1.07,-0.41,0.92,,,547989.0,2,5,Top,,,,,661388,,,-1.237236860799263,-113.91346609416595,-1.834499887812309,6.768550516709931,22.31874314727639,-41.27399250952631,3.59,1.72,,,,78.4,2653.0,6.5,718068,669203,661388,642133,668930,680911,642715,592885,621438,605119,53.96,,,,,,,,40,3,Curveball,1,5,5,1,5,1,5,1,Standard,Standard,50.0,0.0,-0.056
SI,2023-05-22,94.9,-0.62,5.72,"Burnes, Corbin",665161,669203,,ball,,,,,13,Jeremy Pena strikes out swinging.,R,R,R,MIL,HOU,B,,,0,1,2023,-0.99,0.98,-0.38,1.19,,,547989.0,2,5,Top,,,,,661388,,,2.860693164660371,-137.9312637155987,-8.408746415743371,-13.319532694941394,30.97945817044311,-17.984557828885322,3.59,1.65,,,,95.3,2433.0,6.6,718068,669203,661388,642133,668930,680911,642715,592885,621438,605119,53.87,,,,,,,,40,2,Sinker,1,5,5,1,5,1,5,1,Standard,Standard,198.0,0.0,0.026
FC,2023-05-22,92.1,-0.64,5.74,"Burnes, Corbin",665161,669203,,foul,,,,,14,Jeremy Pena strikes out swinging.,R,R,R,MIL,HOU,S,,,0,0,2023,0.55,0.75,0.84,2.39,,,547989.0,2,5,Top,,,,,661388,,,2.5797356133144627,-134.16192851036124,-4.337159309546681,6.081269203492298,28.27178519285729,-22.367829266227105,3.59,1.72,214.0,80.3,55.0,92.8,2435.0,6.6,718068,669203,661388,642133,668930,680911,642715,592885,621438,605119,53.9,,,,,,,,40,1,Cutter,1,5,5,1,5,1,5,1,Standard,Standard,177.0,0.0,-0.036
CU,2023-05-22,78.6,-0.6,5.88,"Burnes, Corbin",547989,669203,single,hit_into_play,,,,,13,Jose Abreu singles on a line drive to center fielder Tyrone Taylor.,R,R,R,MIL,HOU,X,8.0,line_drive,0,2,2023,0.79,-1.13,-0.1,1.03,,,,2,5,Top,117.08,104.34,,,661388,,,-0.3961609001015787,-114.41829483010574,-1.530906212625204,6.96598967438048,22.71886878339211,-41.96185937033295,3.29,1.52,156.0,72.0,16.0,78.9,2672.0,6.7,718068,669203,661388,642133,668930,680911,642715,592885,621438,605119,53.83,0.626,0.571,0.9,1.0,1.0,0.0,4.0,39,3,Curveball,1,5,5,1,5,1,5,1,Standard,Standard,49.0,-0.004,0.182
SI,2023-05-22,93.6,-0.67,5.75,"Burnes, Corbin",547989,669203,,foul,,,,,5,Jose Abreu singles on a line drive to center fielder Tyrone Taylor.,R,R,R,MIL,HOU,S,,,0,1,2023,-0.79,1.19,-0.05,2.55,,,,2,5,Top,,,,,661388,,,3.3584165644065096,-136.30340643948466,-5.200206422427119,-10.603797550046442,29.07444800924652,-16.389867787115207,3.29,1.52,202.0,73.8,54.0,94.3,2361.0,6.6,718068,669203,661388,642133,668930,680911,642715,592885,621438,605119,53.88,,,,,,,,39,2,Sinker,1,5,5,1,5,1,5,1,Standard,Standard,205.0,0.0,-0.025
CU,2023-05-22,77.8,-0.48,5.97,"Burnes, Corbin",547989,669203,,foul,,,,,9,Jose Abreu singles on a line drive to center fielder Tyrone Taylor.,R,R,R,MIL,HOU,S,,,0,0,2023,1.04,-0.76,0.65,1.83,,,,2,5,Top,,,,,661388,,,0.5194813669204456,-113.30890355992253,-0.5795642149048597,8.86241790491002,20.97018257366395,-38.783387678409085,3.29,1.52,,,,78.1,2650.0,6.5,718068,669203,661388,642133,668930,680911,642715,592885,621438,605119,54.0,,,,,,,,39,1,Curveball,1,5,5,1,5,1,5,1,Standard,Standard,50.0,0.0,-0.021
CH,2023-05-22,88.7,-0.79,5.52,"Burnes, Corbin",663656,669203,strikeout,swinging_strike,,,,,13,Kyle Tucker strikes out swinging.,R,L,R,MIL,HOU,S,2.0,,1,2,2023,-1.39,0.31,-0.46,0.63,,,,1,5,Top,,,,,661388,,,3.718125705672531,-129.04766306392702,-6.553978687595418,-16.262019246327906,27.070728624066085,-27.56618555374553,3.49,1.69,,,,89.2,2054.0,6.6,718068,669203,661388,642133,668930,680911,642715,592885,621438,605119,53.89,,,0.0,1.0,0.0,0.0,,38,4,Changeup,1,5,5,1,5,1,5,1,Strategic,Standard,225.0,0.006,-0.122
CU,2023-05-22,78.7,-0.56,5.89,"Burnes, Corbin",663656,669203,,swinging_strike,,,,,14,Kyle Tucker strikes out swinging.,R,L,R,MIL,HOU,S,,,1,1,2023,1.09,-0.91,0.09,1.15,,,,1,5,Top,,,,,661388,,,-0.6015128244658581,-114.63415234265818,-1.788050743804591,9.727356196813728,20.95142332289187,-40.1203747086706,3.49,1.69,,,,79.5,2743.0,6.8,718068,669203,661388,642133,668930,680911,642715,592885,621438,605119,53.74,,,,,,,,38,3,Curveball,1,5,5,1,5,1,5,1,Strategic,Standard,45.0,0.0,-0.044
FC,2023-05-22,93.6,-0.75,5.71,"Burnes, Corbin",663656,669203,,ball,,,,,14,Kyle Tucker strikes out swinging.,R,L,R,MIL,HOU,B,,,0,1,2023,0.31,0.74,0.15,0.73,,,,1,5,Top,,,,,661388,,,1.6387537447825515,-136.13422674299548,-8.800610621862607,3.524836637758672,28.07054634219354,-21.28966840484435,3.49,1.74,,,,94.2,2442.0,6.6,718068,669203,661388,642133,668930,680911,642715,592885,621438,605119,53.94,,,,,,,,38,2,Cutter,1,5,5,1,5,1,5,1,Strategic,Standard,195.0,0.0,0.021
CH,2023-05-22,86.9,-0.81,5.6,"Burnes, Corbin",663656,669203,,foul,,,,,7,Kyle Tucker strikes out swinging.,R,L,R,MIL,HOU,S,,,0,0,2023,-1.12,0.7,-0.41,2.24,,,,1,5,Top,,,,,661388,,,3.27949513820899,-126.46031577030402,-3.266752683284577,-12.686014820847202,26.52534829174802,-24.253505556103025,3.49,1.69,175.0,74.0,65.0,87.1,1988.0,6.5,718068,669203,661388,642133,668930,680911,642715,592885,621438,605119,54.03,,,,,,,,38,1,Changeup,1,5,5,1,5,1,5,1,Strategic,Standard,220.0,0.0,-0.028
FC,2023-05-22,93.0,-0.72,5.8,"Burnes, Corbin",670541,669203,home_run,hit_into_play,,,,,8,Yordan Alvarez homers (11) on a fly ball to right center field.,R,L,R,MIL,HOU,X,,fly_ball,1,0,2023,0.04,1.15,-0.05,1.57,,,,1,5,Top,187.23,37.74,,,661388,,,1.642214425818448,-135.44951485791108,-7.678065103145831,0.1860035338382504,27.01964854715137,-16.547742742133945,3.39,1.66,425.0,110.0,22.0,93.9,2654.0,6.6,718068,669203,661388,642133,668930,680911,642715,592885,621438,605119,53.93,0.98,1.883,2.0,1.0,0.0,3.0,6.0,37,2,Cutter,1,4,4,1,5,1,5,1,Strategic,Standard,178.0,-0.063,0.972
FC,2023-05-22,92.9,-0.62,5.81,"Burnes, Corbin",670541,669203,,ball,,,,,14,Yordan Alvarez homers (11) on a fly ball to right center field.,R,L,R,MIL,HOU,B,,,0,0,2023,0.07,0.89,1.71,1.4,,,,1,5,Top,,,,,661388,,,5.866908813508896,-135.12427955518535,-7.519135387554403,-0.4281837069566894,28.657939074278584,-19.83591919769184,3.39,1.63,,,,93.7,2550.0,6.7,718068,669203,661388,642133,668930,680911,642715,592885,621438,605119,53.77,,,,,,,,37,1,Cutter,1,4,4,1,4,1,4,1,Strategic,Standard,189.0,0.0,0.028
FC,2023-05-22,92.9,-0.58,5.83,"Burnes, Corbin",608324,669203,field_out,hit_into_play,,,,,6,Alex Bregman flies out to center fielder Tyrone Taylor.,R,R,R,MIL,HOU,X,8.0,fly_ball,2,1,2023,0.39,1.11,0.4,2.13,,,,0,5,Top,130.46,60.5,,,661388,,,1.6744635377474026,-135.34746474347182,-6.216500293909244,4.4665842450197655,27.310773125525028,-17.42215385564025,3.09,1.46,343.0,95.7,36.0,93.9,2534.0,6.6,718068,669203,661388,642133,668930,680911,642715,592885,621438,605119,53.85,0.149,0.245,0.0,1.0,0.0,0.0,3.0,36,4,Cutter,1,4,4,1,4,1,4,1,Standard,Standard,183.0,0.011,-0.278
