pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CU,2023-05-25,84.3,-0.74,6.11,"Busenitz, Alan",640458,641427,strikeout,swinging_strike,,,,,5,Oscar Mercado strikes out swinging.,R,R,R,CIN,STL,S,2.0,,2,2,2023,0.44,-0.53,0.0,2.35,,668800.0,,2,9,Top,,,,,571912,,,0.8215867750953262,-122.70061565274972,-1.2630107563671142,4.235424545703342,26.588959774529663,-37.47949622950887,3.43,1.63,,,,82.8,2742,5.5,718030,641427,571912,668715,663697,669222,680574,641584,670770,656413,54.98,,,0.0,1.0,0.0,0.0,,68,6,Curveball,0,2,2,0,2,0,2,0,Standard,Standard,47,0.012,-0.237
FF,2023-05-25,94.6,-0.79,5.98,"Busenitz, Alan",640458,641427,,foul,,,,,12,Oscar Mercado strikes out swinging.,R,R,R,CIN,STL,S,,,2,2,2023,-0.86,1.22,0.04,3.88,,668800.0,,2,9,Top,,,,,571912,,,4.017101613979468,-137.85832276572927,-2.5542037247920915,-11.792455894214378,28.037954942040777,-16.241370678005588,3.43,1.63,152.0,66.4,60.0,93.8,2442,5.5,718030,641427,571912,668715,663697,669222,680574,641584,670770,656413,54.97,,,,,,,,68,5,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,231,0.0,0.0
CU,2023-05-25,83.5,-0.67,6.19,"Busenitz, Alan",640458,641427,,foul,,,,,4,Oscar Mercado strikes out swinging.,R,R,R,CIN,STL,S,,,2,1,2023,0.17,-0.6,-0.62,2.19,,668800.0,,2,9,Top,,,,,571912,,,-0.200118818293469,-121.76262867800092,-1.6422703233347824,1.7184050984637778,22.87121056560146,-38.028407938070224,3.43,1.63,3.0,77.4,-38.0,82.6,2631,5.5,718030,641427,571912,668715,663697,669222,680574,641584,670770,656413,55.01,,,,,,,,68,4,Curveball,0,2,2,0,2,0,2,0,Standard,Standard,43,0.0,-0.086
FF,2023-05-25,94.9,-0.67,6.05,"Busenitz, Alan",640458,641427,,ball,,,,,12,Oscar Mercado strikes out swinging.,R,R,R,CIN,STL,B,,,1,1,2023,-0.88,1.19,0.84,3.08,,,668800.0,2,9,Top,,,,,571912,,,5.831598644740528,-138.07666645802954,-4.7333089076277455,-12.559337328955117,30.24489523076283,-16.051277239778283,3.31,1.54,,,,93.7,2497,5.6,718030,641427,571912,668715,663697,669222,680574,641584,670770,656413,54.92,,,,,,,,68,3,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,213,-0.004,0.037
CU,2023-05-25,83.1,-0.57,6.2,"Busenitz, Alan",640458,641427,,blocked_ball,,,,,9,Oscar Mercado strikes out swinging.,R,R,R,CIN,STL,B,,,0,1,2023,-0.11,-0.89,0.58,1.32,,,668800.0,2,9,Top,,,,,571912,,,2.801879465395103,-121.10358349910533,-3.008301326309493,-1.5923393623162014,22.662285607240594,-40.58334460793639,3.34,1.44,,,,82.0,2764,5.4,718030,641427,571912,668715,663697,669222,680574,641584,670770,656413,55.11,,,,,,,,68,2,Curveball,0,2,2,0,2,0,2,0,Standard,Standard,38,0.0,0.026
CU,2023-05-25,83.1,-0.67,6.25,"Busenitz, Alan",640458,641427,,foul,,,,,8,Oscar Mercado strikes out swinging.,R,R,R,CIN,STL,S,,,0,0,2023,-0.15,-0.74,-0.19,1.84,,,668800.0,2,9,Top,,,,,571912,,,1.37860765956303,-121.07177384903126,-2.182201751516517,-1.747605871410917,24.32655978160615,-39.20672984799807,3.43,1.63,,,,81.9,2691,5.5,718030,641427,571912,668715,663697,669222,680574,641584,670770,656413,55.0,,,,,,,,68,1,Curveball,0,2,2,0,2,0,2,0,Standard,Standard,42,0.0,-0.036
CU,2023-05-25,83.5,-0.75,6.12,"Busenitz, Alan",668800,641427,single,hit_into_play,,,,,9,Andrew Knizner singles on a ground ball to third baseman Nick Senzel.,R,R,R,CIN,STL,X,5.0,ground_ball,0,2,2023,0.57,-1.16,0.77,1.62,,,,2,9,Top,114.66,189.28,,,571912,,,2.3281557096843555,-121.68166264409466,-1.677323449242511,5.272538418843526,23.13662652729181,-43.63147926961794,3.11,1.47,1.0,67.8,-50.0,82.8,2827,5.7,718030,641427,571912,668715,663697,669222,680574,641584,670770,656413,54.84,0.234,0.216,0.9,1.0,1.0,0.0,2.0,67,3,Curveball,0,2,2,0,2,0,2,0,Strategic,Standard,42,-0.005,0.182
CU,2023-05-25,84.6,-0.79,6.13,"Busenitz, Alan",668800,641427,,foul,,,,,4,Andrew Knizner singles on a ground ball to third baseman Nick Senzel.,R,R,R,CIN,STL,S,,,0,1,2023,0.07,-0.77,-0.76,2.19,,,,2,9,Top,,,,,571912,,,-0.0794172232280751,-123.2674437296029,-1.3208872321711906,0.7557047937467823,24.68224521951483,-39.99665718316224,3.11,1.47,,,,83.6,2813,5.6,718030,641427,571912,668715,663697,669222,680574,641584,670770,656413,54.92,,,,,,,,67,2,Curveball,0,2,2,0,2,0,2,0,Strategic,Standard,46,0.0,-0.025
CU,2023-05-25,84.7,-0.85,6.12,"Busenitz, Alan",668800,641427,,swinging_strike,,,,,9,Andrew Knizner singles on a ground ball to third baseman Nick Senzel.,R,R,R,CIN,STL,S,,,0,0,2023,0.11,-0.8,0.28,1.62,,,,2,9,Top,,,,,571912,,,2.3999488535902818,-123.35591034099735,-2.5264662205827557,0.5733971064552981,25.98761205957309,-39.95878865116845,3.11,1.47,,,,83.4,2777,5.5,718030,641427,571912,668715,663697,669222,680574,641584,670770,656413,54.98,,,,,,,,67,1,Curveball,0,2,2,0,2,0,2,0,Strategic,Standard,33,0.0,-0.021
FC,2023-05-25,92.9,-0.65,6.14,"Busenitz, Alan",669242,641427,field_out,hit_into_play,,,,,2,Tommy Edman lines out sharply to center fielder TJ Friedl.,R,R,R,CIN,STL,X,8.0,line_drive,0,0,2023,-0.12,0.72,0.12,2.92,,,,1,9,Top,105.69,64.03,,,571912,,,2.214085052151549,-135.35976385533925,-4.110238542099855,-1.9492454022187156,25.003415783911223,-22.5944752096947,3.19,1.48,339.0,110.4,14.0,92.5,2701,5.6,718030,641427,571912,668715,663697,669222,680574,641584,670770,656413,54.87,0.746,0.808,0.0,1.0,0.0,0.0,6.0,66,1,Cutter,0,2,2,0,2,0,2,0,Standard,Standard,200,0.006,-0.172
