pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SI,2023-05-25,92.6,-2.29,5.66,"Chapman, Matt",656305,621107,force_out,hit_into_play,,,,,7,"Matt Chapman grounds into a force out, shortstop Wander Franco to second baseman Brandon Lowe.   Brandon Belt out at 2nd.    Matt Chapman to 1st.",R,R,R,TB,TOR,X,6.0,ground_ball,0,0,2023,-1.39,0.57,-0.62,2.17,,,474832.0,1,6,Top,95.66,147.41,,,642336,,,7.371579476125855,-134.63227775445833,-4.3773515101403575,-18.525474376645175,28.60309254430117,-24.49353977621368,3.44,1.64,6.0,84.5,-21.0,93.3,2159.0,6.7,718032,621107,642336,670042,664040,670764,677551,668227,622534,666139,53.78,0.086,0.084,0.0,1.0,0.0,0.0,2.0,47,1,Sinker,5,1,1,5,1,5,1,5,Standard,Standard,229.0,0.019,-0.394,matt chapman,
SI,2023-05-25,93.8,-2.18,5.68,"Chapman, Matt",656305,621107,force_out,hit_into_play,,,,,4,"Matt Chapman grounds into a force out, third baseman Taylor Walls to second baseman Brandon Lowe.   Brandon Belt out at 2nd.    Matt Chapman to 1st.",R,R,R,TB,TOR,X,5.0,ground_ball,0,2,2023,-1.45,0.42,-0.63,2.48,,,474832.0,0,4,Top,105.43,171.61,,,642336,,,7.30112243438036,-136.32735119815678,-3.495749787520072,-19.726383428718844,30.846463252185064,-26.34391130315366,3.44,1.64,3.0,88.7,-41.0,94.7,2069.0,6.9,718032,621107,642336,670042,664040,670764,677551,668227,622534,666139,53.55,0.074,0.067,0.0,1.0,0.0,0.0,2.0,32,3,Sinker,5,1,1,5,1,5,1,5,Standard,Standard,230.0,0.027,-0.418,matt chapman,
FC,2023-05-25,89.1,-2.29,5.85,"Chapman, Matt",656305,621107,field_out,hit_into_play,,,,,8,Matt Chapman lines out to left fielder Randy Arozarena.,R,R,R,TB,TOR,X,7.0,line_drive,0,0,2023,0.1,0.76,-0.08,2.01,,665489.0,474832.0,1,1,Top,58.64,92.32,,,642336,,,5.2739117139917,-129.70042357013892,-5.033383046313386,-0.0066890176730084,26.681599053480173,-22.733268558849645,3.44,1.64,312.0,87.0,25.0,89.7,2218.0,6.6,718032,621107,642336,670042,664040,670764,677551,668227,622534,666139,53.93,0.109,0.116,0.0,1.0,0.0,0.0,3.0,5,1,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,204.0,0.038,-0.473,matt chapman,
FC,2023-05-25,91.6,-1.8,5.96,"Chapman, Matt",656305,676534,field_out,hit_into_play,,,,,5,Matt Chapman lines out sharply to center fielder Manuel Margot.,R,R,R,TB,TOR,X,8.0,line_drive,2,2,2023,0.34,0.27,0.21,2.27,,,474832.0,2,8,Top,146.67,68.46,,,642336,,,4.301594794666407,-133.35425416957082,-3.994838558246289,3.1025975932738445,30.252639450150543,-28.30262216745963,3.44,1.64,329.0,106.4,16.0,90.7,2755.0,5.9,718032,676534,642336,670042,664040,670764,677551,668227,622534,666139,54.64,0.62,0.73,0.0,1.0,0.0,0.0,5.0,65,6,Cutter,6,1,1,6,1,6,1,6,Standard,Standard,165.0,0.004,-0.206,matt chapman,
CU,2023-05-24,85.1,1.19,5.98,"Chapman, Matt",656305,663556,single,hit_into_play,,,,,5,Matt Chapman singles on a line drive to left fielder Randy Arozarena.,R,R,L,TB,TOR,X,7.0,line_drive,1,0,2023,-0.08,-0.31,0.16,2.37,,,,0,7,Top,55.48,108.96,,,542194,,,-2.300025525692553,-123.94955501104144,-1.5507281301502207,-0.3113273935038623,25.238781974787347,-35.26814418931944,3.44,1.64,153.0,86.3,11.0,86.5,2396.0,7.1,718044,663556,542194,670042,670764,670623,677551,668227,642350,622534,53.35,0.569,0.514,0.9,1.0,1.0,0.0,4.0,51,2,Curveball,5,1,1,5,1,5,1,5,Standard,Standard,296.0,-0.026,0.354,matt chapman,
FF,2023-05-24,97.0,0.56,6.24,"Chapman, Matt",656305,663556,field_out,hit_into_play,,,,,9,Matt Chapman pops out to first baseman Luke Raley in foul territory.,R,R,L,TB,TOR,X,3.0,popup,0,1,2023,1.12,1.44,0.58,2.05,,,665489.0,1,4,Top,183.95,168.59,,,542194,,,-2.5314802813017643,-140.93186112924707,-9.02888018492175,15.441313213240823,33.28703793439153,-11.099631575295904,3.44,1.64,168.0,77.3,63.0,97.9,2184.0,7.0,718044,663556,542194,670042,670764,670623,677551,668227,642350,622534,53.53,0.006,0.006,0.0,1.0,0.0,0.0,3.0,29,2,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,140.0,0.033,-0.256,matt chapman,
FF,2023-05-24,95.5,1.09,6.21,"Chapman, Matt",656305,663556,field_out,hit_into_play,,,,,8,Matt Chapman flies out to center fielder Jose Siri.,R,R,L,TB,TOR,X,8.0,fly_ball,0,1,2023,0.72,1.54,-0.25,1.73,,,,0,2,Top,139.76,52.62,,,542194,,,-5.219552846120395,-138.58874292781064,-9.721795770267358,10.5007232843507,33.3865284523259,-10.25843659831518,3.44,1.64,364.0,97.9,34.0,96.4,2255.0,7.2,718044,663556,542194,670042,670764,670623,677551,668227,642350,622534,53.34,0.269,0.544,0.0,1.0,0.0,0.0,5.0,10,2,4-Seam Fastball,1,0,0,1,0,1,0,1,Strategic,Standard,147.0,0.024,-0.198,matt chapman,
FC,2023-05-23,88.2,-1.6,5.9,"Chapman, Matt",656305,671737,field_out,hit_into_play,,,,,8,"Matt Chapman grounds out, shortstop Wander Franco to first baseman Luke Raley.",R,R,R,TB,TOR,X,6.0,ground_ball,0,0,2023,0.42,0.54,0.03,1.65,,,474832.0,2,3,Top,98.44,150.62,,,642336,,,3.1388278979680484,-128.40128721017783,-5.420071035816098,3.978615971757004,26.0074593710804,-25.334199914540328,3.42,1.6,5.0,70.2,-20.0,89.1,2308.0,6.8,718061,671737,642336,670042,670764,670623,677551,668227,642350,666139,53.75,0.051,0.054,0.0,1.0,0.0,0.0,2.0,24,1,Cutter,0,2,2,0,2,0,2,0,Standard,Standard,163.0,0.018,-0.243,matt chapman,
EP,2023-05-23,50.7,-1.12,7.05,"Chapman, Matt",656305,670042,home_run,hit_into_play,,,,,1,Matt Chapman homers (7) on a line drive to left center field.   Cavan Biggio scores.,R,R,R,TB,TOR,X,,line_drive,0,0,2023,0.08,0.9,-0.32,2.86,,,624415.0,2,9,Top,66.83,76.0,,,642336,,,0.990830953789298,-73.64987790448504,3.651528076477692,0.168074714385092,9.543761540086924,-29.634531857782758,3.42,1.6,384.0,114.3,19.0,49.3,1160.0,5.0,718061,670042,642336,623912,670764,670623,677551,668227,642350,666139,55.5,0.917,1.534,2.0,1.0,0.0,3.0,6.0,81,1,Eephus,1,15,15,1,17,1,17,1,Standard,Strategic,190.0,0.0,1.86,matt chapman,
FF,2023-05-23,95.1,-1.54,6.01,"Chapman, Matt",656305,671737,strikeout,called_strike,,,,,7,Matt Chapman called out on strikes.,R,R,R,TB,TOR,S,2.0,,2,2,2023,-0.51,1.78,-0.58,1.78,,666182.0,665489.0,1,1,Top,,,,,642336,,,3.700659964842772,-138.1326549478355,-9.445643944593735,-7.39955369401501,33.528455439566685,-7.485253213972701,3.47,1.68,,,,95.6,2301.0,6.9,718061,671737,642336,670042,670764,670623,677551,668227,642350,666139,53.63,,,0.0,1.0,0.0,0.0,,5,5,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,206.0,0.038,-0.413,matt chapman,
