pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-05-25,87.8,-1.56,5.08,"Cisnero, José",657757,542585,field_out,hit_into_play,,,,,13,"Gavin Sheets grounds out, pitcher Jose Cisnero to first baseman Spencer Torkelson.",R,L,R,DET,CWS,X,1.0,ground_ball,2,2,2023,-1.02,-0.11,-0.63,1.27,,,,2,7,Top,127.78,185.2,,,606992,,,4.3663689065699725,-127.87680790872436,-2.882911883790997,-12.118639948171998,26.46425084522989,-32.94474205771169,3.33,1.61,6.0,77.3,-10.0,87.5,1398,6.1,718031,542585,606992,679529,628451,670097,595879,656716,682985,663837,54.41,0.071,0.064,0.0,1.0,0.0,0.0,2.0,57,7,Changeup,5,2,2,5,2,5,2,5,Strategic,Standard,240,0.008,-0.09
FF,2023-05-25,94.9,-1.29,5.28,"Cisnero, José",657757,542585,,foul,,,,,3,"Gavin Sheets grounds out, pitcher Jose Cisnero to first baseman Spencer Torkelson.",R,L,R,DET,CWS,S,,,2,2,2023,-0.88,1.39,0.66,2.86,,,,2,7,Top,,,,,606992,,,7.065392878106218,-138.039104761047,-3.742949260556527,-12.883880147729348,32.08067787287651,-13.80382633946327,3.33,1.61,178.0,68.3,45.0,94.6,2547,6.2,718031,542585,606992,679529,628451,670097,595879,656716,682985,663837,54.25,,,,,,,,57,6,4-Seam Fastball,5,2,2,5,2,5,2,5,Strategic,Standard,223,0.0,0.0
SL,2023-05-25,82.7,-1.46,5.24,"Cisnero, José",657757,542585,,ball,,,,,14,"Gavin Sheets grounds out, pitcher Jose Cisnero to first baseman Spencer Torkelson.",R,L,R,DET,CWS,B,,,1,2,2023,0.6,-0.46,0.47,-0.74,,,,2,7,Top,,,,,606992,,,3.217080386942265,-120.4371604292925,-6.281346700834136,5.319950376969721,21.356819779591376,-35.74183430386194,3.43,1.61,,,,82.5,2748,5.9,718031,542585,606992,679529,628451,670097,595879,656716,682985,663837,54.55,,,,,,,,57,5,Slider,5,2,2,5,2,5,2,5,Strategic,Standard,63,0.0,0.018
CH,2023-05-25,87.4,-1.54,5.11,"Cisnero, José",657757,542585,,foul,,,,,13,"Gavin Sheets grounds out, pitcher Jose Cisnero to first baseman Spencer Torkelson.",R,L,R,DET,CWS,S,,,1,2,2023,-1.22,-0.07,-0.58,0.96,,,,2,7,Top,,,,,606992,,,4.797509569673292,-127.2870643307173,-3.73798588850709,-14.303064126957024,24.62594671382921,-32.4007810632882,3.33,1.61,,,,87.0,1115,5.9,718031,542585,606992,679529,628451,670097,595879,656716,682985,663837,54.61,,,,,,,,57,4,Changeup,5,2,2,5,2,5,2,5,Strategic,Standard,237,0.0,0.0
CH,2023-05-25,88.7,-1.59,5.07,"Cisnero, José",657757,542585,,ball,,,,,13,"Gavin Sheets grounds out, pitcher Jose Cisnero to first baseman Spencer Torkelson.",R,L,R,DET,CWS,B,,,0,2,2023,-1.3,-0.03,-0.07,0.04,,,,2,7,Top,,,,,606992,,,6.365502777778368,-128.92034954163572,-6.135935729627247,-15.790474970791568,26.2844011205328,-31.47381379485433,3.48,1.61,,,,88.1,1419,5.9,718031,542585,606992,679529,628451,670097,595879,656716,682985,663837,54.59,,,,,,,,57,3,Changeup,5,2,2,5,2,5,2,5,Strategic,Standard,240,0.0,0.014
FF,2023-05-25,95.5,-1.34,5.31,"Cisnero, José",657757,542585,,swinging_strike,,,,,3,"Gavin Sheets grounds out, pitcher Jose Cisnero to first baseman Spencer Torkelson.",R,L,R,DET,CWS,S,,,0,1,2023,-0.69,1.45,0.32,3.33,,,,2,7,Top,,,,,606992,,,5.921838524910083,-138.95289615762283,-2.854802136464733,-10.242973850205251,31.608869747118423,-12.919686310631832,3.33,1.61,,,,95.2,2517,6.1,718031,542585,606992,679529,628451,670097,595879,656716,682985,663837,54.36,,,,,,,,57,2,4-Seam Fastball,5,2,2,5,2,5,2,5,Strategic,Standard,219,0.0,-0.025
SL,2023-05-25,81.8,-1.5,5.3,"Cisnero, José",657757,542585,,called_strike,,,,,8,"Gavin Sheets grounds out, pitcher Jose Cisnero to first baseman Spencer Torkelson.",R,L,R,DET,CWS,S,,,0,0,2023,1.04,-0.06,0.06,1.79,,,,2,7,Top,,,,,606992,,,1.4836473540028368,-119.1663245356129,-1.2369802145297948,9.639635903323592,22.950689762326547,-32.763530797424195,3.45,1.61,,,,81.3,2777,5.9,718031,542585,606992,679529,628451,670097,595879,656716,682985,663837,54.63,,,,,,,,57,1,Slider,5,2,2,5,2,5,2,5,Strategic,Standard,63,0.0,-0.021
FC,2023-05-25,86.9,-1.49,5.32,"Cisnero, José",683734,542585,strikeout,swinging_strike,,,,,14,Andrew Vaughn strikes out swinging.,R,R,R,DET,CWS,S,2.0,,0,2,2023,0.55,-0.04,0.7,0.71,,,,1,7,Top,,,,,606992,,,4.110066031444639,-126.59242834181616,-4.830733383362334,5.284703871907293,22.675476471819927,-31.92771299625354,3.12,1.44,,,,86.9,2814,6.0,718031,542585,606992,679529,628451,670097,595879,656716,682985,663837,54.52,,,0.0,1.0,0.0,0.0,,56,4,Cutter,5,2,2,5,2,5,2,5,Standard,Standard,102,0.014,-0.107
FF,2023-05-25,95.5,-1.26,5.41,"Cisnero, José",683734,542585,,foul,,,,,2,Andrew Vaughn strikes out swinging.,R,R,R,DET,CWS,S,,,0,2,2023,-0.76,1.51,0.17,3.0,,,,1,7,Top,,,,,606992,,,5.473286828528403,-138.94248952972072,-4.109993443676244,-11.155657246629664,32.947423877323665,-11.880472011202585,3.12,1.44,219.0,78.6,52.0,95.0,2442,6.2,718031,542585,606992,679529,628451,670097,595879,656716,682985,663837,54.33,,,,,,,,56,3,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,219,0.0,0.0
FF,2023-05-25,96.2,-1.28,5.32,"Cisnero, José",683734,542585,,foul,,,,,2,Andrew Vaughn strikes out swinging.,R,R,R,DET,CWS,S,,,0,1,2023,-0.76,1.42,0.21,3.03,,,,1,7,Top,,,,,606992,,,5.683584202179665,-139.96581901340852,-3.6595754781093977,-11.308774014014698,32.45209954276032,-12.92414438738608,3.12,1.44,236.0,77.0,26.0,95.9,2368,6.2,718031,542585,606992,679529,628451,670097,595879,656716,682985,663837,54.34,,,,,,,,56,2,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,220,0.0,-0.037
