pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,2023-05-22,98.3,-0.57,6.08,"Clase, Emmanuel",640449,661403,field_out,hit_into_play,,,,,8,Clint Frazier lines out to center fielder Myles Straw.,R,R,R,CLE,CWS,X,8.0,line_drive,2,1,2023,0.7,0.81,-0.09,1.72,,,,2,9,Top,141.17,84.56,,,572287,,,-0.3369945744539173,-143.10334544463305,-8.320130127019596,9.728531111017125,31.08438687755941,-19.32535057598868,3.34,1.59,288.0,89.5,19.0,99.2,2636,6.6,718072,661403,572287,605137,665926,672356,642708,680757,664702,686823,53.85,0.606,0.556,0.0,1.0,0.0,0.0,4.0,63,4,Cutter,3,0,0,3,0,3,0,3,Strategic,Standard,163,0.004,-0.12
FC,2023-05-22,98.5,-0.53,6.15,"Clase, Emmanuel",640449,661403,,swinging_strike,,,,,2,Clint Frazier lines out to center fielder Myles Straw.,R,R,R,CLE,CWS,S,,,2,0,2023,0.73,0.79,0.27,3.38,,,,2,9,Top,,,,,572287,,,0.4764594199663073,-143.64682750552956,-3.993768008190304,10.03535331128816,29.549443432618304,-20.443947486661656,3.34,1.59,,,,99.4,2636,6.4,718072,661403,572287,605137,665926,672356,642708,680757,664702,686823,54.1,,,,,,,,63,3,Cutter,3,0,0,3,0,3,0,3,Strategic,Standard,163,0.0,-0.029
SL,2023-05-22,90.9,-0.42,6.02,"Clase, Emmanuel",640449,661403,,ball,,,,,14,Clint Frazier lines out to center fielder Myles Straw.,R,R,R,CLE,CWS,B,,,1,0,2023,0.81,0.06,0.77,0.9,,,,2,9,Top,,,,,572287,,,1.246906710160359,-132.33275659666117,-7.117674217324892,9.245100117634404,27.132693250083964,-30.244468310603672,3.32,1.56,,,,91.6,2600,6.6,718072,661403,572287,605137,665926,672356,642708,680757,664702,686823,53.88,,,,,,,,63,2,Slider,3,0,0,3,0,3,0,3,Standard,Standard,74,0.0,0.025
FC,2023-05-22,98.9,-0.63,6.09,"Clase, Emmanuel",640449,661403,,ball,,,,,11,Clint Frazier lines out to center fielder Myles Straw.,R,R,R,CLE,CWS,B,,,0,0,2023,0.61,0.83,-1.57,3.45,,,,2,9,Top,,,,,572287,,,-3.988999109459804,-144.00008378601166,-3.7514566213387015,9.381724326203347,31.413492055178047,-19.96229401563904,3.34,1.56,,,,99.2,2612,6.3,718072,661403,572287,605137,665926,672356,642708,680757,664702,686823,54.2,,,,,,,,63,1,Cutter,3,0,0,3,0,3,0,3,Standard,Standard,165,0.0,0.021
FC,2023-05-22,98.6,-0.61,6.14,"Clase, Emmanuel",660162,661403,field_out,hit_into_play,,,,,12,Yoan Moncada flies out to left fielder Steven Kwan.,R,L,R,CLE,CWS,X,7.0,fly_ball,1,2,2023,0.4,0.82,0.65,3.55,,,,1,9,Top,98.46,117.43,,,572287,,,2.482744408128062,-143.72526562419344,-3.5863998908715886,5.113715840018248,28.821567121508465,-20.099284338743477,3.22,1.38,216.0,77.2,50.0,99.2,2585,6.2,718072,661403,572287,605137,665926,672356,642708,680757,664702,686823,54.29,0.08,0.085,0.0,1.0,0.0,0.0,3.0,62,6,Cutter,3,0,0,3,0,3,0,3,Strategic,Standard,173,0.009,-0.122
SL,2023-05-22,91.6,-0.45,6.01,"Clase, Emmanuel",660162,661403,,ball,,,,,14,Yoan Moncada flies out to left fielder Steven Kwan.,R,L,R,CLE,CWS,B,,,0,2,2023,1.04,0.39,0.42,0.38,,,,1,9,Top,,,,,572287,,,-0.0323429178652386,-133.21640361099193,-9.215844972888986,12.35966357957366,28.24662867396441,-25.72875742236656,3.32,1.51,,,,91.7,2607,6.3,718072,661403,572287,605137,665926,672356,642708,680757,664702,686823,54.17,,,,,,,,62,5,Slider,3,0,0,3,0,3,0,3,Strategic,Standard,67,0.0,0.014
FC,2023-05-22,97.9,-0.56,6.15,"Clase, Emmanuel",660162,661403,,foul,,,,,7,Yoan Moncada flies out to left fielder Steven Kwan.,R,L,R,CLE,CWS,S,,,0,2,2023,-0.08,0.97,-0.71,1.93,,,,1,9,Top,,,,,572287,,,-0.2073449459773382,-142.59560823158864,-8.184552524530691,-1.0916918173478984,28.5933635589236,-17.41823157293861,3.22,1.38,0.0,60.4,-77.0,98.1,2597,6.1,718072,661403,572287,605137,665926,672356,642708,680757,664702,686823,54.44,,,,,,,,62,4,Cutter,3,0,0,3,0,3,0,3,Strategic,Standard,163,0.0,0.0
SL,2023-05-22,91.9,-0.47,6.07,"Clase, Emmanuel",660162,661403,,foul,,,,,9,Yoan Moncada flies out to left fielder Steven Kwan.,R,L,R,CLE,CWS,S,,,0,2,2023,0.8,0.36,0.37,1.83,,,,1,9,Top,,,,,572287,,,0.3971253020110027,-133.97936783271987,-5.79272093627096,9.6415560048283,25.22740594591658,-26.86552972322696,3.22,1.38,56.0,96.1,1.0,92.5,2607,6.3,718072,661403,572287,605137,665926,672356,642708,680757,664702,686823,54.22,,,,,,,,62,3,Slider,3,0,0,3,0,3,0,3,Strategic,Standard,67,0.0,0.0
SL,2023-05-22,93.1,-0.51,6.04,"Clase, Emmanuel",660162,661403,,swinging_strike,,,,,9,Yoan Moncada flies out to left fielder Steven Kwan.,R,L,R,CLE,CWS,S,,,0,1,2023,0.74,-0.18,0.53,1.8,,,,1,9,Top,,,,,572287,,,1.0753561133940688,-135.77526282643316,-4.816384023630621,9.02160211243032,25.4341949211059,-33.70446765797557,3.22,1.38,,,,93.9,2613,6.3,718072,661403,572287,605137,665926,672356,642708,680757,664702,686823,54.16,,,,,,,,62,2,Slider,3,0,0,3,0,3,0,3,Strategic,Standard,74,0.0,-0.037
SL,2023-05-22,93.1,-0.67,6.06,"Clase, Emmanuel",660162,661403,,called_strike,,,,,8,Yoan Moncada flies out to left fielder Steven Kwan.,R,L,R,CLE,CWS,S,,,0,0,2023,0.97,0.41,0.07,2.1,,,,1,9,Top,,,,,572287,,,-0.2252579176506274,-135.6993603620032,-5.388851835424916,12.197981688420994,25.281456254777726,-26.286855040815556,3.45,1.56,,,,93.8,2665,6.3,718072,661403,572287,605137,665926,672356,642708,680757,664702,686823,54.24,,,,,,,,62,1,Slider,3,0,0,3,0,3,0,3,Strategic,Standard,74,0.0,-0.028
