pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SL,2023-05-24,81.5,-1.28,5.99,"Contreras, William",661388,656232,field_out,hit_into_play,,,,,8,"William Contreras grounds out, third baseman Alex Bregman to first baseman Jose Abreu.",R,R,R,MIL,HOU,X,5.0,ground_ball,1,0,2023,0.85,-0.27,0.18,1.58,,,,0,7,Bot,102.9,162.81,,,455117,,,1.6282849885829302,-118.68873834161651,-2.808860351959787,7.742586933023237,22.57948889464513,-34.38921366617048,3.42,1.65,4.0,86.6,-26.0,80.5,2092.0,5.6,718046,656232,455117,547989,643289,608324,665161,676801,676694,663656,54.93,0.071,0.073,0.0,1.0,0.0,0.0,2.0,48,2,Slider,3,0,3,0,0,3,3,0,Standard,Standard,39.0,-0.005,-0.274,william contreras,
SI,2023-05-24,92.1,-1.38,5.92,"Contreras, William",661388,656232,walk,ball,,,,,13,William Contreras walks.,R,R,R,MIL,HOU,B,,,3,1,2023,-1.29,0.38,-0.92,1.2,,,,2,4,Bot,,,,,455117,,,3.911903294466346,-133.95012578027084,-6.919064489373141,-16.424467979817877,28.206726689960764,-26.299435645498637,3.13,1.5,,,,91.2,2131.0,5.7,718046,656232,455117,547989,643289,608324,665161,676801,676694,663656,54.81,,,0.7,1.0,0.0,0.0,,28,5,Sinker,2,0,2,0,0,2,2,0,Standard,Standard,225.0,0.008,0.066,william contreras,
CH,2023-05-24,88.0,-1.34,5.92,"Contreras, William",661388,656232,strikeout,swinging_strike,,,,,14,William Contreras strikes out swinging.,R,R,R,MIL,HOU,S,2.0,,2,2,2023,-1.14,0.15,0.35,0.98,,,,2,1,Bot,,,,,455117,,,6.387010091546036,-127.93521606552812,-6.169955533954076,-13.787648340925276,25.74639617192724,-29.4039457395626,3.42,1.65,,,,87.3,1781.0,5.8,718046,656232,455117,547989,643289,608324,665161,676801,676694,663656,54.68,,,0.0,1.0,0.0,0.0,,10,8,Changeup,2,0,2,0,0,2,2,0,Standard,Standard,235.0,-0.007,-0.09,william contreras,
SL,2023-05-22,82.0,-1.76,5.61,"Contreras, William",661388,664299,field_out,hit_into_play,,,,,6,William Contreras flies out to left fielder Corey Julks.,R,R,R,MIL,HOU,X,7.0,fly_ball,2,2,2023,0.83,0.59,0.71,2.57,,,,2,6,Bot,61.06,118.44,,,455117,,,3.962445089607588,-119.46321402309177,-1.5228164651110525,7.29465981225052,21.00419287685692,-26.406318678452923,3.39,1.64,256.0,74.9,29.0,82.0,2461.0,6.0,718068,664299,455117,547989,643289,608324,665161,667452,676694,663656,54.46,0.42,0.378,0.0,1.0,0.0,0.0,3.0,55,5,Slider,1,10,1,10,10,1,1,10,Standard,Standard,87.0,0.0,-0.09,william contreras,
FF,2023-05-22,91.7,-1.64,5.63,"Contreras, William",661388,664299,field_out,hit_into_play,,,,,3,William Contreras pops out to first baseman Jose Abreu in foul territory.,R,R,R,MIL,HOU,X,3.0,popup,3,0,2023,-0.33,1.51,0.73,3.03,,,642133.0,0,4,Bot,144.16,199.22,,,455117,,,6.684563386650981,-133.34756571482123,-3.958656473176515,-5.358432520477934,28.012447227295954,-13.533283812852725,3.39,1.64,26.0,79.9,81.0,91.5,2200.0,6.2,718068,664299,455117,547989,643289,608324,665161,667452,676694,663656,54.34,0.009,0.008,0.0,1.0,0.0,0.0,3.0,32,4,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,198.0,-0.043,-0.674,william contreras,
SL,2023-05-22,80.6,-1.76,5.64,"Contreras, William",661388,664299,single,hit_into_play,,,,,14,William Contreras singles on a fly ball to left fielder Corey Julks.,R,R,R,MIL,HOU,X,7.0,fly_ball,2,2,2023,1.13,0.42,0.82,1.33,,,,0,2,Bot,62.26,122.76,,,455117,,,3.5677625761056766,-117.33489074538328,-3.6684133188562074,9.634311335707627,24.02842735348389,-27.766289343503622,3.39,1.64,233.0,70.9,34.0,79.9,2499.0,5.9,718068,664299,455117,547989,643289,608324,665161,667452,676694,663656,54.55,0.634,0.605,0.9,1.0,1.0,0.0,3.0,15,5,Slider,1,2,1,2,2,1,1,2,Standard,Standard,59.0,0.041,0.424,william contreras,
FF,2023-05-22,92.4,0.72,5.34,"Contreras, William",661388,656786,force_out,hit_into_play,,,,,13,"William Contreras grounds into a force out, third baseman Alex Bregman to second baseman Mauricio Dubon.   Darin Ruf out at 2nd.",R,R,L,MIL,HOU,X,5.0,ground_ball,0,0,2023,0.13,1.01,-0.95,1.64,,,573131.0,2,8,Bot,104.05,164.12,,,663967,,,-4.542529072181551,-134.49107084192062,-5.886083750787652,2.4601515792008897,26.8785018516242,-18.792527109018728,3.39,1.64,5.0,86.6,-17.0,93.2,2367.0,6.6,718068,656786,663967,547989,643289,608324,665161,667452,676694,676801,53.94,0.1,0.09,0.0,1.0,0.0,0.0,2.0,76,1,4-Seam Fastball,2,12,2,12,12,2,2,12,Standard,Standard,164.0,0.0,-0.243,william contreras,
ST,2023-05-21,74.8,-1.4,5.17,"Contreras, William",661388,681867,strikeout,called_strike,,,,,5,William Contreras called out on strikes.,R,R,R,TB,MIL,S,2.0,,1,2,2023,1.55,0.56,-0.2,2.63,,,,2,6,Top,,,,,642336,,,-0.2652332425414564,-108.87984809832814,1.015207582302282,12.293439415654433,20.522103894449742,-28.12507421591577,3.25,1.62,,,,75.7,2379.0,7.1,718081,681867,642336,650490,664040,670764,677551,668227,622534,666139,53.38,,,0.0,1.0,0.0,0.0,,51,4,Sweeper,3,6,6,3,6,3,6,3,Standard,Standard,86.0,0.005,-0.071,william contreras,
SI,2023-05-21,86.1,-1.28,5.23,"Contreras, William",661388,681867,home_run,hit_into_play,,,,,4,William Contreras homers (4) on a fly ball to center field.   Owen Miller scores.,R,R,R,TB,MIL,X,,fly_ball,2,0,2023,-1.7,0.43,-0.61,2.41,,,680911.0,0,5,Top,122.16,26.09,,,642336,,,5.123999828305403,-125.23459101883584,-1.3015795745291794,-18.919478414150163,26.78021925246534,-27.61371715932855,3.35,1.62,427.0,111.9,21.0,87.0,2042.0,7.0,718081,681867,642336,650490,664040,670764,677551,668227,622534,666139,53.46,0.971,1.791,2.0,1.0,0.0,3.0,6.0,38,3,Sinker,3,3,3,3,5,3,5,3,Standard,Standard,240.0,-0.214,1.474,william contreras,
CH,2023-05-21,89.7,1.05,5.94,"Contreras, William",661388,656222,strikeout,foul_tip,,,,,14,William Contreras strikes out on a foul tip.,R,R,L,TB,MIL,S,2.0,,1,2,2023,1.61,0.47,1.2,1.39,,,,1,1,Top,,,,,642336,,,-3.055619497371352,-130.54609089253591,-6.239399138277079,19.04472336700452,29.16967554035844,-25.59679092205933,3.35,1.62,,,,89.4,1985.0,6.3,718081,656222,642336,650490,664040,670764,677551,668227,622534,666139,54.24,,,0.0,1.0,0.0,0.0,,2,4,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,129.0,0.015,-0.122,william contreras,
