pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SI,2023-05-24,90.8,-1.28,5.26,"Contreras, Willson",575929,594902,field_out,hit_into_play,,,,,1,"Willson Contreras grounds out softly, pitcher Ben Lively to first baseman Spencer Steer.",R,R,R,CIN,STL,X,1.0,ground_ball,0,0,2023,-1.21,1.16,-0.42,3.06,,,,0,6,Top,129.2,179.26,,,663886,,,4.767114851540141,-132.2302227812884,-2.116569629337262,-15.181744017676046,26.96574515336196,-18.297647587647347,3.35,1.56,25.0,59.3,-4.0,91.7,2013.0,6.7,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.83,0.094,0.088,0.0,1.0,0.0,0.0,1.0,51,1,Sinker,6,2,2,6,2,6,2,6,Standard,Standard,216.0,0.015,-0.235,willson contreras,
SI,2023-05-24,92.3,-1.34,5.11,"Contreras, Willson",575929,594902,strikeout,swinging_strike,,,,,3,Willson Contreras strikes out swinging.,R,R,R,CIN,STL,S,2.0,,2,2,2023,-1.22,0.86,0.76,3.35,,,669357.0,2,3,Top,,,,,663886,,,8.115753190250796,-134.29314253505544,-0.6016764666023287,-16.45227887586927,25.38965561525297,-21.70044508464355,3.35,1.56,,,,93.9,2021.0,7.0,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.52,,,0.0,1.0,0.0,0.0,,26,5,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,225.0,0.015,-0.206,willson contreras,
SL,2023-05-24,80.7,-1.46,5.19,"Contreras, Willson",575929,594902,strikeout,swinging_strike,,,,,14,Willson Contreras strikes out swinging.,R,R,R,CIN,STL,S,2.0,,2,2,2023,1.13,-0.05,1.13,1.57,,502671.0,571448.0,2,1,Top,,,,,663886,,,3.658142931301836,-117.4099457621232,-1.266950034016578,9.623979043541375,24.118869375022676,-32.57807497402821,3.35,1.56,,,,81.2,2109.0,6.9,718041,594902,663886,668715,663697,621028,680574,669222,676480,656413,53.64,,,0.0,1.0,0.0,0.0,,5,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard,81.0,0.042,-0.358,willson contreras,
SL,2023-05-23,89.5,-1.73,6.05,"Contreras, Willson",575929,668933,strikeout,swinging_strike_blocked,,,,,14,Willson Contreras strikes out swinging.,R,R,R,CIN,STL,S,2.0,,1,2,2023,1.14,-0.12,1.42,0.31,,640458.0,,1,5,Top,,,,,663886,,,5.333513344904167,-130.08044961347753,-7.785565177118192,11.601345473305066,30.462867976570024,-31.88322923129717,3.36,1.59,,,,88.6,2977.0,6.0,718059,668933,663886,668715,621028,669222,680574,641584,670770,571976,54.46,,,0.0,1.0,0.0,0.0,,40,5,Slider,3,7,7,3,7,3,7,3,Standard,Standard,55.0,0.011,-0.229,willson contreras,
SL,2023-05-23,87.9,-1.69,6.12,"Contreras, Willson",575929,668933,field_out,hit_into_play,,,,,9,"Willson Contreras grounds out, second baseman Kevin Newman to first baseman Spencer Steer.",R,R,R,CIN,STL,X,4.0,ground_ball,1,2,2023,0.99,-0.18,0.44,1.87,,,,0,4,Top,127.15,137.38,,,663886,,,3.0947366286334543,-127.98221410966896,-3.803234528354433,10.268540203765042,25.91848259349634,-33.5563834896105,3.36,1.59,68.0,112.3,2.0,87.4,2850.0,5.9,718059,668933,663886,668715,621028,669222,680574,641584,670770,571976,54.62,0.594,0.551,0.0,1.0,0.0,0.0,4.0,28,5,Slider,3,4,4,3,4,3,4,3,Strategic,Standard,48.0,0.023,-0.175,willson contreras,
SL,2023-05-23,89.4,-1.81,6.24,"Contreras, Willson",575929,668933,field_out,hit_into_play,,,,,6,"Willson Contreras grounds out, third baseman Nick Senzel to first baseman Spencer Steer.",R,R,R,CIN,STL,X,5.0,ground_ball,3,2,2023,1.6,-0.32,0.61,2.36,,,,0,2,Top,105.06,162.45,,,663886,,,2.564965707794916,-130.16118010939067,-2.7899139310952314,17.394661717496742,31.521319814836808,-35.2912332656409,3.36,1.59,35.0,93.1,-2.0,88.2,2969.0,5.9,718059,668933,663886,668715,621028,669222,680574,641584,670770,571976,54.63,0.294,0.302,0.0,1.0,0.0,0.0,2.0,10,7,Slider,1,1,1,1,1,1,1,1,Strategic,Standard,51.0,0.023,-0.315,willson contreras,
CU,2023-05-23,83.9,-0.66,6.13,"Contreras, Willson",575929,641427,field_out,hit_into_play,,,,,8,"Willson Contreras grounds out, third baseman Nick Senzel to first baseman Spencer Steer.",R,R,R,CIN,STL,X,5.0,ground_ball,0,2,2023,0.29,-0.94,0.17,1.5,,,,0,8,Top,91.16,153.9,,,663886,,,1.3322929119641638,-122.13879087648849,-2.3390340013788027,2.544416210165651,27.68927457624641,-41.23179366405096,3.36,1.59,7.0,96.2,-13.0,82.6,2790.0,5.7,718059,641427,663886,668715,621028,669222,680574,641584,670770,571976,54.78,0.203,0.189,0.0,1.0,0.0,0.0,2.0,63,3,Curveball,5,7,7,5,7,5,7,5,Strategic,Standard,37.0,0.011,-0.149,willson contreras,
FF,2023-05-22,90.7,1.03,6.61,"Contreras, Willson",575929,682227,field_out,hit_into_play,,,,,8,"Willson Contreras grounds out, second baseman Jonathan India to first baseman Spencer Steer.",R,R,L,CIN,STL,X,4.0,ground_ball,2,0,2023,0.77,1.31,0.08,1.77,,502671.0,,0,5,Top,141.98,153.42,,,592200,,,-4.014435677032622,-131.75743431411937,-8.939180764978657,9.8196489031934,27.670592616963543,-15.165125548846689,3.37,1.61,138.0,106.6,6.0,90.2,2048.0,6.0,718071,682227,592200,668715,663697,669222,680574,656413,676480,571976,54.46,0.609,0.562,0.0,1.0,0.0,0.0,4.0,42,3,4-Seam Fastball,4,3,3,4,3,4,3,4,Standard,Standard,144.0,0.06,-0.427,willson contreras,
CH,2023-05-22,84.7,1.22,6.37,"Contreras, Willson",575929,682227,strikeout,swinging_strike,,,,,14,Willson Contreras strikes out swinging.,R,R,L,CIN,STL,S,2.0,,2,2,2023,1.21,0.52,0.45,1.1,,,,0,3,Top,,,,,592200,,,-4.188122931313352,-123.18179879711924,-6.947815123016219,13.15651498610049,25.339943193480966,-25.70076106842725,3.37,1.61,,,,84.3,1699.0,6.1,718071,682227,592200,668715,663697,669222,680574,656413,676480,571976,54.37,,,0.0,1.0,0.0,0.0,,21,7,Changeup,2,3,3,2,3,2,3,2,Standard,Standard,111.0,0.021,-0.205,willson contreras,
SL,2023-05-22,87.2,-2.29,4.71,"Contreras, Willson",575929,664747,walk,ball,,,,,13,Willson Contreras walks.,R,R,R,CIN,STL,B,,,3,2,2023,0.41,0.19,-0.98,1.61,,669242.0,,1,9,Top,,,,,571912,,,2.375794554507596,-127.1100870998879,-1.7584360082612598,3.962064737814399,24.37891432273656,-29.98461653163765,3.41,1.61,,,,89.9,2696.0,7.7,718071,664747,571912,668715,663697,669222,680574,641584,666181,571976,52.81,,,0.7,1.0,0.0,0.0,,75,6,Slider,5,5,5,5,5,5,5,5,Standard,Standard,130.0,-0.017,0.296,willson contreras,
