pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-24,95.9,-3.33,5.48,"Cousins, Jake",608324,664776,field_out,hit_into_play,,,,,4,"Alex Bregman grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,R,MIL,HOU,X,6.0,ground_ball,3,2,2023,-1.57,0.43,-0.79,2.5,,643289.0,,2,8,Top,104.93,156.2,,,661388,,,10.344843736739808,-139.2531643219105,-3.2414792480093206,-22.81571518962597,31.944281776986628,-25.963228974846555,3.07,1.46,46.0,83.5,1.0,96.4,2298,6.7,718046,664776,661388,642133,668930,680911,642715,592885,686894,605119,53.76,0.226,0.203,0.0,1.0,0.0,0.0,2.0,55,6,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,238,0.009,-0.333
SL,2023-05-24,82.7,-3.41,5.24,"Cousins, Jake",608324,664776,,ball,,,,,14,"Alex Bregman grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,R,MIL,HOU,B,,,2,2,2023,0.98,0.13,2.58,-0.25,,,643289.0,2,8,Top,,,,,661388,,,11.806757921501546,-119.72532167163789,-6.182937441966484,6.899098661896015,24.915300259950243,-29.805764748368563,2.95,1.34,,,,82.9,2695,6.9,718046,664776,661388,642133,668930,680911,642715,592885,686894,605119,53.64,,,,,,,,55,5,Slider,4,0,0,4,0,4,0,4,Standard,Standard,52,-0.001,0.056
SL,2023-05-24,83.0,-3.32,5.41,"Cousins, Jake",608324,664776,,ball,,,,,14,"Alex Bregman grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,R,MIL,HOU,B,,,1,2,2023,0.55,0.12,1.38,1.18,,,643289.0,2,8,Top,,,,,661388,,,9.70136138547022,-120.48428600199244,-3.4084187502376078,3.4957226363118257,23.6535626030412,-30.52896901648029,2.92,1.31,,,,83.2,2607,6.6,718046,664776,661388,642133,668930,680911,642715,592885,686894,605119,53.93,,,,,,,,55,4,Slider,4,0,0,4,0,4,0,4,Standard,Standard,53,0.0,0.03
SI,2023-05-24,94.7,-3.34,5.37,"Cousins, Jake",608324,664776,,foul,,,,,5,"Alex Bregman grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,R,MIL,HOU,S,,,1,1,2023,-1.45,0.56,0.08,2.13,,,643289.0,2,8,Top,,,,,661388,,,12.247415173987145,-137.3837913291844,-4.040604820633926,-20.99632786994456,29.793590852500373,-24.322759186343905,3.07,1.46,184.0,75.8,19.0,95.3,2277,6.8,718046,664776,661388,642133,668930,680911,642715,592885,686894,605119,53.73,,,,,,,,55,3,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,239,0.0,-0.056
SI,2023-05-24,95.0,-3.32,5.42,"Cousins, Jake",608324,664776,,called_strike,,,,,4,"Alex Bregman grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,R,MIL,HOU,S,,,1,0,2023,-1.53,0.66,-0.58,2.32,,,643289.0,2,8,Top,,,,,661388,,,10.658827754262507,-137.90496015248712,-3.936451283523967,-21.966095837654677,30.841130610812936,-23.09180246341849,3.01,1.31,,,,95.5,2467,6.7,718046,664776,661388,642133,668930,680911,642715,592885,686894,605119,53.79,,,,,,,,55,2,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,234,0.0,-0.037
SL,2023-05-24,81.5,-3.41,5.32,"Cousins, Jake",608324,664776,,ball,,,,,14,"Alex Bregman grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,R,MIL,HOU,B,,,0,0,2023,0.91,0.1,1.02,0.82,,,643289.0,2,8,Top,,,,,661388,,,8.316485228903508,-118.4976979918306,-3.758623132283061,6.976122201158272,22.51804102964936,-30.65746542931373,2.9,1.29,,,,82.4,2723,6.9,718046,664776,661388,642133,668930,680911,642715,592885,686894,605119,53.59,,,,,,,,55,1,Slider,4,0,0,4,0,4,0,4,Standard,Standard,57,0.0,0.027
SL,2023-05-24,82.2,-3.38,5.38,"Cousins, Jake",643289,664776,force_out,hit_into_play,,,,,8,"Mauricio Dubon grounds into a force out, third baseman Owen Miller to second baseman Brice Turang.   Martin Maldonado out at 2nd.    Mauricio Dubon to 1st.",R,R,R,MIL,HOU,X,5.0,ground_ball,0,2,2023,0.71,-0.32,0.15,1.94,,,455117.0,1,8,Top,96.69,148.84,,,661388,,,6.790886672242365,-119.52411288741943,-0.6052188540150781,5.458257291638604,23.15268174250696,-35.37720935019866,3.32,1.59,6.0,88.9,-19.0,84.2,2543,7.6,718046,664776,661388,642133,668930,680911,642715,592885,686894,605119,52.86,0.103,0.1,0.0,1.0,0.0,0.0,2.0,54,3,Slider,4,0,0,4,0,4,0,4,Strategic,Strategic,57,0.014,-0.278
SI,2023-05-24,95.4,-3.27,5.4,"Cousins, Jake",643289,664776,,foul,,,,,4,"Mauricio Dubon grounds into a force out, third baseman Owen Miller to second baseman Brice Turang.   Martin Maldonado out at 2nd.    Mauricio Dubon to 1st.",R,R,R,MIL,HOU,S,,,0,1,2023,-1.46,0.83,-0.35,2.66,,,455117.0,1,8,Top,,,,,661388,,,11.06748313438928,-138.56609910461924,-3.465825523774201,-21.283117828086567,30.08063196633888,-20.8488082732483,3.32,1.59,290.0,93.3,22.0,96.5,2218,6.9,718046,664776,661388,642133,668930,680911,642715,592885,686894,605119,53.56,,,,,,,,54,2,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,233,0.0,-0.06
SI,2023-05-24,94.5,-3.31,5.44,"Cousins, Jake",643289,664776,,foul,,,,,1,"Mauricio Dubon grounds into a force out, third baseman Owen Miller to second baseman Brice Turang.   Martin Maldonado out at 2nd.    Mauricio Dubon to 1st.",R,R,R,MIL,HOU,S,,,0,0,2023,-1.53,0.51,-0.63,3.24,,,455117.0,1,8,Top,,,,,661388,,,10.607105291155898,-137.29642309852383,-1.1934522220293815,-21.64536909056286,29.56934136796829,-25.598772900099885,3.32,1.59,273.0,83.6,38.0,96.5,2279,7.5,718046,664776,661388,642133,668930,680911,642715,592885,686894,605119,53.03,,,,,,,,54,1,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,231,0.0,-0.056
SL,2023-05-24,81.6,-3.43,5.37,"Cousins, Jake",455117,664776,single,hit_into_play,,,,,13,"Martin Maldonado singles on a ground ball to left fielder Christian Yelich, deflected by third baseman Owen Miller.",R,R,R,MIL,HOU,X,5.0,ground_ball,3,2,2023,1.03,-0.1,-0.85,1.82,,,,1,8,Top,72.26,143.36,,,661388,,,3.862048617074698,-118.86184009808662,-1.259364337504708,9.067365531800382,22.087198284868336,-33.12984096972705,3.04,1.42,116.0,97.6,7.0,82.7,2581,6.9,718046,664776,661388,642133,668930,680911,642715,592885,686894,605119,53.6,0.611,0.565,0.9,1.0,1.0,0.0,4.0,53,7,Slider,4,0,0,4,0,4,0,4,Standard,Standard,51,-0.013,0.232
