pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-25,93.9,1.82,6.02,"Crochet, Garrett",656716,676979,walk,ball,,,,,11,Zach McKinstry walks.,R,L,L,DET,CWS,B,,,3,2,2023,0.3,1.14,-1.58,3.2,668670.0,,,2,7,Bot,,,,,664874,,,-9.566293688586216,-136.43960817569263,-4.105725447748419,5.800504915533581,30.166262081003783,-17.257378322937708,3.35,1.51,,,,95.0,2396,7.0,718031,676979,664874,683734,663853,660162,641313,643217,673357,657757,53.5,,,0.7,1.0,0.0,0.0,,61,6,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,153,0.002,0.175
SL,2023-05-25,85.5,1.81,5.97,"Crochet, Garrett",656716,676979,,ball,,,,,12,Zach McKinstry walks.,R,L,L,DET,CWS,B,,,2,2,2023,-0.82,0.29,1.16,3.28,668670.0,,,2,7,Bot,,,,,664874,,,0.1422163758828256,-124.50604732446358,-0.6449551367607835,-8.551127296077707,25.741709076148265,-29.22832129376357,3.37,1.51,,,,86.2,2188,6.8,718031,676979,664874,683734,663853,660162,641313,643217,673357,657757,53.71,,,,,,,,61,5,Slider,5,2,5,2,2,5,5,2,Standard,Standard,284,0.0,0.063
FF,2023-05-25,94.9,1.88,5.94,"Crochet, Garrett",656716,676979,,swinging_strike,,,,,6,Zach McKinstry walks.,R,L,L,DET,CWS,S,,,2,1,2023,0.61,1.33,0.41,2.44,,,668670.0,2,7,Bot,,,,,664874,,,-5.290177286552845,-138.09678660377793,-6.5814245755469285,8.930437098547463,30.5118459288915,-13.817656033561976,3.2,1.51,,,,96.3,2445,7.1,718031,676979,664874,683734,663853,660162,641313,643217,673357,657757,53.45,,,,,,,,61,4,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,149,0.0,-0.063
FF,2023-05-25,94.7,1.86,5.91,"Crochet, Garrett",656716,676979,,called_strike,,,,,5,Zach McKinstry walks.,R,L,L,DET,CWS,S,,,2,0,2023,0.63,1.65,0.24,2.33,,,668670.0,2,7,Bot,,,,,664874,,,-5.71799288288334,-137.67850669708687,-7.480886218772157,9.253381183640384,29.93564372105512,-9.70140407046802,3.32,1.51,,,,96.2,2361,7.2,718031,676979,664874,683734,663853,660162,641313,643217,673357,657757,53.34,,,,,,,,61,3,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,151,0.0,-0.032
FF,2023-05-25,95.0,1.92,5.87,"Crochet, Garrett",656716,676979,,ball,,,,,13,Zach McKinstry walks.,R,L,L,DET,CWS,B,,,1,0,2023,0.16,1.19,-1.15,2.02,,,668670.0,2,7,Bot,,,,,664874,,,-8.505344067264701,-137.977507661412,-7.208322779471465,3.8512283603798023,29.333721108402543,-15.499747285773203,3.32,1.51,,,,96.4,2450,7.1,718031,676979,664874,683734,663853,660162,641313,643217,673357,657757,53.42,,,,,,,,61,2,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,157,0.0,0.033
FF,2023-05-25,94.9,1.87,6.03,"Crochet, Garrett",656716,676979,,ball,,,,,13,Zach McKinstry walks.,R,L,L,DET,CWS,B,,,0,0,2023,0.19,1.54,-1.21,1.52,,,668670.0,2,7,Bot,,,,,664874,,,-8.5885554384259,-137.73115702309613,-9.703596185983642,4.335090788043057,30.68153662182802,-10.507204492783224,3.37,1.7,,,,96.1,2504,7.1,718031,676979,664874,683734,663853,660162,641313,643217,673357,657757,53.37,,,,,,,,61,1,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,154,0.0,0.027
SL,2023-05-25,82.7,1.92,5.93,"Crochet, Garrett",628451,676979,strikeout,called_strike,,,,,6,Andy Ibanez called out on strikes.,R,R,L,DET,CWS,S,2.0,,0,2,2023,-1.54,-0.04,0.64,1.91,,,668670.0,1,7,Bot,,,,,664874,,,0.0782453021847611,-120.50851763324964,-2.608049805234158,-15.046879200048409,23.89250369177247,-32.28830926685622,2.95,1.37,,,,83.7,2327,6.9,718031,676979,664874,683734,663853,660162,641313,643217,673357,657757,53.61,,,0.0,1.0,0.0,0.0,,60,4,Slider,5,2,5,2,2,5,5,2,Standard,Standard,296,-0.006,-0.197
CH,2023-05-25,90.1,2.06,5.7,"Crochet, Garrett",628451,676979,,foul,,,,,12,Andy Ibanez called out on strikes.,R,R,L,DET,CWS,S,,,0,2,2023,1.23,0.65,1.5,2.33,,,668670.0,1,7,Bot,,,,,664874,,,-4.060697696458784,-131.2176886348546,-3.902535731347068,15.112566719576533,25.51454763531067,-23.99040765851664,2.88,1.37,20.0,63.5,-4.0,91.8,1956,7.1,718031,676979,664874,683734,663853,660162,641313,643217,673357,657757,53.42,,,,,,,,60,3,Changeup,5,2,5,2,2,5,5,2,Standard,Standard,128,0.0,0.0
SL,2023-05-25,83.3,2.05,6.06,"Crochet, Garrett",628451,676979,,foul,,,,,7,Andy Ibanez called out on strikes.,R,R,L,DET,CWS,S,,,0,1,2023,-1.37,-0.1,-0.28,1.77,,,668670.0,1,7,Bot,,,,,664874,,,-2.6954216728426204,-121.30231267506178,-3.2561007458989524,-13.019039104908998,22.6949109016762,-32.77538848527014,2.88,1.37,4.0,81.2,-25.0,84.2,2308,6.7,718031,676979,664874,683734,663853,660162,641313,643217,673357,657757,53.77,,,,,,,,60,2,Slider,5,2,5,2,2,5,5,2,Standard,Standard,322,0.0,-0.06
FF,2023-05-25,94.5,1.92,5.99,"Crochet, Garrett",628451,676979,,swinging_strike,,,,,12,Andy Ibanez called out on strikes.,R,R,L,DET,CWS,S,,,0,0,2023,0.3,1.35,0.77,3.33,,,668670.0,1,7,Bot,,,,,664874,,,-3.7047115145907545,-137.64960841568853,-4.338692357342323,4.563416905849074,29.15164669605431,-14.265414802578984,2.88,1.37,,,,96.2,2350,7.1,718031,676979,664874,683734,663853,660162,641313,643217,673357,657757,53.42,,,,,,,,60,1,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,157,0.0,-0.056
