pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-04-03,83.6,-2.36,5.66,"Cueto, Johnny",543877,456501,,ball,,,,,11,Christian Vazquez flies out to left fielder Bryan De La Cruz.,R,R,R,MIA,MIN,B,,,1,2,2023,-0.9,0.71,-1.82,3.94,,,,0,2,Top,,,,,607732,,,2.9744989799244665,-121.64459884994386,1.103073800238669,-9.47454340953639,26.048965094006427,-25.65301375439086,3.22,1.58,,,,82.6,1304,5.8,718729,456501,607732,643265,650333,516416,542932,650559,665862,541645,54.67,,,,,,,,12,5,Changeup,0,4,4,0,4,0,4,0,Standard,Standard,229,0.0,0.029
FC,2023-04-03,87.0,-2.64,5.61,"Cueto, Johnny",543877,456501,,ball,,,,,11,Christian Vazquez flies out to left fielder Bryan De La Cruz.,R,R,R,MIA,MIN,B,,,0,2,2023,-0.01,0.71,-1.19,2.81,,,,0,2,Top,,,,,607732,,,3.4738097840555504,-126.8165008081861,-2.06414385448,-0.7698051783681347,23.74194890783425,-24.306013966481355,3.22,1.61,,,,86.7,2164,5.8,718729,456501,607732,643265,650333,516416,542932,650559,665862,541645,54.72,,,,,,,,12,4,Cutter,0,4,4,0,4,0,4,0,Standard,Standard,207,0.0,0.026
FC,2023-04-03,86.9,-2.36,5.6,"Cueto, Johnny",543877,456501,,foul,,,,,6,Christian Vazquez flies out to left fielder Bryan De La Cruz.,R,R,R,MIA,MIN,S,,,0,2,2023,-0.11,0.73,0.58,2.39,,,,0,2,Top,,,,,607732,,,7.339729393869447,-126.39087564560268,-3.0428537752075657,-2.643268262163559,24.629987262714348,-23.915865797239224,3.17,1.51,223.0,75.8,46.0,87.9,2260,6.8,718729,456501,607732,643265,650333,516416,542932,650559,665862,541645,53.67,,,,,,,,12,3,Cutter,0,4,4,0,4,0,4,0,Standard,Standard,199,0.0,0.0
CH,2023-04-03,83.9,-2.59,5.56,"Cueto, Johnny",543877,456501,,foul,,,,,1,Christian Vazquez flies out to left fielder Bryan De La Cruz.,R,R,R,MIA,MIN,S,,,0,1,2023,-0.91,0.25,-0.7,2.99,,,,0,2,Top,,,,,607732,,,6.104424261227585,-122.1374351629174,-0.0352395273423997,-10.270743270518397,24.09595563709631,-29.929056142415657,3.17,1.51,188.0,67.2,45.0,83.2,1339,5.8,718729,456501,607732,643265,650333,516416,542932,650559,665862,541645,54.68,,,,,,,,12,2,Changeup,0,4,4,0,4,0,4,0,Standard,Standard,230,0.0,-0.049
SI,2023-04-03,89.7,-2.53,5.65,"Cueto, Johnny",543877,456501,,called_strike,,,,,6,Christian Vazquez flies out to left fielder Bryan De La Cruz.,R,R,R,MIA,MIN,S,,,0,0,2023,-1.42,0.8,0.41,2.33,,,,0,2,Top,,,,,607732,,,10.159802684337183,-130.28696855037688,-3.867270879964447,-18.295048544531383,27.259130650487105,-22.452448551933426,3.1,1.47,,,,88.9,2079,5.9,718729,456501,607732,643265,650333,516416,542932,650559,665862,541645,54.63,,,,,,,,12,1,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,221,0.0,-0.037
FC,2023-04-03,87.1,-2.7,5.62,"Cueto, Johnny",608336,456501,home_run,hit_into_play,,,,,4,Joey Gallo homers (3) on a fly ball to right field.    Jose Miranda scores.    Nick Gordon scores.,R,L,R,MIA,MIN,X,,fly_ball,0,0,2023,-0.15,0.75,-0.28,2.57,669304.0,,624503.0,0,2,Top,227.7,72.59,,,607732,,,6.045491367260769,-126.77005261814354,-2.6881194267352253,-2.864032746337559,25.89891074488052,-23.74498760018861,3.56,1.69,399.0,112.3,26.0,86.2,2284,5.7,718729,456501,607732,643265,650333,516416,542932,650559,665862,541645,54.83,0.999,2.026,2.0,1.0,0.0,3.0,6.0,11,1,Cutter,0,1,1,0,4,0,4,0,Standard,Strategic,202,-0.131,1.666
FF,2023-04-03,89.8,-2.59,5.58,"Cueto, Johnny",624503,456501,single,hit_into_play,,,,,3,Nick Gordon singles on a line drive to right fielder Avisail Garcia.   Jose Miranda to 3rd.,R,L,R,MIA,MIN,X,9.0,line_drive,1,1,2023,-1.04,1.36,0.32,3.12,,,669304.0,0,2,Top,194.23,95.62,,,607732,,,9.396807148561871,-130.36622824368104,-2.947598725013924,-13.896487899953778,28.77360017702973,-16.268685242069,3.6,1.71,219.0,94.4,14.0,89.4,2235,6.3,718729,456501,607732,643265,650333,516416,542932,650559,665862,541645,54.24,0.931,0.889,0.9,1.0,1.0,0.0,4.0,10,3,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,226,-0.081,0.695
FC,2023-04-03,86.8,-2.81,5.55,"Cueto, Johnny",624503,456501,,ball,,,,,13,Nick Gordon singles on a line drive to right fielder Avisail Garcia.   Jose Miranda to 3rd.,R,L,R,MIA,MIN,B,,,0,1,2023,0.06,1.19,-0.04,1.48,,,669304.0,0,2,Top,,,,,607732,,,6.519910317595786,-126.14802922957855,-5.9763840009426685,-0.6808786304866832,25.49572230456973,-18.48129508816634,3.46,1.69,,,,87.0,2279,6.5,718729,456501,607732,643265,650333,516416,542932,650559,665862,541645,54.02,,,,,,,,10,2,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,212,0.0,0.025
FF,2023-04-03,90.9,-2.5,5.64,"Cueto, Johnny",624503,456501,,called_strike,,,,,3,Nick Gordon singles on a line drive to right fielder Avisail Garcia.   Jose Miranda to 3rd.,R,L,R,MIA,MIN,S,,,0,0,2023,-0.97,1.44,0.28,3.48,,,669304.0,0,2,Top,,,,,607732,,,8.987232583525994,-131.9920846135973,-2.526732676683677,-13.338351856364175,30.729485924412376,-15.05896451472958,3.48,1.71,,,,90.1,2223,6.1,718729,456501,607732,643265,650333,516416,542932,650559,665862,541645,54.39,,,,,,,,10,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,222,0.0,-0.051
FF,2023-04-03,89.9,-2.44,5.64,"Cueto, Johnny",669304,456501,walk,ball,,,,,11,Jose Miranda walks.,R,R,R,MIA,MIN,B,,,3,1,2023,-1.02,1.51,-0.99,3.82,,,,0,2,Top,,,,,607732,,,5.667935101790578,-130.75865096314993,-1.652992074375951,-12.904949247313642,29.93295608160427,-14.822299931678502,3.08,1.48,,,,88.6,2252,5.7,718729,456501,607732,643265,650333,516416,542932,650559,665862,541645,54.82,,,0.7,1.0,0.0,0.0,,9,5,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,223,-0.033,0.23
