pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-03,94.0,-2.52,6.1,"Curtiss, John",670097,595928,field_out,hit_into_play,,,,,12,Zack Short flies out to right fielder Jeff McNeil.,R,R,R,DET,NYM,X,9.0,fly_ball,2,2,2023,-0.6,1.37,1.08,2.52,,,628451.0,2,8,Bot,194.63,112.95,,,682626,,,10.662260821220856,-136.35332848323463,-6.55392399989703,-9.889046438940175,30.107533143516108,-13.80783836594553,3.22,1.5,295.0,91.6,41.0,93.9,2295.0,6.4,718329,595928,682626,624413,641645,683146,596019,592192,607043,643446,54.07,0.003,0.003,0.0,1.0,0.0,0.0,3.0,67,5,4-Seam Fastball,8,1,8,1,1,8,8,1,Standard,Standard,216.0,0.0,-0.206
SL,2023-05-03,87.7,-2.78,5.95,"Curtiss, John",670097,595928,,ball,,,,,14,Zack Short flies out to right fielder Jeff McNeil.,R,R,R,DET,NYM,B,,,1,2,2023,0.37,-0.05,1.57,1.18,,,628451.0,2,8,Bot,,,,,682626,,,9.72386980075362,-127.3896625379931,-5.283202953615176,2.1176993721633,25.650997617816422,-31.825911289988937,3.22,1.48,,,,87.6,2675.0,6.3,718329,595928,682626,624413,641645,683146,596019,592192,607043,643446,54.23,,,,,,,,67,4,Slider,8,1,8,1,1,8,8,1,Standard,Standard,88.0,0.0,0.03
SL,2023-05-03,88.0,-2.51,6.05,"Curtiss, John",670097,595928,,ball,,,,,14,Zack Short flies out to right fielder Jeff McNeil.,R,R,R,DET,NYM,B,,,0,2,2023,0.4,0.02,1.47,2.0,,,628451.0,2,8,Bot,,,,,682626,,,8.8155146410723,-127.9227460013963,-3.757671169605166,2.571378560439299,26.28538149245978,-31.400249347516308,3.16,1.45,,,,88.0,2657.0,6.4,718329,595928,682626,624413,641645,683146,596019,592192,607043,643446,54.15,,,,,,,,67,3,Slider,8,1,8,1,1,8,8,1,Standard,Standard,109.0,0.0,0.007
FF,2023-05-03,95.7,-2.39,6.15,"Curtiss, John",670097,595928,,foul,,,,,6,Zack Short flies out to right fielder Jeff McNeil.,R,R,R,DET,NYM,S,,,0,1,2023,-0.64,1.26,0.71,2.51,,,628451.0,2,8,Bot,,,,,682626,,,9.659164994913557,-139.01440863614422,-6.908120600069521,-10.35913495306677,28.917690088638967,-14.364113098911906,3.22,1.5,299.0,94.2,22.0,96.3,2294.0,6.6,718329,595928,682626,624413,641645,683146,596019,592192,607043,643446,53.92,,,,,,,,67,2,4-Seam Fastball,8,1,8,1,1,8,8,1,Standard,Standard,215.0,0.0,-0.038
FF,2023-05-03,95.4,-2.33,6.16,"Curtiss, John",670097,595928,,called_strike,,,,,9,Zack Short flies out to right fielder Jeff McNeil.,R,R,R,DET,NYM,S,,,0,0,2023,-0.69,1.47,0.75,1.69,,,628451.0,2,8,Bot,,,,,682626,,,9.65996268873511,-138.4640517942918,-9.450857454525115,-10.942609065475969,29.29783673123793,-11.290237636239771,3.22,1.46,,,,95.7,2290.0,6.5,718329,595928,682626,624413,641645,683146,596019,592192,607043,643446,54.0,,,,,,,,67,1,4-Seam Fastball,8,1,8,1,1,8,8,1,Standard,Standard,211.0,0.0,-0.036
SL,2023-05-03,86.7,-2.64,6.02,"Curtiss, John",628451,595928,single,hit_into_play,,,,,6,Andy Ibanez singles on a ground ball to left fielder Mark Canha.   Spencer Torkelson scores.    Eric Haase scores.,R,R,R,DET,NYM,X,7.0,ground_ball,0,1,2023,0.23,0.16,0.43,2.36,679529.0,606992.0,,2,8,Bot,90.58,122.63,,,682626,,,6.876074943670112,-126.23495359316226,-2.9270413980105205,1.1533944355816734,23.796210908043744,-30.10377163936207,2.97,1.44,72.0,101.3,2.0,86.9,2535.0,6.2,718329,595928,682626,624413,641645,683146,596019,592192,607043,643446,54.3,0.486,0.455,0.9,1.0,1.0,0.0,4.0,66,2,Slider,6,1,6,1,1,8,8,1,Standard,Standard,110.0,0.003,1.586
FF,2023-05-03,93.8,-2.45,5.98,"Curtiss, John",628451,595928,,called_strike,,,,,12,Andy Ibanez singles on a ground ball to left fielder Mark Canha.   Spencer Torkelson scores.    Eric Haase scores.,R,R,R,DET,NYM,S,,,0,0,2023,-0.76,1.1,0.83,2.97,679529.0,606992.0,,2,8,Bot,,,,,682626,,,10.157153128036637,-136.22930926809235,-4.460194540643439,-11.693078869910584,31.00394045693997,-17.650612934422263,2.93,1.45,,,,93.7,,6.4,718329,595928,682626,624413,641645,683146,596019,592192,607043,643446,54.07,,,,,,,,66,1,4-Seam Fastball,6,1,6,1,1,6,6,1,Standard,Standard,,0.0,-0.065
SL,2023-05-03,85.1,-2.89,5.89,"Curtiss, John",606992,595928,double,hit_into_play,,,,,8,Eric Haase doubles (4) on a ground ball to left fielder Mark Canha.   Spencer Torkelson to 3rd.,R,R,R,DET,NYM,X,7.0,ground_ball,2,1,2023,0.15,0.31,0.17,1.64,,,679529.0,2,8,Bot,46.66,114.77,,,682626,,,6.8835449216253135,-123.75852933501535,-4.299438065213855,0.1683678674136796,24.17031766041477,-28.33177741203255,3.21,1.48,15.0,87.1,-6.0,85.2,2551.0,6.3,718329,595928,682626,624413,641645,683146,596019,592192,607043,643446,54.19,0.177,0.178,1.25,1.0,1.0,1.0,2.0,65,4,Slider,6,1,6,1,1,6,6,1,Standard,Standard,100.0,0.001,0.726
FF,2023-05-03,93.5,-2.56,6.1,"Curtiss, John",606992,595928,,foul,,,,,2,Eric Haase doubles (4) on a ground ball to left fielder Mark Canha.   Spencer Torkelson to 3rd.,R,R,R,DET,NYM,S,,,2,0,2023,-0.67,1.55,-0.18,3.29,,,679529.0,2,8,Bot,,,,,682626,,,7.594575464174869,-135.9296873798342,-4.914840118410352,-9.934535023631453,30.046899755013893,-11.999973459394976,3.21,1.48,136.0,80.1,10.0,93.4,2372.0,6.3,718329,595928,682626,624413,641645,683146,596019,592192,607043,643446,54.21,,,,,,,,65,3,4-Seam Fastball,6,1,6,1,1,6,6,1,Standard,Standard,214.0,0.0,-0.032
FF,2023-05-03,94.0,-2.48,5.98,"Curtiss, John",606992,595928,,ball,,,,,14,Eric Haase doubles (4) on a ground ball to left fielder Mark Canha.   Spencer Torkelson to 3rd.,R,R,R,DET,NYM,B,,,1,0,2023,-0.63,1.61,1.58,1.34,,,679529.0,2,8,Bot,,,,,682626,,,11.913777845315288,-136.0797066808379,-9.84134942035286,-10.489163269618585,29.791869764597063,-10.015710339047418,3.28,1.55,,,,93.8,2362.0,6.5,718329,595928,682626,624413,641645,683146,596019,592192,607043,643446,54.04,,,,,,,,65,2,4-Seam Fastball,6,1,6,1,1,6,6,1,Standard,Standard,214.0,0.0,0.033
