pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
CU,2023-04-29,78.6,0.65,6.0,"Daza, Yonathan",602074,664948,field_out,hit_into_play,,,,,5,Yonathan Daza lines out to third baseman Emmanuel Rivera.,R,R,L,COL,AZ,X,5.0,line_drive,0,1,2023,-0.32,-0.92,-0.01,2.26,,,,1,9,Bot,93.86,154.2,,,645444,,,-0.8212595819244634,-114.60456945107975,0.3125404486974403,-2.7426254832629664,18.43256021577128,-40.615132203322055,3.41,1.68,141.0,92.6,9.0,78.5,2835,5.8,718366,664948,645444,572233,668942,656896,672695,666971,677950,656976,54.72,0.571,0.558,0.0,1.0,0.0,0.0,4.0,79,2,Curveball,4,11,4,11,11,4,4,11,Standard,Standard,326,0.0,-0.144,yonathan daza,
FF,2023-04-23,96.5,-2.0,5.56,"Daza, Yonathan",602074,554430,hit_by_pitch,hit_by_pitch,,,,,11,Yonathan Daza hit by pitch.    Jurickson Profar scores.    Ryan McMahon to 3rd.    C.J. Cron to 2nd.,R,R,R,PHI,COL,B,,,0,2,2023,-0.89,1.43,-1.21,3.98,595777.0,641857.0,543068.0,1,4,Top,,,,,592663,,,4.167326864256935,-140.45611049078434,-1.9014689361017596,-12.728127249179614,32.75983617326491,-13.08825253184978,3.42,1.68,,,,97.7,2471,7.0,718458,554430,592663,665019,681082,624641,607208,656941,669016,592206,53.49,,,0.7,1.0,0.0,0.0,,27,3,4-Seam Fastball,2,0,0,2,1,2,1,2,Standard,Standard,216,-0.115,1.365,yonathan daza,
ST,2023-04-23,84.2,-2.14,5.47,"Daza, Yonathan",602074,554430,strikeout,swinging_strike,,,,,9,Yonathan Daza strikes out swinging.,R,R,R,PHI,COL,S,2.0,,1,2,2023,1.42,0.1,0.67,2.16,,,,1,2,Top,,,,,592663,,,3.7492859076920335,-122.55708398269852,-1.4805874937486718,13.45244474886733,25.521787642150983,-31.10768241210213,3.42,1.68,,,,85.0,2714,6.9,718458,554430,592663,665019,681082,624641,607208,656941,669016,592206,53.57,,,0.0,1.0,0.0,0.0,,10,4,Sweeper,1,0,0,1,0,1,0,1,Standard,Standard,54,0.017,-0.122,yonathan daza,
SI,2023-04-22,92.4,1.53,6.41,"Daza, Yonathan",602074,650911,double,hit_into_play,,,,,5,Yonathan Daza doubles (6) on a sharp line drive to center fielder Brandon Marsh.   Ryan McMahon scores.,R,R,L,PHI,COL,X,8.0,line_drive,1,1,2023,1.51,0.71,-0.25,2.39,,,641857.0,2,4,Top,110.58,22.28,,,592663,,,-7.921025233696064,-134.1346526045804,-5.937611281877036,19.993900979284103,32.27793481580743,-22.450068839874973,3.42,1.68,400.0,102.9,21.0,92.9,2173,7.0,718475,650911,592663,664761,543281,624641,607208,665506,669016,592206,53.5,0.603,0.779,1.25,1.0,1.0,1.0,6.0,28,3,Sinker,3,1,1,3,2,3,2,3,Standard,Standard,120,-0.119,0.764,yonathan daza,
SI,2023-04-22,93.8,1.64,6.34,"Daza, Yonathan",602074,650911,field_out,hit_into_play,,,,,4,Yonathan Daza flies out to right fielder Nick Castellanos.,R,R,L,PHI,COL,X,9.0,fly_ball,1,1,2023,1.49,0.64,-0.39,2.28,543068.0,,,2,2,Top,200.98,123.29,,,592663,,,-8.647399047016503,-136.26629927003464,-6.249616264902116,20.497139814470653,30.63656254557363,-22.9292798304102,3.42,1.68,264.0,81.1,38.0,94.8,2067,7.0,718475,650911,592663,664761,543281,624641,607208,665506,669016,592206,53.49,0.011,0.018,0.0,1.0,0.0,0.0,3.0,10,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,119,0.038,-0.362,yonathan daza,
CH,2023-04-22,82.9,-2.39,5.84,"Daza, Yonathan",602074,641401,single,hit_into_play,,,,,14,Yonathan Daza singles on a ground ball to first baseman Alec Bohm.   Elias Diaz to 2nd.,R,R,R,PHI,COL,X,3.0,ground_ball,1,2,2023,-1.58,0.15,0.43,1.24,,,553869.0,1,6,Top,149.58,154.46,,,592663,,,9.677487176481616,-120.20365195918627,-4.28166942900712,-17.28668541876876,25.579369917888624,-29.95706391466525,3.42,1.68,6.0,60.7,-13.0,83.6,2245,7.2,718475,641401,592663,664761,543281,624641,607208,665506,669016,592206,53.34,0.057,0.051,0.9,1.0,1.0,0.0,2.0,45,5,Changeup,3,3,3,3,3,3,3,3,Standard,Standard,250,-0.05,0.594,yonathan daza,
SI,2023-04-22,98.1,-1.87,5.57,"Daza, Yonathan",602074,622554,single,hit_into_play,,,,,8,Yonathan Daza singles on a ground ball to right fielder Nick Castellanos.   Brian Serven to 2nd.,R,R,R,PHI,COL,X,9.0,ground_ball,0,1,2023,-1.26,1.07,-0.12,2.07,,,661531.0,2,8,Top,188.73,128.01,,,592663,,,7.688016412075711,-142.67184751045914,-6.5488892268025936,-18.907928672777714,29.66561871599428,-16.190052770774376,3.42,1.68,79.0,85.6,3.0,99.1,2493,6.7,718475,622554,592663,664761,543281,624641,607208,665506,669016,592206,53.82,0.309,0.278,0.9,1.0,1.0,0.0,2.0,62,2,Sinker,4,3,3,4,3,4,3,4,Standard,Standard,211,-0.047,0.349,yonathan daza,
KC,2023-04-21,77.5,-1.81,5.47,"Daza, Yonathan",602074,605400,field_out,hit_into_play,,,,,14,Yonathan Daza pops out to second baseman Bryson Stott.,R,R,R,PHI,COL,X,4.0,popup,0,1,2023,1.11,-0.95,0.95,1.41,,,,1,5,Top,165.7,151.51,,,592663,,,3.874124885763664,-112.68725742701496,0.1265029080859667,8.48113955949255,23.953618671551908,-40.484107029847614,3.42,1.69,157.0,63.0,54.0,77.1,2502,6.4,718493,605400,592663,664761,681082,624641,607208,595909,669016,592206,54.08,0.043,0.039,0.0,1.0,0.0,0.0,3.0,37,2,Knuckle Curve,2,3,3,2,3,2,3,2,Standard,Standard,51,0.017,-0.144,yonathan daza,
SL,2023-04-21,88.5,-1.91,5.63,"Daza, Yonathan",602074,622554,field_out,hit_into_play,,,,,2,Yonathan Daza flies out to right fielder Nick Castellanos.,R,R,R,PHI,COL,X,9.0,fly_ball,0,1,2023,0.77,0.03,-0.08,2.93,,,,0,8,Top,170.29,83.85,,,592663,,,2.845696979872259,-128.94382651594057,-0.6207601901257254,8.05696485665266,26.09287481918496,-31.954296315608044,3.42,1.69,307.0,93.2,44.0,88.7,2308,6.3,718493,622554,592663,664761,681082,624641,607208,595909,669016,592206,54.19,0.011,0.019,0.0,1.0,0.0,0.0,3.0,59,2,Slider,3,3,3,3,3,3,3,3,Standard,Standard,120,0.046,-0.198,yonathan daza,
SI,2023-04-20,91.3,1.92,5.48,"Daza, Yonathan",602074,621381,field_out,hit_into_play,,,,,8,"Yonathan Daza grounds out, shortstop Trea Turner to first baseman Alec Bohm.",R,R,L,PHI,COL,X,6.0,ground_ball,2,0,2023,1.6,0.98,-0.06,1.74,,,,0,5,Top,120.53,144.81,,,592663,,,-8.463257427147449,-132.61170077044446,-5.6412065436036345,20.74097351794142,27.820622956653587,-19.55640621437296,3.42,1.69,120.0,105.1,4.0,91.5,2454,6.5,718498,621381,592663,664761,681082,543281,607208,595909,669016,592206,54.03,0.589,0.541,0.0,1.0,0.0,0.0,4.0,31,3,Sinker,0,2,2,0,2,0,2,0,Standard,Standard,136,0.017,-0.34,yonathan daza,
SL,2023-04-20,82.4,1.86,5.65,"Daza, Yonathan",602074,621381,field_out,hit_into_play,,,,,1,Yonathan Daza flies out to right fielder Nick Castellanos.,R,R,L,PHI,COL,X,9.0,fly_ball,1,1,2023,-0.84,0.38,-0.46,2.92,,,,1,2,Top,174.78,93.36,,,592663,,,-3.655099614701576,-119.9722447535562,-0.4326084282029639,-7.417896421415851,23.10998293354643,-28.635816863291243,3.42,1.69,290.0,83.7,34.0,82.4,2809,6.3,718498,621381,592663,664761,681082,543281,607208,595909,669016,592206,54.24,0.017,0.025,0.0,1.0,0.0,0.0,3.0,10,3,Slider,0,2,2,0,2,0,2,0,Standard,Standard,290,0.012,-0.165,yonathan daza,
