pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FF,2023-05-23,92.5,-2.04,5.48,"Diaz, Yainer",673237,607067,force_out,hit_into_play,,,,,12,"Yainer Diaz grounds into a force out, shortstop Willy Adames to second baseman Brice Turang.   Jose Abreu out at 2nd.",R,R,R,MIL,HOU,X,6.0,ground_ball,0,2,2023,-0.16,1.11,0.45,3.36,,,547989.0,2,4,Top,114.21,146.32,,,605170,,,6.756402252924365,-134.66546579810907,-2.0637286708994496,-3.410284788335231,28.213426765002517,-18.371765765157217,3.13,1.48,16.0,102.6,-11.0,93.3,2051.0,6.7,718056,607067,605170,642133,668930,680911,642715,592885,686894,605119,53.82,0.283,0.279,0.0,1.0,0.0,0.0,2.0,29,3,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,217.0,0.029,-0.17,yainer diaz,
SI,2023-05-23,92.2,-2.94,5.57,"Diaz, Yainer",673237,669060,field_out,hit_into_play,,,,,2,Yainer Diaz flies out to right fielder Tyrone Taylor.   Jeremy Pena to 3rd.,R,R,R,MIL,HOU,X,9.0,fly_ball,0,0,2023,-0.99,0.88,-0.24,3.08,,665161.0,,1,9,Top,162.93,68.22,,,605170,,,9.006907632878516,-133.94783080811783,-2.4036333845818803,-13.858577727716147,29.343691181652638,-21.20992149218272,3.13,1.48,337.0,91.2,28.0,92.3,2145.0,6.4,718056,669060,605170,680911,668930,605119,642715,592885,686894,621438,54.05,0.111,0.141,0.0,1.0,0.0,0.0,3.0,69,1,Sinker,6,0,0,6,0,6,0,6,Standard,Standard,211.0,0.002,-0.351,yainer diaz,
SI,2023-05-23,95.0,-2.58,5.33,"Diaz, Yainer",673237,665625,field_out,hit_into_play,,,,,5,Yainer Diaz flies out to right fielder Brian Anderson.,R,R,R,MIL,HOU,X,9.0,fly_ball,2,1,2023,-1.02,0.6,0.03,2.1,,,,0,7,Top,180.12,83.82,,,605170,,,9.26094788815993,-137.93728771191437,-4.167829376616265,-15.113252201468514,31.866364739394378,-23.728468182120125,3.13,1.48,315.0,99.0,42.0,96.4,2018.0,7.3,718056,665625,605170,642133,668930,680911,642715,592885,686894,605119,53.23,0.063,0.114,0.0,1.0,0.0,0.0,3.0,49,4,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,248.0,0.033,-0.278,yainer diaz,
FA,2023-05-22,60.1,-1.34,6.33,"Diaz, Yainer",673237,670712,field_out,hit_into_play,,,,,12,"Yainer Diaz grounds out, second baseman Owen Miller to first baseman Darin Ruf.",R,R,R,MIL,HOU,X,4.0,ground_ball,3,2,2023,-0.05,1.09,1.01,3.0,,,643289.0,2,9,Top,132.79,126.66,,,661388,,,3.87492600445226,-87.52083563284219,1.687623644566448,-0.7548366744023874,10.85733013238554,-26.9462923517942,3.13,1.48,74.0,106.5,2.0,59.0,1370.0,4.9,718068,670712,661388,573131,680911,605119,668930,621438,686894,608385,55.59,0.483,0.45,0.0,1.0,0.0,0.0,4.0,80,7,Other,2,12,12,2,12,2,12,2,Standard,Standard,216.0,0.0,-0.263,yainer diaz,
SI,2023-05-17,92.3,2.06,6.5,"Diaz, Yainer",673237,592767,field_out,hit_into_play,,,,,12,Yainer Diaz pops out to second baseman Miles Mastrobuoni.,R,R,L,HOU,CHC,X,4.0,popup,0,1,2023,0.83,1.32,0.15,3.56,,,,1,5,Bot,145.62,157.75,,,543228,,,-6.552663453813251,-134.18710311781027,-4.441767566459705,11.437116103946591,30.535240176019173,-15.470540223772238,3.14,1.49,141.0,91.6,68.0,90.9,2021.0,5.6,718127,592767,543228,670223,670156,621550,621020,664023,666624,673548,54.91,0.014,0.015,0.0,1.0,0.0,0.0,3.0,44,2,Sinker,1,6,1,6,6,1,1,6,Standard,Standard,138.0,-0.008,-0.144,yainer diaz,
SI,2023-05-17,92.6,1.97,6.5,"Diaz, Yainer",673237,592767,field_out,hit_into_play,,,,,11,Yainer Diaz lines out to first baseman Matt Mervis.,R,R,L,HOU,CHC,X,3.0,line_drive,0,2,2023,0.61,1.18,-0.04,3.9,,,,1,2,Bot,153.23,167.92,,,543228,,,-6.349994628911831,-134.69215668944986,-3.3668010056869626,8.76905190551511,29.808515292993683,-17.291461817569996,3.14,1.49,128.0,92.1,7.0,91.4,2012.0,5.6,718127,592767,543228,670223,670156,621550,621020,664023,666624,673548,54.89,0.569,0.544,0.0,1.0,0.0,0.0,4.0,18,4,Sinker,1,3,1,3,3,1,1,3,Standard,Standard,139.0,-0.017,-0.107,yainer diaz,
ST,2023-05-17,83.7,-1.46,6.12,"Diaz, Yainer",673237,640470,single,hit_into_play,,,,,2,Yainer Diaz singles on a line drive to center fielder Christopher Morel.,R,R,R,HOU,CHC,X,8.0,line_drive,2,2,2023,0.64,0.69,-0.21,2.79,,,,2,7,Bot,134.14,87.82,,,543228,,,1.6202782094671613,-121.88497545543105,-2.5904651519864568,5.961235777306143,26.093201586430464,-25.00116933284138,3.14,1.49,243.0,82.8,21.0,83.1,2596.0,6.0,718127,640470,543228,670223,670156,621550,621020,664023,666624,673548,54.48,0.68,0.641,0.9,1.0,1.0,0.0,4.0,62,5,Sweeper,1,6,1,6,6,1,1,6,Standard,Standard,110.0,0.004,0.149,yainer diaz,
FF,2023-05-17,94.4,-1.27,6.02,"Diaz, Yainer",673237,624522,single,hit_into_play,,,,,2,Yainer Diaz singles on a ground ball to center fielder Christopher Morel.,R,R,R,HOU,CHC,X,8.0,ground_ball,0,0,2023,-0.04,1.29,0.2,2.88,,,,0,9,Bot,125.83,107.42,,,543228,,,3.8928288248607386,-137.41983464507268,-5.283253346993785,-1.437710355974375,31.9773452750074,-14.863057859019024,3.14,1.49,57.0,102.9,1.0,93.5,2348.0,5.8,718127,624522,543228,670223,670156,621550,621020,664023,666624,673548,54.67,0.466,0.446,0.9,1.0,1.0,0.0,4.0,81,1,4-Seam Fastball,3,6,3,6,6,3,3,6,Standard,Standard,198.0,0.045,0.394,yainer diaz,
SL,2023-05-14,82.5,-1.39,6.33,"Diaz, Yainer",673237,608337,field_out,hit_into_play,,,,,5,Yainer Diaz lines out to center fielder Luis Robert Jr.,R,R,R,CWS,HOU,X,8.0,line_drive,0,0,2023,0.14,-0.46,0.22,2.34,,,,2,6,Top,157.7,73.91,,,664874,,,3.423498572730245,-119.87107734609638,-1.4771471193915349,0.4756182686054047,29.459691479669367,-36.38453261412702,3.14,1.49,320.0,97.0,20.0,82.1,1987.0,6.7,718176,608337,664874,683734,593643,660162,641313,643217,673357,657757,53.8,0.303,0.342,0.0,1.0,0.0,0.0,4.0,45,1,Slider,1,4,4,1,4,1,4,1,Standard,Standard,84.0,0.005,-0.103,yainer diaz,
CH,2023-05-14,81.0,-1.28,6.22,"Diaz, Yainer",673237,608337,home_run,hit_into_play,,,,,5,Yainer Diaz homers (1) on a fly ball to left field.,R,R,R,CWS,HOU,X,,fly_ball,2,1,2023,-1.39,0.66,0.07,2.35,,,,0,4,Top,34.7,52.69,,,664874,,,5.72272279255086,-117.8271444571552,-3.239535823816495,-14.056037765526424,24.020712731715584,-25.58531622871751,3.14,1.49,424.0,109.8,26.0,81.5,1570.0,6.8,718176,608337,664874,683734,593643,660162,641313,643217,673357,657757,53.68,0.989,1.993,2.0,1.0,0.0,3.0,6.0,27,4,Changeup,0,3,3,0,4,0,4,0,Standard,Standard,228.0,-0.062,0.957,yainer diaz,
