pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-25,95.6,4.13,5.3,"Diekman, Jake",543807,518617,walk,ball,,,,,13,George Springer walks.   Alejandro Kirk to 3rd.    Kevin Kiermaier to 2nd.,R,R,L,TB,TOR,B,,,3,2,2023,1.53,0.67,-0.65,1.05,,672386.0,595281.0,1,9,Top,,,,,642336,,,-16.018400700353766,-138.13202552593552,-7.0315660990221565,23.213469447457907,31.26211984686519,-21.99906487509363,3.51,1.56,,,,95.3,2359.0,6.5,718032,518617,642336,670042,664040,670764,677551,668227,622534,666139,53.96,,,0.7,1.0,0.0,0.0,,72,6,Sinker,6,1,1,6,1,6,1,6,Standard,Standard,113.0,-0.021,0.661
FF,2023-05-25,95.4,4.17,5.38,"Diekman, Jake",543807,518617,,ball,,,,,11,George Springer walks.   Alejandro Kirk to 3rd.    Kevin Kiermaier to 2nd.,R,R,L,TB,TOR,B,,,2,2,2023,1.57,0.9,-0.71,3.63,,672386.0,595281.0,1,9,Top,,,,,642336,,,-16.333948472997314,-137.91680691815924,-0.9070292095892788,23.739218308936245,31.53824167424036,-20.669632117496565,3.44,1.52,,,,95.1,2319.0,6.5,718032,518617,642336,670042,664040,670764,677551,668227,622534,666139,53.95,,,,,,,,72,5,4-Seam Fastball,6,1,1,6,1,6,1,6,Standard,Standard,129.0,0.0,0.05
FF,2023-05-25,94.9,4.04,5.34,"Diekman, Jake",543807,518617,,called_strike,,,,,7,George Springer walks.   Alejandro Kirk to 3rd.    Kevin Kiermaier to 2nd.,R,R,L,TB,TOR,S,,,2,1,2023,1.5,0.79,-0.73,1.73,,672386.0,595281.0,1,9,Top,,,,,642336,,,-15.787346093622991,-137.2155716028531,-5.474141407986663,22.499596139465787,30.586622467727725,-21.02081192240572,3.63,1.61,,,,94.6,2512.0,6.5,718032,518617,642336,670042,664040,670764,677551,668227,622534,666139,54.02,,,,,,,,72,4,4-Seam Fastball,6,1,1,6,1,6,1,6,Standard,Standard,133.0,0.0,-0.149
SI,2023-05-25,94.9,4.13,5.24,"Diekman, Jake",543807,518617,,foul,,,,,6,George Springer walks.   Alejandro Kirk to 3rd.    Kevin Kiermaier to 2nd.,R,R,L,TB,TOR,S,,,2,0,2023,1.61,0.27,0.81,2.87,,672386.0,595281.0,1,9,Top,,,,,642336,,,-12.289719738167651,-137.70940950799982,-1.129097107690523,23.19958882606652,29.748359134239223,-28.66341547569117,3.58,1.61,249.0,81.0,44.0,95.1,1399.0,6.5,718032,518617,642336,670042,664040,670764,677551,668227,622534,666139,54.01,,,,,,,,72,3,Sinker,6,1,1,6,1,6,1,6,Standard,Standard,129.0,0.0,-0.207
ST,2023-05-25,80.8,4.18,5.27,"Diekman, Jake",543807,518617,,blocked_ball,,,,,13,George Springer walks.   Alejandro Kirk to 3rd.    Kevin Kiermaier to 2nd.,R,R,L,TB,TOR,B,,,1,0,2023,-1.24,0.09,-1.56,0.5,,672386.0,595281.0,1,9,Top,,,,,642336,,,-10.431486109382869,-117.16882565871228,-3.9875359869565754,-9.005338117563571,25.767440076618037,-30.68825275530781,3.59,1.56,,,,80.3,2788.0,6.5,718032,518617,642336,670042,664040,670764,677551,668227,622534,666139,53.96,,,,,,,,72,2,Sweeper,6,1,1,6,1,6,1,6,Standard,Standard,304.0,0.0,0.167
CH,2023-05-25,85.2,4.05,5.38,"Diekman, Jake",543807,518617,,ball,,,,,12,George Springer walks.   Alejandro Kirk to 3rd.    Kevin Kiermaier to 2nd.,R,R,L,TB,TOR,B,,,0,0,2023,1.49,0.33,1.55,2.92,,672386.0,595281.0,1,9,Top,,,,,642336,,,-8.86242111546369,-123.79593654050626,-0.0966833435332431,17.083937947381564,26.09464580553924,-29.00411540077881,3.57,1.54,,,,85.2,1536.0,6.5,718032,518617,642336,670042,664040,670764,677551,668227,622534,666139,54.03,,,,,,,,72,1,Changeup,6,1,1,6,1,6,1,6,Standard,Standard,106.0,0.0,0.11
SI,2023-05-25,92.9,4.13,5.36,"Diekman, Jake",595281,518617,single,hit_into_play,,,,,6,Kevin Kiermaier singles on a line drive to left fielder Randy Arozarena.   Alejandro Kirk to 2nd.,R,L,L,TB,TOR,X,7.0,line_drive,0,1,2023,1.66,0.77,0.58,2.48,,,672386.0,1,9,Top,54.08,129.35,,,642336,,,-12.672180525851974,-134.6618679645652,-3.235195696737533,22.94761580346357,29.192808736410377,-22.20431706942624,3.47,1.61,173.0,68.5,20.0,92.5,2117.0,6.2,718032,518617,642336,670042,664040,670764,677551,668227,622534,666139,54.25,0.849,0.774,0.9,1.0,1.0,0.0,4.0,71,2,Sinker,6,1,1,6,1,6,1,6,Standard,Standard,145.0,-0.007,0.557
SI,2023-05-25,92.9,4.06,5.33,"Diekman, Jake",595281,518617,,foul,,,,,6,Kevin Kiermaier singles on a line drive to left fielder Randy Arozarena.   Alejandro Kirk to 2nd.,R,L,L,TB,TOR,S,,,0,0,2023,1.62,0.58,0.74,2.49,,,672386.0,1,9,Top,,,,,642336,,,-12.081368697309614,-134.70706206592357,-2.7422360969913053,22.287873318653475,28.50806017341532,-24.64885561444507,3.47,1.61,,,,93.3,2089.0,6.6,718032,518617,642336,670042,664040,670764,677551,668227,622534,666139,53.85,,,,,,,,71,1,Sinker,6,1,1,6,1,6,1,6,Standard,Standard,121.0,0.0,-0.056
CH,2023-05-25,86.5,4.18,5.38,"Diekman, Jake",672386,518617,single,hit_into_play,,,,,12,Alejandro Kirk singles on a line drive to right fielder Josh Lowe.,R,R,L,TB,TOR,X,9.0,line_drive,1,1,2023,1.44,0.6,1.12,2.53,,,,1,9,Top,173.65,98.64,,,642336,,,-10.223773184778114,-125.4985753604031,-1.7687451889454255,17.261959791691947,25.69832251776416,-25.65328267081717,3.04,1.42,224.0,86.3,15.0,86.3,1417.0,6.4,718032,518617,642336,670042,664040,670764,677551,668227,622534,666139,54.13,0.963,0.898,0.9,1.0,1.0,0.0,4.0,70,3,Changeup,6,1,1,6,1,6,1,6,Standard,Standard,104.0,-0.003,0.278
SI,2023-05-25,93.5,4.14,5.39,"Diekman, Jake",672386,518617,,ball,,,,,12,Alejandro Kirk singles on a line drive to right fielder Josh Lowe.,R,R,L,TB,TOR,B,,,0,1,2023,1.74,0.65,1.01,2.75,,,,1,9,Top,,,,,642336,,,-11.896423350169986,-135.65197620178907,-2.444703020422571,24.05364164990688,30.116754921289388,-23.846543321620377,3.16,1.42,,,,93.4,2058.0,6.4,718032,518617,642336,670042,664040,670764,677551,668227,622534,666139,54.09,,,,,,,,70,2,Sinker,6,1,1,6,1,6,1,6,Standard,Standard,128.0,0.0,0.021
