pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-23,90.3,-1.43,5.39,"Doval, Camilo",650489,666808,strikeout,swinging_strike_blocked,,,,,14,Willi Castro strikes out swinging.,R,L,R,MIN,SF,S,2.0,,2,2,2023,0.37,0.2,0.47,0.77,,,670242.0,2,9,Bot,,,,,672275,,,3.9758303814883527,-131.53697750046553,-6.11839419169803,3.609546455958821,24.898198420396955,-28.85531117391927,3.52,1.68,,,,91.8,2446.0,6.9,718054,666808,672275,664774,642731,605204,669477,571745,669369,624424,53.64,,,0.0,1.0,0.0,0.0,,75,5,Slider,3,4,3,4,4,3,3,4,Standard,Standard,112.0,-0.096,-0.206
SL,2023-05-23,91.5,-1.38,5.51,"Doval, Camilo",650489,666808,,blocked_ball,,,,,14,Willi Castro strikes out swinging.,R,L,R,MIN,SF,B,,,1,2,2023,0.27,0.42,1.24,0.38,,,670242.0,2,9,Bot,,,,,672275,,,6.133470004028563,-133.03772591460773,-8.118881213961858,1.952206440525508,26.573869656665828,-25.674643934526543,3.58,1.68,,,,92.9,2477.0,7.0,718054,666808,672275,664774,642731,605204,669477,571745,669369,624424,53.47,,,,,,,,75,4,Slider,3,4,3,4,4,3,3,4,Standard,Standard,141.0,0.0,0.03
FC,2023-05-23,98.7,-1.77,5.18,"Doval, Camilo",650489,666808,,foul,,,,,4,Willi Castro strikes out swinging.,R,L,R,MIN,SF,S,,,1,1,2023,-0.36,0.92,-0.39,2.46,,,670242.0,2,9,Bot,,,,,672275,,,4.673849051661948,-143.79827455646816,-4.2665669714820655,-6.005807240270909,28.135885049124152,-18.64793613752892,3.52,1.68,2.0,66.7,-49.0,101.0,2662.0,7.2,718054,666808,672275,664774,642731,605204,669477,571745,669369,624424,53.34,,,,,,,,75,3,Cutter,3,4,3,4,4,3,3,4,Standard,Standard,221.0,0.0,-0.056
SL,2023-05-23,90.8,-1.61,5.36,"Doval, Camilo",650489,666808,,swinging_strike,,,,,8,Willi Castro strikes out swinging.,R,L,R,MIN,SF,S,,,1,0,2023,0.19,0.32,0.16,1.68,,,670242.0,2,9,Bot,,,,,672275,,,4.089352819550024,-132.217854953612,-4.078436516006083,1.398876910146562,25.76171127954136,-27.82442077232857,3.52,1.68,,,,92.4,2402.0,7.0,718054,666808,672275,664774,642731,605204,669477,571745,669369,624424,53.5,,,,,,,,75,2,Slider,3,4,3,4,4,3,3,4,Standard,Standard,152.0,0.0,-0.037
SL,2023-05-23,91.9,-1.56,5.32,"Doval, Camilo",650489,666808,,ball,,,,,13,Willi Castro strikes out swinging.,R,L,R,MIN,SF,B,,,0,0,2023,0.04,0.36,-0.13,1.52,,,670242.0,2,9,Bot,,,,,672275,,,3.5773865511639498,-133.91438600645373,-4.7329493374527605,-0.1446295071960408,22.92665600474587,-27.184536625730036,3.43,1.65,,,,93.8,2514.0,6.9,718054,666808,672275,664774,642731,605204,669477,571745,669369,624424,53.62,,,,,,,,75,1,Slider,3,4,3,4,4,3,3,4,Standard,Standard,192.0,0.0,0.027
SL,2023-05-23,92.6,-1.46,5.33,"Doval, Camilo",670242,666808,hit_by_pitch,hit_by_pitch,,,,,14,Matt Wallner hit by pitch.,R,L,R,MIN,SF,B,,,1,2,2023,0.22,0.3,2.57,-0.07,,,,2,9,Bot,,,,,672275,,,9.924440411456462,-134.2608618736909,-8.687816497523974,0.515425244253445,29.72437457736978,-26.76453701603902,3.71,1.79,,,,93.6,2605.0,7.1,718054,666808,672275,664774,642731,605204,669477,571745,669369,624424,53.39,,,0.7,1.0,0.0,0.0,,74,4,Slider,3,4,3,4,4,3,3,4,Strategic,Standard,90.0,0.052,0.171
FC,2023-05-23,100.9,-1.72,5.31,"Doval, Camilo",670242,666808,,foul,,,,,9,Matt Wallner hit by pitch.,R,L,R,MIN,SF,S,,,1,1,2023,-0.78,1.17,0.66,2.25,,,,2,9,Bot,,,,,672275,,,8.539669948427226,-146.74713373703878,-6.086673044185332,-13.16612811468278,31.899473880975265,-13.950798943599956,3.71,1.79,,,,102.2,2577.0,6.8,718054,666808,672275,664774,642731,605204,669477,571745,669369,624424,53.68,,,,,,,,74,3,Cutter,3,4,3,4,4,3,3,4,Strategic,Standard,229.0,0.0,-0.026
SL,2023-05-23,90.7,-1.51,5.35,"Doval, Camilo",670242,666808,,called_strike,,,,,14,Matt Wallner hit by pitch.,R,L,R,MIN,SF,S,,,1,0,2023,0.22,0.38,0.53,1.45,,,,2,9,Bot,,,,,672275,,,4.694359586327893,-132.03776411741487,-4.738940111975217,1.636426900805536,25.834707016433324,-26.986151766524987,3.7,1.7,,,,92.2,2533.0,7.0,718054,666808,672275,664774,642731,605204,669477,571745,669369,624424,53.51,,,,,,,,74,2,Slider,3,4,3,4,4,3,3,4,Strategic,Standard,114.0,0.0,-0.027
FC,2023-05-23,101.7,-1.53,5.32,"Doval, Camilo",670242,666808,,ball,,,,,14,Matt Wallner hit by pitch.,R,L,R,MIN,SF,B,,,0,0,2023,-0.8,1.15,1.66,2.28,,,,2,9,Bot,,,,,672275,,,10.988420835928864,-147.7431063743542,-6.110728853085606,-14.218315260144497,32.38134947550399,-13.943555326771548,3.74,1.88,,,,103.1,2615.0,6.9,718054,666808,672275,664774,642731,605204,669477,571745,669369,624424,53.56,,,,,,,,74,1,Cutter,3,4,3,4,4,3,3,4,Strategic,Standard,241.0,0.0,0.021
SL,2023-05-23,91.0,-1.54,5.42,"Doval, Camilo",666397,666808,strikeout,called_strike,,,,,8,Edouard Julien called out on strikes.,R,L,R,MIN,SF,S,2.0,,3,2,2023,0.25,0.49,0.26,1.85,,,,1,9,Bot,,,,,672275,,,4.038414425890698,-132.43057861218674,-4.150916046739987,2.0436452274046,27.76682358411817,-25.77986771235345,3.26,1.71,,,,92.1,2494.0,6.9,718054,666808,672275,664774,642731,605204,669477,571745,669369,624424,53.6,,,0.0,1.0,0.0,0.0,,73,6,Slider,3,4,3,4,4,3,3,4,Standard,Standard,125.0,-0.064,-0.211
FC,2023-05-23,101.1,-1.62,5.45,"Doval, Camilo",666397,666808,,ball,,,,,11,Edouard Julien called out on strikes.,R,L,R,MIN,SF,B,,,2,2,2023,-0.55,1.17,-1.09,3.12,,,,1,9,Bot,,,,,672275,,,2.805537039352539,-147.2826848189424,-4.040467393492118,-8.6435499454939,32.326093388074504,-14.328284913792086,3.32,1.65,,,,102.5,2650.0,6.8,718054,666808,672275,664774,642731,605204,669477,571745,669369,624424,53.69,,,,,,,,73,5,Cutter,3,4,3,4,4,3,3,4,Standard,Standard,221.0,0.0,0.059
SL,2023-05-23,90.1,-1.55,5.42,"Doval, Camilo",666397,666808,,swinging_strike,,,,,14,Edouard Julien called out on strikes.,R,L,R,MIN,SF,S,,,2,1,2023,0.39,0.33,0.21,1.4,,,,1,9,Bot,,,,,672275,,,3.591081371712105,-131.17147780883693,-4.793643910094988,3.799894474394082,25.755040421501377,-27.621565240530348,3.29,1.62,,,,91.3,2436.0,6.8,718054,666808,672275,664774,642731,605204,669477,571745,669369,624424,53.68,,,,,,,,73,4,Slider,3,4,3,4,4,3,3,4,Strategic,Standard,96.0,0.0,-0.049
FC,2023-05-23,100.5,-1.56,5.3,"Doval, Camilo",666397,666808,,ball,,,,,14,Edouard Julien called out on strikes.,R,L,R,MIN,SF,B,,,1,1,2023,-0.82,1.01,1.09,2.42,,,,1,9,Bot,,,,,672275,,,9.393805227750896,-146.18376184634812,-5.139300974217528,-13.888066424349017,30.700873589672263,-16.60934339571147,3.29,1.65,,,,102.1,2543.0,6.9,718054,666808,672275,664774,642731,605204,669477,571745,669369,624424,53.59,,,,,,,,73,3,Cutter,3,4,3,4,4,3,3,4,Strategic,Standard,230.0,0.0,0.037
SL,2023-05-23,90.8,-1.61,5.29,"Doval, Camilo",666397,666808,,ball,,,,,14,Edouard Julien called out on strikes.,R,L,R,MIN,SF,B,,,0,1,2023,0.1,0.15,1.38,-0.01,,,,1,9,Bot,,,,,672275,,,7.36338060182819,-131.97642844038802,-7.772921653339392,-0.394232660847743,27.655745304170548,-28.900918010419247,3.32,1.62,,,,91.8,2552.0,6.9,718054,666808,672275,664774,642731,605204,669477,571745,669369,624424,53.59,,,,,,,,73,2,Slider,3,4,3,4,4,3,3,4,Strategic,Standard,190.0,0.0,0.021
SL,2023-05-23,91.2,-1.77,5.33,"Doval, Camilo",666397,666808,,swinging_strike,,,,,14,Edouard Julien called out on strikes.,R,L,R,MIN,SF,S,,,0,0,2023,0.08,0.2,0.18,1.33,,,,1,9,Bot,,,,,672275,,,4.795473550442954,-132.79875935385778,-4.675609933817354,-0.041993992932743,27.49333026944993,-29.01580963556872,3.29,1.62,,,,92.5,2591.0,6.9,718054,666808,672275,664774,642731,605204,669477,571745,669369,624424,53.57,,,,,,,,73,1,Slider,3,4,3,4,4,3,3,4,Strategic,Standard,190.0,0.0,-0.028
FC,2023-05-23,101.3,-1.74,5.27,"Doval, Camilo",621439,666808,strikeout,swinging_strike,,,,,1,Byron Buxton strikes out swinging.,R,R,R,MIN,SF,S,2.0,,1,2,2023,-0.73,1.09,-0.37,3.1,,,,0,9,Bot,,,,,672275,,,5.595243607536867,-147.53408771882033,-3.43175325021442,-11.892973257504128,31.791086244062445,-15.631012443051189,3.34,1.53,,,,102.7,2565.0,6.8,718054,666808,672275,664774,642731,605204,669477,571745,669369,624424,53.69,,,0.0,1.0,0.0,0.0,,72,4,Cutter,3,4,3,4,4,3,3,4,Standard,Standard,229.0,-0.086,-0.175
SL,2023-05-23,90.0,-1.64,5.37,"Doval, Camilo",621439,666808,,called_strike,,,,,14,Byron Buxton strikes out swinging.,R,R,R,MIN,SF,S,,,1,1,2023,0.05,0.22,0.94,1.58,,,,0,9,Bot,,,,,672275,,,6.340330019024656,-131.03752211140113,-3.950955047503195,-0.7030713423966274,26.339437143566304,-29.04890381329564,3.25,1.41,7.0,,,90.9,2502.0,6.7,718054,666808,672275,664774,642731,605204,669477,571745,669369,624424,53.81,,,,,,,,72,3,Slider,3,4,3,4,4,3,3,4,Standard,Standard,128.0,0.0,-0.053
SL,2023-05-23,88.8,-1.57,5.34,"Doval, Camilo",621439,666808,,swinging_strike,,,,,14,Byron Buxton strikes out swinging.,R,R,R,MIN,SF,S,,,1,0,2023,0.01,0.26,0.93,1.25,,,,0,9,Bot,,,,,672275,,,6.145741171813085,-129.25797123020016,-4.568426061988679,-1.0941938982479271,26.20681722478052,-28.51738571970369,3.34,1.53,,,,89.5,2463.0,6.6,718054,666808,672275,664774,642731,605204,669477,571745,669369,624424,53.87,,,,,,,,72,2,Slider,3,4,3,4,4,3,3,4,Standard,Standard,171.0,0.0,-0.046
SL,2023-05-23,90.1,-1.47,5.38,"Doval, Camilo",621439,666808,,ball,,,,,12,Byron Buxton strikes out swinging.,R,R,R,MIN,SF,B,,,0,0,2023,-0.09,0.35,2.32,2.59,,,,0,9,Bot,,,,,672275,,,9.653679835782263,-131.0124633713436,-1.7561548238811202,-2.886065219133756,25.14782526855893,-28.01131766779866,3.25,1.44,,,,90.9,2461.0,6.6,718054,666808,672275,664774,642731,605204,669477,571745,669369,624424,53.87,,,,,,,,72,1,Slider,3,4,3,4,4,3,3,4,Standard,Standard,178.0,0.0,0.039
SI,2023-05-21,97.5,-1.53,5.29,"Doval, Camilo",624585,666808,field_out,hit_into_play,,,,,6,Jorge Soler flies out to right fielder Mike Yastrzemski.,R,R,R,SF,MIA,X,9.0,fly_ball,3,0,2023,-0.83,0.5,0.39,2.64,,542932.0,,2,9,Top,188.43,114.16,,,672275,,,7.073093045022909,-141.86559922086394,-2.8015957433418155,-12.81714223738467,30.05760426615667,-25.00685872800119,3.48,1.68,262.0,93.2,50.0,97.8,2518.0,6.3,718078,666808,672275,664774,642731,669477,543063,571745,669369,573262,54.17,0.014,0.017,0.0,1.0,0.0,0.0,3.0,74,4,Sinker,7,5,5,7,5,7,5,7,Standard,Standard,215.0,0.037,-0.447
SL,2023-05-21,90.1,-1.55,5.43,"Doval, Camilo",624585,666808,,ball,,,,,14,Jorge Soler flies out to right fielder Mike Yastrzemski.,R,R,R,SF,MIA,B,,,2,0,2023,0.22,0.2,1.08,1.31,,542932.0,,2,9,Top,,,,,672275,,,6.099580321681098,-131.14272304777103,-4.751825860988442,1.3058189106779503,27.146517065541502,-29.029916801416768,3.52,1.71,,,,90.5,2091.0,6.5,718078,666808,672275,664774,642731,669477,543063,571745,669369,573262,54.04,,,,,,,,74,3,Slider,7,5,5,7,5,7,5,7,Standard,Standard,188.0,0.0,0.056
SI,2023-05-21,99.4,-1.62,5.24,"Doval, Camilo",624585,666808,,ball,,,,,14,Jorge Soler flies out to right fielder Mike Yastrzemski.,R,R,R,SF,MIA,B,,,1,0,2023,-1.17,0.3,0.07,1.44,,542932.0,,2,9,Top,,,,,672275,,,7.440204434622112,-144.62539441819428,-5.78898017129554,-18.154867324752317,31.166163322925627,-26.800966158183197,3.55,1.71,,,,100.6,2454.0,6.8,718078,666808,672275,664774,642731,669477,543063,571745,669369,573262,53.74,,,,,,,,74,2,Sinker,7,5,5,7,5,7,5,7,Standard,Standard,230.0,0.0,0.029
SI,2023-05-21,99.3,-1.54,5.32,"Doval, Camilo",624585,666808,,ball,,,,,14,Jorge Soler flies out to right fielder Mike Yastrzemski.,R,R,R,SF,MIA,B,,,0,0,2023,-0.95,0.37,0.96,1.98,,,542932.0,2,9,Top,,,,,672275,,,9.067553207714976,-144.32526740192176,-4.656857676798417,-15.238770958867375,30.84424307165179,-26.08211714523998,3.46,1.71,,,,99.7,2365.0,6.4,718078,666808,672275,664774,642731,669477,543063,571745,669369,573262,54.09,,,,,,,,74,1,Sinker,7,5,5,7,5,7,5,7,Standard,Standard,223.0,-0.002,0.027
SI,2023-05-21,97.6,-1.67,5.16,"Doval, Camilo",542932,666808,single,hit_into_play,,,,,13,Jon Berti singles on a ground ball to catcher Patrick Bailey.   Joey Wendle scores.  Throwing error by catcher Patrick Bailey.,R,R,R,SF,MIA,X,2.0,ground_ball,2,1,2023,-1.28,0.29,-0.95,2.12,,621563.0,,2,9,Top,122.44,197.59,,,672275,,,4.926713547579494,-142.1677956210692,-3.3810891324567875,-18.562713825508943,31.63582125401548,-27.727583135265643,3.3,1.52,1.0,54.5,-71.0,98.2,2352.0,6.5,718078,666808,672275,664774,642731,669477,543063,571745,669369,573262,53.97,0.183,0.165,0.9,1.0,1.0,0.0,1.0,73,4,Sinker,7,4,4,7,5,7,5,7,Standard,Standard,229.0,-0.023,0.765
