pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SL,2023-05-19,88.4,-2.62,5.55,"Dozier, Hunter",641531,656629,strikeout,swinging_strike,,,,,14,Hunter Dozier strikes out swinging.,R,R,R,CWS,KC,S,2.0,,1,2,2023,0.12,0.01,1.62,0.48,,,,0,6,Top,,,,,664874,,,10.166122495507231,-128.29050664779498,-6.286716931867601,-0.9576779766212624,28.64037650207242,-30.782410010682305,3.24,1.62,,,,88.8,2359.0,6.9,718111,656629,664874,683734,663853,660162,641313,643217,673357,657757,53.65,,,0.0,1.0,0.0,0.0,,35,4,Slider,2,0,0,2,0,2,0,2,Standard,Standard,61.0,0.03,-0.175,hunter dozier,
FF,2023-05-19,95.7,-2.58,5.79,"Dozier, Hunter",641531,656629,field_out,hit_into_play,,,,,3,Hunter Dozier flies out to right fielder Gavin Sheets.,R,R,R,CWS,KC,X,9.0,fly_ball,2,0,2023,-0.7,1.6,0.31,3.03,,,,0,3,Top,159.04,77.7,,,664874,,,9.312539095593737,-139.0001351324998,-5.275729164046959,-11.290165846996286,32.75932123982229,-10.412138146291896,3.24,1.62,312.0,95.3,43.0,96.3,2445.0,6.9,718111,656629,664874,683734,663853,660162,641313,643217,673357,657757,53.65,0.017,0.031,0.0,1.0,0.0,0.0,3.0,16,3,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,216.0,0.024,-0.34,hunter dozier,
SI,2023-05-19,95.7,-1.01,5.95,"Dozier, Hunter",641531,608665,field_out,hit_into_play,,,,,8,"Hunter Dozier grounds out, third baseman Yoan Moncada to first baseman Andrew Vaughn.",R,R,R,CWS,KC,X,5.0,ground_ball,1,1,2023,-1.32,0.97,-0.2,1.7,,,,0,9,Top,108.52,166.49,,,664874,,,5.091289654329405,-139.15600728382807,-7.789922931673697,-18.329257254629265,29.60531830621152,-17.99207027818298,3.24,1.62,10.0,103.3,-10.0,95.7,2202.0,6.2,718111,608665,664874,683734,663853,660162,641313,643217,673357,545350,54.31,0.277,0.254,0.0,1.0,0.0,0.0,2.0,56,3,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,221.0,0.037,-0.228,hunter dozier,
FC,2023-05-15,88.2,-1.64,6.34,"Dozier, Hunter",641531,608379,field_out,hit_into_play,,,,,9,"Hunter Dozier grounds out, shortstop Xander Bogaerts to first baseman Jake Cronenworth.",R,R,R,SD,KC,X,6.0,ground_ball,2,1,2023,0.05,1.0,0.32,2.09,,658668.0,,2,5,Top,101.65,151.68,,,543592,,,4.675576864151281,-128.35642942098517,-6.412980813967333,-0.2897697266198389,24.71024647805088,-20.01471804548422,3.24,1.61,82.0,100.9,4.0,89.0,2086.0,6.7,718162,608379,543592,630105,596059,673490,593428,665742,663757,665487,53.85,0.56,0.551,0.0,1.0,0.0,0.0,4.0,40,4,Cutter,3,0,0,3,0,3,0,3,Standard,Standard,198.0,0.028,-0.325,hunter dozier,
SI,2023-05-15,91.0,-1.54,6.32,"Dozier, Hunter",641531,608379,strikeout,called_strike,,,,,6,Hunter Dozier called out on strikes.,R,R,R,SD,KC,S,2.0,,2,2,2023,-1.4,1.27,0.69,2.65,,,,0,3,Top,,,,,543592,,,8.664550402609118,-132.17246342703027,-6.048316673810954,-18.347354496921454,29.72097116986543,-16.099878317221307,3.34,1.68,,,,91.3,1909.0,6.7,718162,608379,543592,630105,673490,592518,593428,665742,663757,665487,53.79,,,0.0,1.0,0.0,0.0,,21,5,Sinker,3,0,0,3,0,3,0,3,Standard,Standard,212.0,0.02,-0.205,hunter dozier,
CH,2023-05-15,81.6,-2.11,6.25,"Dozier, Hunter",641531,607259,field_out,hit_into_play,,,,,5,Hunter Dozier grounds out softly to first baseman Jake Cronenworth.   Michael Massey to 2nd.,R,R,R,SD,KC,X,3.0,ground_ball,0,2,2023,-1.01,0.13,-0.18,2.4,,,686681.0,0,8,Top,146.24,182.09,,,543592,,,6.25637804904804,-118.6511810444664,-2.2877383658442203,-10.74796691498697,22.78389638956728,-30.73259226538853,3.24,1.61,8.0,28.8,-15.0,81.1,2096.0,6.0,718162,607259,543592,630105,596059,673490,593428,665742,663757,665487,54.49,0.311,0.282,0.0,1.0,0.0,0.0,1.0,61,4,Changeup,4,0,0,4,0,4,0,4,Standard,Standard,243.0,0.017,-0.418,hunter dozier,
FF,2023-05-14,90.2,1.3,5.93,"Dozier, Hunter",641531,641778,home_run,hit_into_play,,,,,7,Hunter Dozier homers (2) on a fly ball to left center field.,R,R,L,MIL,KC,X,,fly_ball,1,1,2023,0.93,1.46,-0.43,1.75,,,,0,9,Top,72.12,44.45,,,605170,,,-6.266630000218861,-131.05964705214086,-7.546751161783758,12.033898566760625,28.117926709160205,-13.88228546846839,3.3,1.61,404.0,103.4,33.0,90.1,2221.0,6.4,718177,641778,605170,642133,668930,680911,642715,592885,686894,621438,54.14,0.654,1.32,2.0,1.0,0.0,3.0,6.0,67,3,4-Seam Fastball,9,4,4,9,5,9,5,9,Standard,Standard,142.0,-0.008,1.007,hunter dozier,
FC,2023-05-14,85.7,-2.22,5.55,"Dozier, Hunter",641531,607067,sac_fly,hit_into_play,,,,,8,Hunter Dozier out on a sacrifice fly to center fielder Joey Wiemer.   Salvador Perez scores.    MJ Melendez to 3rd.    Nick Pratto to 2nd.,R,R,R,MIL,KC,X,8.0,fly_ball,2,0,2023,0.36,0.39,0.04,2.0,521692.0,669004.0,668472.0,1,3,Top,155.69,68.14,,,605170,,,4.643209033908389,-124.8140031068869,-2.9242660854546143,2.8414229291055206,25.04817039746035,-27.71224004706468,3.3,1.61,332.0,98.2,40.0,86.3,2111.0,6.6,718177,607067,605170,642133,668930,680911,642715,592885,686894,621438,53.86,0.08,0.141,0.0,1.0,0.0,0.0,3.0,23,3,Cutter,1,3,3,1,4,1,4,1,Standard,Standard,196.0,-0.016,-0.649,hunter dozier,
CH,2023-05-14,82.1,1.89,5.76,"Dozier, Hunter",641531,641778,strikeout,called_strike,,,,,4,Hunter Dozier called out on strikes.,R,R,L,MIL,KC,S,2.0,,3,2,2023,0.96,1.31,-0.4,3.19,,,,1,6,Top,,,,,605170,,,-7.008175585168555,-119.34571871155286,-1.8074425802382272,10.543547572806666,23.03890886579913,-19.49169734003098,3.99,1.61,,,,81.8,1800.0,6.2,718177,641778,605170,642133,668930,680911,642715,592885,686894,621438,54.32,,,0.0,1.0,0.0,0.0,,48,6,Changeup,8,4,4,8,4,8,4,8,Standard,Standard,135.0,0.01,-0.211,hunter dozier,
SI,2023-05-14,92.9,-2.21,5.6,"Dozier, Hunter",641531,607067,force_out,hit_into_play,,,,,4,"Hunter Dozier grounds into a force out, third baseman Owen Miller to second baseman Brice Turang.   Nick Pratto out at 2nd.    Hunter Dozier to 1st.",R,R,R,MIL,KC,X,5.0,ground_ball,3,2,2023,-1.41,0.53,-0.76,2.7,,,668472.0,0,2,Top,103.87,179.55,,,605170,,,6.819545620059647,-135.181349691284,-2.8166977079249538,-18.76242395916228,29.414704205119456,-25.22384951433173,3.3,1.61,18.0,53.0,-5.0,93.3,2062.0,6.5,718177,607067,605170,642133,668930,680911,642715,592885,686894,621438,53.97,0.103,0.098,0.0,1.0,0.0,0.0,1.0,11,6,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,215.0,0.035,-0.628,hunter dozier,
