pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FF,2023-05-24,94.1,-0.83,5.76,"Díaz, Aledmys",649557,682243,field_out,hit_into_play,,,,,11,Aledmys Diaz pops out to first baseman Sam Haggerty.,R,R,R,SEA,OAK,X,3.0,popup,1,1,2023,-0.25,1.57,-0.84,3.02,,,,2,5,Top,125.14,192.4,,,663728,,,0.5396412198182221,-137.0364293977546,-4.932076789031292,-3.3381102038289865,28.495420112161177,-11.46867495408673,3.45,1.69,27.0,64.6,77.0,94.6,2556.0,6.4,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.1,0.011,0.014,0.0,1.0,0.0,0.0,3.0,41,3,4-Seam Fastball,5,0,0,5,0,5,0,5,Standard,Standard,191.0,0.004,-0.097,aledmys díaz,
CU,2023-05-24,81.2,-1.32,5.38,"Díaz, Aledmys",649557,682243,single,hit_into_play,,,,,9,Aledmys Diaz singles on a ground ball to shortstop J.  P. Crawford.,R,R,R,SEA,OAK,X,6.0,ground_ball,0,1,2023,1.29,-0.55,0.62,2.08,,,,1,3,Top,108.92,146.51,,,663728,,,1.874242276049612,-118.2778674850486,0.2830190894110966,11.704989332228369,23.30687688892756,-37.6048606963704,3.45,1.69,131.0,99.9,5.0,81.2,2186.0,6.3,718037,682243,663728,664059,676609,553993,641487,572041,677594,672284,54.17,0.56,0.522,0.9,1.0,1.0,0.0,4.0,18,2,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,49.0,-0.028,0.299,aledmys díaz,
SL,2023-05-24,91.4,-2.75,5.02,"Díaz, Aledmys",649557,666374,double,hit_into_play,,,,,8,Aledmys Diaz doubles (3) on a ground ball to left fielder Taylor Trammell.   JJ Bleday scores.    Jace Peterson to 3rd.,R,R,R,SEA,OAK,X,7.0,ground_ball,1,0,2023,0.44,0.31,0.09,2.23,,668709.0,607054.0,1,7,Top,65.83,125.73,,,663728,,,6.2587257165934345,-132.92399203714953,-1.8036929029160425,3.79502209355744,29.76537831450534,-28.2908908254608,3.45,1.69,3.0,82.8,-36.0,92.0,2760.0,6.8,718037,666374,663728,664059,543939,676609,641487,666211,677594,672284,53.72,0.069,0.067,1.25,1.0,1.0,1.0,2.0,58,2,Slider,5,0,0,5,1,5,1,5,Standard,Standard,87.0,-0.064,1.411,aledmys díaz,
CH,2023-05-23,80.6,2.4,5.2,"Díaz, Aledmys",649557,594835,field_out,hit_into_play,,,,,9,Aledmys Diaz flies out to first baseman Ty France in foul territory.,R,R,L,SEA,OAK,X,3.0,fly_ball,1,2,2023,1.27,0.41,0.4,2.0,,,,2,4,Top,182.38,150.96,,,608596,,,-6.841956140879272,-117.19155455176154,-1.1819586352784477,12.979413702943289,22.88966372272658,-28.421494585642563,3.49,1.7,185.0,76.0,56.0,80.6,2232.0,6.4,718050,594835,608596,664034,543939,553993,641487,672284,677594,606192,54.13,0.089,0.096,0.0,1.0,0.0,0.0,3.0,27,5,Changeup,0,2,2,0,2,0,2,0,Standard,Standard,105.0,0.009,-0.071,aledmys díaz,
CH,2023-05-23,80.7,2.22,5.29,"Díaz, Aledmys",649557,594835,force_out,hit_into_play,,,,,14,"Aledmys Diaz grounds into a force out, shortstop J.  P. Crawford to second baseman Kolten Wong.   Carlos Perez out at 2nd.",R,R,L,SEA,OAK,X,6.0,ground_ball,0,1,2023,1.21,0.53,0.22,1.46,,,542208.0,2,1,Top,109.43,151.07,,,608596,,,-6.743210380911172,-117.22717589688702,-2.7883121062348186,12.4641293401431,24.48802035867261,-26.94663833777865,3.49,1.7,12.0,90.6,-6.0,80.2,2221.0,6.3,718050,594835,608596,664034,543939,553993,641487,672284,677594,606192,54.19,0.194,0.19,0.0,1.0,0.0,0.0,2.0,6,2,Changeup,0,2,2,0,2,0,2,0,Standard,Standard,112.0,0.017,-0.207,aledmys díaz,
FC,2023-05-23,89.1,-2.81,5.35,"Díaz, Aledmys",649557,641627,field_out,hit_into_play,,,,,9,"Aledmys Diaz grounds out, second baseman Kolten Wong to first baseman Ty France.",R,R,R,SEA,OAK,X,4.0,ground_ball,0,2,2023,0.28,0.71,0.82,2.04,,,,1,7,Top,154.04,152.09,,,608596,,,8.293741701395819,-129.64707489374578,-3.616276655285292,1.50443247962688,25.341121105246447,-23.561845471676488,3.49,1.7,7.0,87.4,-16.0,88.9,2295.0,6.0,718050,641627,608596,664034,543939,553993,641487,672284,677594,606192,54.46,0.111,0.108,0.0,1.0,0.0,0.0,2.0,49,3,Cutter,3,2,2,3,2,3,2,3,Standard,Standard,192.0,0.031,-0.107,aledmys díaz,
SI,2023-05-21,96.4,0.5,6.31,"Díaz, Aledmys",649557,664285,field_out,hit_into_play,,,,,6,"Aledmys Diaz grounds out, shortstop Jeremy Pena to first baseman Jose Abreu.",R,R,L,HOU,OAK,X,6.0,ground_ball,2,1,2023,1.28,0.73,0.48,2.6,,,,2,7,Top,109.05,149.33,,,455117,,,-2.946403691523513,-140.2776895356725,-5.897824451170961,17.486597686244572,33.772180645385504,-21.31687377350259,3.5,1.71,9.0,106.3,-16.0,95.7,2187.0,6.0,718086,664285,455117,547989,514888,608324,665161,676801,676694,663656,54.46,0.186,0.167,0.0,1.0,0.0,0.0,2.0,49,4,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,140.0,0.013,-0.12,aledmys díaz,
SI,2023-05-21,94.6,0.54,6.29,"Díaz, Aledmys",649557,664285,single,hit_into_play,,,,,14,Aledmys Diaz singles on a line drive to right fielder Kyle Tucker.,R,R,L,HOU,OAK,X,9.0,line_drive,2,0,2023,1.42,0.88,1.08,2.17,,,,0,5,Top,166.66,100.46,,,455117,,,-1.7115901060259855,-137.5634410945693,-6.891678770680061,18.28933218059036,32.75965659433309,-19.645396671638174,3.5,1.71,210.0,78.8,16.0,93.4,2184.0,5.8,718086,664285,455117,547989,514888,608324,665161,676801,676694,663656,54.74,0.891,0.837,0.9,1.0,1.0,0.0,4.0,29,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,144.0,-0.047,0.288,aledmys díaz,
SI,2023-05-21,95.0,0.5,6.41,"Díaz, Aledmys",649557,664285,strikeout,called_strike,,,,,4,Aledmys Diaz called out on strikes.,R,R,L,HOU,OAK,S,2.0,,3,2,2023,1.35,1.15,-0.78,2.26,,,542583.0,0,2,Top,,,,,455117,,,-6.337635698352796,-138.0311262936475,-7.680065259419727,18.66886736802192,33.8000976255635,-15.94769841797193,3.28,1.6,,,,94.2,2284.0,6.1,718086,664285,455117,547989,514888,608324,665161,676801,676694,663656,54.38,,,0.0,1.0,0.0,0.0,,8,6,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,148.0,0.035,-0.459,aledmys díaz,
FF,2023-05-19,91.9,-0.92,6.36,"Díaz, Aledmys",649557,656232,strikeout,swinging_strike,,,,,12,Aledmys Diaz strikes out swinging.,R,R,R,HOU,OAK,S,2.0,,2,2,2023,-0.53,1.36,0.91,2.92,,,,2,4,Top,,,,,455117,,,5.723395660931261,-133.6284425040174,-5.740351691585444,-7.591305806046162,28.92691736906575,-14.872628939874271,3.51,1.71,,,,90.7,2450.0,5.6,718112,656232,455117,547989,514888,608324,665161,667452,676694,663656,54.88,,,0.0,1.0,0.0,0.0,,28,5,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,211.0,0.013,-0.09,aledmys díaz,
SI,2023-05-19,92.4,-1.22,6.2,"Díaz, Aledmys",649557,656232,single,hit_into_play,,,,,7,Aledmys Diaz singles on a ground ball to center fielder Jake Meyers.,R,R,R,HOU,OAK,X,8.0,ground_ball,1,1,2023,-1.3,0.43,-0.48,2.27,,,,1,2,Top,118.42,130.55,,,455117,,,4.64252217931507,-134.29830390484844,-4.985706816780806,-16.715167136684553,32.44219791083735,-26.063128286013992,3.51,1.71,4.0,77.0,-30.0,90.7,2209.0,5.6,718112,656232,455117,547989,514888,608324,665161,667452,676694,663656,54.94,0.071,0.075,0.9,1.0,1.0,0.0,2.0,11,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,211.0,-0.026,0.278,aledmys díaz,
CU,2023-05-19,74.5,-1.32,5.37,"Díaz, Aledmys",649557,664208,field_out,hit_into_play,,,,,8,Aledmys Diaz pops out to third baseman Alex Bregman.,R,R,R,HOU,OAK,X,5.0,popup,2,1,2023,1.71,-0.58,-0.13,2.17,,,607054.0,2,6,Top,106.54,175.04,,,455117,,,-0.5871750950234657,-108.3807965723626,1.8786698964433128,13.385031991844407,23.329666569580755,-37.30195193910353,3.51,1.71,78.0,78.8,73.0,74.9,3182.0,7.1,718112,664208,455117,547989,514888,608324,665161,667452,676694,663656,53.36,0.003,0.004,0.0,1.0,0.0,0.0,3.0,47,4,Curveball,2,1,1,2,1,2,1,2,Standard,Standard,54.0,0.038,-0.269,aledmys díaz,
