pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FC,2023-05-25,86.4,2.74,5.91,"Díaz, Elias",553869,666129,home_run,hit_into_play,,,,,4,Elias Diaz homers (6) on a fly ball to left center field.,R,R,L,COL,MIA,X,,fly_ball,1,0,2023,-0.03,0.21,-0.44,2.1,,,,0,6,Bot,47.22,37.29,,,663743,,,-7.505319497307109,-125.70921852167535,-3.385609919712711,0.9490080051709684,21.662751521824536,-29.525803839780853,3.12,1.42,443.0,106.1,27.0,87.0,2473.0,6.3,718033,666129,663743,493329,669364,516416,542932,650559,641505,641658,54.18,0.957,1.904,2.0,1.0,0.0,3.0,6.0,50,2,Cutter,1,2,1,2,2,2,2,2,Standard,Standard,154.0,0.187,0.961,elias díaz,
FC,2023-05-25,86.1,2.65,5.99,"Díaz, Elias",553869,666129,field_out,hit_into_play,,,,,4,"Elias Diaz grounds out, third baseman Jean Segura to first baseman Yuli Gurriel.",R,R,L,COL,MIA,X,5.0,ground_ball,1,1,2023,-0.19,0.32,-0.43,2.3,,,,0,4,Bot,86.66,161.21,,,663743,,,-6.950747250988344,-125.36412300934316,-3.253143264726881,-0.753334409439366,22.467013942637504,-28.35289745998757,3.12,1.42,4.0,83.2,-29.0,86.8,2428.0,6.5,718033,666129,663743,493329,669364,516416,542932,650559,641505,641658,54.04,0.043,0.039,0.0,1.0,0.0,0.0,2.0,32,3,Cutter,0,2,0,2,2,0,0,2,Standard,Standard,192.0,-0.029,-0.228,elias díaz,
SL,2023-05-25,88.1,-2.14,5.06,"Díaz, Elias",553869,608638,strikeout,swinging_strike,,,,,9,Elias Diaz strikes out swinging.,R,R,R,COL,MIA,S,2.0,,1,2,2023,0.17,-0.08,0.38,1.46,,,,0,8,Bot,,,,,663743,,,5.814874667025537,-128.3605809421695,-2.57611356131299,0.7970167869973727,24.099846397144447,-32.73902921490801,3.12,1.42,,,,89.5,2615.0,6.9,718033,608638,663743,493329,669364,516416,542932,650559,641505,641658,53.65,,,0.0,1.0,0.0,0.0,,66,4,Slider,2,2,2,2,2,2,2,2,Standard,Standard,97.0,-0.046,-0.175,elias díaz,
SI,2023-05-25,96.9,-1.92,5.61,"Díaz, Elias",553869,623211,walk,ball,,,,,11,Elias Diaz walks.   Kris Bryant to 2nd.,R,R,R,COL,MIA,B,,,3,0,2023,-1.33,0.45,-1.24,2.95,,,592178.0,0,9,Bot,,,,,607732,,,4.80437706428259,-141.29752229559085,-2.6897716185038525,-18.92949966406957,25.787478143045483,-25.746877901209626,2.9,1.43,,,,97.0,2318.0,5.8,718033,623211,607732,493329,669364,516416,542932,650559,641505,641658,54.71,,,0.7,1.0,0.0,0.0,,84,4,Sinker,6,6,6,6,6,6,6,6,Standard,Standard,229.0,0.097,0.236,elias díaz,
SL,2023-05-24,85.7,-1.98,6.16,"Díaz, Elias",553869,645261,home_run,hit_into_play,,,,,8,Elias Diaz homers (5) on a fly ball to left center field.,R,R,R,COL,MIA,X,,fly_ball,1,1,2023,0.25,0.09,-0.01,1.77,,,,0,6,Bot,49.76,50.01,,,607732,,,4.12089340748473,-124.79070408659202,-4.330204378977738,1.9353526121804208,22.3537564269072,-30.641552100982423,3.12,1.42,393.0,99.1,25.0,85.5,2441.0,5.9,718036,645261,607732,493329,650333,542932,621563,650559,641505,624585,54.61,0.466,0.738,2.0,1.0,0.0,3.0,6.0,50,3,Slider,1,7,1,7,7,2,2,7,Standard,Standard,70.0,0.023,1.007,elias díaz,
SL,2023-05-24,89.3,-1.89,6.19,"Díaz, Elias",553869,645261,strikeout,swinging_strike,,,,,14,Elias Diaz strikes out swinging.,R,R,R,COL,MIA,S,2.0,,2,2,2023,0.05,0.05,1.09,1.16,,,,1,3,Bot,,,,,607732,,,7.199010548527371,-130.02370242805938,-6.573171473835584,-0.6071649704771352,22.00731392451556,-30.631019984041608,3.12,1.42,,,,89.8,2541.0,6.1,718036,645261,607732,493329,650333,542932,621563,650559,641505,624585,54.39,,,0.0,1.0,0.0,0.0,,23,5,Slider,1,0,1,0,0,1,1,0,Standard,Standard,125.0,-0.015,-0.153,elias díaz,
SL,2023-05-24,91.9,-2.06,6.2,"Díaz, Elias",553869,645261,field_out,hit_into_play,,,,,6,"Elias Diaz grounds out, third baseman Jon Berti to first baseman Yuli Gurriel.",R,R,R,COL,MIA,X,5.0,ground_ball,1,2,2023,-0.01,0.53,0.48,2.05,,595777.0,,1,1,Bot,103.28,167.61,,,607732,,,6.405880694842122,-133.73753340616793,-5.870262399825087,-1.3228452812922584,24.45602818743889,-24.78129319782895,3.12,1.42,7.0,67.6,-17.0,91.8,2240.0,5.9,718036,645261,607732,493329,650333,542932,621563,650559,641505,624585,54.61,0.051,0.046,0.0,1.0,0.0,0.0,2.0,7,4,Slider,1,0,1,0,0,1,1,0,Standard,Standard,208.0,-0.029,-0.196,elias díaz,
SI,2023-05-24,93.8,-3.12,5.78,"Díaz, Elias",553869,663773,field_out,hit_into_play,,,,,8,"Elias Diaz grounds out, second baseman Xavier Edwards to first baseman Yuli Gurriel.",R,R,R,COL,MIA,X,4.0,ground_ball,2,2,2023,-1.34,0.33,-0.12,1.36,,,,2,8,Bot,140.66,151.82,,,607732,,,10.860859843941542,-136.18290816613504,-6.564462284393212,-18.93312944153023,26.83468914107932,-26.846059598653103,3.12,1.42,114.0,106.2,4.0,95.6,1983.0,7.2,718036,663773,607732,493329,669364,542932,621563,650559,641505,641658,53.3,0.577,0.543,0.0,1.0,0.0,0.0,4.0,69,5,Sinker,2,10,2,10,10,2,2,10,Standard,Standard,239.0,-0.001,-0.09,elias díaz,
FF,2023-05-23,96.1,-1.82,6.24,"Díaz, Elias",553869,691587,field_out,hit_into_play,,,,,3,Elias Diaz flies out sharply to center fielder Garrett Hampson.,R,R,R,COL,MIA,X,8.0,fly_ball,0,0,2023,-0.47,1.28,0.34,2.6,,,,0,4,Bot,110.16,32.26,,,663743,,,6.850673366664329,-139.85179535046336,-7.107907743562248,-7.492726265421389,26.69328250671128,-13.924195538279855,3.12,1.42,411.0,101.4,34.0,97.6,2574.0,6.8,718051,691587,663743,493329,650333,516416,542932,650559,641658,624585,53.69,0.446,0.892,0.0,1.0,0.0,0.0,6.0,26,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,207.0,-0.03,-0.235,elias díaz,
SL,2023-05-23,86.5,-2.64,5.71,"Díaz, Elias",553869,691587,single,hit_into_play,,,,,8,Elias Diaz singles on a sharp line drive to left fielder Bryan De La Cruz.,R,R,R,COL,MIA,X,7.0,line_drive,1,0,2023,-0.05,0.43,0.24,1.77,,,,2,1,Bot,76.3,117.53,,,663743,,,7.067616465406909,-125.93253247056944,-4.158576596506358,-1.8340111581061556,22.472634730509665,-27.019493702713568,3.12,1.42,164.0,104.1,7.0,87.9,2387.0,6.9,718051,691587,663743,493329,650333,516416,542932,650559,641658,624585,53.64,0.563,0.53,0.9,1.0,1.0,0.0,4.0,7,2,Slider,0,1,0,1,1,0,0,1,Standard,Standard,175.0,0.014,0.114,elias díaz,
