pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-25,91.4,-3.59,5.72,"Englert, Mason",673357,669438,grounded_into_double_play,hit_into_play,,,,,5,"Luis Robert Jr.  grounds into a double play, shortstop Javier Baez to second baseman Andy Ibanez to first baseman Spencer Torkelson.   Andrew Benintendi out at 2nd.    Luis Robert Jr.  out at 1st.",R,R,R,DET,CWS,X,6.0,ground_ball,1,2,2023,-1.05,1.2,0.22,2.76,,,643217.0,1,9,Top,112.54,160.78,,,606992,,,11.769513811251011,-132.50411117244846,-4.095745602903244,-14.913471713085022,28.6519173744402,-17.33934020488828,3.76,1.75,54.0,106.6,1.0,90.6,2188,6.1,718031,669438,606992,679529,628451,670097,595879,656716,682985,663837,54.43,0.514,0.492,0.0,1.0,0.0,0.0,4.0,74,4,4-Seam Fastball,7,2,2,7,2,7,2,7,Standard,Standard,226,0.005,-0.301
CH,2023-05-25,81.5,-3.57,5.64,"Englert, Mason",673357,669438,,swinging_strike,,,,,14,"Luis Robert Jr.  grounds into a double play, shortstop Javier Baez to second baseman Andy Ibanez to first baseman Spencer Torkelson.   Andrew Benintendi out at 2nd.    Luis Robert Jr.  out at 1st.",R,R,R,DET,CWS,S,,,1,1,2023,-0.08,-0.09,0.74,1.27,,,643217.0,1,9,Top,,,,,606992,,,9.748426233110644,-118.24315575474948,-2.920426137934112,-2.8513310702568133,25.730539177393275,-32.59993143523625,3.76,1.75,,,,80.4,2195,6.0,718031,669438,606992,679529,628451,670097,595879,656716,682985,663837,54.46,,,,,,,,74,3,Changeup,7,2,2,7,2,7,2,7,Standard,Standard,8,0.0,-0.063
CH,2023-05-25,79.4,-3.54,5.6,"Englert, Mason",673357,669438,,ball,,,,,13,"Luis Robert Jr.  grounds into a double play, shortstop Javier Baez to second baseman Andy Ibanez to first baseman Spencer Torkelson.   Andrew Benintendi out at 2nd.    Luis Robert Jr.  out at 1st.",R,R,R,DET,CWS,B,,,0,1,2023,-1.48,-0.13,-1.54,1.94,,,643217.0,1,9,Top,,,,,606992,,,7.104471325092951,-115.39309285144846,-0.939478758518006,-14.574867641525252,23.0831335770684,-33.40317385146811,3.88,1.75,,,,78.7,2051,6.0,718031,669438,606992,679529,628451,670097,595879,656716,682985,663837,54.45,,,,,,,,74,2,Changeup,7,2,2,7,2,7,2,7,Standard,Standard,257,0.0,0.026
FF,2023-05-25,90.5,-3.57,5.74,"Englert, Mason",673357,669438,,foul,,,,,5,"Luis Robert Jr.  grounds into a double play, shortstop Javier Baez to second baseman Andy Ibanez to first baseman Spencer Torkelson.   Andrew Benintendi out at 2nd.    Luis Robert Jr.  out at 1st.",R,R,R,DET,CWS,S,,,0,0,2023,-0.92,1.36,0.11,2.88,,,643217.0,1,9,Top,,,,,606992,,,11.05708164524682,-131.4039207292645,-4.065790976799264,-12.960533934757793,27.204821822794656,-15.680901041361713,3.76,1.75,189.0,91.0,62.0,89.9,2152,6.0,718031,669438,606992,679529,628451,670097,595879,656716,682985,663837,54.48,,,,,,,,74,1,4-Seam Fastball,7,2,2,7,2,7,2,7,Standard,Strategic,225,0.0,-0.056
CH,2023-05-25,82.3,-3.79,5.49,"Englert, Mason",643217,669438,single,hit_into_play,,,,,4,Andrew Benintendi singles on a ground ball to right fielder Matt Vierling.,R,L,R,DET,CWS,X,9.0,ground_ball,1,2,2023,-1.06,-0.09,-0.6,2.41,,,,1,9,Top,150.54,108.51,,,606992,,,9.265427970956498,-119.45828463322464,-0.2583844408535973,-11.937748129270682,22.80674184025988,-33.19650977915284,3.28,1.47,135.0,94.5,8.0,82.1,2003,6.3,718031,669438,606992,679529,628451,670097,595879,656716,682985,663837,54.21,0.546,0.498,0.9,1.0,1.0,0.0,4.0,73,4,Changeup,7,2,2,7,2,7,2,7,Strategic,Strategic,254,-0.003,0.322
SL,2023-05-25,83.1,-3.79,5.57,"Englert, Mason",643217,669438,,foul,,,,,13,Andrew Benintendi singles on a ground ball to right fielder Matt Vierling.,R,L,R,DET,CWS,S,,,1,1,2023,0.12,-0.03,-0.73,1.26,,,,1,9,Top,,,,,606992,,,6.7449923128425135,-120.81333207365554,-3.280588991529666,-0.2926334588653945,25.425813501172293,-31.985580540198747,3.28,1.47,148.0,61.0,53.0,82.5,2352,6.1,718031,669438,606992,679529,628451,670097,595879,656716,682985,663837,54.39,,,,,,,,73,3,Slider,7,2,2,7,2,7,2,7,Strategic,Standard,341,0.0,-0.044
FF,2023-05-25,90.9,-3.68,5.67,"Englert, Mason",643217,669438,,ball,,,,,11,Andrew Benintendi singles on a ground ball to right fielder Matt Vierling.,R,L,R,DET,CWS,B,,,0,1,2023,-0.96,1.32,-1.01,3.32,,,,1,9,Top,,,,,606992,,,8.68292941636545,-132.0599857819402,-2.745530390438574,-13.175706215457597,29.090773342666303,-16.37901187582686,3.43,1.65,,,,90.1,2255,6.0,718031,669438,606992,679529,628451,670097,595879,656716,682985,663837,54.53,,,,,,,,73,2,4-Seam Fastball,7,2,2,7,2,7,2,7,Strategic,Standard,226,0.0,0.021
CU,2023-05-25,75.2,-3.46,5.74,"Englert, Mason",643217,669438,,called_strike,,,,,6,Andrew Benintendi singles on a ground ball to right fielder Matt Vierling.,R,L,R,DET,CWS,S,,,0,0,2023,1.18,-0.65,0.73,2.49,,,,1,9,Top,,,,,606992,,,6.576528157697887,-109.37033147660364,1.5727580829023269,8.249323688825713,19.90447150412716,-37.89793752818324,3.4,1.47,,,,74.8,2639,6.1,718031,669438,606992,679529,628451,670097,595879,656716,682985,663837,54.39,,,,,,,,73,1,Curveball,7,2,2,7,2,7,2,7,Strategic,Standard,39,0.0,-0.028
FF,2023-05-25,92.1,-3.57,5.71,"Englert, Mason",641313,669438,strikeout,called_strike,,,,,9,Tim Anderson called out on strikes.,R,R,R,DET,CWS,S,2.0,,2,2,2023,-1.07,1.11,0.67,2.08,,,,0,9,Top,,,,,606992,,,13.00732193797238,-133.4737437023048,-5.716316622441097,-15.65072830299698,28.72229816261828,-17.787293428832108,3.48,1.51,,,,91.5,2138,6.2,718031,669438,606992,679529,628451,670097,595879,656716,682985,663837,54.34,,,0.0,1.0,0.0,0.0,,72,5,4-Seam Fastball,7,2,2,7,2,7,2,7,Standard,Standard,228,0.003,-0.205
FF,2023-05-25,90.4,-3.58,5.65,"Englert, Mason",641313,669438,,foul,,,,,2,Tim Anderson called out on strikes.,R,R,R,DET,CWS,S,,,2,1,2023,-1.06,1.39,-0.08,3.46,,,,0,9,Top,,,,,606992,,,10.917119238260216,-131.15192515548983,-2.388866669326169,-14.588253249784104,29.305734419195293,-15.860935684918395,3.43,1.51,158.0,84.4,64.0,89.7,2120,6.2,718031,669438,606992,679529,628451,670097,595879,656716,682985,663837,54.33,,,,,,,,72,4,4-Seam Fastball,7,2,2,7,2,7,2,7,Standard,Standard,230,0.0,-0.073
