pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SL,2023-05-24,88.1,-0.16,6.88,"Fairbanks, Pete",624415,664126,strikeout,swinging_strike,,,,,5,Cavan Biggio strikes out swinging.,R,L,R,TB,TOR,S,2.0,,2,2,2023,0.33,-0.6,-0.01,2.44,,662139.0,,2,9,Top,,,,,542194,,,-0.3278862843342292,-128.30312127903747,-3.45409999130663,3.701531302780114,28.23423967409317,-38.25455328394094,3.35,1.59,,,,89.2,2442.0,7.1,718044,664126,542194,670042,670764,670623,677551,668227,642350,622534,53.43,,,0.0,1.0,0.0,0.0,,74,6,Slider,7,3,3,7,3,7,3,7,Strategic,Standard,79.0,0.004,-0.237
FF,2023-05-24,99.5,-0.27,6.7,"Fairbanks, Pete",624415,664126,,ball,,,,,13,Cavan Biggio strikes out swinging.,R,L,R,TB,TOR,B,,,1,2,2023,-0.16,1.5,-0.18,1.27,,662139.0,,2,9,Top,,,,,542194,,,0.6179753327198292,-144.2159823065825,-13.09350773002404,-2.338341475296287,38.55397774189457,-8.216320986018442,3.35,1.6,,,,100.4,2384.0,7.3,718044,664126,542194,670042,670764,670623,677551,668227,642350,622534,53.18,,,,,,,,74,5,4-Seam Fastball,7,3,3,7,3,7,3,7,Strategic,Standard,192.0,0.0,0.015
SL,2023-05-24,87.8,-0.06,6.92,"Fairbanks, Pete",624415,664126,,foul,,,,,5,Cavan Biggio strikes out swinging.,R,L,R,TB,TOR,S,,,1,2,2023,0.36,-0.59,-0.11,2.65,,662139.0,,2,9,Top,,,,,542194,,,-0.8574645431795663,-127.9028997947706,-3.0323039147090785,4.097219403572191,25.3969687319178,-38.26198578927539,3.35,1.59,126.0,75.4,10.0,87.6,2443.0,6.0,718044,664126,542194,670042,670764,670623,677551,668227,642350,622534,54.5,,,,,,,,74,4,Slider,7,3,3,7,3,7,3,7,Strategic,Standard,67.0,0.0,0.0
FF,2023-05-24,98.3,-0.27,6.78,"Fairbanks, Pete",624415,664126,,foul,,,,,8,Cavan Biggio strikes out swinging.,R,L,R,TB,TOR,S,,,1,1,2023,0.0,1.7,0.03,1.88,,662139.0,,2,9,Top,,,,,542194,,,0.8093939299146841,-142.71807072200926,-11.850406729326467,-0.1698129938482666,35.38145524837248,-6.321661477882119,3.35,1.59,2.0,73.9,-47.0,99.2,2452.0,7.1,718044,664126,542194,670042,670764,670623,677551,668227,642350,622534,53.41,,,,,,,,74,3,4-Seam Fastball,7,3,3,7,3,7,3,7,Standard,Standard,187.0,0.0,-0.073
FF,2023-05-24,97.9,-0.46,6.75,"Fairbanks, Pete",624415,664126,,called_strike,,,,,7,Cavan Biggio strikes out swinging.,R,L,R,TB,TOR,S,,,1,0,2023,-0.22,1.7,-0.52,1.77,,662139.0,,2,9,Top,,,,,542194,,,0.3623621731017608,-142.1080648381786,-11.938125939383289,-3.11607678431457,34.95702394763036,-6.60355153215985,3.35,1.53,,,,98.7,2300.0,7.0,718044,664126,542194,670042,670764,670623,677551,668227,642350,622534,53.48,,,,,,,,74,2,4-Seam Fastball,7,3,3,7,3,7,3,7,Standard,Standard,194.0,0.0,-0.064
SL,2023-05-24,86.8,-0.22,6.88,"Fairbanks, Pete",624415,664126,,ball,,,,,13,Cavan Biggio strikes out swinging.,R,L,R,TB,TOR,B,,,0,0,2023,0.46,-0.69,-0.44,0.99,,,662139.0,2,9,Top,,,,,542194,,,-1.4739542869855051,-126.33087990896767,-6.527514330077106,5.20342920114352,26.942451049448344,-38.417432100357885,3.35,1.64,,,,88.0,2392.0,7.1,718044,664126,542194,670042,670764,670623,677551,668227,642350,622534,53.37,,,,,,,,74,1,Slider,7,3,3,7,3,7,3,7,Standard,Standard,60.0,-0.001,0.027
FF,2023-05-24,97.6,-0.37,6.74,"Fairbanks, Pete",662139,664126,single,hit_into_play,,,,,6,Daulton Varsho singles on a line drive to right fielder Manuel Margot.,R,L,R,TB,TOR,X,9.0,line_drive,1,0,2023,0.07,1.68,0.68,2.32,,,,2,9,Top,173.16,108.95,,,542194,,,2.6922758052722258,-141.78405134476222,-10.293238233016258,0.2593467332544643,34.7348994028037,-7.388090946253901,3.35,1.53,180.0,66.0,25.0,98.3,2365.0,6.9,718044,664126,542194,670042,670764,670623,677551,668227,642350,622534,53.56,0.897,0.818,0.9,1.0,1.0,0.0,4.0,73,2,4-Seam Fastball,7,3,3,7,3,7,3,7,Strategic,Standard,192.0,-0.002,0.114
SL,2023-05-24,87.9,-0.11,6.95,"Fairbanks, Pete",662139,664126,,ball,,,,,12,Daulton Varsho singles on a line drive to right fielder Manuel Margot.,R,L,R,TB,TOR,B,,,0,0,2023,0.41,-0.13,1.23,2.58,,,,2,9,Top,,,,,542194,,,2.4021557773779176,-128.0001306816939,-4.266643041625194,4.031137524387449,25.63813065555223,-32.96355773438106,3.45,1.57,,,,88.6,2436.0,6.6,718044,664126,542194,670042,670764,670623,677551,668227,642350,622534,53.89,,,,,,,,73,1,Slider,7,3,3,7,3,7,3,7,Strategic,Standard,70.0,0.0,0.021
FF,2023-05-24,97.9,-0.28,6.83,"Fairbanks, Pete",672386,664126,field_out,hit_into_play,,,,,13,Alejandro Kirk pops out to third baseman Isaac Paredes in foul territory.,R,R,R,TB,TOR,X,5.0,popup,1,0,2023,-0.28,1.64,-0.87,2.17,,,,1,9,Top,90.47,196.07,,,542194,,,-0.945022982429816,-142.25061587984706,-10.862487893435931,-3.5261572590411623,33.3672408037641,-7.6513650993690545,3.04,1.41,86.0,76.5,75.0,98.1,2346.0,6.6,718044,664126,542194,670042,670764,670623,677551,668227,642350,622534,53.94,0.001,0.0,0.0,1.0,0.0,0.0,3.0,72,2,4-Seam Fastball,7,3,3,7,3,7,3,7,Standard,Standard,188.0,0.004,-0.2
FF,2023-05-24,98.6,-0.31,6.81,"Fairbanks, Pete",672386,664126,,ball,,,,,13,Alejandro Kirk pops out to third baseman Isaac Paredes in foul territory.,R,R,R,TB,TOR,B,,,0,0,2023,-0.28,1.73,-0.93,2.16,,,,1,9,Top,,,,,542194,,,-1.030043131513704,-143.2330125465615,-11.19029027419983,-3.60998387807442,34.21926337041884,-5.904239296059114,3.01,1.51,,,,98.5,2370.0,6.4,718044,664126,542194,670042,670764,670623,677551,668227,642350,622534,54.09,,,,,,,,72,1,4-Seam Fastball,7,3,3,7,3,7,3,7,Standard,Standard,192.0,0.0,0.028
SL,2023-05-24,86.6,-0.16,6.93,"Fairbanks, Pete",593160,664126,field_out,hit_into_play,,,,,6,Whit Merrifield flies out to right fielder Manuel Margot.,R,R,R,TB,TOR,X,9.0,fly_ball,1,1,2023,0.67,-0.3,0.34,2.52,,,,0,9,Top,187.54,137.4,,,542194,,,-0.2092705376109666,-126.12229925780804,-3.808380882540402,7.252244784012235,24.547688524913635,-34.84411947880384,3.34,1.55,217.0,85.7,55.0,88.5,2379.0,7.3,718044,664126,542194,670042,670764,670623,677551,668227,642350,622534,53.18,0.011,0.01,0.0,1.0,0.0,0.0,3.0,71,3,Slider,7,3,3,7,3,7,3,7,Standard,Standard,72.0,0.008,-0.228
