pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SI,2023-04-10,91.3,2.21,6.29,"Fletcher, David",664058,571578,field_out,hit_into_play,,,,,5,"David Fletcher grounds out, shortstop CJ Abrams to first baseman Dominic Smith.",R,R,L,LAA,WSH,X,6.0,ground_ball,0,0,2023,1.32,0.89,-0.13,2.55,,570482.0,,2,3,Bot,109.59,153.15,,,660688,,,-8.836211350192245,-132.59827129511353,-5.4323524575764015,17.490522445487215,30.714784566252053,-20.71171848048552,3.23,1.5,5.0,97.4,-26.0,91.9,1958,7.0,718631,571578,660688,642086,656308,600869,682928,669743,645302,657041,53.54,0.111,0.106,0.0,1.0,0.0,0.0,2.0,33,1,Sinker,4,1,4,1,1,4,4,1,Standard,Standard,140,-0.017,-0.326,david fletcher,
FF,2023-04-10,91.5,2.24,6.31,"Fletcher, David",664058,571578,field_out,hit_into_play,,,,,4,David Fletcher flies out to center fielder Victor Robles.,R,R,L,LAA,WSH,X,8.0,fly_ball,1,2,2023,0.54,1.14,-0.39,2.17,,,681351.0,0,2,Bot,135.05,103.48,,,660688,,,-7.916410365534039,-132.88363253150797,-7.073744375574971,8.195219110725738,29.689075573033897,-17.303381412083294,3.23,1.5,241.0,78.0,40.0,92.5,1928,7.1,718631,571578,660688,642086,656308,600869,682928,669743,645302,657041,53.42,0.037,0.038,0.0,1.0,0.0,0.0,3.0,19,4,4-Seam Fastball,2,1,2,1,1,2,2,1,Standard,Standard,141,-0.029,-0.26,david fletcher,
SI,2023-04-10,95.2,-1.04,5.93,"Fletcher, David",664058,666168,force_out,hit_into_play,,,,,7,"David Fletcher grounds into a force out, shortstop CJ Abrams to second baseman Michael Chavis.   Logan O'Hoppe out at 2nd.    David Fletcher to 1st.",R,R,R,LAA,WSH,X,6.0,ground_ball,1,2,2023,-1.7,0.74,-0.69,2.02,,,681351.0,0,6,Bot,102.75,155.41,,,660688,,,4.777197492483482,-138.50197566420204,-6.318765384257088,-22.95327121454862,31.39884521089509,-21.418237248299416,3.23,1.5,3.0,99.4,-30.0,95.9,2171,6.7,718631,666168,660688,642086,656308,600869,682928,669743,645302,657041,53.78,0.083,0.078,0.0,1.0,0.0,0.0,2.0,58,6,Sinker,4,5,4,5,5,4,4,5,Standard,Standard,210,-0.059,-0.425,david fletcher,
ST,2023-04-07,72.7,-2.13,5.18,"Fletcher, David",664058,605135,single,hit_into_play,,,,,8,"Blue Jays challenged (play at 1st), call on the field was upheld: David Fletcher singles on a bunt ground ball to pitcher Chris Bassitt.   Gio Urshela scores.    Logan O'Hoppe to 2nd.",R,R,R,LAA,TOR,X,1.0,ground_ball,0,1,2023,1.59,-0.33,-0.07,1.54,570482.0,,681351.0,1,4,Bot,134.09,191.16,,,672386,,,1.3938232903376837,-105.83474482015708,0.7366691541680164,11.579663587585085,19.942526561016034,-34.97520826524055,3.24,1.5,3.0,24.7,-26.0,72.6,2292,6.4,718670,605135,672386,665489,669289,656305,666182,593160,595281,543807,54.11,0.229,0.206,0.9,1.0,1.0,0.0,1.0,35,2,Sweeper,2,1,2,1,1,3,3,1,Standard,Strategic,68,0.065,0.088,david fletcher,
SI,2023-04-07,89.7,-1.33,5.71,"Fletcher, David",664058,605135,field_out,hit_into_play,,,,,11,"David Fletcher grounds out, third baseman Matt Chapman to first baseman Vladimir Guerrero Jr.  Logan O'Hoppe to 2nd.",R,R,R,LAA,TOR,X,5.0,ground_ball,1,0,2023,-1.27,0.84,-1.07,2.96,,,681351.0,1,2,Bot,109.25,176.02,,,672386,,,3.3349373797606434,-130.66529825428117,-2.634437586356748,-15.300332114313267,26.8582938989591,-22.145851971322944,3.24,1.5,3.0,65.2,-43.0,89.9,2270,6.3,718670,605135,672386,665489,669289,656305,666182,593160,595281,543807,54.22,0.171,0.161,0.0,1.0,0.0,0.0,2.0,17,2,Sinker,2,0,2,0,0,2,2,0,Standard,Strategic,283,-0.012,-0.439,david fletcher,
FF,2023-04-07,97.4,-2.48,4.94,"Fletcher, David",664058,554340,strikeout,swinging_strike,,,,,3,David Fletcher strikes out swinging.,R,R,R,LAA,TOR,S,2.0,,1,2,2023,-0.84,1.35,0.38,3.0,,,,0,7,Bot,,,,,672386,,,9.537528797172952,-141.4664915814126,-2.756055072312066,-13.455291854564315,32.82882267020218,-13.68292649655766,3.24,1.5,,,,96.7,2542,6.0,718670,554340,672386,665489,669289,656305,666182,593160,595281,543807,54.45,,,0.0,1.0,0.0,0.0,,58,5,4-Seam Fastball,3,4,3,4,4,3,3,4,Standard,Strategic,222,-0.049,-0.175,david fletcher,
SI,2023-04-04,94.8,-2.85,5.19,"Fletcher, David",664058,622491,field_out,hit_into_play,,,,,5,"David Fletcher grounds out, shortstop J.  P. Crawford to first baseman Ty France.",R,R,R,SEA,LAA,X,6.0,ground_ball,1,1,2023,-1.83,0.21,0.0,2.16,592273.0,,,2,5,Top,116.02,146.51,,,663728,,,11.374733697487828,-137.5358023817664,-2.648621698203061,-25.718947278100583,30.995646250538588,-29.099206326960505,3.28,1.51,10.0,102.7,-12.0,93.7,2068,5.8,718706,622491,663728,664034,664059,553993,641487,572041,677594,606192,54.68,0.246,0.221,0.0,1.0,0.0,0.0,2.0,35,3,Sinker,3,0,0,3,0,3,0,3,Standard,Standard,235,0.03,-0.362,david fletcher,
FF,2023-04-04,95.5,-2.84,5.31,"Fletcher, David",664058,622491,field_out,hit_into_play,,,,,5,David Fletcher flies out to right fielder Teoscar Hernandez.,R,R,R,SEA,LAA,X,9.0,fly_ball,2,1,2023,-1.15,1.27,0.12,2.33,,,,1,3,Top,164.78,128.55,,,663728,,,10.216881875367296,-138.6517555881531,-5.008834064477561,-17.131631208934934,30.19995014917432,-14.83445579306668,3.28,1.51,202.0,82.0,52.0,94.2,2440,5.6,718706,622491,663728,664034,664059,553993,641487,572041,677594,606192,54.88,0.02,0.019,0.0,1.0,0.0,0.0,3.0,17,4,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,229,0.018,-0.202,david fletcher,
FC,2023-04-04,87.0,-3.02,5.44,"Fletcher, David",664058,641627,field_out,hit_into_play,,,,,2,David Fletcher flies out to right fielder Teoscar Hernandez.,R,R,R,SEA,LAA,X,9.0,fly_ball,0,1,2023,0.31,0.92,0.17,2.82,,,650859.0,2,7,Top,148.8,106.5,,,663728,,,6.979349105989316,-126.5605201274991,-2.009591467006132,1.893388314360128,25.401348925409163,-22.02058202523549,3.28,1.51,239.0,74.8,38.0,86.4,2034,5.9,718706,641627,663728,664034,664059,553993,641487,572041,677594,606192,54.62,0.191,0.187,0.0,1.0,0.0,0.0,3.0,55,2,Cutter,8,0,0,8,0,8,0,8,Standard,Standard,180,0.001,-0.206,david fletcher,
SI,2023-04-04,94.0,1.62,5.44,"Fletcher, David",664058,642100,field_out,hit_into_play,,,,,5,"David Fletcher grounds out, shortstop J.  P. Crawford to first baseman Ty France.",R,R,L,SEA,LAA,X,6.0,ground_ball,1,2,2023,1.53,0.23,-0.05,2.45,,,,1,9,Top,117.04,152.09,,,663728,,,-7.633878074881768,-136.66229729653398,-2.506258059341653,20.92102384251801,30.78150088503917,-28.976114998160327,3.28,1.51,5.0,96.7,-26.0,93.1,2063,5.9,718706,642100,663728,664034,664059,553993,641487,572041,677594,606192,54.63,0.111,0.106,0.0,1.0,0.0,0.0,2.0,73,4,Sinker,11,2,2,11,2,11,2,11,Standard,Standard,133,0.0,-0.122,david fletcher,
