pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FC,2023-05-24,87.4,1.9,5.96,"Fletcher, Dominic",666150,624133,field_out,hit_into_play,,,,,13,Dominic Fletcher flies out to shortstop Trea Turner.,R,L,L,PHI,AZ,X,6.0,fly_ball,0,0,2023,-0.15,0.49,-0.23,1.1,,,,1,4,Top,100.22,129.16,,,596117,,,-4.844779393578191,-127.28074400401238,-6.715967823780661,-0.8618359222589412,22.075632302884667,-25.78629384032535,3.08,1.52,189.0,62.7,37.0,88.6,2078,6.6,718043,624133,596117,665019,681082,664761,607208,656941,669016,592206,53.85,0.466,0.419,0.0,1.0,0.0,0.0,4.0,27,1,Cutter,0,5,5,0,5,0,5,0,Standard,Standard,157,0.004,-0.172,dominic fletcher,
FF,2023-05-24,95.0,-2.64,5.79,"Fletcher, Dominic",666150,641401,walk,ball,,,,,11,Dominic Fletcher walks.,R,L,R,PHI,AZ,B,,,3,2,2023,-1.18,1.43,-2.36,3.18,,,,1,8,Top,,,,,596117,,,3.4770776117741566,-138.20638651252392,-4.487651277341063,-15.86577721905168,31.47678468831017,-13.016189977267794,3.0,1.33,,,,97.5,2364,7.8,718043,641401,596117,665019,681082,664761,607208,656941,669016,592206,52.75,,,0.7,1.0,0.0,0.0,,66,6,4-Seam Fastball,3,5,5,3,5,3,5,3,Strategic,Standard,220,-0.012,0.235,dominic fletcher,
SI,2023-05-24,93.7,2.08,5.96,"Fletcher, Dominic",666150,624133,field_out,hit_into_play,,,,,12,"Dominic Fletcher grounds out, second baseman Bryson Stott to first baseman Kody Clemens.",R,L,L,PHI,AZ,X,4.0,ground_ball,1,2,2023,1.35,0.49,1.02,2.48,,,,2,2,Top,151.27,160.35,,,596117,,,-5.722809657076599,-136.33377541806263,-4.3321063540102,18.13976774398733,30.362641875234075,-25.321429434109795,3.08,1.52,3.0,76.2,-35.0,93.7,1979,6.3,718043,624133,596117,665019,681082,664761,607208,656941,669016,592206,54.17,0.057,0.051,0.0,1.0,0.0,0.0,2.0,11,4,Sinker,0,1,1,0,1,0,1,0,Strategic,Standard,136,0.01,-0.071,dominic fletcher,
SL,2023-05-24,81.2,2.8,5.97,"Fletcher, Dominic",666150,607755,strikeout,swinging_strike,,,,,13,Dominic Fletcher strikes out swinging.,R,L,L,PHI,AZ,S,2.0,,0,2,2023,-1.57,-0.37,-1.99,1.11,572233.0,446334.0,656976.0,1,6,Top,,,,,596117,,,-7.69529934638546,-117.9889681674657,-3.4830961177842736,-13.041572724515117,23.57180236056509,-35.16842503175696,3.08,1.52,,,,80.7,2731,6.1,718043,607755,596117,665019,681082,664761,607208,656941,669016,592206,54.36,,,0.0,1.0,0.0,0.0,,46,3,Slider,0,5,5,0,5,0,5,0,Standard,Standard,316,0.011,-0.407,dominic fletcher,
FC,2023-05-23,92.6,-1.51,6.35,"Fletcher, Dominic",666150,592229,field_out,hit_into_play,,,,,3,Dominic Fletcher pops out to catcher J.  T. Realmuto in foul territory.,R,L,R,PHI,AZ,X,2.0,popup,0,0,2023,0.18,1.03,0.37,2.9,,682998.0,,2,6,Top,131.81,215.04,,,592663,,,4.401511860929547,-134.80060267259128,-5.278258686873725,1.3931689429367804,26.2780449117265,-18.694835240337447,3.09,1.52,19.0,68.8,84.0,92.6,2198,6.1,718060,592229,592663,665019,681082,624641,607208,656941,656495,592206,54.45,0.001,0.0,0.0,1.0,0.0,0.0,3.0,43,1,Cutter,1,3,3,1,3,1,3,1,Standard,Standard,192,0.027,-0.326,dominic fletcher,
FC,2023-05-23,90.6,-1.61,6.43,"Fletcher, Dominic",666150,592229,field_out,hit_into_play,,,,,9,Dominic Fletcher flies out to left fielder Kyle Schwarber.,R,L,R,PHI,AZ,X,7.0,fly_ball,1,2,2023,0.31,0.61,0.66,1.85,,682998.0,672515.0,1,4,Top,89.65,130.29,,,592663,,,4.984082194799005,-131.78994070249644,-6.8083745682619,2.6753887576589555,25.72498066471799,-23.89749839772621,3.09,1.52,197.0,83.5,59.0,90.2,2235,5.9,718060,592229,592663,665019,681082,624641,607208,656941,656495,592206,54.62,0.014,0.013,0.0,1.0,0.0,0.0,3.0,28,5,Cutter,1,3,3,1,3,1,3,1,Standard,Standard,176,0.032,-0.356,dominic fletcher,
SL,2023-05-23,84.3,3.67,5.44,"Fletcher, Dominic",666150,621381,strikeout,swinging_strike,,,,,12,Dominic Fletcher strikes out swinging.,R,L,L,PHI,AZ,S,2.0,,0,2,2023,-1.12,0.86,0.11,3.73,,,,2,2,Top,,,,,592663,,,-6.0200718178564925,-122.59424491188491,0.7265166995886096,-9.999617206837268,25.47445378546953,-23.91049541309895,3.09,1.52,,,,83.8,2640,6.1,718060,621381,592663,665019,681082,624641,607208,656941,656495,592206,54.4,,,0.0,1.0,0.0,0.0,,11,3,Slider,0,2,2,0,2,0,2,0,Strategic,Standard,285,0.008,-0.057,dominic fletcher,
SL,2023-05-23,88.9,1.76,5.71,"Fletcher, Dominic",666150,642397,strikeout,swinging_strike,,,,,7,Dominic Fletcher strikes out swinging.,R,L,L,PHI,AZ,S,2.0,,1,2,2023,-0.14,0.29,-0.35,1.94,572233.0,682998.0,672515.0,1,8,Top,,,,,592663,,,-4.902750527463468,-129.45327161515493,-3.8722438254796607,-0.6359946622021235,26.20985357004645,-28.30831180090562,3.09,1.52,,,,89.9,2348,6.8,718060,642397,592663,665019,681082,664761,607208,656941,656495,592206,53.73,,,0.0,1.0,0.0,0.0,,62,6,Slider,3,4,4,3,4,3,4,3,Strategic,Standard,194,0.069,-0.516,dominic fletcher,
SL,2023-05-22,90.6,-1.98,5.49,"Fletcher, Dominic",666150,554430,field_out,hit_into_play,,,,,5,"Dominic Fletcher grounds out, first baseman Alec Bohm to pitcher Zack Wheeler.",R,L,R,PHI,AZ,X,3.0,ground_ball,1,0,2023,-0.05,0.54,0.09,2.02,,,,0,6,Top,149.51,162.29,,,592663,,,5.3581290559668,-131.8807427611123,-3.923918418971971,-1.7889882655470737,28.97368411964462,-25.246060427440614,3.09,1.52,4.0,103.2,-27.0,91.8,2588,7.1,718073,554430,592663,664761,681082,543281,607208,656941,656495,592206,53.41,0.157,0.164,0.0,1.0,0.0,0.0,2.0,45,2,Slider,2,4,4,2,4,2,4,2,Standard,Standard,199,0.017,-0.274,dominic fletcher,
CU,2023-05-22,82.5,-2.0,5.53,"Fletcher, Dominic",666150,554430,field_out,hit_into_play,,,,,6,Dominic Fletcher grounds out to first baseman Alec Bohm.,R,L,R,PHI,AZ,X,3.0,ground_ball,3,2,2023,0.93,-0.77,0.65,2.01,,,,0,4,Top,161.24,168.39,,,592663,,,4.2720572640056265,-120.1086440860486,0.0309582961002061,8.175659166200964,23.82804917038767,-39.83701690091712,3.09,1.52,3.0,81.9,-33.0,83.5,2696,7.0,718073,554430,592663,664761,681082,543281,607208,656941,656495,592206,53.54,0.051,0.046,0.0,1.0,0.0,0.0,2.0,28,10,Curveball,0,3,3,0,3,0,3,0,Standard,Standard,48,0.012,-0.315,dominic fletcher,
SL,2023-05-22,93.8,-1.92,5.54,"Fletcher, Dominic",666150,554430,single,hit_into_play,,,,,6,Dominic Fletcher singles on a ground ball to center fielder Dalton Guthrie.   Josh Rojas to 2nd.,R,L,R,PHI,AZ,X,8.0,ground_ball,0,0,2023,-0.24,0.76,0.64,2.52,,,668942.0,0,2,Top,135.38,100.96,,,592663,,,7.262991664433365,-136.51119292913572,-3.816485589268407,-4.540294540817889,28.853396916553283,-22.02502466180077,3.09,1.52,137.0,76.7,13.0,95.3,2584,7.0,718073,554430,592663,664761,681082,543281,607208,656941,656495,592206,53.45,0.429,0.386,0.9,1.0,1.0,0.0,4.0,11,1,Slider,0,1,1,0,1,0,1,0,Standard,Standard,210,-0.048,0.669,dominic fletcher,
FS,2023-05-22,91.2,-2.62,6.13,"Fletcher, Dominic",666150,656546,field_out,hit_into_play,,,,,5,Dominic Fletcher grounds out to first baseman Kody Clemens.   Lourdes Gurriel Jr.  to 3rd.,R,L,R,PHI,AZ,X,3.0,ground_ball,1,0,2023,-1.44,0.7,-0.24,2.16,,666971.0,,1,8,Top,159.01,167.71,,,592663,,,9.092571964680715,-132.50555937711164,-5.6098719452525785,-18.915563341143205,28.17418620445784,-22.858162564583125,3.09,1.52,11.0,76.9,-11.0,91.3,1798,6.4,718073,656546,592663,665019,681082,664761,607208,656941,669016,592206,54.08,0.074,0.067,0.0,1.0,0.0,0.0,2.0,65,2,Split-Finger,3,5,5,3,5,3,5,3,Standard,Standard,231,0.016,-0.371,dominic fletcher,
CH,2023-05-21,88.2,-1.03,5.82,"Fletcher, Dominic",666150,672710,field_out,hit_into_play,,,,,7,Dominic Fletcher lines out to right fielder Connor Joe.,R,L,R,PIT,AZ,X,9.0,line_drive,0,0,2023,-1.37,0.8,-0.33,1.78,,,,2,4,Top,181.75,112.68,,,641511,,,4.56750059999112,-128.37078701546946,-5.47855348746223,-16.107747550214345,24.65094845453598,-22.410793053780733,3.09,1.53,272.0,82.3,24.0,89.0,2094,6.6,718091,672710,641511,467793,666801,663647,672779,668804,669261,656582,53.86,0.391,0.401,0.0,1.0,0.0,0.0,3.0,26,1,Changeup,1,2,2,1,2,1,2,1,Standard,Standard,231,0.011,-0.103,dominic fletcher,
SL,2023-05-21,84.9,-0.93,5.84,"Fletcher, Dominic",666150,672710,field_out,hit_into_play,,,,,9,Dominic Fletcher flies out to right fielder Connor Joe.,R,L,R,PIT,AZ,X,9.0,fly_ball,0,2,2023,0.31,0.37,0.56,1.81,,,668942.0,1,2,Top,149.39,113.04,,,641511,,,2.890404999226674,-123.58942481231074,-3.846047425122189,2.600112683754784,25.09381914018233,-27.80911818429448,3.09,1.53,224.0,92.9,56.0,85.4,2570,6.6,718091,672710,641511,467793,666801,663647,672779,668804,669261,656582,53.85,0.006,0.007,0.0,1.0,0.0,0.0,3.0,10,3,Slider,0,1,1,0,1,0,1,0,Strategic,Standard,74,0.026,-0.197,dominic fletcher,
CU,2023-05-21,83.0,2.29,5.44,"Fletcher, Dominic",666150,642239,field_out,hit_into_play,,,,,8,Dominic Fletcher flies out to center fielder Jack Suwinski.,R,L,L,PIT,AZ,X,8.0,fly_ball,2,1,2023,-0.99,-0.09,0.09,1.73,,666971.0,,2,6,Top,121.12,46.86,,,641511,,,-3.100202684813921,-120.80627666698756,-1.761370099953445,-8.934831017496077,26.576399727062714,-32.88054336095258,3.09,1.53,376.0,97.7,27.0,82.9,2279,6.5,718091,642239,641511,467793,666801,663647,672779,668804,669261,656582,53.98,0.451,0.714,0.0,1.0,0.0,0.0,6.0,45,4,Curveball,3,4,4,3,4,3,4,3,Standard,Standard,260,0.039,-0.325,dominic fletcher,
SI,2023-05-21,95.8,-2.31,4.6,"Fletcher, Dominic",666150,670990,single,hit_into_play,,,,,8,Dominic Fletcher singles on a ground ball to third baseman Ke'Bryan Hayes.,R,L,R,PIT,AZ,X,5.0,ground_ball,1,1,2023,-1.55,0.06,-0.04,1.74,,,,1,8,Top,95.7,159.35,,,641511,,,9.62376510731259,-139.1080503478067,-2.0741863244211536,-22.288982381057394,32.10886907057811,-31.08350376021658,3.09,1.53,4.0,102.1,-20.0,97.0,2227,7.1,718091,670990,641511,467793,666801,663647,672779,668804,669261,656582,53.37,0.154,0.145,0.9,1.0,1.0,0.0,2.0,61,3,Sinker,3,7,7,3,7,3,7,3,Strategic,Standard,241,-0.003,0.278,dominic fletcher,
ST,2023-05-20,83.9,-2.23,5.85,"Fletcher, Dominic",666150,656605,field_out,hit_into_play,,,,,8,"Dominic Fletcher grounds out, shortstop Tucupita Marcano to first baseman Carlos Santana.",R,L,R,PIT,AZ,X,6.0,ground_ball,0,2,2023,1.75,0.04,-0.21,1.77,,,,2,5,Top,112.67,152.68,,,595978,,,1.2271635308716262,-122.1813078065754,-3.1134344926396595,17.173399082573738,25.216661431653883,-31.34845368154137,3.08,1.53,8.0,92.5,-11.0,84.1,2785,6.5,718101,656605,595978,467793,678225,663647,672779,668804,669261,641943,54.0,0.149,0.134,0.0,1.0,0.0,0.0,2.0,35,3,Sweeper,3,1,1,3,1,3,1,3,Strategic,Standard,60,0.012,-0.057,dominic fletcher,
SI,2023-05-20,95.0,-2.21,5.76,"Fletcher, Dominic",666150,656605,strikeout,called_strike,,,,,6,Dominic Fletcher called out on strikes.,R,L,R,PIT,AZ,S,2.0,,1,2,2023,-1.24,0.54,0.43,2.48,,,,2,2,Top,,,,,595978,,,9.767556504183132,-138.14155221394518,-4.235392957804805,-17.941239869328836,27.80166631004763,-24.439286534013377,3.08,1.6,,,,96.0,2386,6.7,718101,656605,595978,467793,678225,663647,672779,668804,669261,641943,53.8,,,0.0,1.0,0.0,0.0,,12,4,Sinker,0,1,1,0,1,0,1,0,Strategic,Standard,226,0.01,-0.071,dominic fletcher,
SL,2023-05-20,83.8,-1.23,6.05,"Fletcher, Dominic",666150,596112,single,hit_into_play,,,,,12,Dominic Fletcher singles on a line drive to left fielder Bryan Reynolds.,R,L,R,PIT,AZ,X,7.0,line_drive,1,2,2023,0.66,-0.39,0.04,3.22,,,,0,7,Top,55.33,124.47,,,595978,,,1.6306440339631032,-122.13306411444704,0.5749599583155713,6.342601532601498,22.164678214632545,-36.3870677863488,3.08,1.53,216.0,75.9,23.0,83.8,3076,6.0,718101,596112,595978,467793,678225,663647,672779,668804,669261,641943,54.5,0.866,0.793,0.9,1.0,1.0,0.0,4.0,50,4,Slider,3,4,4,3,4,3,4,3,Standard,Standard,43,-0.037,0.453,dominic fletcher,
CU,2023-05-20,78.7,-2.42,5.74,"Fletcher, Dominic",666150,670280,field_out,hit_into_play,,,,,13,Dominic Fletcher flies out to left fielder Bryan Reynolds.,R,L,R,PIT,AZ,X,7.0,fly_ball,2,2,2023,0.63,-0.95,-1.06,2.2,,,,1,9,Top,53.15,112.1,,,595978,,,1.782837458814308,-114.59416904379246,0.8852351277390549,5.286619325135169,20.426289527058398,-40.93322632388963,3.08,1.53,281.0,84.0,30.0,78.8,2479,6.3,718101,670280,595978,467793,678225,663647,672779,668804,669261,656582,54.24,0.049,0.055,0.0,1.0,0.0,0.0,3.0,66,7,Curveball,3,4,4,3,4,3,4,3,Standard,Standard,53,0.012,-0.153,dominic fletcher,
SL,2023-05-19,88.6,-2.67,5.67,"Fletcher, Dominic",666150,670912,field_out,hit_into_play,,,,,6,Dominic Fletcher flies out to right fielder Josh Palacios.,R,L,R,PIT,AZ,X,9.0,fly_ball,3,1,2023,0.62,0.32,0.53,2.11,,,,0,5,Top,194.22,103.67,,,595978,,,6.634631324687244,-128.97824895686028,-3.3788569658547525,5.603514331978025,25.24161906847168,-28.12950069249372,3.15,1.55,290.0,80.9,38.0,90.1,2396,7.1,718118,670912,595978,467793,678225,663647,672779,668804,669261,641943,53.44,0.011,0.018,0.0,1.0,0.0,0.0,3.0,41,5,Slider,8,1,1,8,1,8,1,8,Standard,Standard,160,0.005,-0.4,dominic fletcher,
SL,2023-05-19,90.3,-2.87,5.6,"Fletcher, Dominic",666150,670912,strikeout,called_strike,,,,,7,Dominic Fletcher called out on strikes.,R,L,R,PIT,AZ,S,2.0,,2,2,2023,0.43,0.36,-0.36,1.42,,,,0,3,Top,,,,,595978,,,5.423552870858859,-131.4484979145521,-5.346777434962892,3.8989484183294834,26.484552333245404,-27.037344770302823,3.23,1.5,,,,91.7,2502,7.0,718118,670912,595978,467793,678225,663647,672779,668804,669261,641943,53.5,,,0.0,1.0,0.0,0.0,,17,5,Slider,1,0,0,1,0,1,0,1,Strategic,Standard,171,0.026,-0.205,dominic fletcher,
ST,2023-05-19,82.1,-2.39,4.97,"Fletcher, Dominic",666150,670990,strikeout,called_strike,,,,,7,Dominic Fletcher called out on strikes.,R,L,R,PIT,AZ,S,2.0,,1,2,2023,1.42,0.25,-0.82,1.98,,666971.0,,2,8,Top,,,,,595978,,,0.7983582510383348,-119.56428406340426,-0.7133090568681733,13.540941607530574,22.553606566799232,-29.867636780934014,3.0,1.55,,,,83.3,2195,7.0,718118,670990,595978,656582,672779,663647,572008,669261,678225,641943,53.54,,,0.0,1.0,0.0,0.0,,75,4,Sweeper,11,3,3,11,3,11,3,11,Standard,Standard,69,0.001,-0.221,dominic fletcher,
CH,2023-05-19,89.1,-2.47,5.98,"Fletcher, Dominic",666150,621249,walk,ball,,,,,14,Dominic Fletcher walks.   Gabriel Moreno to 2nd.,R,L,R,PIT,AZ,B,,,3,2,2023,-1.3,0.52,0.35,1.11,,,672515.0,0,7,Top,,,,,595978,,,9.77236630830347,-129.33394728393023,-7.098826382388233,-16.646124796422946,26.32103000356318,-25.052789397827205,3.05,1.55,,,,90.1,1517,7.0,718118,621249,595978,467793,678225,663647,672779,668804,669261,641943,53.51,,,0.7,1.0,0.0,0.0,,62,6,Changeup,11,1,1,11,1,11,1,11,Standard,Standard,242,-0.002,0.447,dominic fletcher,
