pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FF,2023-05-25,94.6,1.04,4.97,"France, Ty",664034,676664,field_out,hit_into_play,,,,,5,Ty France flies out to right fielder Seth Brown in foul territory.,R,R,L,SEA,OAK,X,9.0,fly_ball,3,2,2023,0.96,1.1,-0.27,2.36,,,641487.0,1,3,Bot,191.39,139.71,,,669127,,,-5.577397005547783,-137.72233038036612,-3.6504256238952815,13.385934005658696,28.83072326800892,-17.56719879128896,3.16,1.39,219.0,80.7,51.0,95.4,2206.0,6.6,718025,676664,669127,676116,643393,607054,669397,668709,665923,664913,53.89,0.04,0.047,0.0,1.0,0.0,0.0,3.0,22,7,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,139.0,-0.034,-0.385,ty france,
SL,2023-05-25,86.6,2.6,5.34,"France, Ty",664034,663992,force_out,hit_into_play,,,,,4,"Ty France pops into a force out, shortstop Nick Allen to second baseman Tony Kemp.   Jose Caballero out at 2nd.    Ty France to 1st.",R,R,L,SEA,OAK,X,6.0,popup,0,1,2023,-0.56,0.37,-0.48,2.51,,,676609.0,1,8,Bot,105.88,144.99,,,669127,,,-6.393269940506625,-126.04498835826166,-1.374413681720692,-4.8600419281105545,23.111052534457016,-28.15144957081967,3.16,1.39,159.0,85.1,62.0,89.4,2408.0,7.8,718025,663992,669127,676116,643393,607054,669397,668709,665923,664913,52.73,0.023,0.03,0.0,1.0,0.0,0.0,3.0,56,2,Slider,2,2,2,2,2,2,2,2,Standard,Standard,255.0,-0.056,-0.256,ty france,
FF,2023-05-25,96.3,-0.98,5.83,"France, Ty",664034,543507,home_run,hit_into_play,,,,,1,Ty France homers (5) on a fly ball to left field.,R,R,R,SEA,OAK,X,,fly_ball,1,1,2023,-0.77,1.46,-0.67,2.97,,,,0,6,Bot,20.29,85.88,,,669127,,,2.6037018517472053,-140.17561374518215,-5.407846647354475,-10.805840721942053,30.495897407846027,-11.911344708728867,3.16,1.39,380.0,99.3,36.0,97.6,2459.0,6.9,718025,543507,669127,676116,643393,607054,669397,668709,665923,664913,53.56,0.211,0.375,2.0,1.0,0.0,3.0,5.0,41,3,4-Seam Fastball,1,2,1,2,2,2,2,2,Standard,Standard,214.0,0.187,1.007,ty france,
ST,2023-05-25,83.0,1.48,4.73,"France, Ty",664034,676664,home_run,hit_into_play,,,,,4,Ty France homers (4) on a fly ball to left field.,R,R,L,SEA,OAK,X,,fly_ball,0,0,2023,-0.58,0.27,-0.63,2.09,,,,1,1,Bot,19.43,87.85,,,669127,,,-3.710856741549282,-120.89981977429862,-0.0532449276128781,-4.890248747792861,24.707021177865595,-29.79000686427541,3.16,1.39,378.0,105.0,37.0,83.0,2409.0,6.4,718025,676664,669127,676116,643393,607054,669397,668709,665923,664913,54.15,0.56,1.105,2.0,1.0,0.0,3.0,6.0,7,1,Sweeper,0,2,0,2,2,1,1,2,Standard,Standard,243.0,0.099,1.0,ty france,
SL,2023-05-23,84.8,-2.48,5.88,"France, Ty",664034,665622,home_run,hit_into_play,,,,,8,Ty France homers (3) on a fly ball to left center field.,R,R,R,SEA,OAK,X,,fly_ball,1,2,2023,0.19,-0.19,-0.09,1.66,,,,2,5,Bot,48.26,47.17,,,542208,,,5.224818560019253,-123.45513790892946,-3.1860230877396054,0.9012762489855304,23.560603778582145,-33.71165238927995,3.17,1.4,420.0,108.3,24.0,85.0,2244.0,6.3,718050,665622,542208,542583,649557,607054,669397,667670,665923,657656,54.2,0.98,1.938,2.0,1.0,0.0,3.0,6.0,39,6,Slider,2,2,2,2,2,3,3,2,Standard,Strategic,55.0,0.163,1.032,ty france,
SL,2023-05-23,85.5,-2.65,5.98,"France, Ty",664034,665622,strikeout,swinging_strike,,,,,8,Ty France strikes out swinging.,R,R,R,SEA,OAK,S,2.0,,0,2,2023,0.28,-0.5,0.17,1.56,,,641487.0,1,3,Bot,,,,,542208,,,6.116597149983373,-124.43573184555038,-3.1592331682839445,1.7055295542581883,24.509593766753586,-36.97428487677497,3.17,1.4,,,,85.9,2236.0,6.5,718050,665622,542208,542583,649557,607054,669397,667670,665923,657656,53.97,,,0.0,1.0,0.0,0.0,,23,3,Slider,0,2,0,2,2,0,0,2,Standard,Standard,57.0,-0.033,-0.197,ty france,
FF,2023-05-23,97.1,-2.78,6.2,"France, Ty",664034,665622,field_out,hit_into_play,,,,,4,Ty France pops out to second baseman Aledmys Diaz.,R,R,R,SEA,OAK,X,4.0,popup,1,0,2023,-0.91,1.43,-0.69,2.5,,,,1,1,Bot,157.14,150.97,,,542208,,,7.657217631975039,-141.01996129961023,-7.632371741461217,-13.871787313526948,32.27508010641451,-11.49581688272242,3.17,1.4,147.0,65.6,57.0,97.1,2456.0,6.4,718050,665622,542208,542583,649557,607054,669397,667670,665923,657656,54.11,0.014,0.013,0.0,1.0,0.0,0.0,3.0,8,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,216.0,-0.016,-0.2,ty france,
FF,2023-05-23,94.5,-1.12,5.86,"France, Ty",664034,543507,hit_by_pitch,hit_by_pitch,,,,,11,Ty France hit by pitch.,R,R,R,SEA,OAK,B,,,1,1,2023,-0.78,1.56,-1.56,3.81,,,,0,8,Bot,,,,,542208,,,0.5924280755401164,-137.5460161642153,-3.121061270078918,-9.95244712788594,33.17494231519153,-12.039613409594638,3.17,1.4,,,,95.1,2327.0,6.8,718050,543507,542208,542583,643393,607054,649557,667670,665923,657656,53.68,,,0.7,1.0,0.0,0.0,,57,3,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,210.0,0.019,0.402,ty france,
SL,2023-05-22,86.0,1.54,5.82,"France, Ty",664034,666205,field_out,hit_into_play,,,,,8,Ty France flies out to shortstop Nick Allen.,R,R,L,SEA,OAK,X,6.0,fly_ball,2,0,2023,0.05,0.31,0.26,1.64,,,641487.0,2,4,Bot,103.72,115.26,,,669127,,,-3.159176723858113,-125.2702301440549,-4.365746189273205,1.1052557155093607,23.80836261150722,-28.23995899115911,3.16,1.4,218.0,82.3,53.0,86.6,2048.0,6.5,718062,666205,669127,676116,643393,607054,669397,668709,665923,664913,54.0,0.02,0.018,0.0,1.0,0.0,0.0,3.0,35,3,Slider,5,0,5,0,0,5,5,0,Standard,Standard,99.0,-0.005,-0.302,ty france,
FF,2023-05-22,92.1,1.57,5.97,"France, Ty",664034,666205,walk,ball,,,,,12,Ty France walks.,R,R,L,SEA,OAK,B,,,3,2,2023,0.21,0.61,0.59,4.18,,,,2,2,Bot,,,,,669127,,,-2.9599921670214284,-134.25685179069004,-0.084520800969669,3.211437172574529,27.861609462723035,-24.905030249479253,3.16,1.4,,,,92.6,2419.0,6.4,718062,666205,669127,676116,643393,607054,669397,668709,665923,664913,54.09,,,0.7,1.0,0.0,0.0,,17,6,4-Seam Fastball,5,0,5,0,0,5,5,0,Standard,Standard,147.0,0.003,0.112,ty france,
