pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,2023-05-22,87.5,-2.84,5.23,"Fujinami, Shintaro",606192,660261,strikeout,swinging_strike,,,,,14,Teoscar Hernandez strikes out swinging.,R,R,R,SEA,OAK,S,2.0,,0,2,2023,-0.01,0.06,0.48,0.95,,,663728.0,2,8,Bot,,,,,669127,,,8.090072432854367,-127.22379526166186,-4.401502390092678,-1.527756507678651,22.896620813215563,-30.870080084826736,3.45,1.64,,,,88.7,1906.0,6.8,718062,660261,669127,676116,643393,607054,669397,664913,665923,657656,53.72,,,0.0,1.0,0.0,0.0,,75,3,Cutter,11,2,11,2,2,11,11,2,Standard,Standard,285.0,0.0,-0.169
SL,2023-05-22,86.1,-2.8,5.15,"Fujinami, Shintaro",606192,660261,,swinging_strike,,,,,14,Teoscar Hernandez strikes out swinging.,R,R,R,SEA,OAK,S,,,0,1,2023,0.12,0.14,0.32,1.49,,,663728.0,2,8,Bot,,,,,669127,,,7.232765895042752,-125.17490706167906,-2.739694940023739,-0.2228895817150037,25.830236310565112,-30.34113557629839,3.45,1.64,,,,86.9,1857.0,6.9,718062,660261,669127,676116,643393,607054,669397,664913,665923,657656,53.63,,,,,,,,75,2,Slider,11,2,11,2,2,11,11,2,Standard,Standard,10.0,0.0,-0.038
SL,2023-05-22,85.6,-2.8,5.28,"Fujinami, Shintaro",606192,660261,,called_strike,,,,,5,Teoscar Hernandez strikes out swinging.,R,R,R,SEA,OAK,S,,,0,0,2023,-0.05,0.21,0.18,2.58,,,663728.0,2,8,Bot,,,,,669127,,,7.191137507762927,-124.55242470863868,-0.5449965255901024,-1.933524470209388,23.61465895801848,-30.130822293114058,3.55,1.64,,,,86.4,1805.0,6.7,718062,660261,669127,676116,643393,607054,669397,664913,665923,657656,53.85,,,,,,,,75,1,Slider,11,2,11,2,2,11,11,2,Standard,Standard,262.0,0.0,-0.036
FS,2023-05-22,92.2,-2.76,5.38,"Fujinami, Shintaro",663728,660261,force_out,hit_into_play,,,,,13,"Cal Raleigh grounds into a force out, pitcher Shintaro Fujinami to shortstop Nick Allen.   Jarred Kelenic scores.    Sam Haggerty out at 2nd.    Cal Raleigh to 1st.",R,L,R,SEA,OAK,X,1.0,ground_ball,0,2,2023,-0.48,0.62,-1.28,1.51,672284.0,,664059.0,1,8,Bot,130.73,156.14,,,669127,,,4.84754500420198,-134.1417355627875,-5.4332166497097925,-6.779327330327806,27.526753271556984,-23.70026850197137,3.4,1.58,2.0,76.7,-35.0,93.3,967.0,6.9,718062,660261,669127,676116,643393,607054,669397,664913,665923,657656,53.64,0.054,0.049,0.0,1.0,0.0,0.0,2.0,74,3,Split-Finger,10,2,10,2,2,11,11,2,Strategic,Standard,244.0,0.0,-0.469
FF,2023-05-22,96.8,-2.81,5.2,"Fujinami, Shintaro",663728,660261,,foul,,,,,13,"Cal Raleigh grounds into a force out, pitcher Shintaro Fujinami to shortstop Nick Allen.   Jarred Kelenic scores.    Sam Haggerty out at 2nd.    Cal Raleigh to 1st.",R,L,R,SEA,OAK,S,,,0,1,2023,-1.11,1.03,-1.0,1.47,672284.0,,664059.0,1,8,Bot,,,,,669127,,,7.419257083693356,-140.78796696744143,-6.846265259522112,-16.40535042538149,30.1566220690514,-17.0423140748812,3.4,1.58,172.0,59.8,43.0,98.0,1929.0,6.8,718062,660261,669127,676116,643393,607054,669397,664913,665923,657656,53.66,,,,,,,,74,2,4-Seam Fastball,10,2,10,2,2,10,10,2,Strategic,Standard,230.0,0.0,-0.118
FF,2023-05-22,97.7,-2.85,5.25,"Fujinami, Shintaro",663728,660261,,called_strike,,,,,9,"Cal Raleigh grounds into a force out, pitcher Shintaro Fujinami to shortstop Nick Allen.   Jarred Kelenic scores.    Sam Haggerty out at 2nd.    Cal Raleigh to 1st.",R,L,R,SEA,OAK,S,,,0,0,2023,-1.04,1.17,0.55,1.95,672284.0,,664059.0,1,8,Bot,,,,,669127,,,11.670105130693283,-141.7182955360685,-6.144636896732293,-16.58471185932584,29.99757902795633,-15.07939959871366,3.53,1.58,,,,98.8,1834.0,6.9,718062,660261,669127,676116,643393,607054,669397,664913,665923,657656,53.6,,,,,,,,74,1,4-Seam Fastball,10,2,10,2,2,10,10,2,Strategic,Standard,232.0,0.0,-0.091
FF,2023-05-22,98.2,-2.69,5.18,"Fujinami, Shintaro",553993,660261,single,hit_into_play,,,,,9,Eugenio Suarez singles on a sharp line drive to center fielder Esteury Ruiz.   Ty France scores.    Julio Rodriguez scores.    Jarred Kelenic to 3rd.,R,R,R,SEA,OAK,X,8.0,line_drive,3,2,2023,-1.01,1.04,0.32,1.77,664034.0,677594.0,672284.0,1,8,Bot,109.34,62.65,,,669127,,,10.641843063190866,-142.5049575505098,-6.188496731012458,-16.30267516523967,33.963201838968274,-16.743420528317653,3.35,1.55,301.0,106.6,12.0,99.2,1971.0,7.1,718062,660261,669127,676116,643393,607054,669397,664913,665923,657656,53.41,0.894,0.898,0.9,1.0,1.0,0.0,5.0,73,6,4-Seam Fastball,8,2,8,2,2,10,10,2,Standard,Standard,231.0,0.001,0.99
FF,2023-05-22,95.6,-2.73,5.08,"Fujinami, Shintaro",553993,660261,,foul_tip,,,,,11,Eugenio Suarez singles on a sharp line drive to center fielder Esteury Ruiz.   Ty France scores.    Julio Rodriguez scores.    Jarred Kelenic to 3rd.,R,R,R,SEA,OAK,S,,,3,1,2023,-0.94,1.12,-0.12,3.52,664034.0,677594.0,672284.0,1,8,Bot,,,,,669127,,,9.125852704919373,-138.85242496203747,-0.974586149610835,-14.253988799214133,33.06216379066882,-17.69796108701796,3.35,1.55,,,,96.8,1872.0,7.2,718062,660261,669127,676116,643393,607054,669397,664913,665923,657656,53.3,,,,,,,,73,5,4-Seam Fastball,8,2,8,2,2,8,8,2,Standard,Standard,225.0,0.0,-0.133
SL,2023-05-22,86.0,-2.77,5.1,"Fujinami, Shintaro",553993,660261,,ball,,,,,14,Eugenio Suarez singles on a sharp line drive to center fielder Esteury Ruiz.   Ty France scores.    Julio Rodriguez scores.    Jarred Kelenic to 3rd.,R,R,R,SEA,OAK,B,,,2,1,2023,0.08,0.13,2.56,2.0,664034.0,677594.0,672284.0,1,8,Bot,,,,,669127,,,12.519943895902452,-124.52075350459532,-1.249095089285592,-1.9386928730617143,27.739821581394807,-30.80738279087427,3.45,1.55,,,,86.0,1962.0,6.8,718062,660261,669127,676116,643393,607054,669397,664913,665923,657656,53.7,,,,,,,,73,4,Slider,8,2,8,2,2,8,8,2,Standard,Standard,27.0,0.0,0.403
FF,2023-05-22,97.6,-2.61,5.21,"Fujinami, Shintaro",553993,660261,,ball,,,,,14,Eugenio Suarez singles on a sharp line drive to center fielder Esteury Ruiz.   Ty France scores.    Julio Rodriguez scores.    Jarred Kelenic to 3rd.,R,R,R,SEA,OAK,B,,,1,1,2023,-1.0,1.26,0.66,0.75,664034.0,677594.0,672284.0,1,8,Bot,,,,,669127,,,11.214683329997849,-141.48535807382322,-9.485181136795296,-15.962984797568,32.39302710099533,-13.127814023267028,3.49,1.55,,,,98.6,1977.0,7.0,718062,660261,669127,676116,643393,607054,669397,664913,665923,657656,53.45,,,,,,,,73,3,4-Seam Fastball,8,2,8,2,2,8,8,2,Standard,Standard,243.0,0.0,0.086
