pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
SL,2023-05-24,88.0,-2.65,5.49,"Gallagher, Cam",595956,656629,strikeout,called_strike,,,,,2,Cam Gallagher called out on strikes.,R,R,R,CLE,CWS,S,2.0,,2,2,2023,0.34,-0.23,-0.02,2.86,,,,2,3,Bot,,,,,664874,,,5.712209948717689,-128.2260824750186,0.1137314061730134,2.7960495587057648,22.39874225643053,-34.923263401095554,3.26,1.61,,,,89.2,2409,6.6,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.87,,,0.0,1.0,0.0,0.0,,20,6,Slider,0,1,0,1,1,0,0,1,Standard,Strategic,88,-0.013,-0.09,cam gallagher,
FF,2023-05-21,96.0,-0.93,7.03,"Gallagher, Cam",595956,434378,field_out,hit_into_play,,,,,3,Cam Gallagher flies out to right fielder Mark Canha.,R,R,R,NYM,CLE,X,9.0,fly_ball,0,0,2023,-0.62,1.8,0.81,3.44,,,,2,8,Top,205.68,107.52,,,682626,,,5.981162902700365,-139.41430039762983,-7.862120990408176,-9.519873387269987,35.23841958389411,-7.162820693866104,3.39,1.63,300.0,87.0,34.0,95.1,2618,6.2,718082,434378,682626,624413,643446,683146,596019,502054,607043,592192,54.33,0.017,0.015,0.0,1.0,0.0,0.0,3.0,53,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,200,0.025,-0.103,cam gallagher,
FF,2023-05-21,94.0,-1.38,7.04,"Gallagher, Cam",595956,434378,field_out,hit_into_play,,,,,4,Cam Gallagher pops out to first baseman Pete Alonso.,R,R,R,NYM,CLE,X,3.0,popup,1,2,2023,-0.71,1.63,-0.64,2.82,,,664702.0,2,5,Top,135.09,178.74,,,682626,,,3.4692221642700987,-136.61232378970985,-8.751872994271032,-9.602947730135298,32.12382312067547,-10.060921812439764,3.39,1.63,33.0,65.8,79.0,93.3,2470,6.1,718082,434378,682626,624413,643446,683146,596019,502054,607043,592192,54.39,0.009,0.009,0.0,1.0,0.0,0.0,3.0,34,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,197,0.025,-0.176,cam gallagher,
FF,2023-05-21,95.0,-1.23,6.96,"Gallagher, Cam",595956,434378,strikeout,called_strike,,,,,6,Cam Gallagher called out on strikes.,R,R,R,NYM,CLE,S,2.0,,1,2,2023,-0.82,1.85,0.74,2.48,,,,0,3,Top,,,,,682626,,,6.951490521115542,-137.77084000112907,-10.095090435815097,-12.02255020707198,32.67636448546198,-6.494815462906698,3.32,1.63,,,,94.2,2519,6.2,718082,434378,682626,624413,643446,683146,596019,502054,607043,592192,54.33,,,0.0,1.0,0.0,0.0,,16,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,202,0.021,-0.175,cam gallagher,
CH,2023-05-19,86.7,-1.21,5.84,"Gallagher, Cam",595956,471911,strikeout,swinging_strike_blocked,,,,,14,Cam Gallagher strikes out swinging.,R,R,R,NYM,CLE,S,2.0,,1,2,2023,-0.64,0.0,0.7,0.31,,686823.0,,0,5,Top,,,,,682626,,,5.901798237997522,-126.10476403244436,-7.081623625907002,-7.993410542619961,23.36303521523531,-31.006223544340678,3.4,1.64,,,,87.2,1168,6.4,718119,471911,682626,624413,643446,683146,596019,592192,607043,516782,54.1,,,0.0,1.0,0.0,0.0,,34,5,Changeup,0,4,4,0,4,0,4,0,Standard,Standard,244,0.014,-0.32,cam gallagher,
SI,2023-05-19,90.3,-1.16,5.84,"Gallagher, Cam",595956,471911,single,hit_into_play,,,,,4,Cam Gallagher singles on a fly ball to left fielder Mark Canha.   Myles Straw scores.,R,R,R,NYM,CLE,X,7.0,fly_ball,1,0,2023,-1.3,0.73,-0.78,2.48,664702.0,,,1,2,Top,65.17,118.79,,,682626,,,3.7227289412988367,-131.4728986802533,-3.989328474673961,-15.799074724221551,29.27304433731087,-23.03468872369076,3.4,1.64,233.0,70.0,29.0,90.7,2015,6.6,718119,471911,682626,624413,643446,683146,596019,592192,607043,516782,53.91,0.886,0.817,0.9,1.0,1.0,0.0,4.0,12,2,Sinker,0,3,3,0,4,0,4,0,Strategic,Standard,218,-0.034,0.558,cam gallagher,
FC,2023-05-19,91.0,-2.4,5.75,"Gallagher, Cam",595956,608678,single,hit_into_play,,,,,14,Cam Gallagher singles on a line drive to right fielder Starling Marte.   Will Brennan to 3rd.,R,R,R,NYM,CLE,X,9.0,line_drive,1,1,2023,0.25,0.64,0.98,1.68,,,686823.0,0,7,Top,164.78,113.29,,,682626,,,7.997278121887017,-132.14013140487853,-5.65758975770659,1.0749802218469415,30.021048176115,-23.58318494019585,3.4,1.64,222.0,84.9,13.0,91.3,2445,6.7,718119,608678,682626,624413,643446,683146,596019,592192,607043,516782,53.76,0.786,0.733,0.9,1.0,1.0,0.0,4.0,54,3,Cutter,3,5,5,3,5,3,5,3,Standard,Standard,186,-0.056,0.695,cam gallagher,
SI,2023-05-19,91.6,-2.7,5.36,"Gallagher, Cam",595956,493603,field_out,hit_into_play,,,,,4,"Cam Gallagher grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.",R,R,R,NYM,CLE,X,6.0,ground_ball,3,2,2023,-1.35,0.46,-0.7,2.49,,,,2,8,Top,117.12,156.98,,,682626,,,8.070451069520118,-133.2428158273604,-2.411143033085146,-17.85905386795964,27.77478907603172,-26.353190670905203,3.4,1.64,13.0,53.6,-8.0,92.7,2258,6.9,718119,493603,682626,624413,643446,683146,596019,592192,607043,516782,53.6,0.091,0.083,0.0,1.0,0.0,0.0,1.0,71,8,Sinker,7,7,7,7,7,7,7,7,Standard,Standard,227,0.025,-0.131,cam gallagher,
FF,2023-05-18,94.1,-1.28,6.45,"Gallagher, Cam",595956,656302,strikeout,swinging_strike,,,,,3,Cam Gallagher strikes out swinging.,R,R,R,CWS,CLE,S,2.0,,1,2,2023,-0.31,1.61,0.41,3.48,,,677587.0,2,5,Top,,,,,664874,,,5.036308443197169,-136.9594693783159,-5.56719898028685,-4.917507652291671,28.862016145161626,-10.891837362871373,3.42,1.65,,,,94.1,2624,6.2,718125,656302,664874,683734,593643,669394,641313,643217,673357,545350,54.31,,,0.0,1.0,0.0,0.0,,36,4,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,190,0.031,-0.176,cam gallagher,
SL,2023-05-18,84.7,-1.58,6.12,"Gallagher, Cam",595956,656302,strikeout,called_strike,,,,,14,Cam Gallagher called out on strikes.,R,R,R,CWS,CLE,S,2.0,,2,2,2023,0.06,0.06,0.93,1.71,,,,1,3,Top,,,,,664874,,,5.732360362425665,-123.30714795965557,-4.096543510302933,-0.4883381235714217,23.141654861876685,-30.992365217129112,3.3,1.6,,,,84.7,2918,6.2,718125,656302,664874,683734,593643,669394,641313,643217,673357,545350,54.34,,,0.0,1.0,0.0,0.0,,17,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard,53,0.018,-0.153,cam gallagher,
