pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
SI,2023-05-24,95.2,-2.63,5.1,"García, Yimi",623912,554340,strikeout,swinging_strike,,,,,11,Harold Ramirez strikes out swinging.,R,R,R,TB,TOR,S,2.0,,2,2,2023,-1.59,0.67,-1.56,2.84,,,677551.0,2,8,Bot,,,,,672386,,,6.343342595937333,-138.45628709764034,-1.7623054188730722,-21.82047954384829,32.670677998021894,-23.34053132631836,3.1,1.43,,,,94.6,2335.0,6.1,718044,554340,672386,665489,624415,656305,666182,593160,662139,664770,54.39,,,0.0,1.0,0.0,0.0,,70,8,Sinker,7,3,7,3,3,7,7,3,Strategic,Standard,226.0,-0.001,-0.206
SL,2023-05-24,85.8,-2.52,5.19,"García, Yimi",623912,554340,,foul,,,,,12,Harold Ramirez strikes out swinging.,R,R,R,TB,TOR,S,,,2,2,2023,0.45,0.08,1.09,2.34,,,677551.0,2,8,Bot,,,,,672386,,,7.606706587944763,-124.76107795030622,-0.6110978871600152,3.0714079338561127,26.013653348234705,-31.44691381702215,3.1,1.43,,,,85.2,2591.0,6.0,718044,554340,672386,665489,624415,656305,666182,593160,662139,664770,54.47,,,,,,,,70,7,Slider,7,3,7,3,3,7,7,3,Strategic,Standard,102.0,0.0,0.0
SL,2023-05-24,88.2,-2.56,5.12,"García, Yimi",623912,554340,,blocked_ball,,,,,14,Harold Ramirez strikes out swinging.,R,R,R,TB,TOR,B,,,1,2,2023,0.49,0.41,0.57,0.61,,,677551.0,2,8,Bot,,,,,672386,,,6.574843997600596,-128.18032055583296,-5.66121085222027,3.985876918576114,27.253318490163924,-26.705466643529697,3.42,1.68,,,,87.7,2437.0,6.1,718044,554340,672386,665489,624415,656305,666182,593160,662139,664770,54.38,,,,,,,,70,6,Slider,7,3,7,3,3,7,7,3,Strategic,Standard,181.0,0.0,0.03
FF,2023-05-24,96.9,-2.57,5.08,"García, Yimi",623912,554340,,foul,,,,,2,Harold Ramirez strikes out swinging.,R,R,R,TB,TOR,S,,,1,2,2023,-1.11,1.02,-0.26,3.11,,,677551.0,2,8,Bot,,,,,672386,,,8.662712491654283,-140.8914987154937,-2.02989459319021,-16.742428382564267,33.21696234887536,-18.39426514963766,3.1,1.43,211.0,70.2,40.0,96.4,2449.0,6.1,718044,554340,672386,665489,624415,656305,666182,593160,662139,664770,54.35,,,,,,,,70,5,4-Seam Fastball,7,3,7,3,3,7,7,3,Strategic,Standard,230.0,0.0,0.0
FF,2023-05-24,94.3,-2.58,5.13,"García, Yimi",623912,554340,,foul,,,,,11,Harold Ramirez strikes out swinging.,R,R,R,TB,TOR,S,,,1,2,2023,-0.99,1.17,-0.42,4.15,,,677551.0,2,8,Bot,,,,,672386,,,7.7561460492924095,-137.15979997775,0.5535945830423894,-14.163279020889332,30.801696712066384,-17.80353735821406,3.1,1.43,164.0,72.0,63.0,93.8,2340.0,6.1,718044,554340,672386,665489,624415,656305,666182,593160,662139,664770,54.45,,,,,,,,70,4,4-Seam Fastball,7,3,7,3,3,7,7,3,Strategic,Standard,231.0,0.0,0.0
SI,2023-05-24,95.9,-2.47,5.1,"García, Yimi",623912,554340,,foul,,,,,7,Harold Ramirez strikes out swinging.,R,R,R,TB,TOR,S,,,1,1,2023,-1.73,0.21,-0.47,1.54,,,677551.0,2,8,Bot,,,,,672386,,,9.138138641835264,-139.2755924169383,-4.213046698114114,-24.630487024562985,33.303065435092,-28.61975938986207,3.1,1.43,2.0,84.3,-42.0,95.1,2249.0,6.1,718044,554340,672386,665489,624415,656305,666182,593160,662139,664770,54.41,,,,,,,,70,3,Sinker,7,3,7,3,3,7,7,3,Strategic,Standard,225.0,0.0,-0.056
CU,2023-05-24,86.2,-2.44,5.17,"García, Yimi",623912,554340,,ball,,,,,14,Harold Ramirez strikes out swinging.,R,R,R,TB,TOR,B,,,0,1,2023,0.46,-0.08,1.75,1.95,,,677551.0,2,8,Bot,,,,,672386,,,8.95805689992904,-125.24561830447364,-1.1872052759527791,2.8417985628540445,27.814543981608043,-33.00560509287784,3.38,1.61,,,,85.4,2625.0,6.1,718044,554340,672386,665489,624415,656305,666182,593160,662139,664770,54.43,,,,,,,,70,2,Curveball,7,3,7,3,3,7,7,3,Strategic,Standard,123.0,0.0,0.026
CU,2023-05-24,83.1,-2.44,5.24,"García, Yimi",623912,554340,,called_strike,,,,,3,Harold Ramirez strikes out swinging.,R,R,R,TB,TOR,S,,,0,0,2023,0.61,-0.11,0.31,2.85,,,677551.0,2,8,Bot,,,,,672386,,,5.080148328632453,-120.9141956357566,1.1870542763670822,4.897833418964927,24.50914492190047,-33.71642493664738,3.15,1.59,,,,82.2,2650.0,5.8,718044,554340,672386,665489,624415,656305,666182,593160,662139,664770,54.72,,,,,,,,70,1,Curveball,7,3,7,3,3,7,7,3,Strategic,Standard,87.0,0.0,-0.036
CH,2023-05-24,86.6,-2.49,5.22,"García, Yimi",677551,554340,single,hit_into_play,,,,,7,Wander Franco singles on a ground ball to center fielder Daulton Varsho.   Jose Siri scores.,R,L,R,TB,TOR,X,8.0,ground_ball,0,0,2023,-1.52,0.26,-0.47,1.45,,642350.0,,2,8,Bot,138.57,94.76,,,672386,,,7.88506527877988,-125.8953272670734,-3.3105999803324915,-17.80280387604608,25.96427949522346,-28.91500559886921,3.34,1.48,35.0,83.6,-1.0,86.1,1798.0,6.1,718044,554340,672386,665489,624415,656305,666182,593160,662139,664770,54.42,0.209,0.202,0.9,1.0,1.0,0.0,2.0,69,1,Changeup,6,3,6,3,3,7,7,3,Standard,Standard,245.0,0.015,0.764
CU,2023-05-24,81.7,-2.52,5.15,"García, Yimi",622534,554340,field_out,hit_into_play,,,,,9,"Manuel Margot grounds out, third baseman Matt Chapman to first baseman Vladimir Guerrero Jr.  Jose Siri to 2nd.",R,R,R,TB,TOR,X,5.0,ground_ball,0,2,2023,1.04,-0.66,0.43,2.0,,,642350.0,1,8,Bot,108.31,176.45,,,672386,,,4.625584547905667,-118.93030911896716,0.7434270031216077,8.931712479492123,23.48362863420004,-38.7581520531729,3.33,1.56,1.0,83.8,-57.0,81.2,2767.0,6.0,718044,554340,672386,665489,624415,656305,666182,593160,662139,664770,54.53,0.271,0.247,0.0,1.0,0.0,0.0,2.0,68,5,Curveball,6,3,6,3,3,6,6,3,Standard,Standard,79.0,-0.002,-0.278
FF,2023-05-24,95.3,-2.42,5.08,"García, Yimi",622534,554340,,foul,,,,,12,"Manuel Margot grounds out, third baseman Matt Chapman to first baseman Vladimir Guerrero Jr.  Jose Siri to 2nd.",R,R,R,TB,TOR,S,,,0,2,2023,-0.94,1.24,0.12,3.73,,,642350.0,1,8,Bot,,,,,672386,,,8.708628322612071,-138.4953998563075,-0.6335058856306567,-14.08705468265004,33.85946145290357,-16.360730516462343,3.33,1.56,247.0,82.7,46.0,94.4,2376.0,6.0,718044,554340,672386,665489,624415,656305,666182,593160,662139,664770,54.48,,,,,,,,68,4,4-Seam Fastball,6,3,6,3,3,6,6,3,Standard,Standard,230.0,0.0,0.0
FF,2023-05-24,96.8,-2.47,5.07,"García, Yimi",622534,554340,,foul,,,,,5,"Manuel Margot grounds out, third baseman Matt Chapman to first baseman Vladimir Guerrero Jr.  Jose Siri to 2nd.",R,R,R,TB,TOR,S,,,0,2,2023,-1.08,1.22,-0.24,2.52,,,642350.0,1,8,Bot,,,,,672386,,,8.36991334960647,-140.6461934269518,-4.014149279404878,-16.260024475955625,31.86515743308547,-15.279224636463224,3.33,1.56,185.0,68.1,35.0,96.3,2442.0,6.1,718044,554340,672386,665489,624415,656305,666182,593160,662139,664770,54.44,,,,,,,,68,3,4-Seam Fastball,6,3,6,3,3,6,6,3,Standard,Standard,231.0,0.0,0.0
SI,2023-05-24,94.9,-2.56,5.08,"García, Yimi",622534,554340,,foul,,,,,13,"Manuel Margot grounds out, third baseman Matt Chapman to first baseman Vladimir Guerrero Jr.  Jose Siri to 2nd.",R,R,R,TB,TOR,S,,,0,1,2023,-1.65,0.75,-1.01,1.42,,,642350.0,1,8,Bot,,,,,672386,,,7.72899650106818,-137.89005049458024,-5.551705436689573,-22.79742563928325,33.04233297089128,-21.50428541941444,3.33,1.56,1.0,7.9,-48.0,94.3,2254.0,6.2,718044,554340,672386,665489,624415,656305,666182,593160,662139,664770,54.29,,,,,,,,68,2,Sinker,6,3,6,3,3,6,6,3,Standard,Strategic,225.0,0.0,-0.06
