pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FF,2023-04-08,92.2,1.7,6.08,"Garver, Mitch",641598,657006,walk,ball,,,,,13,Mitch Garver walks.,R,R,L,CHC,TEX,B,,,3,2,2023,-0.26,0.89,-1.46,1.16,,,,2,6,Top,,,,,543228,,,-7.431213115950998,-133.86321362064234,-8.558830363170824,-1.524850362944978,28.40840643251214,-19.794297826560847,3.28,1.57,,,,92.0,2426,6.2,718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,54.26,,,0.7,1.0,0.0,0.0,,46,7,4-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard,165,-0.018,0.112,mitch garver,
SL,2023-04-08,84.8,1.8,6.18,"Garver, Mitch",641598,657006,strikeout,swinging_strike,,,,,13,Mitch Garver strikes out swinging.,R,R,L,CHC,TEX,S,2.0,,0,2,2023,-1.36,-0.05,-1.2,1.83,,666969.0,673962.0,2,3,Top,,,,,543228,,,-4.289107453456413,-123.4472567688664,-3.7324725381368777,-13.069838846779412,24.24589707770754,-32.162778072135765,3.54,1.68,,,,84.6,2767,6.1,718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,54.4,,,0.0,1.0,0.0,0.0,,24,3,Slider,1,1,1,1,1,1,1,1,Standard,Standard,315,0.048,-0.277,mitch garver,
FF,2023-04-08,92.9,1.72,6.19,"Garver, Mitch",641598,657006,walk,ball,,,,,11,Mitch Garver walks.,R,R,L,CHC,TEX,B,,,3,1,2023,0.1,1.24,-1.17,3.66,,,,1,2,Top,,,,,543228,,,-7.605419507198762,-135.17406119163653,-3.439703959837254,2.8061143127506627,28.838500096636604,-16.41028915122937,3.33,1.58,,,,92.9,2409,6.2,718669,657006,543228,641820,663538,663611,621020,664023,641355,621550,54.26,,,0.7,1.0,0.0,0.0,,11,5,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,166,-0.027,0.167,mitch garver,
FF,2023-04-08,92.7,-1.63,5.61,"Garver, Mitch",641598,502202,field_out,hit_into_play,,,,,5,"Mitch Garver grounds out, shortstop Dansby Swanson to first baseman Trey Mancini.",R,R,R,CHC,TEX,X,6.0,ground_ball,2,0,2023,-0.6,1.57,-0.23,2.78,,,,1,8,Top,105.49,151.61,,,543228,,,4.857018314452858,-134.82877332148348,-4.8002677942757925,-8.401008321101342,31.054768806332245,-12.245989827701532,3.54,1.68,98.0,104.5,5.0,91.7,2412,5.9,718669,502202,543228,641820,663538,663611,621020,664023,641355,621550,54.64,0.566,0.537,0.0,1.0,0.0,0.0,4.0,67,3,4-Seam Fastball,6,2,2,6,2,6,2,6,Standard,Standard,207,0.007,-0.246,mitch garver,
SI,2023-04-07,91.0,-0.74,5.41,"Garver, Mitch",641598,573186,field_out,hit_into_play,,,,,6,Mitch Garver pops out to first baseman Eric Hosmer in foul territory.,R,R,R,CHC,TEX,X,3.0,popup,0,0,2023,-0.57,0.41,0.78,2.53,,,,1,5,Top,166.91,168.96,,,571466,,,4.964060578424009,-132.46006884488307,-2.207759415835066,-7.729429690280936,27.237424351162424,-27.10443044552519,3.51,1.64,128.0,80.8,59.0,90.2,2048,5.7,718675,573186,571466,543333,663538,621550,621020,664023,641355,670156,54.78,0.026,0.024,0.0,1.0,0.0,0.0,3.0,30,1,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,176,0.023,-0.172,mitch garver,
SI,2023-04-07,92.3,-0.86,5.41,"Garver, Mitch",641598,573186,strikeout,foul_tip,,,,,12,Mitch Garver strikes out on a foul tip.,R,R,R,CHC,TEX,S,2.0,,1,2,2023,-0.33,0.7,1.22,2.7,,,,1,2,Top,,,,,571466,,,5.948569216491189,-134.30273270013328,-2.5722365574306187,-5.22888907021699,28.45825955936104,-23.382402320297977,3.51,1.64,,,,91.4,2651,5.7,718675,573186,571466,543333,663538,621550,621020,664023,641355,670156,54.82,,,0.0,1.0,0.0,0.0,,10,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,201,0.017,-0.122,mitch garver,
FS,2023-04-07,85.0,-1.13,5.75,"Garver, Mitch",641598,643410,strikeout,swinging_strike,,,,,5,Mitch Garver strikes out swinging.,R,R,R,CHC,TEX,S,2.0,,1,2,2023,-0.49,0.73,0.03,2.32,,,,1,7,Top,,,,,571466,,,3.729402748787389,-123.80118722675296,-3.1970415810908985,-5.816459870047724,24.426444146050084,-24.26253183234665,3.51,1.64,,,,85.7,923,6.7,718675,643410,571466,543333,663538,621550,621020,664023,641355,670156,53.84,,,0.0,1.0,0.0,0.0,,47,4,Split-Finger,2,0,0,2,0,2,0,2,Standard,Standard,225,0.023,-0.122,mitch garver,
FF,2023-04-05,96.2,-2.1,5.76,"Garver, Mitch",641598,680570,strikeout,called_strike,,,,,9,Mitch Garver called out on strikes.,R,R,R,TEX,BAL,S,2.0,,3,2,2023,-0.9,1.49,0.61,2.13,,,543257.0,1,4,Bot,,,,,668939,,,9.376202484576396,-139.66597837285553,-7.498990795951742,-13.927384958259962,32.11244162741165,-11.061061064651286,3.48,1.71,,,,97.5,2176,7.2,718694,680570,668939,663624,624428,683002,622761,669720,656775,623993,53.31,,,0.0,1.0,0.0,0.0,,28,7,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,211,-0.019,-0.385,mitch garver,
FC,2023-04-05,90.4,-2.42,5.72,"Garver, Mitch",641598,680570,field_out,hit_into_play,,,,,9,"Mitch Garver grounds out, catcher Adley Rutschman to first baseman Ryan Mountcastle.",R,R,R,TEX,BAL,X,2.0,ground_ball,2,0,2023,0.16,0.84,0.29,1.85,,,,0,2,Bot,122.14,198.97,,,668939,,,6.53639366264587,-131.508159960918,-5.582148589852289,0.5915939298843331,26.688678306036763,-21.490808886371635,3.51,1.64,0.0,65.5,-84.0,92.2,2274,7.3,718694,680570,668939,663624,624428,683002,622761,669720,656775,623993,53.19,0.157,0.141,0.0,1.0,0.0,0.0,2.0,13,3,Cutter,2,0,2,0,0,2,2,0,Standard,Strategic,188,-0.015,-0.34,mitch garver,
ST,2023-04-05,83.1,-2.77,5.49,"Garver, Mitch",641598,608723,single,hit_into_play,,,,,6,Mitch Garver singles on a ground ball to third baseman Gunnar Henderson.,R,R,R,TEX,BAL,X,5.0,ground_ball,2,2,2023,1.15,0.74,0.55,2.82,,,,2,6,Bot,91.36,166.67,,,668939,,,5.335073791407995,-120.99359675982856,-1.0876852961039831,10.190949918778568,23.977025700661475,-24.9026579041467,3.51,1.64,34.0,85.1,-2.0,82.9,2933,6.2,718694,608723,668939,663624,624428,683002,622761,669720,656775,623993,54.34,0.197,0.189,0.9,1.0,1.0,0.0,2.0,47,5,Sweeper,4,2,4,2,2,4,4,2,Standard,Standard,54,0.007,0.149,mitch garver,
