pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-22,96.5,-1.13,5.76,"Gibaut, Ian",669242,664139,strikeout,swinging_strike,,,,,2,Tommy Edman strikes out swinging.,R,L,R,CIN,STL,S,2.0,,1,2,2023,-0.24,1.41,-0.21,2.76,,669357.0,680977.0,2,10,Top,,,,,571912,,,3.026984165513864,-140.43941446015185,-5.670955960676349,-3.8260397793638736,33.61753968046839,-12.415861866451108,3.12,1.46,,,,97.7,2237.0,7.1,718071,664139,571912,668715,663697,669222,680574,641584,666181,571976,53.42,,,0.0,1.0,0.0,0.0,,85,4,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,208.0,0.118,-0.307
FC,2023-05-22,92.7,-1.35,5.7,"Gibaut, Ian",669242,664139,,swinging_strike,,,,,12,Tommy Edman strikes out swinging.,R,L,R,CIN,STL,S,,,1,1,2023,0.39,0.91,1.29,2.82,,669357.0,680977.0,2,10,Top,,,,,571912,,,6.000871154912828,-134.9512407085774,-3.636707238818359,3.480358970022532,28.066966642379143,-20.471732095759418,3.12,1.46,,,,94.4,2352.0,7.2,718071,664139,571912,668715,663697,669222,680574,641584,666181,571976,53.35,,,,,,,,85,3,Cutter,5,5,5,5,5,5,5,5,Strategic,Standard,180.0,0.0,-0.139
FF,2023-05-22,96.7,-1.01,5.71,"Gibaut, Ian",669242,664139,,ball,,,,,12,Tommy Edman strikes out swinging.,R,L,R,CIN,STL,B,,,0,1,2023,-0.41,1.51,1.15,2.65,,669357.0,680977.0,2,10,Top,,,,,571912,,,6.841400921379033,-140.5376875452653,-6.127805034671,-7.080231073069179,33.42520090213392,-10.97425487790679,3.25,1.46,,,,98.4,2259.0,7.4,718071,664139,571912,668715,663697,669222,680574,641584,666181,571976,53.1,,,,,,,,85,2,4-Seam Fastball,5,5,5,5,5,5,5,5,Strategic,Standard,206.0,0.0,0.063
FF,2023-05-22,95.2,-1.2,5.68,"Gibaut, Ian",669242,664139,,called_strike,,,,,5,Tommy Edman strikes out swinging.,R,L,R,CIN,STL,S,,,0,0,2023,-0.32,1.53,0.27,2.22,,669357.0,680977.0,2,10,Top,,,,,571912,,,4.66929365058356,-138.4471295539501,-6.954045771017417,-5.160426804131748,31.02623797646369,-11.165691802578428,3.33,1.53,,,,96.5,2218.0,7.1,718071,664139,571912,668715,663697,669222,680574,641584,666181,571976,53.4,,,,,,,,85,1,4-Seam Fastball,5,5,5,5,5,5,5,5,Strategic,Standard,211.0,0.0,-0.085
FF,2023-05-22,95.5,-1.15,5.75,"Gibaut, Ian",680977,664139,walk,ball,,,,,11,Brendan Donovan walks.,R,L,R,CIN,STL,B,,,3,0,2023,-0.42,1.46,-0.97,3.88,,669357.0,,2,10,Top,,,,,571912,,,1.4446958097516078,-139.0784672574041,-2.6367651163076262,-5.818674926977924,31.95604038319526,-12.82314130304426,3.25,1.64,,,,96.8,2155.0,7.1,718071,664139,571912,668715,663697,669222,680574,641584,666181,571976,53.44,,,0.7,1.0,0.0,0.0,,84,4,4-Seam Fastball,5,5,5,5,5,5,5,5,Strategic,Standard,210.0,-0.009,0.038
FF,2023-05-22,95.5,-1.21,5.83,"Gibaut, Ian",680977,664139,,ball,,,,,11,Brendan Donovan walks.,R,L,R,CIN,STL,B,,,2,0,2023,-0.39,1.43,-0.95,4.73,,669357.0,,2,10,Top,,,,,571912,,,1.5930056648513624,-139.1935444041565,-0.4961805006755693,-5.410654314516055,31.43768958352612,-13.73788118025225,3.38,1.64,,,,96.7,2171.0,6.9,718071,664139,571912,668715,663697,669222,680574,641584,666181,571976,53.62,,,,,,,,84,3,4-Seam Fastball,5,5,5,5,5,5,5,5,Strategic,Standard,203.0,0.0,0.056
FC,2023-05-22,92.6,-1.28,5.67,"Gibaut, Ian",680977,664139,,ball,,,,,14,Brendan Donovan walks.,R,L,R,CIN,STL,B,,,1,0,2023,0.27,0.96,1.47,1.65,,669357.0,,2,10,Top,,,,,571912,,,6.517058761169563,-134.76051977591675,-6.728646838723995,2.0423010599714546,25.91257225080136,-19.175492475614124,3.43,1.64,,,,94.2,2302.0,7.0,718071,664139,571912,668715,663697,669222,680574,641584,666181,571976,53.51,,,,,,,,84,2,Cutter,5,5,5,5,5,5,5,5,Standard,Standard,189.0,0.0,0.029
FC,2023-05-22,94.2,-1.23,5.74,"Gibaut, Ian",680977,664139,,ball,,,,,14,Brendan Donovan walks.,R,L,R,CIN,STL,B,,,0,0,2023,0.23,0.97,0.62,1.45,,669357.0,,2,10,Top,,,,,571912,,,4.345345393792456,-137.04965762838273,-7.723923255151309,1.9619555984557877,29.28517877752982,-18.47277241950049,3.49,1.75,,,,95.7,2337.0,7.1,718071,664139,571912,668715,663697,669222,680574,641584,666181,571976,53.4,,,,,,,,84,1,Cutter,5,5,5,5,5,5,5,5,Strategic,Standard,190.0,0.0,0.035
ST,2023-05-22,86.2,-1.44,5.68,"Gibaut, Ian",668663,664139,field_out,hit_into_play,,,,,6,Tres Barrera flies out to center fielder Will Benson.,R,R,R,CIN,STL,X,8.0,fly_ball,0,0,2023,0.81,0.46,0.64,2.24,,669357.0,,1,10,Top,105.59,83.26,,,571912,,,3.341733985362595,-125.58426843312596,-2.9211265483742133,7.944851335631237,24.63214691778506,-26.97590419123947,3.32,1.55,293.0,83.6,37.0,87.5,2452.0,7.0,718071,664139,571912,668715,663697,669222,680574,641584,666181,571976,53.54,0.009,0.008,0.0,1.0,0.0,0.0,3.0,83,1,Sweeper,5,5,5,5,5,5,5,5,Standard,Standard,81.0,0.083,-0.351
FF,2023-05-22,96.0,-0.9,5.85,"Gibaut, Ian",657557,664139,strikeout,swinging_strike,,,,,12,Paul DeJong strikes out swinging.,R,R,R,CIN,STL,S,2.0,,0,2,2023,-0.36,1.44,0.89,3.05,,669357.0,,0,10,Top,,,,,571912,,,5.656213560780969,-139.75857306788393,-5.178375192193787,-6.003216702118368,30.32785512028707,-12.369348205775138,3.37,1.6,,,,97.9,2180.0,7.2,718071,664139,571912,668715,663697,669222,680574,641584,666181,571976,53.27,,,0.0,1.0,0.0,0.0,,82,3,4-Seam Fastball,5,5,5,5,5,5,5,5,Standard,Standard,207.0,0.115,-0.252
ST,2023-05-22,86.2,-1.49,5.69,"Gibaut, Ian",657557,664139,,foul,,,,,14,Paul DeJong strikes out swinging.,R,R,R,CIN,STL,S,,,0,1,2023,1.02,0.64,0.88,2.41,,669357.0,,0,10,Top,,,,,571912,,,3.5894096102005792,-125.58582819088396,-2.9001431967892586,10.056572559799749,25.811906741939737,-24.985835151119225,3.37,1.6,204.0,72.9,47.0,87.1,2384.0,6.8,718071,664139,571912,668715,663697,669222,680574,641584,666181,571976,53.66,,,,,,,,82,2,Sweeper,5,5,5,5,5,5,5,5,Standard,Standard,79.0,0.0,-0.084
FC,2023-05-22,92.9,-1.33,5.74,"Gibaut, Ian",657557,664139,,called_strike,,,,,12,Paul DeJong strikes out swinging.,R,R,R,CIN,STL,S,,,0,0,2023,0.0,1.06,0.86,3.17,,669357.0,,0,10,Top,,,,,571912,,,5.6836893276843306,-135.26607358281532,-3.216568409366616,-1.201418677429117,27.428087799482235,-18.584483472244795,3.41,1.6,,,,94.2,2347.0,6.9,718071,664139,571912,668715,663697,669222,680574,641584,666181,571976,53.61,,,,,,,,82,1,Cutter,5,5,5,5,5,5,5,5,Standard,Standard,193.0,0.0,-0.088
FC,2023-05-20,94.2,-1.31,5.83,"Gibaut, Ian",665828,664139,field_out,hit_into_play,,,,,3,"Oswaldo Cabrera grounds out, shortstop Matt McLain to first baseman Spencer Steer.",R,L,R,CIN,NYY,X,6.0,ground_ball,0,1,2023,0.15,1.16,0.49,3.05,,664056.0,,2,10,Top,135.09,140.56,,,592200,,,4.408336682493601,-137.2314942901611,-4.232465544136254,1.1238861147121586,26.10016222320288,-16.72988988623888,3.26,1.51,133.0,68.6,12.0,96.0,2413.0,7.0,718095,664139,592200,668715,621028,669222,680574,641584,656413,571976,53.53,0.317,0.293,0.0,1.0,0.0,0.0,2.0,80,2,Cutter,4,7,7,4,7,4,7,4,Standard,Standard,188.0,-0.004,-0.269
FF,2023-05-20,96.6,-0.63,5.96,"Gibaut, Ian",665828,664139,,called_strike,,,,,2,"Oswaldo Cabrera grounds out, shortstop Matt McLain to first baseman Spencer Steer.",R,L,R,CIN,NYY,S,,,0,0,2023,-0.43,1.53,-0.07,2.99,,,664056.0,2,10,Top,,,,,592200,,,2.5004619138449318,-140.69758662127217,-5.932247359528685,-6.280192744510602,29.86622613442172,-10.625850601752733,3.05,1.51,,,,98.1,2313.0,6.9,718095,664139,592200,668715,621028,669222,680574,641584,656413,571976,53.56,,,,,,,,80,1,4-Seam Fastball,4,7,7,4,7,4,7,4,Standard,Standard,201.0,-0.005,-0.036
