pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
CH,2023-05-25,85.4,-2.29,6.26,"Gibson, Kyle",665828,502043,grounded_into_double_play,hit_into_play,,,,,4,"Yankees challenged (play at 1st), call on the field was upheld: Oswaldo Cabrera grounds into a double play, first baseman Ryan O'Hearn to shortstop Jorge Mateo to pitcher Kyle Gibson.   Willie Calhoun out at 2nd.    Oswaldo Cabrera out at 1st.",R,L,R,NYY,BAL,X,3.0,ground_ball,3,2,2023,-1.49,0.45,-0.48,2.11,,,641432.0,1,7,Bot,149.15,170.61,,,668939,,,7.320748145417374,-123.99447043517658,-4.328497563964852,-16.843349791870317,26.94939657478767,-26.849324382224296,3.26,1.52,6.0,70.0,-21.0,85.9,1667.0,6.9,718029,502043,668939,656811,624428,683002,622761,669720,663630,623993,53.58,0.046,0.041,0.0,1.0,0.0,0.0,2.0,54,6,Changeup,0,1,0,1,1,0,0,1,Strategic,Standard,230.0,-0.113,-0.467
CH,2023-05-25,85.6,-2.26,6.23,"Gibson, Kyle",665828,502043,,ball,,,,,14,"Yankees challenged (play at 1st), call on the field was upheld: Oswaldo Cabrera grounds into a double play, first baseman Ryan O'Hearn to shortstop Jorge Mateo to pitcher Kyle Gibson.   Willie Calhoun out at 2nd.    Oswaldo Cabrera out at 1st.",R,L,R,NYY,BAL,B,,,2,2,2023,-1.43,0.49,0.32,1.02,,,641432.0,1,7,Bot,,,,,668939,,,9.113541197559876,-124.1789711049184,-7.032788971934583,-16.670524973461422,26.05202000210499,-25.784097381174487,3.21,1.52,,,,86.6,1734.0,7.2,718029,502043,668939,656811,624428,683002,622761,669720,663630,623993,53.3,,,,,,,,54,5,Changeup,0,1,0,1,1,0,0,1,Standard,Standard,229.0,0.0,0.113
SI,2023-05-25,91.9,-2.16,6.31,"Gibson, Kyle",665828,502043,,ball,,,,,12,"Yankees challenged (play at 1st), call on the field was upheld: Oswaldo Cabrera grounds into a double play, first baseman Ryan O'Hearn to shortstop Jorge Mateo to pitcher Kyle Gibson.   Willie Calhoun out at 2nd.    Oswaldo Cabrera out at 1st.",R,L,R,NYY,BAL,B,,,1,2,2023,-1.51,0.52,1.23,2.76,,,641432.0,1,7,Bot,,,,,668939,,,12.107392352067029,-133.25000770435028,-4.2578981485274205,-20.683417896817623,30.4690607957074,-25.20514564490157,3.18,1.52,,,,93.2,2165.0,7.4,718029,502043,668939,656811,624428,683002,622761,669720,663630,623993,53.1,,,,,,,,54,4,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,219.0,0.0,0.053
FC,2023-05-25,89.6,-2.34,6.31,"Gibson, Kyle",665828,502043,,foul,,,,,4,"Yankees challenged (play at 1st), call on the field was upheld: Oswaldo Cabrera grounds into a double play, first baseman Ryan O'Hearn to shortstop Jorge Mateo to pitcher Kyle Gibson.   Willie Calhoun out at 2nd.    Oswaldo Cabrera out at 1st.",R,L,R,NYY,BAL,S,,,1,1,2023,-0.18,0.77,-0.62,2.4,,,641432.0,1,7,Bot,,,,,668939,,,4.71515247383522,-130.32175496401194,-5.322696594594025,-3.1101241073168717,29.008324030110707,-22.505944224531955,3.26,1.52,313.0,98.5,22.0,91.1,2338.0,7.3,718029,502043,668939,656811,624428,683002,622761,669720,663630,623993,53.16,,,,,,,,54,3,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,203.0,0.0,-0.063
FC,2023-05-25,89.3,-2.45,6.23,"Gibson, Kyle",665828,502043,,called_strike,,,,,1,"Yankees challenged (play at 1st), call on the field was upheld: Oswaldo Cabrera grounds into a double play, first baseman Ryan O'Hearn to shortstop Jorge Mateo to pitcher Kyle Gibson.   Willie Calhoun out at 2nd.    Oswaldo Cabrera out at 1st.",R,L,R,NYY,BAL,S,,,1,0,2023,0.19,0.9,-0.83,2.79,,,641432.0,1,7,Bot,,,,,668939,,,3.6382336066458314,-130.0291025734359,-4.379733076785893,1.3501713629830183,27.521897647819237,-21.27176633199393,3.23,1.49,,,,90.2,2346.0,6.8,718029,502043,668939,656811,624428,683002,622761,669720,663630,623993,53.7,,,,,,,,54,2,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,202.0,0.0,-0.075
FF,2023-05-25,92.0,-2.18,6.4,"Gibson, Kyle",665828,502043,,ball,,,,,12,"Yankees challenged (play at 1st), call on the field was upheld: Oswaldo Cabrera grounds into a double play, first baseman Ryan O'Hearn to shortstop Jorge Mateo to pitcher Kyle Gibson.   Willie Calhoun out at 2nd.    Oswaldo Cabrera out at 1st.",R,L,R,NYY,BAL,B,,,0,0,2023,-0.52,1.46,0.08,4.45,,,641432.0,1,7,Bot,,,,,668939,,,6.982019147059444,-133.7362348295644,-2.2628556271359046,-7.819920593360991,30.92131225423804,-14.488421875025187,3.23,1.44,,,,93.4,2267.0,7.4,718029,502043,668939,656811,624428,683002,622761,669720,663630,623993,53.14,,,,,,,,54,1,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,208.0,0.0,0.045
SI,2023-05-25,92.1,-1.97,6.38,"Gibson, Kyle",683011,502043,strikeout,foul_tip,,,,,4,Anthony Volpe strikes out on a foul tip.,R,R,R,NYY,BAL,S,2.0,,0,2,2023,-1.26,0.67,-0.51,2.0,,,641432.0,0,7,Bot,,,,,668939,,,6.556082658352371,-133.81294225722283,-6.827551937687618,-16.61275362314067,29.35900528006773,-22.761444779663325,3.09,1.48,,,,93.3,2188.0,7.1,718029,502043,668939,656811,624428,683002,622761,669720,663630,623993,53.39,,,0.0,1.0,0.0,0.0,,53,4,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,212.0,-0.071,-0.249
ST,2023-05-25,81.7,-2.39,6.17,"Gibson, Kyle",683011,502043,,foul,,,,,14,Anthony Volpe strikes out on a foul tip.,R,R,R,NYY,BAL,S,,,0,2,2023,0.8,0.51,1.18,1.56,,,641432.0,0,7,Bot,,,,,668939,,,6.466420368902228,-118.77895936680898,-4.705948853380377,6.1994380451809175,25.019324902276164,-26.642295153066684,3.09,1.48,1.0,46.7,-48.0,81.2,2405.0,6.2,718029,502043,668939,656811,624428,683002,622761,669720,663630,623993,54.3,,,,,,,,53,3,Sweeper,0,1,0,1,1,0,0,1,Standard,Standard,72.0,0.0,0.0
SI,2023-05-25,91.6,-2.06,6.42,"Gibson, Kyle",683011,502043,,foul_tip,,,,,11,Anthony Volpe strikes out on a foul tip.,R,R,R,NYY,BAL,S,,,0,1,2023,-1.29,0.93,-0.23,3.83,,,641432.0,0,7,Bot,,,,,668939,,,7.541292680476999,-133.27485289935575,-2.733499095435986,-16.97939169468972,27.65630835698695,-20.712369893956318,3.09,1.48,,,,93.3,2267.0,7.2,718029,502043,668939,656811,624428,683002,622761,669720,663630,623993,53.3,,,,,,,,53,2,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,209.0,0.0,-0.055
ST,2023-05-25,80.8,-2.41,6.26,"Gibson, Kyle",683011,502043,,called_strike,,,,,2,Anthony Volpe strikes out on a foul tip.,R,R,R,NYY,BAL,S,,,0,0,2023,0.7,0.18,-0.23,2.82,,,641432.0,0,7,Bot,,,,,668939,,,3.557734303663993,-117.73064873808384,-1.422608280617701,5.911342766003743,21.02718505488897,-30.42303100695705,3.09,1.51,,,,82.0,2403.0,6.9,718029,502043,668939,656811,624428,683002,622761,669720,663630,623993,53.58,,,,,,,,53,1,Sweeper,0,1,0,1,1,0,0,1,Standard,Standard,60.0,0.0,-0.051
