pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
FF,2023-05-24,97.4,-2.77,5.52,"Giménez, Andrés",665926,656629,single,hit_into_play,,,,,7,Andres Gimenez singles on a ground ball to right fielder Gavin Sheets.,R,L,R,CLE,CWS,X,9.0,ground_ball,2,2,2023,-0.71,1.35,-0.65,1.8,,,,0,6,Bot,169.63,110.26,,,664874,,,7.3971330303074545,-141.6362283763714,-7.733099296233863,-11.112863930060328,28.869432414334646,-12.413003457627262,3.14,1.46,6.0,94.4,-17.0,99.0,2522.0,7.0,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.53,0.114,0.104,0.9,1.0,1.0,0.0,2.0,41,6,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,214.0,0.014,0.424,andrés giménez,
CH,2023-05-24,89.4,-3.06,5.33,"Giménez, Andrés",665926,656629,field_out,hit_into_play,,,,,13,Andres Gimenez lines out to shortstop Tim Anderson.,R,L,R,CLE,CWS,X,6.0,line_drive,0,1,2023,-1.53,0.89,-1.19,1.67,,,,0,3,Bot,107.21,150.86,,,664874,,,7.93909646268281,-129.89564707225253,-4.947009727721098,-18.957419176466363,25.82721052987468,-21.282313319749427,3.14,1.46,176.0,74.5,15.0,90.6,1748.0,7.0,718048,656629,664874,683734,663853,660162,641313,643217,640449,657757,53.48,0.497,0.447,0.0,1.0,0.0,0.0,4.0,18,2,Changeup,0,1,0,1,1,0,0,1,Standard,Standard,225.0,-0.027,-0.198,andrés giménez,
CU,2023-05-24,76.3,-1.78,5.99,"Giménez, Andrés",665926,625643,single,hit_into_play,,,,,4,"Andres Gimenez singles on a line drive to right fielder Clint Frazier.  Andres Gimenez out at 2nd on the throw, right fielder Clint Frazier to shortstop Tim Anderson.",R,L,R,CLE,CWS,X,9.0,line_drive,0,1,2023,0.78,-0.67,-0.51,2.06,,,,1,8,Bot,207.28,106.66,,,664874,,,1.2690678939450024,-111.22453063540664,-0.0855415355623843,6.271687922566456,18.898788032502587,-37.924094086198615,3.14,1.46,271.0,85.9,22.0,76.3,2332.0,6.1,718048,625643,664874,683734,663853,660162,641313,643217,656514,640449,54.44,0.323,0.294,0.9,1.0,1.0,0.0,3.0,56,2,Curveball,0,6,0,6,6,0,0,6,Standard,Standard,73.0,-0.002,0.299,andrés giménez,
KC,2023-05-23,80.6,-1.36,6.01,"Giménez, Andrés",665926,656302,single,hit_into_play,,,,,4,"Andres Gimenez singles on a ground ball to shortstop Tim Anderson.  Josh Bell out at home, shortstop Tim Anderson to catcher Yasmani Grandal.   Gabriel Arias to 2nd.",R,L,R,CLE,CWS,X,6.0,ground_ball,3,2,2023,0.33,-1.29,-0.53,2.3,,605137.0,672356.0,2,4,Bot,127.35,143.52,,,518735,,,1.2180472894790768,-117.28689997195023,0.9488685340950568,2.7744395329997307,24.782370826897488,-44.3988889113801,3.13,1.46,41.0,95.5,0.0,80.3,2738.0,6.3,718063,656302,518735,683734,663853,660162,641313,643217,673357,640449,54.17,0.397,0.377,0.9,1.0,1.0,0.0,2.0,29,7,Knuckle Curve,1,0,1,0,0,1,1,0,Standard,Standard,20.0,-0.041,0.851,andrés giménez,
KC,2023-05-23,80.0,-1.44,6.02,"Giménez, Andrés",665926,656302,field_out,hit_into_play,,,,,8,Andres Gimenez grounds out to first baseman Andrew Vaughn.,R,L,R,CLE,CWS,X,3.0,ground_ball,1,1,2023,0.51,-1.38,-0.13,1.89,,672356.0,,2,2,Bot,158.3,169.96,,,518735,,,1.918557861747736,-116.53824537181563,0.1786709503442431,4.25822050948209,21.41471796498406,-45.03717050729595,3.13,1.46,5.0,88.8,-21.0,79.8,2651.0,6.0,718063,656302,518735,683734,663853,660162,641313,643217,673357,640449,54.48,0.111,0.104,0.0,1.0,0.0,0.0,2.0,13,3,Knuckle Curve,0,0,0,0,0,0,0,0,Standard,Standard,26.0,-0.035,-0.297,andrés giménez,
SI,2023-05-23,97.4,-0.92,5.63,"Giménez, Andrés",665926,608665,single,hit_into_play,,,,,5,Andres Gimenez singles on a ground ball to left fielder Andrew Benintendi.,R,L,R,CLE,CWS,X,7.0,ground_ball,2,1,2023,-1.39,0.98,0.1,2.05,,,,2,9,Bot,78.63,104.87,,,664874,,,5.974546983111774,-141.691612658827,-6.394410327293686,-20.10680308202152,32.29013316895587,-17.629777847032415,3.13,1.46,27.0,95.2,-3.0,98.2,2414.0,6.7,718063,608665,664874,683734,593643,660162,641313,643217,663853,640449,53.77,0.303,0.287,0.9,1.0,1.0,0.0,2.0,72,4,Sinker,2,4,2,4,4,2,2,4,Standard,Standard,221.0,0.03,0.119,andrés giménez,
CH,2023-05-23,90.0,-1.25,5.81,"Giménez, Andrés",665926,641871,field_out,hit_into_play,,,,,7,Andres Gimenez grounds out to first baseman Andrew Vaughn.,R,L,R,CLE,CWS,X,3.0,ground_ball,1,2,2023,-1.4,0.36,-0.57,1.88,,,,0,7,Bot,155.26,166.4,,,664874,,,4.675022875098522,-130.95312097815162,-4.5724592410386204,-17.05497703058503,26.528635355259187,-27.34062295200683,3.13,1.46,11.0,79.1,-10.0,90.6,1970.0,6.5,718063,641871,664874,683734,663853,660162,641313,643217,673357,640449,53.96,0.106,0.099,0.0,1.0,0.0,0.0,2.0,55,4,Changeup,2,4,2,4,4,2,2,4,Standard,Standard,229.0,-0.038,-0.175,andrés giménez,
FF,2023-05-22,91.5,-1.02,5.96,"Giménez, Andrés",665926,669947,field_out,hit_into_play,,,,,2,Andres Gimenez lines out to center fielder Luis Robert Jr.,R,L,R,CLE,CWS,X,8.0,line_drive,1,1,2023,-0.31,1.6,-0.11,3.01,,,,1,4,Bot,88.33,87.12,,,518735,,,2.9770513910448155,-133.18345947265507,-5.076807658898117,-4.3075953396642,28.24382453545756,-12.218594562169535,3.12,1.45,293.0,86.4,25.0,92.3,2093.0,6.7,718072,669947,518735,683734,663853,660162,641313,643217,673357,657757,53.77,0.117,0.168,0.0,1.0,0.0,0.0,3.0,29,3,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,199.0,-0.015,-0.165,andrés giménez,
FF,2023-05-22,94.1,-1.26,6.09,"Giménez, Andrés",665926,669424,field_out,hit_into_play,,,,,1,Andres Gimenez lines out to left fielder Andrew Benintendi.,R,L,R,CLE,CWS,X,7.0,line_drive,1,0,2023,-0.57,1.43,-0.64,2.69,,642708.0,605137.0,2,1,Bot,42.44,112.53,,,518735,,,2.836637637431438,-137.05525546777133,-6.294938546282223,-7.827742040585698,27.43930947400373,-12.954722830064515,3.12,1.45,296.0,93.0,22.0,93.7,2225.0,5.8,718072,669424,518735,683734,663853,660162,641313,643217,673357,657757,54.74,0.206,0.232,0.0,1.0,0.0,0.0,3.0,9,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,204.0,-0.042,-0.539,andrés giménez,
SL,2023-05-22,85.1,1.92,6.01,"Giménez, Andrés",665926,676979,field_out,hit_into_play,,,,,7,"Andres Gimenez grounds out, second baseman Romy Gonzalez to first baseman Andrew Vaughn.",R,L,L,CLE,CWS,X,4.0,ground_ball,1,2,2023,-0.86,0.23,-0.45,1.59,,,,0,7,Bot,147.65,154.7,,,518735,,,-3.91564132033624,-123.80463207746988,-4.542902804911977,-7.99833407410938,25.384328770751345,-29.140769627495807,3.12,1.45,16.0,92.2,-5.0,86.5,2284.0,7.2,718072,676979,518735,683734,663853,660162,641313,643217,673357,640449,53.27,0.229,0.216,0.0,1.0,0.0,0.0,2.0,50,4,Slider,1,0,1,0,0,1,1,0,Standard,Standard,293.0,-0.018,-0.175,andrés giménez,
