pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-08,92.7,-1.66,6.12,"González, Chi Chi",656896,592346,field_out,hit_into_play,,,,,1,Emmanuel Rivera pops out to shortstop Joey Wendle.,R,R,R,AZ,MIA,X,6.0,popup,3,2,2023,-0.1,0.95,-0.49,3.06,,,606466.0,2,8,Bot,100.72,140.22,,,663743,,,3.177656567584479,-135.00766886422386,-4.1264547631819735,-1.8552294962327591,29.170446453125304,-19.81666306803567,3.4,1.62,160.0,95.8,65.0,92.2,2291.0,5.9,718249,592346,663743,493329,650333,542932,621563,650559,665862,660821,54.57,0.014,0.018,0.0,1.0,0.0,0.0,3.0,70,6,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,209.0,-0.001,-0.262
CH,2023-05-08,87.8,-1.76,5.88,"González, Chi Chi",656896,592346,,blocked_ball,,,,,13,Emmanuel Rivera pops out to shortstop Joey Wendle.,R,R,R,AZ,MIA,B,,,2,2,2023,-1.58,0.4,-0.59,0.47,,,606466.0,2,8,Bot,,,,,663743,,,6.095491626441792,-127.59367691740208,-7.788694610002505,-18.54261413015555,26.17907760622085,-26.35516169175173,3.33,1.54,,,,87.5,2219.0,6.2,718249,592346,663743,493329,650333,542932,621563,650559,665862,660821,54.3,,,,,,,,70,5,Changeup,5,1,5,1,1,5,5,1,Standard,Standard,238.0,0.0,0.056
SL,2023-05-08,85.6,-1.54,5.97,"González, Chi Chi",656896,592346,,ball,,,,,14,Emmanuel Rivera pops out to shortstop Joey Wendle.,R,R,R,AZ,MIA,B,,,1,2,2023,0.2,0.05,1.12,1.94,,,606466.0,2,8,Bot,,,,,663743,,,5.841380108141427,-124.5263563635838,-3.3385954562127185,0.9476905463100186,25.066840520072404,-31.152056448970036,3.33,1.64,,,,85.3,2593.0,6.1,718249,592346,663743,493329,650333,542932,621563,650559,665862,660821,54.39,,,,,,,,70,4,Slider,5,1,5,1,1,5,5,1,Standard,Standard,80.0,0.0,0.03
FF,2023-05-08,93.1,-1.64,6.01,"González, Chi Chi",656896,592346,,ball,,,,,11,Emmanuel Rivera pops out to shortstop Joey Wendle.,R,R,R,AZ,MIA,B,,,0,2,2023,0.07,0.88,-0.82,4.59,,,606466.0,2,8,Bot,,,,,663743,,,1.949788375147956,-135.63905841768914,0.1572341170744405,0.425754792122926,28.45474820486617,-21.525811306460465,3.36,1.57,,,,92.9,2301.0,6.0,718249,592346,663743,493329,650333,542932,621563,650559,665862,660821,54.51,,,,,,,,70,3,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,211.0,0.0,0.007
FF,2023-05-08,91.8,-1.64,6.02,"González, Chi Chi",656896,592346,,foul,,,,,13,Emmanuel Rivera pops out to shortstop Joey Wendle.,R,R,R,AZ,MIA,S,,,0,1,2023,-0.54,0.62,-0.94,2.09,,,606466.0,2,8,Bot,,,,,663743,,,2.903813647600601,-133.67808805930153,-5.481576420994953,-7.091316552813564,26.574902460129344,-23.743035754945005,3.4,1.62,78.0,86.4,5.0,91.7,2152.0,6.0,718249,592346,663743,493329,650333,542932,621563,650559,665862,660821,54.49,,,,,,,,70,2,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,213.0,0.0,-0.038
FF,2023-05-08,93.2,-1.67,6.06,"González, Chi Chi",656896,592346,,called_strike,,,,,4,Emmanuel Rivera pops out to shortstop Joey Wendle.,R,R,R,AZ,MIA,S,,,0,0,2023,-0.03,1.26,-0.54,2.92,,,606466.0,2,8,Bot,,,,,663743,,,2.97536446644502,-135.7267703428106,-5.028588205563665,-1.0517497622622756,29.85124073581544,-15.747727126788416,3.59,1.71,,,,92.7,2455.0,5.9,718249,592346,663743,493329,650333,542932,621563,650559,665862,660821,54.57,,,,,,,,70,1,4-Seam Fastball,5,1,5,1,1,5,5,1,Standard,Standard,209.0,0.0,-0.036
SL,2023-05-08,89.4,-1.71,5.95,"González, Chi Chi",682998,592346,strikeout,swinging_strike,,,,,11,Corbin Carroll strikes out swinging.,R,L,R,AZ,MIA,S,2.0,,0,2,2023,0.1,0.8,-0.18,3.33,,,606466.0,1,8,Bot,,,,,663743,,,3.548936928479255,-130.29426320666298,-2.2326518848049357,0.5435136728798187,23.06442571466996,-22.77242112749113,3.01,1.49,,,,89.8,2371.0,6.1,718249,592346,663743,493329,650333,542932,621563,650559,665862,660821,54.41,,,0.0,1.0,0.0,0.0,,69,3,Slider,5,1,5,1,1,5,5,1,Strategic,Standard,185.0,-0.002,-0.197
FF,2023-05-08,92.2,-1.82,5.96,"González, Chi Chi",682998,592346,,foul,,,,,5,Corbin Carroll strikes out swinging.,R,L,R,AZ,MIA,S,,,0,1,2023,-0.56,0.63,-0.15,2.22,,,606466.0,1,8,Bot,,,,,663743,,,5.453991119815839,-134.066458552219,-4.986293437362269,-7.968119969599545,30.122410703718,-23.72862410015678,3.01,1.49,194.0,70.4,48.0,91.8,2241.0,6.2,718249,592346,663743,493329,650333,542932,621563,650559,665862,660821,54.34,,,,,,,,69,2,4-Seam Fastball,5,1,5,1,1,5,5,1,Strategic,Standard,213.0,0.0,-0.06
SI,2023-05-08,92.3,-1.62,6.02,"González, Chi Chi",682998,592346,,called_strike,,,,,8,Corbin Carroll strikes out swinging.,R,L,R,AZ,MIA,S,,,0,0,2023,-0.99,0.8,-0.12,1.58,,,606466.0,1,8,Bot,,,,,663743,,,5.940990831489499,-134.10980647131518,-7.126208409072687,-13.28933880172188,30.081882925587276,-21.148189371477752,3.1,1.51,,,,91.6,2196.0,6.0,718249,592346,663743,493329,650333,542932,621563,650559,665862,660821,54.46,,,,,,,,69,1,Sinker,5,1,5,1,1,5,5,1,Strategic,Standard,217.0,0.0,-0.056
FF,2023-05-08,92.7,-1.7,6.01,"González, Chi Chi",606466,592346,force_out,hit_into_play,,,,,2,"Ketel Marte grounds into a force out, shortstop Joey Wendle to second baseman Luis Arraez.   Alek Thomas out at 2nd.    Ketel Marte to 1st.",R,L,R,AZ,MIA,X,6.0,ground_ball,1,1,2023,0.04,1.13,0.22,3.56,,,677950.0,0,8,Bot,108.35,149.39,,,663743,,,4.809163736464108,-134.89803162894677,-2.8781215719912114,-0.6742042154098403,31.789573247223828,-18.014961197009065,3.48,1.72,47.0,76.3,0.0,92.0,2390.0,6.1,718249,592346,663743,493329,650333,542932,621563,650559,665862,660821,54.44,0.117,0.105,0.0,1.0,0.0,0.0,2.0,68,3,4-Seam Fastball,5,1,5,1,1,5,5,1,Strategic,Standard,205.0,-0.001,-0.498
