pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-23,95.3,1.37,6.1,"Gore, MacKenzie",630105,669022,walk,ball,,,,,11,Jake Cronenworth walks.,R,L,L,WSH,SD,B,,,3,2,2023,0.09,1.63,-0.42,3.59,,665742.0,,2,5,Top,,,,,660688,,,-4.978322091882557,-138.65297188788858,-4.64926687757367,2.3003567447857973,33.634389024773846,-10.363271832019937,3.16,1.51,,,,96.7,2387.0,7.3,718064,669022,660688,642086,671277,600869,682928,572816,669743,657041,53.22,,,0.7,1.0,0.0,0.0,,38,7,4-Seam Fastball,0,3,3,0,3,0,3,0,Strategic,Strategic,158.0,-0.004,0.151
FF,2023-05-23,95.8,1.46,6.11,"Gore, MacKenzie",630105,669022,,ball,,,,,11,Jake Cronenworth walks.,R,L,L,WSH,SD,B,,,2,2,2023,0.31,1.48,-0.04,5.16,,665742.0,,2,5,Top,,,,,660688,,,-4.726525214049673,-139.42662649847372,-0.200240842617827,5.178379976538896,34.48245658942281,-13.25576817529513,3.18,1.51,,,,96.6,2324.0,6.9,718064,669022,660688,642086,671277,600869,682928,572816,669743,657041,53.56,,,,,,,,38,6,4-Seam Fastball,0,3,3,0,3,0,3,0,Strategic,Strategic,159.0,0.0,0.094
SL,2023-05-23,90.4,1.3,6.16,"Gore, MacKenzie",630105,669022,,ball,,,,,13,Jake Cronenworth walks.,R,L,L,WSH,SD,B,,,1,2,2023,-0.45,0.44,-0.96,1.88,,665742.0,,2,5,Top,,,,,660688,,,-4.721762020754291,-131.53043715889723,-5.738621433291813,-4.297495546442568,26.40967360371996,-26.063559731493765,3.16,1.51,,,,91.7,2081.0,7.0,718064,669022,660688,642086,671277,600869,682928,572816,669743,657041,53.53,,,,,,,,38,5,Slider,0,3,3,0,3,0,3,0,Strategic,Standard,168.0,0.0,0.015
FF,2023-05-23,95.7,1.47,6.2,"Gore, MacKenzie",630105,669022,,foul,,,,,11,Jake Cronenworth walks.,R,L,L,WSH,SD,S,,,1,2,2023,0.36,1.5,-0.44,3.3,,665742.0,,2,5,Top,,,,,660688,,,-5.9333997555892415,-139.143932741949,-5.4814713215830215,6.012084311996341,31.742857541032432,-11.680438591276484,3.15,1.52,128.0,79.0,24.0,96.8,2271.0,7.0,718064,669022,660688,642086,671277,600869,682928,572816,669743,657041,53.51,,,,,,,,38,4,4-Seam Fastball,0,3,3,0,3,0,3,0,Strategic,Standard,160.0,0.0,0.0
FF,2023-05-23,95.5,1.59,6.1,"Gore, MacKenzie",630105,669022,,called_strike,,,,,1,Jake Cronenworth walks.,R,L,L,WSH,SD,S,,,1,1,2023,0.42,1.46,-0.5,3.25,,665742.0,,2,5,Top,,,,,660688,,,-6.534012100324911,-138.9474912320287,-5.245922929194981,6.820443388861541,29.866646703408836,-12.246092817049089,3.27,1.5,,,,97.0,2229.0,7.0,718064,669022,660688,642086,671277,600869,682928,572816,669743,657041,53.46,,,,,,,,38,3,4-Seam Fastball,0,3,3,0,3,0,3,0,Strategic,Standard,160.0,0.0,-0.073
SL,2023-05-23,88.7,1.5,6.15,"Gore, MacKenzie",630105,669022,,called_strike,,,,,2,Jake Cronenworth walks.,R,L,L,WSH,SD,S,,,1,0,2023,-0.22,0.47,0.21,2.9,,665742.0,,2,5,Top,,,,,660688,,,-2.729924103378397,-129.27872296174522,-2.9918213851303888,-1.937846557339037,24.01675184918625,-26.5077866352014,3.23,1.51,,,,90.3,1973.0,6.9,718064,669022,660688,642086,671277,600869,682928,572816,669743,657041,53.56,,,,,,,,38,2,Slider,0,3,3,0,3,0,3,0,Strategic,Standard,176.0,0.0,-0.064
CU,2023-05-23,85.2,1.38,6.06,"Gore, MacKenzie",630105,669022,,ball,,,,,12,Jake Cronenworth walks.,R,L,L,WSH,SD,B,,,0,0,2023,0.1,-0.41,0.56,3.97,,665742.0,,2,5,Top,,,,,660688,,,-2.1525739612614387,-124.11413428969009,2.1749851586189552,1.3994755953361848,22.164119776442508,-36.99976943609877,3.18,1.51,,,,86.8,2383.0,7.0,718064,669022,660688,642086,671277,600869,682928,572816,669743,657041,53.51,,,,,,,,38,1,Curveball,0,3,3,0,3,0,3,0,Strategic,Standard,337.0,0.0,0.035
SL,2023-05-23,89.1,1.67,6.03,"Gore, MacKenzie",593428,669022,strikeout,called_strike,,,,,8,Xander Bogaerts called out on strikes.  Juan Soto steals (5) 2nd base.,R,R,L,WSH,SD,S,2.0,,3,2,2023,-0.13,0.47,0.21,1.75,,,665742.0,1,5,Top,,,,,660688,,,-3.3815899070644355,-129.7744236053744,-5.642455150054229,-0.8343107988752273,23.80117239898125,-25.9477808177596,3.46,1.64,,,,90.9,1927.0,7.1,718064,669022,660688,642086,671277,600869,682928,572816,669743,657041,53.44,,,0.0,1.0,0.0,0.0,,37,8,Slider,0,3,3,0,3,0,3,0,Standard,Standard,162.0,0.008,-0.385
SL,2023-05-23,89.3,1.38,6.02,"Gore, MacKenzie",593428,669022,,foul,,,,,5,Xander Bogaerts called out on strikes.  Juan Soto steals (5) 2nd base.,R,R,L,WSH,SD,S,,,3,2,2023,-0.12,0.52,-0.04,2.94,,,665742.0,1,5,Top,,,,,660688,,,-3.2737079611487894,-130.1060828042199,-2.7492018158714133,-0.7717555135994633,25.56068110554524,-25.84832616937658,3.6,1.64,247.0,82.2,41.0,90.7,2074.0,6.9,718064,669022,660688,642086,671277,600869,682928,572816,669743,657041,53.55,,,,,,,,37,7,Slider,0,3,3,0,3,0,3,0,Standard,Standard,179.0,0.0,0.0
FF,2023-05-23,95.7,1.42,6.13,"Gore, MacKenzie",593428,669022,,ball,,,,,11,Xander Bogaerts called out on strikes.  Juan Soto steals (5) 2nd base.,R,R,L,WSH,SD,B,,,2,2,2023,0.23,1.49,-1.37,3.92,,,665742.0,1,5,Top,,,,,660688,,,-7.987794977283252,-139.09718494428182,-3.614177754707853,4.844005991943243,32.2765785867371,-12.183975280157936,3.43,1.64,,,,96.9,2279.0,7.1,718064,669022,660688,642086,671277,600869,682928,572816,669743,657041,53.38,,,,,,,,37,6,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,156.0,0.0,0.113
SL,2023-05-23,89.6,1.64,6.04,"Gore, MacKenzie",593428,669022,,foul,,,,,8,Xander Bogaerts called out on strikes.  Juan Soto steals (5) 2nd base.,R,R,L,WSH,SD,S,,,2,2,2023,-0.3,0.33,-0.03,1.56,,,665742.0,1,5,Top,,,,,660688,,,-3.5449906570784053,-130.46008182839822,-5.844813432250497,-2.705080081330633,25.969093403637405,-27.44614337831718,3.61,1.65,11.0,75.7,-7.0,90.9,2064.0,6.9,718064,669022,660688,642086,671277,600869,682928,572816,669743,657041,53.56,,,,,,,,37,5,Slider,0,3,3,0,3,0,3,0,Standard,Standard,162.0,0.0,0.0
SL,2023-05-23,88.9,1.53,6.0,"Gore, MacKenzie",593428,669022,,swinging_strike,,,,,7,Xander Bogaerts called out on strikes.  Juan Soto steals (5) 2nd base.,R,R,L,WSH,SD,S,,,2,1,2023,-0.16,0.46,-0.33,1.98,,,665742.0,1,5,Top,,,,,660688,,,-4.278938929661087,-129.4373029467624,-4.922424422297981,-1.065163768057411,23.86342914067074,-26.244927760070667,3.61,1.65,,,,90.6,2008.0,7.0,718064,669022,660688,642086,671277,600869,682928,572816,669743,657041,53.46,,,,,,,,37,4,Slider,0,3,3,0,3,0,3,0,Standard,Standard,174.0,0.0,-0.07
