pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,batter_name,pitcher_name
CH,2023-04-05,89.1,-1.8,5.68,"Hall, Darick",669742,543037,single,hit_into_play,,,,,5,"Darick Hall singles on a sharp line drive to right fielder Franchy Cordero.  Darick Hall out at 2nd on the throw, right fielder Franchy Cordero to shortstop Anthony Volpe.",R,L,R,NYY,PHI,X,9.0,line_drive,0,0,2023,-1.41,0.82,-0.06,2.36,,,,2,4,Top,184.12,130.86,,,624431,,,7.253208150289335,-129.43445502885083,-3.7457072423694986,-17.362611257576958,30.6120449628336,-22.43528816566538,3.54,1.75,223.0,108.0,12.0,88.6,1541,6.4,718699,543037,624431,519203,518934,643396,683011,665828,592450,614173,54.1,0.929,0.953,0.9,1.0,1.0,0.0,5.0,26,1,Changeup,1,0,0,1,0,1,0,1,Strategic,Standard,240,0.013,0.136,darick hall,
CH,2023-04-05,87.9,-1.89,5.69,"Hall, Darick",669742,543037,field_out,hit_into_play,,,,,9,Darick Hall pops out to third baseman Josh Donaldson.,R,L,R,NYY,PHI,X,5.0,popup,1,1,2023,-1.44,1.06,0.38,1.64,,,,0,2,Top,112.16,170.12,,,624431,,,8.496868394519318,-127.64191919501616,-5.826368696525229,-17.55791283024612,27.76201195898901,-19.50652374688321,3.54,1.75,88.0,86.5,71.0,87.6,1609,6.3,718699,543037,624431,519203,518934,518626,683011,665828,592450,614173,54.16,0.001,0.0,0.0,1.0,0.0,0.0,3.0,9,3,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,238,0.024,-0.228,darick hall,
CU,2023-04-04,84.0,-1.01,5.7,"Hall, Darick",669742,593334,strikeout,swinging_strike,,,,,4,Darick Hall strikes out swinging.,R,L,R,NYY,PHI,S,2.0,,1,2,2023,0.11,0.16,-0.3,2.67,,,,1,4,Top,,,,,543309,,,1.412673316682613,-122.33674025764188,-0.9140535366953352,0.7575834850688867,25.75370211521934,-30.610596776361216,3.54,1.75,,,,83.3,2706,5.9,718710,593334,543309,518934,650402,518626,683011,543305,643396,519317,54.6,,,0.0,1.0,0.0,0.0,,23,4,Curveball,0,2,2,0,2,0,2,0,Standard,Standard,252,0.012,-0.122,darick hall,
CH,2023-04-04,87.4,-2.34,5.67,"Hall, Darick",669742,650633,field_out,hit_into_play,,,,,7,Darick Hall grounds out to first baseman DJ LeMahieu.,R,L,R,NYY,PHI,X,3.0,ground_ball,2,2,2023,-1.36,0.65,-0.29,1.78,,,,0,6,Top,153.29,170.73,,,543309,,,7.714435887717049,-127.095950107337,-4.572846743280174,-16.306058682178335,24.746380783885133,-24.38498148528357,3.54,1.75,3.0,90.3,-30.0,87.3,2098,6.1,718710,650633,543309,518934,650402,518626,683011,543305,643396,519317,54.37,0.08,0.079,0.0,1.0,0.0,0.0,2.0,39,5,Changeup,0,4,4,0,4,0,4,0,Standard,Standard,235,0.007,-0.205,darick hall,
FF,2023-04-04,96.5,-1.17,5.92,"Hall, Darick",669742,656061,field_out,hit_into_play,,,,,5,Darick Hall flies out to left fielder Aaron Hicks.,R,L,R,NYY,PHI,X,7.0,fly_ball,0,0,2023,-0.75,1.49,0.12,2.52,,607208.0,664761.0,2,7,Top,70.04,117.33,,,543309,,,5.165086369123432,-140.3455489064915,-6.912045066199252,-11.134634384907043,31.46078699574023,-11.03630203407618,3.54,1.75,254.0,83.3,46.0,96.9,2090,6.5,718710,656061,543309,518934,650402,518626,683011,543305,643396,519317,53.97,0.011,0.01,0.0,1.0,0.0,0.0,3.0,51,1,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,220,0.01,-0.468,darick hall,
CU,2023-04-04,84.8,-1.08,5.71,"Hall, Darick",669742,593334,strikeout,swinging_strike,,,,,14,Darick Hall strikes out swinging.,R,L,R,NYY,PHI,S,2.0,,2,2,2023,0.14,0.16,1.06,1.21,,,,2,1,Top,,,,,543309,,,4.708429332083069,-123.30975667137548,-4.441453229088429,0.4067995640304975,26.26422992374977,-29.84318953563392,3.54,1.75,,,,84.3,2589,6.1,718710,593334,543309,518934,650402,518626,683011,543305,643396,519317,54.37,,,0.0,1.0,0.0,0.0,,4,6,Curveball,0,1,1,0,1,0,1,0,Strategic,Standard,284,0.009,-0.09,darick hall,
FF,2023-04-03,91.3,0.78,5.87,"Hall, Darick",669742,641482,field_out,hit_into_play,,,,,8,"Darick Hall lines out sharply, first baseman Anthony Rizzo to pitcher Nestor Cortes.   Alec Bohm to 3rd.",R,L,L,NYY,PHI,X,3.0,line_drive,1,0,2023,0.45,1.72,0.11,2.04,,664761.0,,1,4,Top,158.37,162.09,,,624431,,,-2.654554177162579,-132.86663736232205,-7.421989480889025,5.923609946022235,28.622958861269115,-10.377694267444236,3.63,1.74,97.0,111.6,4.0,90.9,2174,6.0,718725,641482,624431,519203,650402,518934,683011,543305,592450,614173,54.46,0.611,0.553,0.0,1.0,0.0,0.0,4.0,30,2,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,164,0.03,-0.393,darick hall,
ST,2023-04-03,72.1,2.7,4.56,"Hall, Darick",669742,641482,single,hit_into_play,,,,,13,Darick Hall singles on a line drive to right fielder Franchy Cordero.   Alec Bohm to 2nd.,R,L,L,NYY,PHI,X,9.0,line_drive,1,2,2023,-0.99,0.85,-1.16,1.7,,,664761.0,1,2,Top,158.92,105.05,,,624431,,,-5.925677034375512,-104.76064897780118,0.4181963965860209,-6.135305728965597,19.82467316257228,-26.332549820548408,3.54,1.74,200.0,75.3,18.0,71.1,2351,5.8,718725,641482,624431,519203,650402,518934,683011,543305,592450,614173,54.66,0.929,0.853,0.9,1.0,1.0,0.0,4.0,14,5,Sweeper,2,0,0,2,0,2,0,2,Standard,Standard,276,-0.039,0.594,darick hall,
FF,2023-04-03,95.6,-2.59,6.31,"Hall, Darick",669742,641656,field_out,hit_into_play,,,,,3,"Darick Hall grounds out, shortstop Anthony Volpe to first baseman Anthony Rizzo.   Alec Bohm to 2nd.",R,L,R,NYY,PHI,X,6.0,ground_ball,0,1,2023,-0.53,1.38,0.4,3.15,,,664761.0,1,6,Top,116.24,144.79,,,624431,,,9.080102537873069,-138.9205463877657,-5.804995684179814,-8.913819225711027,31.1149317894234,-13.142212622559573,3.54,1.74,95.0,85.2,5.0,95.7,2274,6.4,718725,641656,624431,519203,650402,518934,683011,543305,592450,614173,54.06,0.397,0.382,0.0,1.0,0.0,0.0,4.0,52,2,4-Seam Fastball,8,1,1,8,1,8,1,8,Standard,Standard,212,0.003,-0.338,darick hall,
SI,2023-04-03,97.1,-2.38,5.61,"Hall, Darick",669742,642528,field_out,hit_into_play,,,,,13,"Darick Hall grounds out, third baseman DJ LeMahieu to first baseman Anthony Rizzo.",R,L,R,NYY,PHI,X,5.0,ground_ball,1,1,2023,-1.42,0.83,-0.94,2.31,,,,2,8,Top,109.64,164.63,,,624431,,,7.100064279475091,-141.21749542507186,-5.212348389699452,-20.61897365868157,32.88892922843104,-20.002177698311584,3.54,1.74,12.0,101.2,-10.0,97.0,2339,6.3,718725,642528,624431,519203,650402,518934,683011,543305,592450,614173,54.19,0.254,0.271,0.0,1.0,0.0,0.0,2.0,70,3,Sinker,8,1,1,8,1,8,1,8,Standard,Standard,224,0.0,-0.097,darick hall,
