pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-05-16,95.3,-2.64,6.05,"Hamilton, Ian",656305,641656,walk,ball,,,,,11,Matt Chapman walks.   George Springer to 3rd.    Bo Bichette to 2nd.,R,R,R,TOR,NYY,B,,,3,1,2023,-0.92,1.42,-0.64,4.55,,543807.0,666182.0,2,4,Bot,,,,,624431,,,7.297200325897755,-138.63287475457665,-1.4695716034098425,-13.522340644101758,32.077958563283275,-13.727631567274909,3.52,1.62,,,,94.8,2479,6.1,718157,641656,624431,518934,650402,643396,683011,641343,664056,665828,54.41,,,0.7,1.0,0.0,0.0,,29,5,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,222,0.041,0.238
FF,2023-05-16,95.5,-2.75,6.05,"Hamilton, Ian",656305,641656,,called_strike,,,,,2,Matt Chapman walks.   George Springer to 3rd.    Bo Bichette to 2nd.,R,R,R,TOR,NYY,S,,,3,0,2023,-0.94,1.35,0.17,3.54,,543807.0,666182.0,2,4,Bot,,,,,624431,,,9.748606195712432,-138.76285488902602,-3.9843993888790727,-14.292188399144155,31.259009403385623,-14.06255088065173,3.58,1.68,,,,95.1,2536,6.1,718157,641656,624431,518934,650402,643396,683011,641343,664056,665828,54.35,,,,,,,,29,4,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,220,0.0,-0.129
SL,2023-05-16,87.6,-2.93,6.02,"Hamilton, Ian",656305,641656,,ball,,,,,13,Matt Chapman walks.   George Springer to 3rd.    Bo Bichette to 2nd.,R,R,R,TOR,NYY,B,,,2,0,2023,0.08,0.28,-1.11,2.04,,543807.0,666182.0,2,4,Bot,,,,,624431,,,4.2113483209966684,-127.49556868380525,-4.050161556068156,0.0280758018995946,26.25381589597586,-28.44586728020703,3.41,1.57,,,,87.1,1647,6.0,718157,641656,624431,518934,650402,643396,683011,641343,664056,665828,54.53,,,,,,,,29,3,Slider,0,2,0,2,2,0,0,2,Standard,Standard,216,0.0,0.087
SL,2023-05-16,89.0,-2.91,6.06,"Hamilton, Ian",656305,641656,,ball,,,,,14,Matt Chapman walks.   George Springer to 3rd.    Bo Bichette to 2nd.,R,R,R,TOR,NYY,B,,,1,0,2023,0.04,0.34,1.04,0.94,,543807.0,666182.0,2,4,Bot,,,,,624431,,,9.498490759568918,-129.20778624046304,-7.177083683415475,-1.4410849364626523,26.453481951687035,-27.01171989288569,3.44,1.6,,,,88.3,1669,5.9,718157,641656,624431,518934,650402,643396,683011,641343,664056,665828,54.56,,,,,,,,29,2,Slider,0,2,0,2,2,0,0,2,Standard,Standard,201,0.0,0.088
FF,2023-05-16,97.0,-2.8,6.14,"Hamilton, Ian",656305,641656,,ball,,,,,11,Matt Chapman walks.   George Springer to 3rd.    Bo Bichette to 2nd.,R,R,R,TOR,NYY,B,,,0,0,2023,-0.91,1.11,-0.34,3.68,,543807.0,666182.0,2,4,Bot,,,,,624431,,,8.59855857523434,-141.00108880359235,-3.5471880576962227,-14.158557763494931,32.549437062343934,-16.7340080860516,3.52,1.6,,,,96.3,2434,6.0,718157,641656,624431,518934,650402,643396,683011,641343,664056,665828,54.53,,,,,,,,29,1,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,219,0.0,0.071
FF,2023-05-16,97.5,-2.91,6.0,"Hamilton, Ian",662139,641656,strikeout,swinging_strike,,,,,2,Daulton Varsho strikes out swinging.,R,L,R,TOR,NYY,S,2.0,,1,2,2023,-0.97,1.43,0.26,2.93,,543807.0,666182.0,1,4,Bot,,,,,624431,,,10.649003887268906,-141.51500088178844,-5.995512534138035,-15.359260032805077,31.32337138554041,-11.65608505472255,3.29,1.51,,,,97.0,2395,6.1,718157,641656,624431,518934,650402,643396,683011,641343,664056,665828,54.4,,,0.0,1.0,0.0,0.0,,28,7,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,219,-0.057,-0.374
SL,2023-05-16,89.4,-2.8,6.06,"Hamilton, Ian",662139,641656,,foul,,,,,9,Daulton Varsho strikes out swinging.,R,L,R,TOR,NYY,S,,,1,2,2023,0.08,0.21,0.46,1.5,,543807.0,666182.0,1,4,Bot,,,,,624431,,,7.80115263585438,-129.9854351458287,-5.59944361743318,-0.7277279405338929,27.84000249258111,-28.831574240099517,3.29,1.51,3.0,93.2,-26.0,88.7,1573,6.0,718157,641656,624431,518934,650402,643396,683011,641343,664056,665828,54.54,,,,,,,,28,6,Slider,0,2,0,2,2,0,0,2,Standard,Standard,190,0.0,0.0
SL,2023-05-16,90.4,-2.99,6.01,"Hamilton, Ian",662139,641656,,blocked_ball,,,,,14,Daulton Varsho strikes out swinging.,R,L,R,TOR,NYY,B,,,0,2,2023,0.17,0.29,0.2,0.46,,543807.0,666182.0,1,4,Bot,,,,,624431,,,7.538640933984792,-131.23937526369576,-8.43522741764496,0.3377541456968501,27.91689524448124,-27.137221603552348,3.44,1.54,,,,89.7,1582,6.0,718157,641656,624431,518934,650402,643396,683011,641343,664056,665828,54.51,,,,,,,,28,5,Slider,0,2,0,2,2,0,0,2,Standard,Standard,203,0.0,0.089
FF,2023-05-16,95.9,-2.79,6.16,"Hamilton, Ian",662139,641656,,foul,,,,,5,Daulton Varsho strikes out swinging.,R,L,R,TOR,NYY,S,,,0,2,2023,-0.94,1.38,0.06,2.52,,543807.0,666182.0,1,4,Bot,,,,,624431,,,9.58740036414471,-139.0690520248524,-7.023039415629075,-14.413007469064024,33.77031112603732,-12.78787233427068,3.29,1.51,,,,94.9,2379,6.1,718157,641656,624431,518934,650402,643396,683011,641343,664056,665828,54.44,,,,,,,,28,4,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,212,0.0,0.0
SL,2023-05-16,90.0,-2.78,5.98,"Hamilton, Ian",662139,641656,,foul,,,,,7,Daulton Varsho strikes out swinging.,R,L,R,TOR,NYY,S,,,0,2,2023,0.16,0.29,-0.54,1.7,,543807.0,666182.0,1,4,Bot,,,,,624431,,,5.207673878541637,-130.91623279560648,-5.244991989885768,0.6852310869762384,27.838616995567364,-27.89517696623849,3.29,1.51,4.0,77.1,-23.0,89.3,1588,5.9,718157,641656,624431,518934,650402,643396,683011,641343,664056,665828,54.6,,,,,,,,28,3,Slider,0,2,0,2,2,0,0,2,Standard,Standard,191,0.0,0.0
